"gene_id","length"
"HIP1R",5845
"HIPK1",8919
"HIPK1-AS1",2281
"HIPK2",16857
"HIPK3",8097
"HIPK4",3139
"HIRA",4053
"HIRAP1",790
"HIRIP3",3048
"HIVEP1",12807
"HIVEP2",10964
"HIVEP2-DT",4700
"HIVEP3",22500
"HJURP",3157
"HJV",2144
"HK1",5527
"HK2",5859
"HK2P1",5609
"HK3",3674
"HKDC1",4388
"HLA-A",13063
"HLA-B",9212
"HLA-C",10819
"HLA-DMA",8765
"HLA-DMB",10784
"HLA-DOA",24245
"HLA-DOB",7956
"HLA-DPA1",14000
"HLA-DPA2",14664
"HLA-DPA3",294
"HLA-DPB1",31916
"HLA-DPB2",5642
"HLA-DQA1",11194
"HLA-DQA2",11649
"HLA-DQB1",11464
"HLA-DQB1-AS1",1654
"HLA-DQB2",9854
"HLA-DRA",9880
"HLA-DRB1",7959
"HLA-DRB2",30812
"HLA-DRB3",3474
"HLA-DRB4",3576
"HLA-DRB5",1375
"HLA-DRB6",1235
"HLA-DRB7",56206
"HLA-DRB8",2537
"HLA-DRB9",1350
"HLA-E",18236
"HLA-F",14980
"HLA-F-AS1",11592
"HLA-G",12712
"HLA-H",13544
"HLA-J",12425
"HLA-K",48021
"HLA-L",27731
"HLA-N",6758
"HLA-P",15180
"HLA-S",1838
"HLA-T",2505
"HLA-U",1117
"HLA-V",10217
"HLA-W",12844
"HLA-X",1935
"HLA-Z",704
"HLCS",12577
"HLF",9508
"HLFP1",499
"HLTF",5397
"HLTF-AS1",415
"HLX",2237
"HLX-AS1",563
"HM13",5243
"HM13-AS1",609
"HMBOX1",19280
"HMBS",2547
"HMCES",2761
"HMCN1",18375
"HMCN2",16726
"HMG20A",5092
"HMG20B",2093
"HMGA1",2327
"HMGA1P1",1780
"HMGA1P2",1725
"HMGA1P3",1779
"HMGA1P4",445
"HMGA1P5",1401
"HMGA1P6",1712
"HMGA1P7",2200
"HMGA1P8",1873
"HMGA2",6062
"HMGA2-AS1",6304
"HMGB1",7289
"HMGB1P1",1190
"HMGB1P10",1189
"HMGB1P11",626
"HMGB1P12",589
"HMGB1P13",630
"HMGB1P14",1125
"HMGB1P15",779
"HMGB1P16",929
"HMGB1P17",604
"HMGB1P18",923
"HMGB1P19",575
"HMGB1P20",1336
"HMGB1P21",873
"HMGB1P22",540
"HMGB1P23",568
"HMGB1P24",1838
"HMGB1P25",942
"HMGB1P26",1012
"HMGB1P27",920
"HMGB1P28",2430
"HMGB1P29",757
"HMGB1P3",1163
"HMGB1P30",606
"HMGB1P31",427
"HMGB1P32",608
"HMGB1P33",639
"HMGB1P34",611
"HMGB1P35",590
"HMGB1P36",720
"HMGB1P37",740
"HMGB1P38",881
"HMGB1P39",949
"HMGB1P4",2247
"HMGB1P40",1228
"HMGB1P41",383
"HMGB1P42",938
"HMGB1P43",626
"HMGB1P44",591
"HMGB1P45",509
"HMGB1P46",611
"HMGB1P47",803
"HMGB1P48",1800
"HMGB1P49",569
"HMGB1P5",1195
"HMGB1P50",1345
"HMGB1P51",818
"HMGB1P6",2041
"HMGB1P7",606
"HMGB1P8",1605
"HMGB1P9",1570
"HMGB2",1567
"HMGB2P1",839
"HMGB3",4121
"HMGB3P1",888
"HMGB3P10",983
"HMGB3P11",912
"HMGB3P12",890
"HMGB3P13",931
"HMGB3P14",656
"HMGB3P15",626
"HMGB3P16",287
"HMGB3P17",619
"HMGB3P18",648
"HMGB3P19",913
"HMGB3P2",755
"HMGB3P20",909
"HMGB3P21",547
"HMGB3P22",1218
"HMGB3P23",1840
"HMGB3P24",2289
"HMGB3P25",696
"HMGB3P26",630
"HMGB3P27",585
"HMGB3P28",659
"HMGB3P29",1258
"HMGB3P3",807
"HMGB3P30",753
"HMGB3P31",705
"HMGB3P32",2441
"HMGB3P4",514
"HMGB3P5",800
"HMGB3P6",601
"HMGB3P7",878
"HMGB3P8",863
"HMGB3P9",883
"HMGB4",2343
"HMGCL",1570
"HMGCLL1",5902
"HMGCR",5043
"HMGCS1",6458
"HMGCS2",2466
"HMGN1",3826
"HMGN1P1",1013
"HMGN1P10",553
"HMGN1P11",1213
"HMGN1P12",585
"HMGN1P13",138
"HMGN1P14",517
"HMGN1P15",295
"HMGN1P16",283
"HMGN1P17",295
"HMGN1P18",615
"HMGN1P19",333
"HMGN1P2",705
"HMGN1P20",700
"HMGN1P21",1250
"HMGN1P22",870
"HMGN1P23",274
"HMGN1P24",622
"HMGN1P25",1198
"HMGN1P26",1251
"HMGN1P27",709
"HMGN1P28",613
"HMGN1P29",479
"HMGN1P3",1202
"HMGN1P30",1091
"HMGN1P31",297
"HMGN1P32",583
"HMGN1P33",451
"HMGN1P34",390
"HMGN1P35",907
"HMGN1P36",1199
"HMGN1P37",1217
"HMGN1P38",1214
"HMGN1P4",1217
"HMGN1P5",568
"HMGN1P6",582
"HMGN1P7",1117
"HMGN1P8",288
"HMGN1P9",298
"HMGN2",1940
"HMGN2P1",687
"HMGN2P10",561
"HMGN2P11",1181
"HMGN2P12",1160
"HMGN2P13",1193
"HMGN2P14",1592
"HMGN2P15",1176
"HMGN2P16",490
"HMGN2P17",1193
"HMGN2P18",1178
"HMGN2P19",580
"HMGN2P2",1178
"HMGN2P20",1159
"HMGN2P21",567
"HMGN2P22",419
"HMGN2P23",577
"HMGN2P24",1187
"HMGN2P25",1183
"HMGN2P26",339
"HMGN2P27",577
"HMGN2P28",1144
"HMGN2P29",605
"HMGN2P3",1215
"HMGN2P30",1184
"HMGN2P31",1108
"HMGN2P32",497
"HMGN2P33",541
"HMGN2P34",387
"HMGN2P35",484
"HMGN2P36",575
"HMGN2P37",567
"HMGN2P38",601
"HMGN2P39",504
"HMGN2P4",1205
"HMGN2P40",560
"HMGN2P41",1194
"HMGN2P42",604
"HMGN2P43",553
"HMGN2P44",1179
"HMGN2P45",558
"HMGN2P46",1927
"HMGN2P47",582
"HMGN2P48",1164
"HMGN2P5",3585
"HMGN2P6",1194
"HMGN2P7",1197
"HMGN2P8",1180
"HMGN2P9",999
"HMGN3",1414
"HMGN3-AS1",2993
"HMGN3P1",830
"HMGN4",2273
"HMGN5",2099
"HMGXB3",5386
"HMGXB4",5006
"HMHB1",381
"HMMR",3016
"HMMR-AS1",1269
"HMOX1",1554
"HMOX2",5433
"HMSD",3136
"HMX1",4332
"HMX2",1733
"HMX3",2847
"HNF1A",4395
"HNF1A-AS1",2455
"HNF1B",7710
"HNF4A",7373
"HNF4A-AS1",5708
"HNF4G",4971
"HNF4GP1",3962
"HNMT",5050
"HNRNPA0",8713
"HNRNPA1",3744
"HNRNPA1L2",2299
"HNRNPA1L3",1323
"HNRNPA1P1",1091
"HNRNPA1P10",1354
"HNRNPA1P11",1236
"HNRNPA1P12",1220
"HNRNPA1P13",1223
"HNRNPA1P14",1189
"HNRNPA1P15",1233
"HNRNPA1P16",1287
"HNRNPA1P17",1307
"HNRNPA1P18",369
"HNRNPA1P19",432
"HNRNPA1P2",11160
"HNRNPA1P20",1291
"HNRNPA1P21",1163
"HNRNPA1P22",1323
"HNRNPA1P23",1373
"HNRNPA1P24",1308
"HNRNPA1P25",1334
"HNRNPA1P26",1869
"HNRNPA1P27",1045
"HNRNPA1P28",1221
"HNRNPA1P29",858
"HNRNPA1P3",831
"HNRNPA1P30",1387
"HNRNPA1P31",1391
"HNRNPA1P32",964
"HNRNPA1P33",542
"HNRNPA1P35",1223
"HNRNPA1P36",1231
"HNRNPA1P37",1551
"HNRNPA1P38",2424
"HNRNPA1P39",1405
"HNRNPA1P4",1480
"HNRNPA1P40",909
"HNRNPA1P41",1617
"HNRNPA1P42",1181
"HNRNPA1P43",1249
"HNRNPA1P44",1389
"HNRNPA1P45",1237
"HNRNPA1P46",1399
"HNRNPA1P47",1212
"HNRNPA1P49",904
"HNRNPA1P5",1370
"HNRNPA1P50",1209
"HNRNPA1P51",2690
"HNRNPA1P52",1217
"HNRNPA1P53",1339
"HNRNPA1P54",1479
"HNRNPA1P55",1356
"HNRNPA1P56",1366
"HNRNPA1P57",1266
"HNRNPA1P58",805
"HNRNPA1P59",1178
"HNRNPA1P6",1525
"HNRNPA1P60",1359
"HNRNPA1P61",1214
"HNRNPA1P62",1208
"HNRNPA1P63",1212
"HNRNPA1P64",1128
"HNRNPA1P65",1214
"HNRNPA1P66",1211
"HNRNPA1P67",1198
"HNRNPA1P68",1230
"HNRNPA1P69",1353
"HNRNPA1P7",1737
"HNRNPA1P70",1162
"HNRNPA1P71",1198
"HNRNPA1P72",1249
"HNRNPA1P74",1195
"HNRNPA1P75",603
"HNRNPA1P76",1090
"HNRNPA1P77",1876
"HNRNPA1P8",1345
"HNRNPA1P9",1220
"HNRNPA2B1",3700
"HNRNPA3",5710
"HNRNPA3P1",3006
"HNRNPA3P10",1170
"HNRNPA3P11",1150
"HNRNPA3P12",1173
"HNRNPA3P13",3104
"HNRNPA3P14",1192
"HNRNPA3P15",1060
"HNRNPA3P16",1152
"HNRNPA3P2",1038
"HNRNPA3P3",1196
"HNRNPA3P4",1188
"HNRNPA3P5",848
"HNRNPA3P6",1301
"HNRNPA3P7",885
"HNRNPA3P8",1004
"HNRNPA3P9",996
"HNRNPAB",1770
"HNRNPABP1",931
"HNRNPC",4502
"HNRNPCL1",2268
"HNRNPCL2",4624
"HNRNPCL3",5691
"HNRNPCL4",6872
"HNRNPCP1",1813
"HNRNPCP10",884
"HNRNPCP2",1722
"HNRNPCP3",874
"HNRNPCP4",1284
"HNRNPCP6",1063
"HNRNPCP7",905
"HNRNPCP8",1193
"HNRNPCP9",1205
"HNRNPD",3068
"HNRNPD-DT",691
"HNRNPDL",4482
"HNRNPDLP1",552
"HNRNPDLP2",579
"HNRNPDLP3",380
"HNRNPDLP4",502
"HNRNPDLP5",114
"HNRNPDP1",1672
"HNRNPDP2",478
"HNRNPF",3076
"HNRNPFP1",2301
"HNRNPH1",7563
"HNRNPH1P1",1272
"HNRNPH1P2",1472
"HNRNPH1P3",1541
"HNRNPH2",2296
"HNRNPH3",2830
"HNRNPH3P1",991
"HNRNPK",3052
"HNRNPKP1",1601
"HNRNPKP2",1726
"HNRNPKP3",1882
"HNRNPKP4",1693
"HNRNPKP5",355
"HNRNPL",4971
"HNRNPLL",4695
"HNRNPLP1",1732
"HNRNPLP2",1843
"HNRNPM",3136
"HNRNPMP1",1964
"HNRNPMP2",674
"HNRNPR",15555
"HNRNPRP1",2455
"HNRNPRP2",743
"HNRNPRP3",778
"HNRNPU",6867
"HNRNPUL1",4914
"HNRNPUL2",5214
"HNRNPUL2-BSCL2",4014
"HNRNPUP1",642
"HOATZ",814
"HOGA1",2442
"HOMER1",8205
"HOMER2",13242
"HOMER2P1",4730
"HOMER2P2",3796
"HOMER3",2863
"HOMER3-AS1",1029
"HOMEZ",4986
"HOOK1",7499
"HOOK2",2542
"HOOK3",14348
"HOPX",4210
"HORMAD1",2144
"HORMAD2",4070
"HORMAD2-AS1",925
"HOTAIR",2579
"HOTAIRM1",1044
"HOTTIP",4665
"HOXA-AS2",1048
"HOXA-AS3",4168
"HOXA1",2543
"HOXA10",2757
"HOXA10-AS",1161
"HOXA10-HOXA9",2110
"HOXA11",2669
"HOXA11-AS",1549
"HOXA13",5015
"HOXA2",1686
"HOXA3",5139
"HOXA4",1687
"HOXA5",1670
"HOXA6",989
"HOXA7",2016
"HOXA9",2064
"HOXB-AS1",797
"HOXB-AS2",3594
"HOXB-AS3",1414
"HOXB-AS4",674
"HOXB1",2034
"HOXB13",3039
"HOXB2",1762
"HOXB3",18337
"HOXB4",2002
"HOXB5",1859
"HOXB6",2223
"HOXB7",1363
"HOXB8",4130
"HOXB9",2586
"HOXC-AS1",548
"HOXC-AS2",504
"HOXC-AS3",368
"HOXC10",1976
"HOXC11",3261
"HOXC12",3266
"HOXC13",2357
"HOXC13-AS",1408
"HOXC4",2352
"HOXC5",2138
"HOXC6",2178
"HOXC8",2417
"HOXC9",1474
"HOXD-AS2",692
"HOXD1",1886
"HOXD10",1785
"HOXD11",1705
"HOXD12",2549
"HOXD13",6442
"HOXD3",5611
"HOXD4",5144
"HOXD8",2618
"HOXD9",1871
"HP",1534
"HP09053",2018
"HP11014",2482
"HP1BP3",11631
"HPAT5",583
"HPCA",2058
"HPCAL1",5327
"HPCAL4",4724
"HPD",1938
"HPDL",1816
"HPF1",1216
"HPGD",4382
"HPGDS",1636
"HPN",2662
"HPN-AS1",4617
"HPR",1524
"HPRT1",1395
"HPRT1P1",460
"HPRT1P2",1108
"HPRT1P3",590
"HPS1",4562
"HPS3",5181
"HPS4",11001
"HPS5",10278
"HPS6",2688
"HPSE",4687
"HPSE2",5499
"HPX",1575
"HPYR1",982
"HR",5641
"HRAS",2520
"HRAT17",707
"HRC",2425
"HRCT1",935
"HRG",2011
"HRG-AS1",1824
"HRH1",5014
"HRH2",7596
"HRH3",3807
"HRH4",3677
"HRK",6244
"HRNR",9629
"HROB",3370
"HRURF",553
"HS1BP3",8137
"HS1BP3-IT1",600
"HS2ST1",7269
"HS3ST1",12134
"HS3ST2",4215
"HS3ST3A1",12754
"HS3ST3B1",6822
"HS3ST4",3267
"HS3ST5",9162
"HS3ST6",5231
"HS6ST1",4223
"HS6ST1P1",4153
"HS6ST2",7251
"HS6ST2-AS1",550
"HS6ST3",22503
"HSBP1",8649
"HSBP1L1",689
"HSBP1P1",538
"HSBP1P2",510
"HSCB",1352
"HSD11B1",1491
"HSD11B1-AS1",550
"HSD11B1L",1859
"HSD11B2",1896
"HSD17B1",1277
"HSD17B1-AS1",2367
"HSD17B10",963
"HSD17B11",1867
"HSD17B12",3444
"HSD17B13",2368
"HSD17B14",1251
"HSD17B1P1",1238
"HSD17B2",1503
"HSD17B3",4193
"HSD17B3-AS1",939
"HSD17B4",3099
"HSD17B6",1892
"HSD17B7",1872
"HSD17B7P1",1282
"HSD17B7P2",2423
"HSD17B8",5862
"HSD3B1",1680
"HSD3B2",1835
"HSD3B7",2387
"HSD3BP1",1495
"HSD3BP2",7979
"HSD3BP3",1414
"HSD3BP4",8697
"HSD3BP5",1508
"HSD52",1043
"HSDL1",3740
"HSDL2",3305
"HSDL2-AS1",3666
"HSF1",4394
"HSF2",2885
"HSF2BP",11385
"HSF4",2238
"HSF5",4139
"HSFX1",1963
"HSFX2",1966
"HSFX3",1256
"HSFX4",1256
"HSFY1",2465
"HSFY1P1",1381
"HSFY2",2510
"HSFY3P",1382
"HSFY4P",34813
"HSFY5P",379
"HSFY6P",306
"HSFY7P",803
"HSFY8P",803
"HSH2D",3197
"HSP90AA1",3939
"HSP90AA2P",2922
"HSP90AA3P",2868
"HSP90AA4P",5896
"HSP90AA5P",2162
"HSP90AA6P",744
"HSP90AB1",2856
"HSP90AB2P",2545
"HSP90AB3P",2541
"HSP90AB4P",3135
"HSP90AB5P",2523
"HSP90AB6P",2494
"HSP90AB7P",2794
"HSP90B1",2782
"HSP90B2P",2752
"HSP90B3P",1824
"HSPA12A",9456
"HSPA12A-AS1",820
"HSPA12B",3455
"HSPA13",3945
"HSPA14",1762
"HSPA1A",12000
"HSPA1B",12586
"HSPA1L",13810
"HSPA2",2568
"HSPA2-AS1",561
"HSPA4",4774
"HSPA4L",12191
"HSPA5",3921
"HSPA5-DT",1144
"HSPA5P1",2360
"HSPA6",2355
"HSPA7",2493
"HSPA8",2284
"HSPA8P1",2250
"HSPA8P10",871
"HSPA8P11",1483
"HSPA8P12",1385
"HSPA8P13",1714
"HSPA8P14",2002
"HSPA8P15",2696
"HSPA8P16",1770
"HSPA8P17",2305
"HSPA8P18",2056
"HSPA8P19",3274
"HSPA8P2",834
"HSPA8P20",841
"HSPA8P3",1424
"HSPA8P4",2140
"HSPA8P5",2207
"HSPA8P6",1552
"HSPA8P7",2264
"HSPA8P8",2262
"HSPA8P9",1473
"HSPA9",4404
"HSPA9P1",2788
"HSPA9P2",771
"HSPB1",777
"HSPB11",1396
"HSPB1P1",378
"HSPB1P2",741
"HSPB2",843
"HSPB2-C11orf52",1527
"HSPB3",679
"HSPB6",1460
"HSPB7",2620
"HSPB8",1861
"HSPB9",549
"HSPBAP1",4857
"HSPBP1",2200
"HSPC102",501
"HSPC324",557
"HSPD1",2360
"HSPD1P1",2246
"HSPD1P10",2030
"HSPD1P11",1487
"HSPD1P12",1449
"HSPD1P13",954
"HSPD1P14",1617
"HSPD1P15",901
"HSPD1P16",588
"HSPD1P17",141
"HSPD1P18",588
"HSPD1P19",3053
"HSPD1P2",4486
"HSPD1P20",589
"HSPD1P21",312
"HSPD1P22",447
"HSPD1P3",4486
"HSPD1P4",2245
"HSPD1P5",2096
"HSPD1P6",2242
"HSPD1P7",2349
"HSPD1P8",2388
"HSPD1P9",2138
"HSPE1",557
"HSPE1-MOB4",3897
"HSPE1P1",318
"HSPE1P10",319
"HSPE1P11",516
"HSPE1P12",478
"HSPE1P13",521
"HSPE1P14",456
"HSPE1P15",276
"HSPE1P16",386
"HSPE1P17",486
"HSPE1P18",492
"HSPE1P19",295
"HSPE1P2",464
"HSPE1P20",410
"HSPE1P21",454
"HSPE1P22",324
"HSPE1P23",489
"HSPE1P24",238
"HSPE1P25",273
"HSPE1P26",275
"HSPE1P27",607
"HSPE1P28",421
"HSPE1P3",549
"HSPE1P4",527
"HSPE1P5",484
"HSPE1P6",461
"HSPE1P7",462
"HSPE1P8",455
"HSPE1P9",486
"HSPG2",15109
"HSPH1",5696
"HTATIP2",2204
"HTATSF1",2907
"HTATSF1P2",4932
"HTD2",3398
"HTN1",1094
"HTN3",1064
"HTR1A",4572
"HTR1B",2568
"HTR1D",3319
"HTR1DP1",781
"HTR1E",5885
"HTR1F",5231
"HTR2A",5546
"HTR2A-AS1",441
"HTR2B",3300
"HTR2C",4834
"HTR3A",2378
"HTR3B",4965
"HTR3C",1699
"HTR3C2P",559
"HTR3D",2068
"HTR3E",2523
"HTR3E-AS1",515
"HTR4",4207
"HTR5A",4555
"HTR5A-AS1",2703
"HTR5BP",44254
"HTR6",3800
"HTR7",5623
"HTR7P1",4389
"HTRA1",2091
"HTRA2",2620
"HTRA3",3376
"HTRA4",2696
"HTT",13475
"HTT-AS",740
"HULC",484
"HUNK",7680
"HUS1",3332
"HUS1B",1162
"HUWE1",18879
"HVCN1",2639
"HYAL1",3985
"HYAL2",2655
"HYAL3",1918
"HYAL4",3705
"HYAL6P",983
"HYDIN",22894
"HYDIN2",10510
"HYI",2015
"HYKK",4271
"HYLS1",2238
"HYMAI",3344
"HYOU1",9478
"HYPK",3189
"IAH1",12436
"IAPP",1997
"IARS1",4845
"IARS2",3530
"IARS2P1",3139
"IATPR",680
"IBA57",7869
"IBA57-DT",641
"IBSP",1573
"IBTK",12206
"IBTKP1",863
"ICA1",3813
"ICA1-AS1",1073
"ICA1L",8738
"ICAM1",2967
"ICAM2",1361
"ICAM3",2387
"ICAM4",1290
"ICAM5",3664
"ICE1",8323
"ICE2",10039
"ICE2P1",4062
"ICE2P2",2796
"ICMT",4852
"ICMT-DT",1642
"ICOS",2630
"ICOSLG",9689
"ID1",1222
"ID2",1299
"ID2-AS1",1573
"ID2B",1293
"ID3",1900
"ID4",3873
"IDE",7533
"IDH1",2709
"IDH1-AS1",491
"IDH2",2704
"IDH2-DT",496
"IDH3A",4338
"IDH3B",1841
"IDH3G",1573
"IDI1",6531
"IDI1P1",905
"IDI1P2",961
"IDI1P3",686
"IDI2",1356
"IDI2-AS1",1305
"IDNK",6830
"IDO1",1849
"IDO2",2761
"IDS",7893
"IDS2",3072
"IDSP1",1418
"IDUA",3805
"IER2",2110
"IER3",7422
"IER3-AS1",3444
"IER3IP1",3679
"IER5",4201
"IER5L",2710
"IER5L-AS1",2753
"IFFO1",4287
"IFFO2",6179
"IFI16",5314
"IFI27",1562
"IFI27L1",4543
"IFI27L2",902
"IFI30",988
"IFI35",1407
"IFI44",5931
"IFI44L",5893
"IFI6",958
"IFIH1",3581
"IFIT1",4651
"IFIT1B",1972
"IFIT1P1",2040
"IFIT2",3393
"IFIT3",2611
"IFIT5",4029
"IFIT6P",894
"IFITM1",668
"IFITM10",6758
"IFITM2",1006
"IFITM3",611
"IFITM3P1",617
"IFITM3P2",611
"IFITM3P3",657
"IFITM3P4",588
"IFITM3P5",614
"IFITM3P6",625
"IFITM3P7",565
"IFITM3P8",562
"IFITM3P9",608
"IFITM4P",2399
"IFITM5",736
"IFITM8P",611
"IFITM9P",456
"IFNA1",878
"IFNA10",963
"IFNA11P",526
"IFNA12P",310
"IFNA13",686
"IFNA14",1004
"IFNA16",939
"IFNA17",980
"IFNA2",1144
"IFNA20P",528
"IFNA21",1024
"IFNA22P",876
"IFNA4",970
"IFNA5",988
"IFNA6",570
"IFNA7",737
"IFNA8",1069
"IFNAR1",6343
"IFNAR2",4306
"IFNB1",839
"IFNE",1475
"IFNG",1211
"IFNG-AS1",1909
"IFNGR1",3677
"IFNGR2",3851
"IFNK",1164
"IFNL1",775
"IFNL2",951
"IFNL3",990
"IFNL3P1",713
"IFNL4",1637
"IFNL4P1",534
"IFNLR1",5096
"IFNNP1",553
"IFNW1",1201
"IFNWP15",992
"IFNWP18",727
"IFNWP19",630
"IFNWP2",927
"IFNWP4",505
"IFNWP5",722
"IFNWP9",725
"IFRD1",4076
"IFRD2",1943
"IFT122",6589
"IFT140",13118
"IFT172",7698
"IFT20",1215
"IFT22",4996
"IFT27",2822
"IFT43",1819
"IFT46",5714
"IFT52",2010
"IFT57",3057
"IFT74",8665
"IFT74-AS1",417
"IFT80",4487
"IFT81",4803
"IFT88",5920
"IFTAP",1490
"IGBP1",1983
"IGBP1P1",575
"IGBP1P2",1513
"IGBP1P3",1215
"IGBP1P4",1189
"IGBP1P5",1172
"IGDCC3",4804
"IGDCC4",7068
"IGF1",12434
"IGF1R",13403
"IGF2",6612
"IGF2-AS",2068
"IGF2BP1",9089
"IGF2BP2",6691
"IGF2BP2-AS1",1531
"IGF2BP3",6082
"IGF2R",14061
"IGFALS",2242
"IGFBP-AS1",15844
"IGFBP1",1514
"IGFBP2",2042
"IGFBP3",2631
"IGFBP4",2205
"IGFBP5",6239
"IGFBP6",947
"IGFBP7",1594
"IGFBP7-AS1",1389
"IGFBPL1",3648
"IGFL1",779
"IGFL1P1",260
"IGFL1P2",427
"IGFL2",12156
"IGFL2-AS1",1644
"IGFL3",3493
"IGFL4",2578
"IGFLR1",1658
"IGFN1",12337
"IGH",2530
"IGHA1",2122
"IGHA2",2038
"IGHD",2308
"IGHD1-1",34
"IGHD1-14",34
"IGHD1-20",34
"IGHD1-26",40
"IGHD1-7",34
"IGHD2-15",62
"IGHD2-2",62
"IGHD2-21",56
"IGHD2-8",62
"IGHD3-10",62
"IGHD3-16",74
"IGHD3-22",62
"IGHD3-3",62
"IGHD3-9",62
"IGHD4-11",32
"IGHD4-17",32
"IGHD4-23",38
"IGHD4-4",32
"IGHD5-12",46
"IGHD5-18",40
"IGHD5-24",40
"IGHD5-5",40
"IGHD5OR15-5B",187
"IGHD6-13",42
"IGHD6-19",42
"IGHD6-25",36
"IGHD6-6",36
"IGHD7-27",22
"IGHE",2572
"IGHEP1",1302
"IGHEP2",1458
"IGHG1",1984
"IGHG2",1960
"IGHG3",2696
"IGHG4",1966
"IGHGP",2376
"IGHJ1",108
"IGHJ1P",108
"IGHJ2",110
"IGHJ2P",120
"IGHJ3",104
"IGHJ3P",102
"IGHJ4",100
"IGHJ5",106
"IGHJ6",130
"IGHM",2972
"IGHMBP2",7280
"IGHV1-12",410
"IGHV1-14",500
"IGHV1-17",704
"IGHV1-18",706
"IGHV1-2",706
"IGHV1-24",706
"IGHV1-3",706
"IGHV1-45",706
"IGHV1-46",706
"IGHV1-58",706
"IGHV1-67",714
"IGHV1-68",782
"IGHV1-69",706
"IGHV1-69-2",706
"IGHV1-69D",706
"IGHV1OR15-1",1114
"IGHV1OR15-2",1134
"IGHV1OR15-3",1314
"IGHV1OR15-4",588
"IGHV1OR15-6",498
"IGHV1OR15-9",892
"IGHV1OR16-1",257
"IGHV1OR21-1",446
"IGHV2-26",716
"IGHV2-5",716
"IGHV2-70",716
"IGHV2-70D",716
"IGHV2OR16-5",542
"IGHV3-11",706
"IGHV3-13",700
"IGHV3-15",718
"IGHV3-16",706
"IGHV3-19",586
"IGHV3-20",706
"IGHV3-21",706
"IGHV3-22",718
"IGHV3-23",706
"IGHV3-25",706
"IGHV3-29",710
"IGHV3-30",706
"IGHV3-30-2",710
"IGHV3-32",757
"IGHV3-33",706
"IGHV3-33-2",710
"IGHV3-35",706
"IGHV3-36",716
"IGHV3-37",702
"IGHV3-38",694
"IGHV3-41",706
"IGHV3-42",664
"IGHV3-43",710
"IGHV3-47",708
"IGHV3-48",706
"IGHV3-49",718
"IGHV3-50",708
"IGHV3-52",706
"IGHV3-53",700
"IGHV3-54",726
"IGHV3-57",612
"IGHV3-6",704
"IGHV3-60",708
"IGHV3-62",706
"IGHV3-63",730
"IGHV3-64",706
"IGHV3-64D",706
"IGHV3-65",798
"IGHV3-66",700
"IGHV3-69-1",700
"IGHV3-7",706
"IGHV3-71",718
"IGHV3-72",718
"IGHV3-73",718
"IGHV3-74",706
"IGHV3-75",732
"IGHV3-76",698
"IGHV3-79",361
"IGHV3-9",468
"IGHV3OR16-10",291
"IGHV3OR16-11",290
"IGHV3OR16-12",294
"IGHV3OR16-13",294
"IGHV3OR16-15",291
"IGHV3OR16-16",565
"IGHV3OR16-17",420
"IGHV3OR16-6",681
"IGHV3OR16-7",301
"IGHV3OR16-8",426
"IGHV3OR16-9",294
"IGHV4-28",706
"IGHV4-30-2",712
"IGHV4-34",700
"IGHV4-39",712
"IGHV4-4",706
"IGHV4-55",706
"IGHV4-59",700
"IGHV4-61",712
"IGHV4-80",321
"IGHV5-10-1",714
"IGHV5-51",706
"IGHV5-78",704
"IGHV6-1",730
"IGHV7-27",660
"IGHV7-34-1",700
"IGHV7-4-1",706
"IGHV7-40",406
"IGHV7-56",702
"IGHV7-81",353
"IGHV8-51-1",614
"IGHVII-1-1",908
"IGHVII-15-1",542
"IGHVII-20-1",78
"IGHVII-22-1",538
"IGHVII-26-2",626
"IGHVII-28-1",510
"IGHVII-30-1",548
"IGHVII-30-21",514
"IGHVII-33-1",548
"IGHVII-40-1",154
"IGHVII-43-1",420
"IGHVII-44-2",474
"IGHVII-46-1",408
"IGHVII-49-1",542
"IGHVII-51-2",526
"IGHVII-53-1",540
"IGHVII-60-1",538
"IGHVII-62-1",546
"IGHVII-65-1",546
"IGHVII-67-1",300
"IGHVII-74-1",338
"IGHVII-78-1",275
"IGHVIII-11-1",374
"IGHVIII-13-1",598
"IGHVIII-16-1",612
"IGHVIII-2-1",604
"IGHVIII-22-2",172
"IGHVIII-25-1",484
"IGHVIII-26-1",614
"IGHVIII-38-1",586
"IGHVIII-44",156
"IGHVIII-47-1",608
"IGHVIII-5-1",198
"IGHVIII-5-2",522
"IGHVIII-67-2",198
"IGHVIII-67-3",550
"IGHVIII-67-4",612
"IGHVIII-76-1",614
"IGHVIII-82",292
"IGHVIV-44-1",692
"IGIP",3456
"IGK",1817683
"IGKC",323
"IGKDEL",1110
"IGKJ1",38
"IGKJ2",39
"IGKJ3",38
"IGKJ4",38
"IGKJ5",38
"IGKV1-12",702
"IGKV1-13",702
"IGKV1-16",702
"IGKV1-17",702
"IGKV1-22",710
"IGKV1-27",702
"IGKV1-32",714
"IGKV1-33",702
"IGKV1-35",702
"IGKV1-37",702
"IGKV1-39",702
"IGKV1-5",702
"IGKV1-6",702
"IGKV1-8",690
"IGKV1-9",702
"IGKV1D-12",351
"IGKV1D-13",351
"IGKV1D-16",351
"IGKV1D-17",351
"IGKV1D-22",355
"IGKV1D-27",352
"IGKV1D-32",357
"IGKV1D-33",351
"IGKV1D-35",351
"IGKV1D-37",351
"IGKV1D-39",351
