gene_name,BJ_sgNT_Ras,BJ_sg69_Ras,BJ_sg71_Ras,BJ_sg_FOXF1_Ras
DCUN1D5,680,544,855,538
YAP1,2123,1356,1428,993
TRIM29,2,4,2,6
SLC37A4,156,131,154,172
BTG4,0,1,1,0
POU2F3,1,2,2,2
RDX,673,360,413,153
PPP2R1B,727,372,607,333
FDX1,242,255,271,264
C11orf1,244,308,321,266
FXYD6,1,0,0,0
ARHGAP20,12,4,5,9
FXYD2,0,0,0,1
MMP13,0,1,0,2
TMPRSS13,0,0,0,0
CASP1,316,232,401,179
CASP5,1,0,0,0
ALKBH8,107,48,53,34
MAP2K5,271,194,225,197
UNC13C,0,0,0,1
SQOR,1781,1435,2188,1049
CTDSPL2,78,59,62,76
SLTM,346,175,168,133
THBS1,22057,9127,9403,6475
MAPKBP1,1674,991,1187,1535
NUSAP1,170,194,263,136
NDUFAF1,467,335,437,263
KIF23,258,206,262,184
ITGA11,2910,1813,1916,2844
KNL1,99,49,50,62
HAUS2,330,248,405,211
RTF1,997,824,770,526
PARP6,320,200,289,219
RPLP1,19575,20624,21935,20176
PAQR5,119,106,202,165
LRRC49,55,30,29,20
TUBGCP4,371,322,396,303
RMDN3,1326,821,849,728
ITPKA,140,76,86,109
UACA,4288,2528,1179,1101
SMAD6,5,6,7,7
PLCB2,21,18,11,30
TMEM62,327,305,352,325
PAK6,11,10,10,21
ADAM10,1261,499,423,417
DUOX1,0,10,1,6
SLC28A2,10,2,9,2
STRA6,38,27,53,41
CYP19A1,1,0,0,0
ZNF280D,165,180,130,126
SEMA6D,530,149,122,52
BCL2L10,0,0,0,0
RSL24D1,610,567,811,620
SPTBN5,16,5,1,16
GCOM1,87,97,79,60
GCHFR,70,59,75,63
BCAR3,4710,3924,3929,3406
TTLL7,107,45,42,22
FNBP1L,123,83,98,99
KYAT3,340,342,403,352
GTF2B,371,271,372,241
BRDT,0,0,0,0
RABGGTB,309,192,248,197
IFI44L,2,1,3,0
GIPC2,0,0,1,5
ARHGAP29,1804,1116,967,819
IFI44,33,26,63,21
SLC44A5,1,0,0,1
RPL7P9,16,0,35,32
CLCA2,138,64,87,112
DNASE2B,0,0,0,0
DBT,179,111,110,22
RTCA,801,451,604,411
IFT172,299,138,189,120
SELENOI,322,321,334,229
CGREF1,91,92,61,127
HADHB,3232,2568,2758,2260
KHK,41,48,64,42
ADCY3,721,355,428,698
PPM1B,200,100,105,65
PNPT1,264,165,159,138
DYNC2LI1,116,82,99,98
LHCGR,0,0,0,0
THUMPD2,75,51,46,44
CYP1B1,2,0,0,2
SULT6B1,0,0,0,0
RAB1A,2113,1221,1439,951
ACTR2,3177,1721,2323,1598
PREB,1692,1521,1805,1653
SLC5A6,675,497,573,659
ABCG5,0,0,0,0
PREPL,992,478,503,417
SLC3A1,5,5,1,2
EMILIN1,6271,3443,3674,4996
FBXO11,456,163,158,149
SIX3,0,0,0,0
ATRAID,2142,2119,2449,2813
CENPO,583,539,744,644
LRPPRC,1169,528,453,454
TRIM54,0,2,1,0
DTNB,61,82,79,74
ACTR1A,5911,5675,6258,5609
CYP2C9,0,0,0,0
MFSD13A,112,75,123,101
CYP2C8,0,0,0,0
MYOF,10490,5747,7749,5632
LOXL4,613,805,1404,1720
STAMBPL1,377,202,253,153
CH25H,0,1,1,1
LBX1,0,0,0,0
BTBD16,0,0,0,0
KIF11,124,77,91,76
CUZD1,5,5,4,4
TACC2,637,253,273,405
DUSP5,4320,2753,3484,3127
CALHM2,439,371,407,536
ARL3,308,396,613,483
CEP55,110,104,130,114
KIF20B,90,59,62,51
ENTPD1,6,6,5,4
EXOC6,61,21,30,14
PLCE1,14,10,16,13
RBP4,0,0,0,0
DBR1,152,94,188,113
DNAJC13,844,401,327,274
GPR87,1,1,1,0
ANXA7,2609,2310,3037,2128
FAM149B1,258,182,345,200
ASCC1,310,271,390,215
PLA2G12B,0,0,0,0
ZNF365,124,130,139,150
OIT3,2,0,1,0
ADAMTS14,152,55,168,187
RPS24,13660,15194,17938,12358
TET1,6,2,6,6
DNA2,35,24,41,30
MYPN,1716,1191,1094,960
AOX1,303,248,463,285
ATIC,2278,2195,2287,2351
SMARCAL1,789,756,919,681
BARD1,40,20,20,16
STAT4,8,1,8,6
MSTN,0,0,1,0
CARF,41,21,27,21
ASNSD1,238,182,275,263
METTL5,442,461,523,437
SSB,1286,917,1003,929
NAB1,403,365,556,423
CDK15,97,84,142,77
PPIG,291,178,160,142
FASTKD1,104,74,112,99
MDH1B,3,11,19,18
HECW2,305,107,162,98
IDH1,773,634,1045,625
OLA1,1347,1163,1563,886
CIR1,188,180,148,133
ITPRID2,3572,1428,1390,878
CHRNA1,7,1,3,6
FAM117B,13,3,9,6
WDR12,560,434,765,363
ABI2,680,657,758,569
ITGAV,590,208,187,187
SLC40A1,4,10,9,5
SLC35A5,224,143,180,179
SLC49A4,209,172,179,121
SENP7,60,27,16,8
GUCA1C,1,0,0,0
CCDC54,0,0,0,0
COX17,593,516,665,551
PARP9,119,89,153,91
MNS1,11,3,5,10
USP8,354,230,178,136
SECISBP2L,569,278,207,170
TMOD3,1081,771,683,615
SPPL2A,611,372,434,335
GLCE,275,191,217,159
SHF,4,13,16,23
APH1B,383,414,372,314
INTS14,591,470,702,484
CILP,0,0,1,0
PARP16,162,113,81,110
PPCDC,193,132,156,167
HCN4,0,0,0,0
SEMA7A,3041,3159,3894,5442
UBL7,1095,1073,1259,1161
ARHGAP24,1144,822,1048,701
FAM13A,272,111,202,97
HERC3,909,365,670,294
HERC6,96,56,108,85
HERC5,20,31,40,23
PCDH10,127,104,53,136
NDST4,0,0,1,0
ZGRF1,17,16,24,13
AP1AR,117,54,74,66
COPS4,711,634,881,673
HNRNPD,2184,1386,1900,1255
PRKG2,0,0,0,0
RASGEF1B,0,0,0,0
SEC31A,5449,4019,5812,3938
FGF5,1744,1154,1180,853
GPAT3,397,265,281,249
IL21,0,0,0,0
FGF2,493,338,413,220
BBS7,160,85,161,129
KIAA1109,547,265,104,96
BMPR1B,1,0,0,0
RAP1GDS1,1312,1028,1563,1013
LARP1B,68,29,52,39
MMRN1,0,0,0,0
PDE5A,832,187,132,72
PRDM5,55,41,48,42
TRPC3,3,3,11,10
NAAA,254,131,137,142
NUP54,218,147,241,140
CXCL9,1,0,0,0
BMP2K,305,196,261,156
G3BP2,2109,1221,1592,1084
SEPTIN11,4171,2729,2797,2094
FRAS1,573,232,233,282
SCARB2,3095,1735,2472,2120
CCNG2,298,201,307,188
CNOT6L,98,48,60,47
USO1,1393,792,745,666
CDKL2,0,0,0,0
SHROOM3,1457,865,908,984
ANXA3,84,70,68,52
PPA2,770,906,1154,880
CENPE,65,78,36,53
GSTCD,114,66,128,75
INTS12,267,241,350,237
ENPEP,0,1,1,0
CASP6,123,158,136,123
LEF1,144,30,70,28
HADH,354,427,672,572
EGF,36,96,74,94
PAPSS1,1558,1318,2030,1205
SEC24B,621,282,352,285
C4orf17,0,0,0,0
PPP3CA,530,272,457,188
SLC39A8,168,162,287,172
MTTP,0,0,0,0
FBN2,3399,1236,964,1480
MAPK8IP3,1503,471,377,680
RGS3,3066,2536,3224,3030
GUCD1,2227,2069,2367,2443
TTLL8,0,0,0,0
RNF185,989,1046,1235,897
SHISAL1,2,2,5,1
PARVG,0,0,0,0
B4GALNT3,0,0,0,0
PDE6H,0,0,0,0
ERP27,0,0,0,0
ETV6,261,142,161,152
GABARAPL1,2037,1562,1558,960
KIF21A,56,12,8,26
CPNE8,0,0,0,0
YARS2,506,446,577,401
FGD4,37,29,36,8
ALG10,17,11,14,42
PIK3C2G,0,0,0,0
SINHCAF,106,73,283,214
PLCZ1,3,0,0,1
AEBP2,144,66,72,63
SLCO1C1,0,0,0,0
ETFBKMT,44,38,51,14
ETNK1,265,110,138,151
ZCRB1,479,583,643,469
TMEM117,44,62,37,41
PRICKLE1,43,34,39,31
C1RL,219,236,243,387
NDUFA9,727,850,1042,886
CLSTN3,1598,614,547,1141
KLRG1,5,9,21,18
VAMP1,115,91,56,69
TAPBPL,165,113,123,201
CD27,0,0,0,0
RBP5,1,0,0,0
PEX5,781,656,714,803
PIANP,22,10,3,25
SLC38A4,58,31,34,37
AMIGO2,112,55,40,17
SCAF11,430,239,227,229
COL2A1,0,0,0,0
PPFIA2,1,0,1,0
ANP32D,0,0,0,0
LLPH,311,278,287,205
RPL14P1,0,15,10,3
LRIG3,121,72,99,84
MARCHF9,770,516,506,495
INHBE,3,4,4,4
GLIPR1,2286,2754,3458,3996
TPH2,9,6,6,0
PHLDA1,12011,7066,9625,7528
TMEM19,268,226,358,261
LGR5,0,0,0,0
PTPRQ,1,1,1,2
DUSP6,6694,3710,5180,2535
POC1B,480,386,376,202
TMTC3,320,211,155,231
LUM,154,361,436,600
KERA,0,0,1,0
SNRPF,685,666,823,675
AMDHD1,30,8,4,3
NEDD1,99,123,99,100
SYCP3,2,0,1,1
ASCL1,0,0,0,1
GAS2L3,35,32,43,30
TMEM132B,60,74,29,108
SLC15A4,549,339,451,481
TDG,175,75,125,148
RITA1,670,688,944,802
SDSL,200,278,278,253
MMAB,262,410,555,378
GLTP,2500,2151,2271,1986
GIT2,1762,936,1017,928
TCHP,440,232,246,158
FAM222A,26,16,12,23
FOXN4,0,0,0,0
NUP58,492,273,385,197
MTMR6,502,356,429,282
SLC46A3,104,58,176,50
SLC7A1,4909,3325,4341,4500
PDX1,0,0,0,0
LNX2,107,84,88,57
SUOX,360,312,281,303
CCDC65,2,0,1,0
SLC39A5,0,0,0,0
TARBP2,591,599,790,705
RDH16,2,0,2,0
DHH,0,0,0,0
ACVRL1,0,8,2,15
GPR84,0,0,0,0
NPFF,0,0,0,0
NABP2,939,997,1300,874
N4BP2L1,5,2,1,1
CELA1,0,0,0,0
SMARCC2,1654,1108,985,1281
BRCA2,28,21,11,64
KANSL2,558,568,639,544
CERS5,943,633,784,739
MAP3K12,735,541,526,497
ITGB7,2,1,0,4
GALNT6,4936,2756,2974,4220
CSAD,111,54,32,55
LMBR1L,510,337,375,507
MYG1,610,681,799,726
ESYT1,4538,3434,3163,3562
TMBIM6,12889,12781,15101,12121
ANKRD52,5702,2447,2085,3042
KRT71,0,0,0,0
ZNF740,628,372,545,565
SMIM2,2,0,0,0
WDFY2,626,521,758,621
HNRNPA1L2,24,9,12,7
LPAR6,80,90,112,168
ESD,1159,1197,1525,1041
RB1,469,277,203,191
SBNO1,430,198,146,161
MORN3,18,21,14,9
SETD1B,601,129,81,206
VPS33A,852,587,698,454
VPS37B,1886,1380,1420,1446
RHOF,25,19,21,32
DENR,998,732,895,535
DIAPH3,110,71,125,73
SLAIN1,0,0,0,0
RBM26,508,188,181,162
SRRM4,0,0,0,0
METTL21C,0,0,0,0
MBNL2,233,107,70,141
RNF113B,0,0,0,0
ZIC5,0,0,0,0
ABHD13,189,97,156,99
RAB20,45,68,94,88
GRTP1,1,0,0,0
CUL4A,1992,1318,1632,1080
TTC6,0,0,0,0
SSTR1,7619,4132,2584,2578
CDH24,340,290,217,387
REM2,1,3,2,4
CBLN3,107,92,99,115
TSSK4,0,0,0,0
NOVA1,0,1,0,0
FITM1,0,0,1,4
MDGA2,0,0,0,0
TMX1,568,398,460,376
FRMD6,2727,2199,2727,1799
PELI2,1,1,0,0
RTN1,0,1,1,2
ARMH4,49,8,30,26
SYT16,19,22,14,19
SLC38A6,156,173,182,151
NAA30,323,197,181,174
ADAM21,29,26,22,13
RDH12,0,0,0,0
DCAF5,1093,620,797,681
RAB15,317,270,321,213
WDR89,59,37,54,35
ESR2,1,0,2,0
KCNH5,0,0,0,0
STON2,4,2,2,5
EFCAB11,95,46,84,41
GPR65,23,21,13,11
PTGR2,108,21,95,40
JDP2,136,153,188,214
AK7,1,0,0,0
SLC24A4,7,9,8,12
FBLN5,3582,1228,879,1381
SERPINA10,0,0,0,0
CLBA1,233,172,139,171
WARS1,3831,2974,3619,2814
SLC25A47,0,0,0,0
WDR20,362,226,319,225
NIPA2,1633,1165,1520,1006
SLC12A6,421,179,217,111
DUOXA1,2,2,2,1
MFAP1,306,208,237,153
TCF12,955,456,592,397
SORD,614,784,810,889
SERF2,10780,10496,10813,12340
ZSCAN29,190,101,116,67
DUOXA2,0,0,0,0
DUOX2,1,9,4,9
LYSMD2,147,107,111,76
SLC27A2,0,1,0,1
FGF7,6,7,5,4
HDC,0,0,1,0
GCNT3,11,22,23,20
BNIP2,537,271,277,209
GTF2A2,965,838,1035,681
SRP14,4816,4592,6538,4160
BAHD1,796,516,468,633
DISP2,100,151,42,170
CDAN1,459,336,392,363
TLE3,277,84,113,279
ANP32A,1184,954,1341,844
COMMD4,794,901,976,818
UBE2Q2,265,259,200,159
PSTPIP1,0,0,0,0
ETFA,1698,1158,1873,1233
BCL2A1,3,1,45,18
HMG20A,818,428,643,455
SCAPER,82,25,18,46
TSPAN3,3059,2358,2737,2228
WDR61,1059,1036,1175,1013
NCOA2,215,67,99,70
NEIL1,23,7,25,10
MAN2C1,668,303,297,392
DNAJA4,0,0,0,0
TLNRD1,436,279,253,389
TPM1,7132,7177,10419,7410
IGF1R,493,339,194,290
ARRDC4,2257,691,461,229
PIF1,37,50,37,45
USP3,276,185,272,236
CYP11A1,0,0,0,2
BBS4,406,317,487,256
PML,1367,856,800,1072
CYP1A1,7,8,6,2
ADAMTS17,0,2,0,0
LINS1,79,46,76,32
ULK3,413,288,289,348
GOLGA6D,0,0,0,0
PCSK6,11,11,43,73
CCDC33,2,2,1,0
CELF6,0,0,0,4
SCAMP2,1405,1117,1053,1128
CYP1A2,1,0,0,0
LMAN1L,0,0,0,1
HAPLN3,39,18,13,26
RHCG,0,2,1,0
POLG,1336,902,955,960
RLBP1,0,0,0,0
FANCI,177,130,185,89
ABHD2,1045,774,747,837
WDR93,1,0,0,1
TICRR,69,44,65,63
NTRK3,0,2,0,2
DET1,175,166,195,152
MFGE8,4966,2023,1194,2216
ZNF710,710,371,449,470
UNC45A,1753,1608,1631,1536
ST8SIA2,0,0,0,0
MCTP2,104,35,69,50
FURIN,5002,2474,2025,3637
IQGAP1,2938,1364,1228,1002
CRTC3,515,318,285,319
EFL1,406,184,197,130
SH3GL3,0,0,0,0
SEC11A,2149,2120,3078,1879
SEPTIN12,1,0,1,0
GLYR1,1918,1542,1659,1616
PMM2,868,802,867,842
SLC5A2,0,0,2,3
ITGAX,7,11,15,23
TGFB1I1,1101,887,850,1030
RUSF1,1191,1193,1645,1401
ARMC5,242,131,121,145
PARN,459,342,520,280
FTO,1259,854,913,770
UQCRC2,2185,1669,2617,1273
CDR2,649,368,480,287
IGSF6,0,1,1,0
ARHGAP17,1182,594,510,650
MYLK3,6,4,2,5
ABCC12,1,0,0,0
NKD1,1,0,0,0
DHX38,1855,1199,1450,1370
TXNL4B,320,219,262,158
MARVELD3,3,1,1,0
CHST4,0,0,0,2
ZFHX3,309,58,25,44
CLEC18B,2,0,0,3
CPNE2,265,288,382,473
NLRC5,628,390,379,408
KATNB1,557,436,418,463
KIFC3,1736,1171,1375,1321
ADAMTS18,1,0,0,0
NUDT7,19,13,19,16
GCSH,408,333,379,394
CMTM3,744,683,719,803
CMTM2,0,0,1,0
CDH11,2175,1566,2006,2060
NOL3,370,295,319,285
MAP1LC3B,3942,2478,2549,2110
MBTPS1,4488,3215,3510,3435
CDH13,188,165,103,243
ZCCHC14,348,70,85,144
MEAK7,1794,1665,2120,2116
ADAD2,2,0,0,0
OSGIN1,185,109,92,110
IRF8,0,0,0,0
RHOT2,1431,875,912,1472
RPL3L,2,0,0,0
ZSCAN32,335,232,322,254
RPS2,35301,51792,62653,55638
NDUFB10,1457,1477,1436,1413
PDPK1,2222,1435,1182,797
TIGD7,40,15,15,7
DEF8,1648,1639,2048,1600
TCF25,1871,1837,2624,2327
GALNS,781,324,352,497
GAS8,393,208,238,245
MED9,296,232,248,240
NCOR1,1728,690,858,540
COPS3,816,817,1122,698
GID4,376,170,228,147
ZNF287,194,77,125,112
MYOCD,12,11,32,7
KSR1,296,170,275,295
UTP4,1418,1287,1513,1190
RANBP10,741,475,441,426
CTRL,3,0,5,6
DPEP3,0,0,0,0
GFOD2,938,635,669,778
NOB1,1076,1241,1351,1176
PRPSAP2,274,218,296,181
UNC45B,0,0,0,0
PCTP,214,141,251,162
OR4D1,0,0,0,0
TOM1L1,308,209,238,188
KIF2B,0,0,0,0
C17orf80,419,264,357,255
TOB1,878,450,511,647
VPS53,1523,864,850,813
SPATA22,0,1,0,0
SGSM2,1058,596,673,689
NPEPPS,4265,2411,3557,2837
SKAP1,0,2,0,1
LRRC46,16,22,15,22
SCRN2,1057,720,808,681
SSH2,520,287,321,357
RHBDL3,2,2,0,2
SPACA3,0,2,3,1
ARSG,328,195,157,136
ABCA8,4,0,2,0
G6PC3,3375,3637,3557,4062
CLTC,9269,3754,3719,3772
C17orf64,0,0,0,0
BCAS3,561,481,415,421
PTRH2,673,578,735,458
SS18,856,409,534,381
TAF4B,47,30,36,38
AFG3L2,1095,912,1003,685
PRELID3A,50,31,12,24
IMPA2,58,45,84,45
GNAL,7,14,3,4
SLC39A6,1705,1077,1218,1000
RPRD1A,919,541,699,480
C18orf21,157,148,172,138
GALNT1,768,435,405,468
ASXL3,0,0,0,0
ADCYAP1,0,0,0,0
MEP1B,0,0,1,0
SLC25A52,2,0,0,2
GAREM1,5,2,1,1
ESCO1,110,47,42,59
OSBPL1A,225,157,248,147
GATA6,2,3,0,0
GREB1L,31,15,22,25
RMC1,358,330,377,267
PELP1,1126,638,634,775
NPC1,2084,992,991,1339
SLC14A1,293,90,159,110
ARRB2,152,110,181,180
SLC13A5,9,6,5,7
ZMYND15,0,0,0,0
WRAP53,260,262,342,285
MINK1,3465,2031,2004,2268
SAT2,598,402,712,536
ASGR1,10,4,11,10
PIK3R5,1,0,0,0
TP53,1280,1173,1139,1419
CCDC40,125,45,55,60
ARHGDIA,15141,11118,12102,14043
TMC6,21,85,21,34
SLC16A3,13336,9410,12171,9367
CARD14,0,0,0,1
TTYH2,8,2,8,12
RAB40B,225,164,148,210
EIF4A3,1973,1512,1826,1534
CSNK1D,3842,3487,3586,3696
ANAPC11,1641,1803,2143,1922
TBCD,1774,1218,1561,1447
FN3KRP,789,712,888,759
NARF,887,837,1322,777
RPTOR,1693,985,915,1150
FOXK2,2363,1516,1693,1768
TRIM65,461,413,461,622
CBX8,194,157,228,156
SECTM1,528,551,728,671
RNF157,213,218,436,388
CEP131,467,265,283,240
ZNF750,0,0,0,0
WDR45B,3061,2319,2974,2307
CBX4,666,521,561,592
RNF165,4,0,1,0
DYM,559,607,710,443
MAPK4,0,0,0,0
ELAC1,77,70,103,99
MBD1,1268,906,796,850
SMAD4,362,355,376,301
TNFRSF11A,0,0,0,0
ZCCHC2,120,43,47,25
FBXO15,8,22,12,6
CBLN2,0,2,1,0
PMAIP1,2044,995,1052,533
P3H4,2102,1403,1523,2405
NT5C3B,3307,3811,4843,3461
RETREG3,1795,1231,1205,1375
ERBB2,1065,851,834,1359
GRB7,2,1,0,1
MIEN1,1137,1166,1409,1123
PNMT,1,0,1,1
ARL5C,0,0,0,0
STAC2,3,1,2,7
IGFBP4,36354,28058,29036,43842
FKBP10,12392,8721,9101,14879
TXNL4A,1553,1447,1756,1374
CACNA1A,92,39,60,58
MISP3,23,15,12,17
SAMD1,350,210,184,232
BRD4,1243,442,467,527
SLC39A3,345,270,233,316
NFIC,880,254,171,395
TPGS1,109,69,89,94
PLPP2,30,51,51,61
ZIM3,0,0,0,0
PRDM15,106,78,71,111
PFKL,3397,2888,3424,3716
FEM1A,987,700,716,813
VAV1,2,0,1,0
MVB12A,731,603,804,782
CIB3,0,0,0,0
SH3GL1,3108,2590,3313,3489
DUS3L,105,83,99,78
DPP9,3901,2514,2843,2751
DMRTC2,0,0,0,0
CCDC97,383,211,262,278
TMEM91,11,3,15,9
ZFP14,40,26,13,28
SIRT3,334,239,245,263
IFITM3,7284,5218,6291,8616
PGGHG,108,53,54,75
HUNK,0,0,0,0
COL6A1,28605,13409,18940,20188
OR1E3,0,0,0,0
IFNAR1,1401,616,651,561
SOD1,3577,3686,4797,3023
COL6A2,39631,20898,30488,29453
SIK1,36,14,19,29
DNMT3L,0,0,0,0
TRPM2,0,0,0,0
SCYL1,2959,2058,2469,2627
TMEM50B,0,0,0,0
APP,24994,11867,11064,12297
DOP1B,503,242,302,617
URB1,1731,1061,813,1110
AKT1,5032,4791,6190,5386
IL19,1,2,2,2
EMP3,3457,4527,5573,4937
SAE1,3622,3778,4950,3987
NTN5,5,3,2,7
LMTK3,30,6,8,34
GEMIN7,407,350,401,395
CBLC,0,0,0,0
WTIP,484,332,187,385
ADAMTS10,69,38,44,43
SLC6A3,0,0,0,0
RNPEPL1,1183,362,328,656
CAPN10,444,238,297,388
MYO1F,38,17,25,28
ERVK3-1,616,531,546,440
NLRP12,9,5,6,5
CACNG8,51,25,11,28
ZNF787,385,345,403,387
TIMM29,334,215,244,240
FBN3,12,0,0,0
CARM1,2283,1821,2061,2405
EVI5L,2051,1591,1659,1860
TM4SF5,0,0,0,0
SLC47A1,57,83,64,72
PSMB6,2960,3160,3702,3144
GPR32,0,0,0,0
SIGLEC10,7,0,1,1
ACP4,0,0,0,0
KLK3,10,8,3,8
ZNF473,166,120,176,98
FAM71E1,9,9,7,4
RPS11,13385,18253,21775,17233
PTH2,0,0,0,0
RPL13A,33442,43178,53049,41634
CTU1,94,66,62,89
NOSIP,1030,1062,1286,1107
IGLON5,0,0,0,0
RCN3,755,645,892,1130
ZNF614,69,64,45,50
SLC2A5,4,5,9,7
RERE,1836,423,259,444
MMEL1,0,0,0,0
CFAP74,2,2,1,0
PRDM16,0,0,0,0
CELA2A,0,0,0,0
FHAD1,2,0,0,0
EPHA2,5984,3219,2977,3591
ARHGEF19,64,44,78,85
EFHD2,1688,1398,2099,1753
PEX14,586,419,501,542
PGD,3693,3307,3653,3209
MYOM3,1,0,1,0
SH3BGRL3,14034,12062,12042,16855
CNKSR1,6,8,1,2
RPL11,15280,18502,22084,13857
IL22RA1,0,0,0,0
ZNF593,368,377,420,415
C1orf216,1165,980,975,1067
KIAA0319L,2467,1609,1444,1883
EVA1B,2779,3075,4053,3713
C1orf94,0,0,0,0
DMRTA2,0,0,0,0
PLK4,130,29,48,65
MAP3K6,352,193,169,150
FCN3,0,0,0,0
GPN2,948,575,572,713
SYTL1,29,10,9,8
WDTC1,1269,681,747,778
CELA3A,0,0,0,0
NBPF3,474,337,403,304
HSPG2,3444,555,350,1398
ITGB3BP,102,69,120,131
SERBP1,3033,2094,2929,1949
BCL10,280,140,206,191
CCN1,5039,3576,4201,3714
PRKACB,742,310,174,195
PIGK,320,231,271,242
TINAGL1,0,0,0,1
AZIN2,110,125,134,87
RPS8,14857,15889,19311,13102
KIF2C,372,468,766,507
PTPRF,2109,999,1034,1137
BEST4,1,0,1,0
MOB3C,398,332,342,360
CYP4B1,0,0,0,0
TMEM61,0,0,0,0
DMRTB1,0,0,0,0
LMO4,197,197,309,232
SYPL2,392,251,168,269
BARHL2,0,0,0,0
MTF2,75,79,76,42
SLC44A3,8,27,12,16
IGSF3,0,2,0,2
ZNF697,323,182,282,147
CTTNBP2NL,960,330,443,279
STRIP1,1230,927,1004,938
KCNA10,0,0,0,0
PSMA5,2575,2642,3839,2077
FNDC7,0,2,1,0
C1orf162,1,2,5,0
CD53,0,3,1,3
PROK1,0,0,0,0
CELSR2,63,16,6,22
ITGA10,303,146,181,148
GPR161,494,419,609,521
ALDH9A1,2426,2267,2983,2165
ATP1B1,145,78,117,76
TIPRL,926,783,1165,640
NME7,179,155,166,111
POGK,873,614,713,595
MPC2,2044,1995,2061,1416
CREG1,165,93,103,79
DCAF6,874,531,811,496
GPA33,0,0,0,0
RXRG,0,0,0,0
TBX19,23,11,16,10
UCK2,1195,924,1289,1009
TMCO1,1780,1713,2190,1318
XCL1,1,0,0,0
XCL2,0,0,0,0
POU2F1,63,17,56,85
MAEL,0,0,0,0
ILDR2,0,0,0,0
DPT,1,2,0,0
MGST3,1278,1368,1643,1828
ADCY10,7,5,2,3
COP1,394,383,545,327
NECTIN4,2,0,0,1
UFC1,1126,1110,1437,885
PPOX,256,267,225,229
FCGR2A,9,8,25,16
NUF2,75,41,66,73
RGS5,22,12,9,18
SDHC,3310,3835,4434,3974
PFDN2,1143,871,1164,814
NR1I3,0,1,0,3
USP21,263,208,215,238
F13B,0,0,0,0
PRCC,1189,809,1072,1126
FCRL5,0,0,0,0
RRNAD1,165,130,189,203
MRPL24,1258,1409,1714,1510
PIGM,272,217,217,176
CASQ1,4,5,5,10
ISG20L2,886,761,1080,771
CRABP2,409,1348,2809,6723
HDGF,6606,7189,11123,8248
ABL2,1278,773,831,562
XPR1,365,341,268,186
RGS16,3,0,0,1
TOR1AIP1,596,390,563,277
FAM163A,1,1,0,0
HMCN1,37,36,4,3
RGL1,646,491,665,502
LYPLAL1,93,119,112,105
LHX9,6,15,8,25
PRUNE1,213,125,125,109
RORC,0,0,0,0
TUFT1,162,127,103,129
SF3B4,2189,1916,1995,1979
ECM1,3251,1460,1313,2075
ZNF687,473,397,405,451
TARS2,596,530,703,685
CGN,0,0,1,6
SNX27,717,285,378,209
SETDB1,357,255,375,266
ADAMTSL4,1020,352,227,406
MCL1,3989,2022,3517,1951
CTSK,4837,3358,4016,3890
RFX5,895,883,1065,887
PI4KB,5020,4386,4056,3670
PIP5K1A,2190,1499,2059,1756
ANP32E,195,169,154,114
MINDY1,120,75,128,195
ANXA9,10,24,11,15
SELENBP1,208,254,328,455
CERS2,3881,3613,3794,3419
ENSA,2224,2168,2701,2146
LSP1P5,352,292,275,319
SEMA6C,27,23,13,31
MRPL9,911,1056,1265,896
ARNT,553,365,468,428
POGZ,589,187,323,222
C1orf56,114,110,98,98
OAZ3,39,44,54,41
HORMAD1,0,0,0,0
GOLPH3L,397,223,337,210
GABPB2,115,80,91,96
SYT14,211,53,104,35
KCNH1,16,16,9,6
DTL,169,113,326,117
DYRK3,535,379,420,341
EIF2D,1127,1165,1432,1184
INTS7,134,121,167,92
VASH2,19,0,0,9
TAF1A,83,27,39,27
SMYD2,474,556,724,524
SUSD4,40,15,19,16
DUSP10,862,551,444,372
HHIPL2,3,3,2,2
TP53BP2,411,234,419,385
ATP8B2,2780,2202,2494,2713
FLG2,0,0,1,0
CRNN,0,1,0,0
ADAM15,3525,2356,2221,4410
JTB,1569,1438,1662,1484
RAB13,2339,2183,2892,2125
S100A8,0,0,0,0
TPM3,10829,10864,15133,10649
NUP210L,0,0,1,0
SNAPIN,625,662,820,705
SLC27A3,39,47,20,52
S100A7,0,0,0,0
UBAP2L,4562,2830,2661,3213
SLC39A1,2431,2669,3360,3260
HAX1,1794,2108,2547,1888
CREB3L4,78,55,80,74
EFNA3,12,5,8,13
AQP10,0,0,0,0
KCNN3,2,2,6,2
C1orf43,4563,4731,5508,3831
GATAD2B,248,13,60,36
ILF2,3830,3708,4798,4185
RIT1,519,393,545,284
INTS3,1881,1001,891,1135
PKLR,0,0,0,0
FLG,1,0,1,0
ACTA1,0,0,0,0
C1orf131,56,70,71,80
GALNT2,5217,3129,2843,4546
TTC13,482,243,351,240
SCCPDH,471,319,443,294
LYST,381,186,181,105
MAP3K21,5,2,2,2
CEP170,400,146,197,42
ACP1,1315,1176,1649,930
SNAP47,776,653,672,652
SRP9,1757,1726,1976,1538
NVL,220,138,152,152
SDE2,293,188,273,142
DEGS1,2977,2549,3174,2486
FBXO28,595,354,480,295
ARF1,10204,9318,11319,10334
LEFTY2,0,0,0,0
CNIH4,586,676,898,642
ITPKB,310,241,233,251
GUK1,4395,5587,6741,5439
CDC42BPA,1625,513,454,359
CNIH3,2041,1538,1851,1730
C1orf35,349,313,321,360
MBOAT2,138,150,213,188
