gene_name,HepG2_RNA_KO_ADRplus_rep1_TP53,HepG2_RNA_KO_ADRplus_rep2_TP53,HepG2_RNA_WT_ADRminus_rep1,HepG2_RNA_WT_ADRminus_rep2,HepG2_RNA_WT_ADRplus_rep1,HepG2_RNA_WT_ADRplus_rep2
NME8,1,0,0,0,6,0
EPDR1,1720,1155,1368,1400,1280,1035
SNX10,687,625,571,596,809,1079
SEPHS1,2521,2609,2344,2298,1743,1143
MRPL28,1055,599,1848,1432,2246,1359
HBQ1,83,45,167,119,96,34
ITPKC,547,257,646,526,1566,1044
CEACAM6,6,5,5,2,4,8
FAT2,34,39,0,0,89,50
RBM22,1959,1923,1328,1308,1937,1469
TMED2,17569,11115,12996,11185,8022,4759
ERO1B,287,346,125,208,405,504
ZFAND6,2563,1982,1590,1497,2823,2222
HSD17B2,2219,1789,764,699,3542,2322
TXLNG,1614,1931,1132,1107,907,947
PPEF1,3,28,0,0,4,9
LAT2,84,46,10,20,61,79
HUWE1,15510,12923,16706,16799,15614,13476
ZW10,1278,1486,1365,1263,890,869
ALG9,1404,1665,1672,1830,2418,2865
MYBPC2,2,1,0,0,14,15
NOX4,5,8,0,0,2,12
ACOX3,445,329,566,476,374,196
MTMR2,3249,3055,2881,2358,1945,1594
PPP1R15A,3531,2675,1479,1662,2368,1540
HSD17B14,28,12,9,14,55,44
TRIP6,7,5,17,15,64,21
ACHE,107,48,45,16,1472,901
FTL,265872,158953,283840,218898,138669,72624
SRRT,6443,3597,5821,4981,2947,1865
BAX,1741,1254,4818,3596,5069,3104
NLK,1013,939,595,605,906,907
PIGS,3243,2023,2221,2072,1951,1193
ADAMTS2,31,18,508,421,1050,918
TMPRSS11E,17,4,0,0,11,2
ATXN7L3,3941,2560,3769,4131,2998,1614
PGS1,1625,956,1096,873,1322,919
PSMC5,5753,5667,3930,3451,4756,3438
UIMC1,664,706,746,1141,1631,1591
CETP,181,154,24,19,38,26
MMP2,233,94,153,146,826,608
MT3,0,0,0,0,1,0
LPCAT2,1328,1378,926,929,520,500
GNAO1,138,76,12,9,69,41
OGFOD1,3976,4064,2562,2246,3748,2808
SH3BP2,1030,384,1852,1668,1589,1071
NOP14,2833,2263,3493,3327,2066,1463
ADD1,4939,2925,5742,5805,6090,4099
L2HGDH,877,875,938,1023,2103,2468
TXNDC16,532,717,437,289,325,359
RTRAF,1820,1869,2311,2267,3331,2454
NID2,31,60,0,0,32,26
GMCL1,1831,1366,2015,1394,1145,1101
SF3B2,8560,5438,8139,7309,6933,5189
KLHL42,733,508,732,971,531,501
GNAS,41397,25995,30420,24845,27658,19158
DNM1L,4124,2515,2868,2727,2406,1818
PTHLH,20,5,5,2,22,25
PHACTR3,7,24,0,0,20,14
ERGIC2,1657,2188,1053,1126,1434,1263
TFAP2C,3,0,0,0,0,1
AURKA,3893,3791,5073,4325,4697,3823
CASS4,3,31,8,4,10,10
PIR,239,202,758,749,265,232
AAMDC,564,519,253,206,266,203
RFX2,276,158,341,238,204,95
METTL2A,1457,1165,1143,1111,999,956
SULT2B1,7,7,3,2,8,8
ALG6,183,227,204,197,269,282
CNOT3,2029,1149,2045,1658,1404,830
GP6,2,0,0,3,1,3
PTPN4,989,840,1295,1307,988,901
DDX18,5433,8917,4407,5184,3940,4847
KHSRP,17661,9947,15051,12248,9916,6075
GNA11,2991,1775,2899,2975,3926,2492
EDEM2,1354,907,1957,1904,1884,1100
DNMT3B,1503,1106,802,677,1279,915
REM1,2,0,0,0,2,1
TPX2,8507,9714,9559,8487,9416,8254
FER1L4,56,36,11,19,49,67
PDRG1,1090,833,926,714,680,411
EPB41L1,3000,1491,2349,2287,2954,2083
SLC15A1,46,36,8,6,30,21
DOCK9,640,168,228,85,228,135
ANKRD10,3740,3117,2596,2918,2927,2822
TGDS,399,358,314,351,661,552
DOCK3,40,29,4,3,63,51
C3orf18,109,33,32,28,46,29
COQ9,1870,1362,1125,1030,1824,1264
TMEM40,5,5,3,9,1103,832
KIF9,323,271,193,201,140,83
ARHGAP28,48,52,19,29,56,48
CRLS1,2495,2703,2982,2915,1634,1669
DEFB127,0,0,0,0,1,0
PPP1R13B,668,543,1036,1026,1388,1140
ATRN,5203,4212,6983,7045,11071,8474
SMOX,3767,2444,1716,1615,2310,1461
SIGLEC1,6,2,0,4,13,7
FKBP1A,10723,13336,7046,7634,10807,8729
NSFL1C,5527,3894,4112,3654,4711,3189
SLC4A11,2234,1048,2714,2486,9130,5850
C20orf194,1832,1341,1319,1453,2117,1716
ZNF343,700,773,854,754,1745,1232
EBF4,206,124,25,25,151,61
CPXM1,5,3,0,2,14,8
MAVS,14430,9775,10156,9616,13224,9501
LZTS3,2316,1343,1867,1828,1418,929
F11,1886,1890,380,347,649,475
XRN2,8071,9164,8033,7744,8005,8263
KIZ,4222,3918,5696,5776,3494,3169
DYNLL1,7290,7939,5333,4715,5170,4492
TESC,1894,1208,1963,2070,814,473
SNX5,22318,24788,21406,22323,26909,27648
RPL6,35435,35798,28130,27315,27103,19554
SIRPG,3,7,0,0,7,6
MAPKAPK5,1732,1734,1579,1759,1175,994
P2RX7,45,22,8,38,23,18
ESF1,3748,4445,2714,2614,6181,6885
RBBP9,2368,2609,1969,1595,1244,1040
ANAPC5,5145,4249,4487,4042,2712,2479
SLC23A2,7105,3972,8222,7383,18832,13599
SLC8B1,592,321,398,398,343,189
TMEM230,8254,8279,5008,4893,6369,5385
DZANK1,221,205,87,131,169,143
KDM2B,4060,2903,3635,3386,2472,1979
CFAP61,24,29,6,0,10,14
LHX5,11,8,4,3,19,21
TASP1,1021,884,767,700,901,749
OAS1,273,224,149,171,102,77
GCN1,14325,8294,12320,11350,11264,8505
RPLP0,92850,55910,84048,67049,66137,37699
PXN,3025,1809,2577,2473,3146,2269
SIRT4,60,48,35,29,67,54
RPH3A,29,14,0,0,62,22
KIF16B,1250,1127,1331,1477,920,830
TRMT6,2298,2513,1147,1137,1098,1075
CHGB,99,76,11,10,42,32
PEBP1,17858,14718,18588,14853,14867,9905
TBX5,2,2,0,0,2,2
BRAP,1257,1069,597,561,1045,783
ERP29,5356,3862,4544,3998,3675,2339
NOS1,14,10,1,0,19,20
FUS,21935,19890,18792,17555,12404,9674
IGBP1,1253,1586,1338,1333,2176,1788
FXYD5,54,22,33,58,16,9
ZNF302,4,11,2,3,6,7
GRAMD1A,2841,1658,2555,2824,3777,2515
FXYD3,2,1,14,16,63,35
HEPH,5,3,1,0,4,2
CDIP1,2686,1671,2690,2267,15335,9440
CMTM1,103,39,54,36,30,31
KCNH4,9,12,5,4,145,86
GANAB,11299,8662,8826,7843,8462,5485
GMIP,593,216,238,222,701,487
RBM41,672,997,492,559,1213,1658
BIRC5,7730,5796,5661,4827,3937,2442
LAG3,13,5,10,33,6,2
MLF2,4582,3052,3745,3404,21825,13660
OTUB2,354,239,149,141,727,544
DDX24,105,100,115,109,131,109
ZBTB25,381,265,423,411,621,613
NECAP1,1052,761,676,725,990,604
ARHGAP4,36,19,16,20,48,28
ANKRD24,4,0,0,6,36,39
DHX32,570,740,338,575,853,888
RCOR1,1260,981,1714,1580,1495,2184
GPATCH2L,4459,3134,3912,2948,4432,3334
LTBP4,180,78,161,89,317,214
BLVRB,419,225,500,343,1954,1096
SLC9A1,1770,1030,885,865,2876,1795
SPTLC1,2649,2779,1708,1821,2902,2516
PAPOLA,5172,6824,7441,7960,7264,8472
CCNK,2776,1865,2460,2249,8749,6681
PCBP4,2328,1333,2573,2222,4672,3013
RGS1,3,3,0,0,1,4
YPEL3,617,363,342,311,2208,1430
MRPS33,342,381,241,320,459,512
NDUFB2,1173,991,1218,881,1317,964
NUDC,9085,6090,5396,4993,5936,3627
MAEA,3590,2045,2945,2419,2971,1648
ICAM1,8571,5099,4574,4192,3901,2829
STRN4,3990,2238,3215,2982,2984,1856
IRAK3,24,27,9,4,23,19
LYZ,73718,99289,41424,45278,69811,70350
SI,6,6,0,1,7,13
MUL1,1640,1022,1186,944,1071,730
TFAP4,649,363,1545,1206,390,230
PDCD7,1203,914,793,735,639,549
SPG21,1457,1637,1502,1462,1625,1646
FETUB,71,41,62,49,45,29
DNAJB11,6847,5956,4598,4607,3250,2491
P3H2,4,20,0,0,26,74
THPO,549,306,357,296,381,277
CHRD,1532,812,723,749,1455,876
FLT3LG,70,52,83,71,111,51
RAB11FIP3,8,4,26,32,18,17
GNPTG,1096,710,952,775,1425,940
ZNF268,2192,1977,1467,994,1349,1458
GOLGA3,7293,3768,6746,6648,4439,3135
PABPC4,7312,5498,6131,6234,4334,3431
CD209,6,4,3,4,9,4
CERS4,1535,903,1642,1363,1038,700
MCOLN1,644,403,353,318,429,314
USP48,1501,2036,1578,1918,2757,4113
EFNB1,248,181,391,279,3863,2560
PDPR,4252,3080,2057,1613,3467,2260
AARS1,5284,3741,6368,6594,3659,2317
GLG1,8269,7006,8217,8293,8502,6753
KIF4A,2038,2148,1829,1640,1197,869
TNRC6A,4749,3602,3869,4127,6179,7160
PLEKHG2,2583,1315,1567,1277,1101,430
DLL3,107,64,84,84,30,37
NAT14,692,404,464,405,495,255
PITPNM2,613,349,1266,1215,986,485
EXOC1,892,943,469,550,1375,1425
RBM27,1769,2154,1654,2052,1371,1776
POU4F3,0,2,0,0,1,0
OSBPL8,3661,3025,2840,5000,3253,3717
DTX2,1138,632,685,691,763,519
NLRC4,12,17,0,0,8,15
PUS7,1146,1300,1817,1922,1153,1159
LAMB4,83,59,66,71,106,155
NRCAM,403,620,49,71,76,120
LAMB1,20332,14083,19545,18703,13660,9702
SLC26A4,6,8,9,19,13,19
SLC26A3,29,20,2,4,6,6
DLD,2010,2068,2630,2512,2373,2208
WDR7,582,706,501,522,959,1030
TXNL1,2458,2620,2133,2206,2098,2151
IL5RA,4,2,0,0,0,1
ABCC6,1723,863,1283,1080,978,546
CMTM6,3770,4201,2311,2066,3426,3572
ITGA6,5604,4756,5694,6463,5905,6236
RAPGEF4,26,47,24,49,54,52
MAP3K20,1209,1238,1394,1694,675,649
SMPX,9,8,3,2,13,14
FH,1782,2283,1616,1561,1150,1144
SEL1L3,143,126,358,190,354,366
TF,115185,86708,160319,122185,87299,49809
CDV3,5826,7842,5136,5495,3870,4095
MYO15A,47,29,2,2,64,15
ALKBH5,4286,2767,4600,4208,2791,1896
APOH,21229,29133,20618,16745,6549,4551
NLRP1,3357,1864,508,397,703,520
PITPNM3,103,66,33,50,138,110
SPAG7,929,578,1218,1068,715,403
ORC6,4293,3478,2864,3237,3355,2954
ZFHX4,46,23,14,10,69,10
SLC17A6,3,4,0,0,0,2
CPA1,8,6,3,8,419,313
ZC3HC1,573,671,714,568,646,619
ESR1,31,13,0,0,15,11
RGS17,55,57,40,83,36,60
ANGPT2,148,193,15,30,10,13
TMEM101,1919,1142,2013,1637,1973,1247
CD200,9,7,4,0,6,6
CCDC80,21,36,2,4,21,5
CMA1,1,1,0,0,2,10
PSME1,9025,6873,7912,6376,5563,3656
PPP2R3C,3243,3440,1731,1992,1771,1712
HAUS4,1422,1023,1621,1539,924,551
JPH4,60,43,53,29,582,449
MYH7,180,89,63,32,42,22
CEBPE,14,5,4,8,106,78
SLC7A8,40,19,0,3,95,30
OSGEP,1267,771,947,959,859,722
SLC22A17,25,23,16,4,7,6
RNF31,4004,2121,3786,3676,3425,2239
SCFD1,3646,4606,3531,4063,3298,4485
G2E3,2642,2251,3290,2990,3470,2661
HECTD1,16546,15575,26969,26372,14540,13985
HNRNPC,23315,23498,21893,21519,16229,13805
RPGRIP1,50,37,1,1,25,37
SUPT16H,14249,16206,11014,10861,8894,8633
TOX4,5668,4835,3862,3647,5807,4142
GEMIN2,794,563,1026,816,511,439
TGM1,63,59,121,285,325,221
TINF2,2443,2069,1674,1401,3044,2396
DAZL,11,5,0,0,10,20
TBL1Y,14,11,0,1,4,0
SEMA6A,2676,2574,5153,6209,2770,3010
TRPM7,2795,3326,2920,3140,3632,4062
TYRO3,3103,2010,2736,2565,734,556
WDR76,543,784,413,317,128,97
CAPN3,38,17,20,19,64,34
SNAP23,1442,1483,1617,1821,1416,1104
TBX15,8,9,38,45,275,272
PHGDH,2833,1710,6139,5333,326,209
COL9A3,5752,3257,8975,9321,9320,6099
EZR,11204,8163,6830,6066,5783,4280
MYL6,16103,12600,9253,7595,8049,4456
AGO1,5225,3132,4087,3852,2843,1763
TEKT2,10,8,2,3,5,4
CLSPN,3040,5037,1202,1179,781,975
RFFL,2535,1829,3491,2954,1054,804
UNC13D,4333,2450,1971,2007,2114,1453
MFSD11,1456,1361,871,1119,698,576
DPYSL2,10271,6550,7966,6654,1663,934
TGFB2,20,30,1,0,1,2
GPATCH2,876,926,682,534,695,1011
NUP50,8944,4931,5592,5761,3852,2583
CDC45,1743,1167,921,880,450,340
COMT,1452,881,2216,1687,2234,1321
ADA2,22,32,15,6,22,9
VNN3,0,3,0,0,0,1
ECHDC1,2329,2906,1851,2099,1594,1802
LRRFIP2,1519,1198,929,1168,795,696
SEC22C,1561,1287,1552,1331,1157,773
XYLB,1099,940,1721,2025,1036,584
HDAC6,2298,1227,1833,1794,1426,1029
OR1I1,2,0,0,0,0,0
GABRP,56,47,98,88,109,96
KRT31,3,2,0,0,1,0
CDC6,5527,7952,2098,2163,1201,1445
UPRT,324,240,204,208,164,122
CDC23,2494,2536,1354,1323,1500,1238
AAAS,1632,946,2132,1940,1043,691
CBX5,9283,10187,1973,2250,4591,5257
FMO2,2,4,0,0,2,2
SUCO,2000,2100,1604,2027,1385,1763
MSH2,4228,4442,2741,2644,1196,1279
MAP3K1,4816,4675,3595,3618,3192,3351
DHPS,1242,783,1490,1458,1104,680
HOOK2,932,426,455,386,614,403
NXPE1,3,5,0,0,9,3
ARCN1,10744,11412,9879,9825,11214,9919
EPB41L4B,1111,1098,938,1039,1958,1709
TMEM38B,1072,1186,843,894,551,528
PSMD5,992,917,967,874,1364,1004
PTGS1,13,8,0,0,13,11
NUP188,6931,5110,5620,5526,3903,2610
CRAT,1438,741,1067,936,1595,910
SH2D3C,3,8,0,0,4,5
NANS,3373,2504,3380,2928,1461,1005
TBC1D2,212,127,187,189,561,365
WHRN,307,85,257,225,2075,1419
PDE6C,4,4,0,1,72,62
CWF19L1,1173,1224,814,649,692,567
SEMA4G,2921,2319,5219,5535,5600,3594
BTAF1,4262,4420,2632,3176,3322,3516
IKZF5,791,1156,830,659,1364,1328
BLNK,3,2,0,2,86,50
TLL2,25,15,16,23,33,21
CYP26A1,3,3,1,0,37,24
TDRD1,7,13,0,0,14,10
SORBS1,2498,2140,1881,2450,1408,1503
CRTAC1,5,9,0,0,31,23
BAMBI,2664,2520,715,770,642,564
IL11,337,142,74,89,241,144
MYO3A,6,37,0,0,8,10
WAC,4183,3850,3600,3778,3074,3456
CREM,822,781,261,269,481,372
NUBP2,780,450,1129,938,1195,840
TPSD1,0,0,0,0,1,0
SMIM24,230,147,509,303,310,167
HIVEP1,2388,2412,1321,1158,1310,1537
TREM2,4,2,8,7,6917,4447
KCNK16,0,0,0,0,0,1
CRISP3,0,3,0,0,1,4
FKBP5,3866,3773,2595,2445,1219,1008
SRPK1,8630,10426,7401,7983,5436,5238
BRPF3,7435,5150,4302,4205,5378,3244
MRPS18A,3158,2164,1886,1463,1865,1148
PGC,10759,6615,7773,5166,7872,4201
TMEM14A,844,612,573,477,286,199
EFHC1,1059,1096,450,390,1202,1070
RPS18,0,0,0,0,0,0
BAG6,144,6,37,148,264,100
VARS1,2661,1505,4001,2571,1153,853
NCR2,2,0,0,0,3,1
HSP90AB1,99021,103955,86828,79667,83660,65312
MLN,0,0,0,0,0,0
CDC5L,2951,4385,2336,2404,2515,3054
ITPR3,8509,3941,9678,10249,16101,10965
ZNF184,292,426,175,234,77,108
DSP,47475,46060,34673,39108,70876,62008
SIRT1,956,1294,952,783,533,715
HNRNPH3,4588,5587,3567,3852,3398,2632
IFT74,293,255,263,219,599,428
JAK2,394,352,250,351,194,377
IL12RB1,23,11,20,13,27,32
ABL1,3232,1862,3676,3476,2422,1918
ACOT7,1585,1020,1840,1376,1587,963
SH3GLB1,3800,4894,2516,2833,3333,4306
CDC7,919,622,906,1081,960,757
SYDE2,369,371,486,473,359,331
PCSK5,786,561,351,422,151,148
SCD,39086,38708,56758,49143,5782,4409
TMED1,1285,799,1203,992,586,324
ABLIM1,7106,5600,11935,12005,8651,6107
ERMP1,2825,3401,4025,5058,1419,1421
RAB18,2163,2289,1466,1361,1906,2787
NRP1,662,566,787,896,1662,1158
HSD17B7P2,109,79,107,140,431,422
PRTFDC1,5,6,0,0,1,2
PALMD,132,133,568,533,201,275
TSPAN15,145,64,108,128,76,57
MACROH2A2,902,434,1569,1234,1579,987
WASHC2A,2835,2968,1968,2001,2106,2136
MAST3,1375,652,1254,1179,2081,1274
MZF1,332,159,390,334,388,301
OCEL1,512,288,399,345,208,192
MYO9B,3955,1917,2931,3246,9164,5902
KCNK6,66,43,122,82,134,81
CATSPERG,30,12,41,22,217,158
PSMD8,5748,3759,4431,3379,4633,2600
FBXL19,1556,776,1353,1279,770,595
STX1B,115,81,104,93,669,570
HSD3B7,246,150,325,271,258,121
SETD1A,4367,2382,3744,3370,2833,1873
BCL7C,1280,843,933,777,738,541
MAGEB2,8,11,0,0,6,4
EFNA2,123,51,403,291,183,110
CIRBP,6406,4723,2977,2717,8869,5386
ATP5F1D,1612,827,1684,1495,1133,600
CBARP,213,125,180,222,95,63
PCDH11Y,280,44,83,91,83,72
AMELY,0,1,0,0,2,0
PRKY,380,421,478,494,2424,1538
IGFALS,6,8,22,17,473,330
HNRNPM,11308,9526,9115,7847,6763,5299
MARCHF2,340,201,251,156,1462,889
NDUFB7,2390,1502,1707,1184,1340,770
TECR,6442,3812,4600,3447,2411,1425
TIMM13,2173,1304,3094,2379,1357,907
CDC34,2689,1653,2806,2245,2547,1564
MTAP,4081,3602,3298,3008,1880,1559
MISP,477,189,451,454,165,120
CEP170B,1681,877,2870,2752,8565,5232
POLR2E,4259,2461,6394,4909,3316,1967
POLRMT,2039,1318,2633,2542,1554,1131
HCN2,79,39,22,20,301,233
CDHR5,14,3,13,10,6,0
IZUMO4,20,4,24,27,25,16
RASSF7,328,232,636,467,645,344
GADD45B,759,332,236,308,435,269
PALM,475,239,758,825,2859,1991
MADCAM1,18,8,30,23,13,17
IGF2-AS,4,2,13,13,10,9
MKNK2,3917,2353,3282,3040,3424,2093
ARVCF,587,336,839,835,8725,5572
TRMT2A,1561,982,812,851,747,591
RANBP1,9791,6297,7697,7019,3032,1895
ZDHHC8,1037,479,950,949,1000,585
KLHL22,689,455,348,367,734,494
MED15,3649,1831,2870,2584,4231,2807
SERPIND1,8908,9476,6469,5838,4283,2969
SNAP29,1316,1746,667,573,1708,1350
CRKL,5623,4842,5577,5592,5272,3924
LZTR1,1588,1064,1578,1388,1644,701
MMP11,124,56,72,58,227,105
CECR2,27,38,3,7,32,27
SMARCB1,3062,1799,3936,3334,2344,1412
P2RX6,5,0,1,10,3,5
DERL3,1,1,0,0,3,2
SLC7A4,2,0,0,1,1,0
BCL2L13,1288,934,448,502,1252,1022
DDT,3008,1839,2230,1695,3393,1862
GSTT2,0,0,0,0,0,0
OSM,2,0,0,0,0,0
CABIN1,8035,4798,8835,8639,6734,4036
TBC1D10A,410,230,290,192,588,381
SUSD2,142,54,182,167,339,238
SF3A1,6570,4305,5265,3945,5014,3608
GGT5,59,25,67,65,148,124
RNF215,122,62,162,172,276,199
SEC14L2,195,136,115,154,604,401
SEC14L3,3,0,0,0,0,2
SPECC1L,3756,3796,2988,3331,4131,3448
PPIL2,2213,1299,2681,2588,1895,1346
UPB1,99,48,81,38,26,28
YPEL1,62,40,91,21,124,53
SNRPD3,8484,5319,5427,4497,4124,2802
PES1,4060,2638,3761,3408,2357,1639
MAPK1,7393,7435,7269,6676,7695,6192
GGT1,769,323,1086,974,1050,752
PRODH,4,1,8,50,675,375
PPM1F,1491,875,1920,1285,2083,1060
SLC35E4,22,14,10,11,169,100
TOP3B,1968,1080,963,974,1784,959
CRYBB3,15,6,11,11,29,26
CYTH4,18,5,0,0,4,3
ESS2,770,409,576,447,733,378
CRYBB2P1,862,588,761,729,794,553
MFNG,717,497,105,62,66,56
CARD10,2346,1536,2568,2860,3440,2261
LRP5L,395,183,460,417,459,242
SLC25A1,3854,2133,4015,3383,2621,1784
GRK3,2455,2038,1782,1846,2907,2724
PLA2G3,15,17,13,4,7,3
LGALS2,106,71,66,25,28,12
GGA1,2192,1145,1560,1383,1469,1094
HIRA,3452,2187,3858,3310,1641,1259
SH3BP1,2096,1129,861,829,1324,779
SEZ6L,7,0,0,0,19,2
LGALS1,4333,2681,2020,1913,2596,1584
HPS4,1444,1207,1596,1707,1499,1081
PIK3IP1,178,84,32,42,223,118
SRRD,531,888,555,553,562,508
PATZ1,2263,1649,2713,2541,1592,1108
TRIOBP,2129,1153,987,917,5214,3423
TFIP11,799,637,903,823,1332,1038
GCAT,438,294,832,771,281,171
GGTLC2,3,0,1,0,0,0
CRYBB1,3,1,0,0,0,0
ANKRD54,1285,923,751,683,831,617
EIF3L,8088,10837,9081,9034,8973,8327
SNU13,6832,4081,4857,3960,3250,1836
MICALL1,1724,1055,2090,1718,9715,6652
POLR2F,2458,1590,1431,1104,798,448
SOX10,8,2,0,1,1,3
CCDC134,646,371,468,422,427,226
DEPDC5,630,467,578,741,2690,2793
PICK1,964,442,607,528,825,566
TTC28,1915,1130,2154,2409,1398,1058
SLC16A8,0,0,0,0,0,1
CENPM,1074,631,766,667,297,145
SEPTIN3,46,49,0,0,77,54
SLC5A1,5,3,0,0,12,8
TPTEP1,190,194,64,60,158,197
SLC5A4,2,3,0,0,3,1
KDELR3,947,1059,528,674,654,757
CYP2D6,33,14,18,15,64,41
DDX17,17277,15861,20412,19560,15717,14976
DMC1,37,27,31,32,40,28
HSCB,272,287,152,151,307,210
CBY1,444,267,263,251,424,240
TOMM22,4552,4769,2866,2656,2999,2191
RSPH14,26,5,10,10,16,9
XBP1,9540,11215,8186,13035,3533,2957
RTCB,3232,2913,3060,2896,3785,2484
JOSD1,2443,1838,1778,2341,1297,932
FBXO7,2674,2820,2837,2775,2386,2121
GTPBP1,3693,1914,2180,2126,4142,2890
POLDIP3,3940,2521,3904,2735,3334,2381
RAB36,343,204,89,110,133,104
TIMP3,1891,1827,3675,3252,4904,4105
PPP6R2,2551,1468,3218,3339,2111,1369
SBF1,8315,4530,6020,5195,7720,5080
SUN2,2229,1325,4136,3749,4468,2950
CYB5R3,8626,4766,8725,7694,6470,3932
DNAL4,169,100,158,140,253,150
C22orf31,8,11,0,0,3,5
MIOX,270,170,48,24,127,68
LMF2,3033,1711,1992,1614,5481,3118
RHBDD3,1613,892,574,501,668,416
PACSIN2,4284,2496,5463,4855,4662,3264
TTLL1,54,38,36,33,75,47
RASL10A,37,14,0,2,9,3
AP1B1,7229,3883,3231,2648,5257,3428
HMGXB4,1053,1112,1125,1207,773,724
TOM1,1088,680,1457,1155,1872,1200
NEFH,2,3,0,2,3,5
CHKB,833,398,426,441,793,466
BIK,234,155,35,35,240,147
HMOX1,672,415,904,754,1195,773
MCAT,740,390,592,555,527,390
THOC5,3074,2474,2387,2459,1755,1165
MCM5,4617,2622,3533,3165,1666,1138
APOBEC3H,0,2,0,1,122,70
ARSA,1044,576,556,451,2245,1397
TSPO,155,91,366,321,147,70
RASD2,2,1,0,0,1,1
TTLL12,2688,1552,2769,2435,3977,2836
CBX7,121,36,50,62,200,132
PDGFB,61,26,169,124,482,387
CABP7,11,9,0,1,3,2
RPL3,33669,20937,71068,57135,51118,30092
ZMAT5,730,476,394,282,672,407
RBFOX2,1838,1378,2351,2544,1895,1489
SYNGR1,61,35,37,20,11,17
TAB1,1081,478,1048,957,788,643
ASCC2,2135,1406,1460,1695,2341,1782
MTMR3,1517,1008,1601,1531,2600,2213
MIEF1,3704,2572,3654,3069,3523,2338
APOL4,143,163,137,152,191,246
PNPLA5,0,1,0,0,1,0
APOL1,116,77,702,705,185,101
PNPLA3,822,465,927,829,182,131
MYH9,45733,27181,38141,34449,52782,33999
CACNA1I,4,3,0,0,10,8
SAMM50,2180,1787,2089,1890,3066,2082
TXN2,2627,1637,1955,1720,2736,1762
FOXRED2,5723,3401,5101,3694,1810,1175
GRAP2,5,8,0,5,1,5
EIF3D,5059,3469,5076,4491,5774,3879
TNRC6B,5031,4097,3564,2856,4334,2965
SGSM3,517,247,533,432,670,290
IFT27,79,49,1,10,40,8
KIAA0930,2129,1293,2714,2461,1628,1015
NCF4,4,1,0,0,0,0
CSF2RB,2,1,0,0,1,0
SLC25A17,986,902,863,527,761,775
UPK3A,39,13,140,149,6,1
FAM118A,1050,706,1582,1821,731,512
KCTD17,549,283,140,203,209,139
ST13,8526,15268,6897,6992,10163,13936
IL2RB,0,2,0,0,4,1
RBX1,2478,2179,1751,1547,1599,1132
EP300,9305,4772,7539,7348,7386,5902
L3MBTL2,1948,1123,1548,1446,989,563
CHADL,100,36,63,103,141,127
RANGAP1,5382,3417,4922,3994,7151,4639
ZC3H7B,8627,4657,7025,6026,4488,2919
PHF5A,1483,1395,1259,1144,944,636
ACO2,5069,2784,3571,3397,3998,2640
POLR3H,1213,1021,1735,1556,890,539
TRMU,1718,1265,1489,1439,1405,921
PMM1,964,597,778,549,511,308
DESI1,2158,1349,1295,1574,1973,1398
CERK,2436,1367,2993,2809,1758,1470
BRD1,631,302,1979,1867,1986,1394
ZBED4,1791,1186,3034,2911,1806,1231
MLC1,1,0,0,0,1,0
HDAC10,457,289,609,522,690,392
KCNK10,10,23,1,2,62,58
ABHD4,1726,1014,1327,1178,7372,5358
KHNYN,6288,4300,5669,5111,6728,4636
FKBP3,2257,2552,1916,1798,1738,1756
SDR39U1,2633,1944,2226,1740,1803,1102
CTSG,2,1,0,0,2,1
GZMH,1,5,0,0,0,2
GZMB,5,2,2,0,3,0
RBM23,118,37,164,190,113,86
PRMT5,5232,6092,6731,6753,6124,3935
COCH,3674,3484,4288,3918,1211,1084
AP4S1,1258,1181,359,450,1276,959
POLE2,418,574,381,411,159,108
VCPKMT,175,189,223,183,194,126
SOS2,1046,1032,753,985,1681,1931
CDKL1,124,131,85,51,137,232
NIN,2176,1031,2152,2090,1062,1126
PYGL,2661,2201,3561,3733,1645,1456
TRIM9,17,34,2,2,23,20
PSMC6,2935,3204,2598,2538,2666,2421
GNPNAT1,2319,2070,2915,3313,1522,1580
DDHD1,874,904,1146,1214,790,900
CDKN3,1066,1111,726,674,1134,873
CNIH1,3577,3107,4642,3924,3576,2626
CGRRF1,263,319,293,186,338,340
ATP6V1D,1438,1164,638,491,1380,1187
CCDC198,34,95,17,14,20,22
PLEK2,0,3,0,2,12,22
PIGH,340,337,550,505,602,525
LRRC74A,3,1,0,0,1,0
PSMA3,1846,2293,2058,2090,1714,1645
VTI1B,1053,1327,1415,1459,1973,1731
TIMM9,287,421,723,641,576,726
GSTZ1,841,378,446,429,1256,732
KIAA0586,968,843,1423,1327,1521,996
TMED8,1611,1576,1309,1405,1103,1086
SAMD15,33,104,17,11,26,20
AHSA1,3222,2713,3953,3350,3016,2343
DAAM1,1462,1904,1894,2004,1379,1175
ISM2,772,464,1348,1373,305,253
SPTLC2,1393,858,1959,2240,1359,1339
RIN3,568,277,838,819,1100,840
LGMN,1796,1409,1405,1325,1392,1027
ALKBH1,618,559,392,402,475,458
SNW1,1500,2330,1130,1383,1862,1831
CHGA,1,0,0,1,25,4
DHRS7,424,387,590,500,754,668
PPM1A,1077,1279,1581,1485,3594,3966
SIX4,1436,1195,510,497,638,375
GALNT16,142,59,34,48,174,37
CEP128,295,360,391,459,374,293
ERH,3940,5381,3447,3071,3116,2989
HIF1A,5398,4777,6599,5884,7598,6531
SUSD6,437,316,881,859,5470,3556
