gene_name,G401_BRD9_KO_rep1,G401_BRD9_KO_rep2,G401_LacZ_rep1,G401_LacZ_rep2
PBLD,289,248,267,255
TSPAN14,577,530,488,488
LGI1,2648,2142,3007,3640
TBC1D12,464,325,382,466
CYP2C18,2,2,1,1
KRT23,0,0,0,0
CRYBA1,1,3,1,1
NUFIP2,4415,4324,3304,3509
GIT1,1397,1143,1088,1175
RPL19,15603,13256,12755,14312
FBXL20,617,511,554,598
RUNDC3A,54,45,44,85
UBTF,2961,2474,2147,2305
CSF3,0,0,0,0
PSMD3,4481,3825,3687,3920
CASC3,1780,1345,1447,1707
RAPGEFL1,127,107,147,138
RGS9,457,389,414,444
RNF43,67,21,16,21
WNT3,0,0,0,0
ASPA,14,9,18,23
RAD51C,584,417,353,443
SEPTIN4,11,15,12,11
MTMR4,1196,1023,979,1214
TRIM37,1882,1584,1525,1598
P2RX1,0,3,0,1
DHX40,2784,2390,2349,2692
KRT37,0,0,0,0
TUBD1,348,310,358,325
KPNB1,14234,12010,10500,11275
GOSR2,710,559,424,482
PNPO,1590,1329,1095,1171
RPS6KB1,2022,1710,1538,1794
TRIM16L,62,68,80,62
ZNF29P,1,1,1,1
CDK5RAP3,1282,918,1118,1339
CBX1,3068,2440,2702,3073
RECQL5,512,459,353,401
PIGL,370,288,390,405
GALK1,528,392,380,447
INTS2,824,720,663,708
CAMTA2,622,671,538,498
MED13,2072,1852,1716,1805
HOXB6,81,79,152,177
ENO3,531,480,672,752
PFN1,11395,9215,8722,9600
RNF167,1412,1258,979,1157
SLC25A11,955,911,657,773
RASD1,4,3,3,4
CHRNE,2,0,3,0
RAI1,1945,1746,1588,1778
NUP88,1150,942,1007,1200
C1QBP,3619,2998,2434,2602
SLC6A4,39,23,24,19
BLMH,1680,1387,1340,1413
CPD,3865,3101,3462,3802
GOSR1,1260,1235,872,1036
CCDC47,2935,2527,2268,2244
MED31,270,158,183,217
DRG2,532,382,452,461
FTSJ3,1792,1378,1157,1127
AKAP10,883,651,507,582
ALDH3A1,2,8,3,4
SMARCD2,1401,1274,1100,1234
ICAM2,5,10,4,6
SYNGR2,1794,1461,1128,1294
B9D1,495,450,420,512
UTP6,1168,1184,809,944
DDX5,12293,9466,7035,8352
C17orf75,439,323,392,514
CYTH1,498,433,462,492
PSMD11,4863,4333,3486,4084
LGALS3BP,2940,2542,1764,1939
ASIC2,0,0,0,0
CCL7,0,0,0,0
CCL2,1,0,0,0
CCL8,0,0,0,0
CCL1,0,0,0,0
PEX12,140,131,106,131
KRT32,0,0,0,0
DHX58,112,77,132,87
KAT2A,943,982,557,649
RAB5C,2430,2013,1588,1870
NAGLU,893,767,582,626
HSD17B1,181,127,119,105
MLX,892,744,674,703
CNTNAP1,2992,2675,1919,2225
ABI3,3,2,2,2
EZH1,624,558,587,645
DLX4,675,504,549,633
PPP1R9B,1234,1072,1046,974
COL1A1,2885,2960,5779,6118
SGCA,26,23,54,60
PTGES3L-AARSD1,46,34,75,57
MRPL27,629,533,429,487
VAT1,6472,5295,4221,4694
LRRC59,3436,2869,2142,2426
RND2,448,365,389,458
ALOX12,33,48,37,44
HDAC5,1957,1443,1680,1803
ABCC3,25,13,13,8
LUC7L3,3895,3362,3719,3943
PPY,2,2,1,0
MPP2,1632,1365,1451,1500
SMURF2,2017,1623,1257,1461
DUSP3,4118,3537,2781,3253
CACNG1,0,0,0,1
EFTUD2,3340,2613,2339,2548
HLF,0,0,1,4
SLC16A6,126,130,61,84
PRKAR1A,5888,4960,4504,4818
EFNB3,1291,1022,1070,1174
FAM20A,6,3,2,7
YWHAE,12183,10089,10358,11487
MMD,85,80,74,66
RANGRF,367,288,287,267
DPH1,1442,1117,960,1120
MAP2K6,42,46,33,52
DHRS7B,330,287,266,248
WSB1,4304,3591,3601,3964
RCVRN,0,0,0,0
MYH1,0,0,0,0
SLC9A3R1,1074,947,856,963
MYH3,87,68,106,99
NAT9,365,322,305,302
TMEM104,514,420,408,428
VTN,114,143,124,175
TNFAIP1,2104,1641,1246,1244
IFT20,532,481,336,451
TMEM97,1045,1040,1102,1166
CDR2L,1604,1237,1177,1318
PMP22,31,28,9,13
FOXN1,0,0,1,0
UNC119,523,518,386,459
ALDOC,215,169,140,170
SUPT6H,4702,3927,3127,3689
RAB34,1773,1512,1354,1396
PHF12,1771,1399,1140,1518
PHOX2B,0,0,0,0
TMEM33,2236,1806,1330,1438
GABRA4,0,0,0,0
GNRHR,6,7,5,7
SLAIN2,1136,868,809,970
OCIAD1,2754,2400,1968,2312
UGT2B10,0,0,0,0
CWH43,0,0,0,0
DCUN1D4,1283,1199,666,1032
USP46,1215,1010,1066,891
SULT1E1,0,0,0,0
ODAM,0,0,0,0
SMR3A,0,0,0,0
CHIC2,329,307,306,336
NMU,24,24,8,19
CRACD,568,473,434,402
LAMTOR3,1154,902,738,845
PF4V1,0,0,0,0
NFKB1,1026,818,729,776
AREG,0,0,0,0
MANBA,1025,831,700,739
UBE2D3,5745,4953,4596,5117
MAPK10,131,110,67,80
ELF2,477,392,419,455
NDUFC1,867,739,698,739
UCP1,1,0,0,0
TBC1D9,861,685,439,526
ZNF330,671,503,503,521
INPP4B,5120,4353,4495,5084
GAB1,1042,873,655,791
KLHL2,401,375,364,425
IL2,0,0,0,0
CPE,5466,4718,5052,5653
RPL34,5954,5084,4821,5289
WFS1,1389,1185,776,857
ANXA10,0,0,0,0
GRPEL1,953,800,615,627
GAR1,516,417,299,339
CLCN3,1848,1530,1604,1616
AADAT,0,0,0,0
GALNT7,1684,1410,1139,1290
DHX15,4503,3703,2906,3239
SOD3,0,0,0,0
SEPSECS,408,361,426,365
CPZ,10,11,3,7
TRIM2,7,6,9,4
SLC2A9,0,0,0,0
FBXW7,632,567,398,439
NEIL3,225,189,161,180
TBC1D19,112,78,112,114
CLNK,16,4,12,14
NSD2,3765,3285,3041,3333
SH3D19,2886,2563,2375,2619
STIM2,524,455,373,475
NKX3-2,52,46,49,61
MFSD10,532,439,362,504
GLRB,0,0,0,0
BST1,18,14,20,24
RAPGEF2,1165,1078,1080,1224
HGFAC,1,1,5,9
SNX25,481,411,320,348
LRP2BP,57,45,57,54
UFSP2,805,545,527,572
KLF3,1022,882,802,863
KLHL5,3207,2724,2471,2866
FAM149A,58,54,48,48
NCAPG,1946,1631,1444,1694
UGDH,1451,1128,1155,1255
PPARGC1A,0,5,0,0
DDX25,9,7,5,9
CRYAB,8424,6722,9061,10092
DBX1,0,0,0,0
HTATIP2,0,0,0,0
CTSC,52,49,48,62
CCDC34,541,443,386,510
ZBTB16,5,8,5,9
ELP4,338,247,332,306
ZPR1,1033,650,634,690
MTCH2,2920,2332,2053,2190
FNBP4,1887,1569,1918,2022
TECTA,31,34,28,39
SC5D,571,500,414,516
CRTAM,6,8,6,9
JHY,4,10,8,9
B3GAT1,1,2,0,1
HSPA8,29819,25002,13941,15636
P2RX3,1,1,0,0
VWA5A,13,6,7,6
DNAJC4,125,158,176,209
SIAE,1488,1243,936,1020
SNX15,240,201,265,245
LPXN,93,93,72,70
DTX4,23,40,17,16
ATG2A,1211,1018,826,1175
EHD1,854,768,541,648
OSBP,8468,7231,6125,7008
UNC93B1,334,261,243,249
PUS3,283,230,259,222
DCPS,373,353,292,326
KMT5B,849,629,614,743
FOXRED1,806,689,590,768
PPP6R3,3429,2799,2448,2817
NRXN2,40,44,45,38
MS4A6A,10,24,34,16
MS4A4A,5,1,10,7
ST3GAL4,275,190,141,198
CPT1A,2815,2290,1544,1704
CCND1,8001,6733,4817,5549
CCDC86,1432,1194,768,839
PRPF19,2427,2035,1721,1998
TMEM109,805,656,597,582
CCKBR,0,0,0,0
HPX,17,14,6,9
TRIM3,214,183,140,178
CHORDC1,1268,1116,783,728
FOLR1,0,0,4,2
ANAPC15,418,355,307,381
FOLR3,0,0,2,1
PANX1,20,14,5,5
ARHGEF17,970,881,942,987
APOA5,1,0,1,0
APOA4,0,0,0,0
APOC3,0,0,0,0
CEP164,1084,979,1105,1084
RNF141,791,602,675,851
CEP126,288,271,319,358
EIF4G2,26180,21200,17595,18746
IL10RA,0,0,0,0
GALNT18,3,2,3,3
BIRC2,1653,1225,1217,1220
UBE4A,1965,1612,1583,1756
DDX6,3335,2831,2800,3056
UPK2,10,7,7,6
CBL,2114,1888,1890,2087
NECTIN1,162,89,45,76
HIPK3,2017,1781,1274,1362
KIAA1549L,1,2,0,1
FBXO3,485,455,580,562
PDHX,1350,1175,1047,1185
SLC1A2,292,373,385,447
COMMD9,480,469,425,376
SLC15A3,4,6,8,14
CD5,0,0,0,1
ACCS,0,0,0,0
SCGB2A2,0,0,0,0
MDK,2601,2217,2319,2519
AMBRA1,1801,1317,1250,1347
MADD,1023,910,999,985
PTPMT1,408,317,287,292
NAA40,1625,1591,1415,1592
CARS1,457,582,126,471
SLC22A18,93,90,112,140
CD81,2293,1966,1802,1906
SLC35F2,2139,1866,1564,1740
C11orf21,2,5,3,2
ELMOD1,76,73,47,49
CALCA,0,0,0,0
SOX6,17,16,34,24
C11orf58,3922,3467,3133,3373
PITPNM1,1743,1374,1721,1987
RPS13,6567,5434,4830,5526
AIP,411,334,348,352
NUP98,4567,3353,2653,2678
NDUFS8,1178,1006,943,996
TCIRG1,77,86,78,112
CHKA,1213,1027,1068,1029
EXPH5,138,136,151,174
HPS5,819,877,637,689
GTF2H1,1539,1208,825,1077
POU2AF1,26,23,37,64
PTPN5,0,0,0,0
VWF,33,58,53,42
PSMD9,1070,797,882,873
P3H3,864,731,633,699
PPFIBP1,1316,1126,1066,1216
PRPF40B,352,322,466,502
CD69,0,0,0,0
PRDM4,2639,2171,1770,1914
CLEC2B,0,0,0,0
COQ5,587,442,487,559
SELPLG,8,3,7,1
CORO1C,4065,3403,3333,3468
ASIC1,816,573,634,648
DAO,10,3,16,7
CAPRIN2,802,694,701,723
TSPAN11,3,2,14,4
KCTD10,1692,1498,1314,1313
SLC11A2,1852,1566,1427,1661
MLEC,5225,3927,3572,3552
MVK,244,232,271,322
CSRNP2,681,550,472,601
CAMKK2,718,661,678,734
BIN2,2,0,0,3
IL23A,11,4,5,9
ATP5F1B,13200,10905,9847,10825
PTGES3,7423,6378,5663,6494
SYT10,1,0,0,0
RSRC2,1808,1469,1406,1593
CYP27B1,51,36,46,17
MYF6,0,0,0,0
MYF5,0,0,0,0
LIN7A,0,0,0,0
KRT18,54681,45588,32404,35891
ACSS3,1,0,1,0
TNS2,323,276,579,392
GLI1,241,194,234,218
PPM1H,4036,3474,2842,3104
METAP2,3529,2996,2839,3150
LTA4H,3191,2603,2762,2993
ELK3,4325,3682,2776,3215
SLC6A12,3,8,1,3
WNT5B,125,104,51,47
MAGOHB,357,336,262,292
TRPV4,0,1,4,2
ITFG2,246,287,166,208
FOXM1,1840,1560,1517,1724
PRH1,26,19,13,19
PRMT8,13,11,19,15
PARP11,240,144,197,288
ARPC3,3006,2481,2122,2356
GPN3,387,334,401,384
VPS29,1767,1506,1445,1537
FGF6,0,0,0,0
MYL2,0,0,0,0
RAD51AP1,595,467,610,568
CUX2,1,2,4,2
SH2B3,445,338,323,379
AKAP3,55,38,23,29
KCNA1,0,0,0,0
CREBL2,1046,946,724,730
ACAD10,526,379,428,417
ALDH2,1547,1391,1253,1518
CDKN1B,910,733,886,910
GPRC5D,7,0,2,2
NAA25,1879,1307,1249,1268
GSG1,240,167,413,490
SCNN1A,1966,1647,2153,2247
LTBR,273,230,269,266
OGFOD2,272,298,210,289
CDK2AP1,2643,2312,1806,1980
OAS3,728,586,576,571
OAS2,1,4,4,2
ART4,6,4,11,8
MGP,13,4,6,12
RASAL1,1,1,2,2
ARHGDIB,0,0,0,0
GTF2H3,1826,1467,1282,1527
EIF2B1,1100,865,843,926
DDX55,941,795,720,726
SLC38A1,5012,4018,3604,3849
RERGL,0,0,0,0
ENDOU,2,0,2,3
SPRING1,2135,1642,1421,1566
VDR,11,10,3,4
FZD10,0,0,0,0
RFC5,846,770,732,863
STX2,1022,751,751,934
ADGRD1,4,4,5,5
COPZ1,3080,2500,2192,2723
TBC1D30,97,96,72,114
CAND1,4891,3744,3863,4262
IL26,0,0,0,0
IFNG,0,0,0,0
RAB5B,2384,1916,1797,1953
MDM1,206,226,210,226
NUP107,1746,1443,1666,1716
CNOT2,1076,1231,854,900
TIMELESS,1495,1397,1184,1296
CPSF6,2705,2360,2261,2419
KRR1,1954,1760,1270,1442
MRPL51,1557,1237,1074,1267
GAPDH,45526,38007,35332,38926
NOP2,1348,1035,769,919
CHD4,10461,8574,9022,10128
ACRBP,2,3,9,8
UHRF1BP1L,1127,908,966,899
COPS7A,623,492,400,517
ING4,383,280,308,336
GNB3,41,48,58,72
CDCA3,343,333,300,448
CHPT1,749,613,572,694
USP5,2311,1927,1752,2311
TPI1,7742,6224,5384,6048
GNPTAB,1271,1031,912,1058
SPSB2,188,152,142,194
ENO2,353,267,256,235
ATN1,2629,2269,2543,2617
C12orf57,514,444,478,493
PTPN6,258,218,231,237
LPCAT3,1725,1600,1417,1445
NT5DC3,452,372,248,295
SLCO1B3,0,0,0,0
APOBEC1,0,0,0,0
NANOG,23,10,15,24
SUDS3,1391,1181,1121,1089
GOLT1B,1075,849,676,743
GYS2,3,0,1,2
LDHB,13066,11194,10343,11468
PRKAB1,783,655,356,420
CMAS,590,512,472,519
HCFC2,221,193,204,178
ST8SIA1,19,42,26,6
CLEC4A,15,0,5,3
C2CD5,1464,1176,1189,1229
AICDA,16,10,15,7
RAB35,1187,923,780,867
PHC1,771,705,775,811
COX6A1,1735,1471,1368,1323
RFX4,0,0,0,0
RIC8B,829,797,858,903
SRSF9,3762,3069,3093,3249
FGFR1OP2,810,629,642,635
KLRB1,1,1,1,1
COL12A1,0,0,1,0
BTN3A3,137,108,182,185
TDP2,1129,911,755,917
FRK,223,188,167,200
DSE,1753,1644,2321,2591
RWDD1,1176,879,806,827
RSPH4A,125,94,120,152
MAK,39,28,28,65
TMEM14C,1736,1486,1240,1327
PAK1IP1,638,542,393,439
GCNT2,1983,1808,1362,1582
SMIM8,253,189,228,246
NEDD9,2742,2446,2767,3104
CEP85L,11,4,3,9
ADTRP,72,67,48,42
ASF1A,756,591,614,546
MCM9,278,247,212,279
FAM184A,5,3,2,1
RNGTT,785,644,558,588
MAN1A1,1,0,0,0
GABRR2,3,5,1,9
SERINC1,4166,3533,3144,3498
HDDC2,759,550,549,589
TPD52L1,11,6,10,20
HINT3,638,536,596,645
NCOA7,336,189,261,361
RIPOR2,7,11,8,10
SASH1,7,7,11,10
UST,15,15,15,22
ULBP1,12,9,7,5
FBXO5,494,425,312,378
MTRF1L,665,673,496,508
PPARD,462,363,488,454
OPRM1,1,0,0,1
FANCE,227,215,238,229
TULP1,13,6,2,9
SLC26A8,25,23,25,27
MAPK14,1418,1174,1052,1161
RHAG,0,0,0,0
KCTD20,3168,2640,2594,2756
STK38,1465,1236,1044,1084
SRSF3,6001,5063,4446,4907
SOD2,3338,2982,2526,2552
MRPL18,914,760,589,641
IL17A,0,0,0,0
IL17F,0,0,0,0
MCM3,3265,2830,2357,2479
RNF8,518,413,404,445
MDGA1,498,496,363,406
CILK1,380,322,340,309
FBXO9,1021,975,892,937
CD83,32,24,28,24
MDN1,3969,2833,2093,2701
GLP1R,0,0,0,0
SAYSD1,168,145,113,112
BMP5,0,0,0,0
BACH2,0,0,0,0
RBM24,825,623,612,594
CAP2,2344,1929,1634,1768
TREML2,0,0,0,0
ZNF451,1380,1121,1325,1405
BAG2,1458,1292,1250,1346
RAB23,585,527,534,548
TSPO2,0,1,2,0
FHL5,0,0,0,0
GPR63,0,0,0,0
KHDRBS2,0,0,0,0
FBXL4,377,320,356,393
CCNC,1619,1397,1194,1472
PRDM13,1,3,2,2
E2F3,993,783,613,710
PTP4A1,4819,4730,3332,3071
SIM1,0,0,0,0
ASCC3,4072,3352,2326,2496
HDGFL1,0,0,0,0
BVES,17,19,17,16
COL9A1,43,39,75,74
MED23,1029,809,774,835
WASF1,1510,1311,1507,1655
GPLD1,48,37,25,32
ALDH5A1,440,403,287,339
CRYBG1,29,41,34,34
VNN1,0,0,1,0
VNN2,0,0,0,0
ACOT13,1039,810,824,884
SMAP1,1319,1109,1085,1292
RPS12,11430,9769,9186,10290
C6orf62,3090,2790,2151,2270
B3GAT2,67,37,47,31
GMNN,586,480,403,462
EYA4,0,0,1,0
SOBP,180,159,150,236
NR2E1,0,0,1,0
SNX3,2890,2331,2214,2397
SLC17A2,0,0,0,0
HBS1L,1521,1242,1224,1165
TRIM38,11,16,8,7
PEX7,80,96,65,93
ZBTB24,624,442,347,422
FIG4,675,539,590,621
PERP,13861,11750,8698,9751
ARFGEF3,1099,973,855,919
SLC16A10,147,102,127,163
HECA,668,542,670,762
ADGRG6,30,27,96,84
PHACTR2,6135,5158,4294,4758
EPM2A,143,116,69,70
OR14J1,0,0,0,0
OR5V1,0,0,0,0
OR12D3,0,0,0,0
CCR6,0,0,0,0
TAPBP,0,0,0,0
UNC93A,0,0,0,0
SLC22A2,1,0,1,0
PHF1,73,24,32,26
CUTA,1738,1501,1263,1421
PACRG,14,3,3,4
QKI,2956,2870,2511,2608
C6orf118,0,0,0,0
PDE10A,1,0,1,0
MDFI,0,1,0,0
TFEB,172,94,91,116
SMOC2,0,0,2,1
CCND3,693,617,454,500
BYSL,560,499,381,397
TBP,331,257,311,313
GUCA1B,13,3,10,11
PRPH2,2,3,1,5
BICRAL,383,336,234,249
PPP2R5D,1524,1297,1287,1395
MRPL2,425,342,372,399
PTK7,11324,9393,8550,9893
SRF,1360,1173,1056,1161
CUL9,268,186,149,264
DNPH1,828,746,675,776
DUSP22,416,357,287,323
EXOC2,1208,1018,860,1045
COX7A2,1395,1103,1076,1135
TMEM30A,3116,2514,2345,2586
GMDS,610,476,453,456
SENP6,2426,2072,1807,1975
IMPG1,3,6,14,4
VEGFA,583,586,535,573
PRPF4B,3350,2923,2543,2816
TTK,800,710,578,729
SLC29A1,1818,1570,1188,1319
CCN6,5,7,4,9
BTN2A1,419,315,370,416
LAMA4,2685,2330,2465,2625
TENT5A,7,5,13,15
CLIC5,0,0,0,0
FBRSL1,1046,903,597,625
ENPP5,0,3,1,0
LY86,0,0,0,0
PRSS16,112,84,95,104
MEP1A,0,0,0,0
TBX18,0,0,0,0
ERBIN,1635,1495,1643,1910
PCDHB2,554,653,484,499
HARS2,617,497,491,543
NUDT12,823,679,743,773
CEP72,227,220,178,203
MAN2A1,491,455,339,364
SEMA5A,9,5,5,14
C7,6,7,14,9
TENT4A,759,658,612,643
GHR,15,2,8,11
HMGCS1,2896,2355,2945,3224
DAP,1453,1208,1068,1274
NME5,0,0,0,0
BRD8,1778,1070,1046,1132
KIF20A,1007,903,961,1175
NNT,57,32,51,54
MRPS30,1269,1042,935,990
HSPA9,15558,12629,8898,10614
MRPS27,2034,1492,1771,1878
PFDN1,2074,1619,1366,1636
HBEGF,480,415,288,319
SLC4A9,6,8,9,18
LOX,15,9,12,12
GZMK,0,0,0,0
CDH9,0,1,0,0
APBB3,267,199,220,263
TMCO6,174,175,163,241
SPARC,8980,7687,12311,13799
IK,2111,1680,1849,2025
HMGCR,11511,9988,11135,11936
CERT1,2368,1833,1733,1804
FAF2,2515,2129,1958,2089
HAND1,35,20,20,17
PCDHB3,65,48,62,69
PCDHB5,10,12,12,6
PCDHB6,3,6,9,6
PCDHB7,5,6,1,2
PDE8B,126,108,123,128
CLK4,591,480,403,413
PCDHB15,6,3,3,2
HAVCR1,0,0,1,0
GRM6,17,16,17,12
ITK,24,15,26,30
RNF130,954,766,722,772
THG1L,458,342,231,307
ARSB,1154,909,906,865
CLINT1,3129,2694,2144,2371
THBS4,58,48,43,58
CNOT6,1788,1462,1304,1432
IL12B,1,0,1,2
BTNL8,0,2,0,0
TTC1,1750,1414,1074,1151
MSH3,674,550,601,742
RASGRF2,1121,1188,814,862
GABRG2,0,0,0,0
CCNG1,7677,6032,5863,6064
POLR3G,323,186,178,215
DROSHA,2055,1725,1226,1676
CDH6,416,340,602,677
LMNB1,2657,2371,2198,2291
ARRDC3,493,436,311,380
GOLPH3,2178,1848,1591,1816
SUB1,2544,2046,1809,2004
NPR3,1,0,0,0
FAM172A,678,642,660,686
SLC27A6,0,0,0,0
TARS1,3391,3012,2208,2500
IRX4,0,0,0,0
LNPEP,1894,1601,1582,1750
PDE4D,0,1,1,2
RAD1,489,389,360,412
BRIX1,953,851,606,670
AGXT2,0,0,0,0
PRLR,0,0,1,1
SLC12A7,586,602,401,485
IL4,1,0,0,0
RAD50,2823,2189,1973,2127
IL5,1,0,5,0
ST8SIA4,10,14,17,9
GNPDA1,5686,4609,3034,3281
PCDH12,19,4,6,7
SKP1,3601,3006,2687,2862
NUP155,2165,1948,1740,1974
PPP2CA,4438,3765,3372,3517
FGF1,0,1,5,1
NR3C1,0,0,0,0
C5orf15,2162,1719,1771,1896
PPWD1,871,665,776,848
LIFR,12,1,14,2
TRIM23,545,478,398,469
TRAPPC13,570,484,483,589
C9,0,0,0,0
SEC24A,1634,1296,1175,1374
TXNDC15,894,809,672,789
TTC33,483,368,342,313
RARS1,2826,2413,1919,2150
WWC1,2637,1984,1384,1557
MACROH2A1,8476,6970,7168,7423
TCERG1,2592,2189,2227,2471
DPYSL3,8,0,0,0
SMAD5,2037,1525,1830,2110
CSNK1A1,5959,4961,4433,5104
HMGXB3,1766,1467,1111,1247
ERGIC1,3605,2961,2249,2366
PDGFRB,2506,2241,1923,2312
CDX1,0,0,1,0
ATP6V0E1,1743,1500,1072,1104
BNIP1,135,126,110,117
STC2,0,1,0,0
CPEB4,105,107,118,95
HRH2,0,0,0,1
DBN1,5075,4522,3822,4195
ZNF346,380,340,285,355
UNC5A,30,21,11,13
EHHADH,22,15,24,17
CNTN3,0,0,0,0
SMC4,5029,4095,4283,5018
SELENOK,535,400,409,485
ACTR8,1081,717,672,667
TBCCD1,356,271,348,360
TIMMDC1,1297,1057,832,1020
CRBN,754,629,545,655
KNG1,1,0,0,1
HRG,15,10,8,21
BCL6,62,41,37,42
HGD,0,0,0,4
CLDN16,31,44,20,29
ARL6,120,110,126,100
NPHP3,1122,841,858,1026
CD86,0,0,0,0
AMOTL2,4855,3991,4236,4802
NIT2,1418,1183,973,1126
FAM162A,925,730,675,674
OGG1,301,331,310,368
KPNA1,1968,1737,1293,1660
PCCB,1157,944,844,960
UBE3A,2826,2408,2650,2770
ARMC8,889,779,705,704
CEP70,705,597,632,665
RBP2,0,1,1,6
RBP1,3,1,6,6
SLC25A36,2343,2010,1844,2201
GRK7,1,0,4,0
RNF7,1237,1115,877,1069
TFDP2,2099,2025,1471,1691
XRN1,857,591,798,889
KAT2B,308,290,218,207
BCHE,0,0,0,0
SERPINI2,0,1,0,0
PDCD10,880,712,644,616
LRRC31,2,0,0,0
WNT5A,295,151,105,155
PFKFB4,166,115,193,202
COL7A1,59,29,65,44
FGF12,2,0,3,0
PRKAR2A,3562,2891,2742,2852
HES1,73,78,70,68
USP4,574,545,603,539
ACAP2,1991,1630,1770,1843
ECT2,2641,2507,2294,2730
GNAT1,0,0,1,2
GNAI2,2940,2450,2204,2522
TFG,2773,2294,1824,2010
USP9Y,1265,1152,1330,1576
HYAL1,264,204,238,246
TUSC2,654,487,438,465
NPRL2,251,214,232,229
RPL24,8185,7055,6524,7428
CYB561D2,181,140,115,135
C3orf14,187,173,168,184
FXR1,3499,3087,3227,3527
CBLB,86,98,113,66
BBX,39,9,4,3
IFT57,590,432,463,562
GNB4,2840,2295,2431,2944
HHLA2,9,12,11,11
IQCG,269,244,287,247
GBE1,813,658,368,466
MORC1,0,0,0,0
UMPS,869,845,657,489
NCBP2,2193,1927,1677,1852
SNX4,1102,968,720,851
C3orf52,0,0,0,0
FRMD4B,1423,1143,1430,1430
SLC41A3,355,284,371,340
ROPN1B,1,1,0,1
PLXNA1,3285,2143,1902,2071
ATP6V1A,3128,2690,2800,3042
ABTB1,77,65,147,134
PODXL2,510,417,368,381
UPK1B,34,42,50,41
CSPG5,235,223,130,141
KLHL18,618,647,488,469
SCAP,2008,1465,1763,1810
EFCC1,3,0,2,2
CFAP92,63,53,58,65
NEK11,348,283,380,360
MRPL3,2414,2009,1711,1973
PLSCR4,0,0,0,0
HEMK1,301,249,293,310
CISH,88,78,49,60
MAPKAPK3,1752,1519,1222,1321
ACVR2B,819,725,943,989
WDR48,963,844,775,973
COMMD2,897,669,772,886
GORASP1,584,520,468,473
PEX5L,23,15,18,16
RRP9,529,428,310,344
ABCC5,3010,2408,1583,1810
AADAC,0,0,0,0
ABHD14B,229,196,171,190
EIF1B,801,665,631,646
ABHD14A-ACY1,29,70,8,9
ARHGEF26,199,166,141,177
KLHL24,1412,1197,1074,1497
PLCH1,969,813,1214,1350
VIPR1,0,0,0,2
DNAH1,210,184,198,248
SSR3,2543,2222,2013,2454
ZBTB47,310,244,180,152
TNNC1,513,374,424,503
NKTR,2422,2166,2514,2768
CLCN2,329,242,192,240
FOXP1,9,7,14,17
EIF4G1,9761,7858,6030,7294
SPCS1,1619,1370,1257,1458
NEK4,1107,995,827,904
SLC4A3,343,277,242,310
ADAM23,508,344,252,259
DGUOK,651,583,596,660
MOB1A,5088,3989,3658,4010
KANSL3,1200,1025,1009,1011
LMAN2L,461,373,320,347
RTKN,974,743,742,742
TTL,2141,1836,1691,1841
IL1A,2,1,1,6
CCL20,0,0,0,0
PIKFYVE,1993,1701,1549,1708
KCNIP3,0,1,0,1
FAHD2A,467,428,444,475
NCL,24008,20079,15875,17990
ACTR1B,861,695,746,748
SLC35F5,1893,1643,1600,1921
ZAP70,1,1,2,5
ACTR3,5518,4514,4370,4838
STEAP3,904,751,441,507
EPB41L5,1285,1167,1117,1515
TFCP2L1,9,5,9,3
SF3B6,1071,908,904,1039
TP53I3,940,791,400,423
DNAJC27,216,142,146,137
POMC,0,0,0,0
STAM2,693,535,503,623
OTOF,17,12,30,42
GPD2,540,405,341,524
CENPA,292,302,324,340
CYTIP,0,0,0,0
ACVR1,298,271,228,255
TANC1,1773,1488,1122,1291
SLC30A3,36,28,18,23
MPV17,729,667,550,596
GTF3C2,1834,1566,1301,1396
EIF2B4,960,771,687,740
NRBP1,2329,1944,1672,1871
ITGB6,2500,2086,1450,1504
FNDC4,128,120,79,95
ITGA4,7,5,0,0
PSMD14,3065,2526,2164,2426
SNX17,1861,1656,1325,1498
ASB3,890,766,746,803
PPM1G,3444,2823,2657,2983
PDE1A,1,6,4,1
REEP6,282,218,268,257
PCSK4,87,79,83,140
GCG,0,0,0,0
APC2,900,687,499,545
IFIH1,0,0,0,1
RPS15,5077,4388,4386,4959
GCA,0,0,0,0
INO80B,102,160,109,173
MOGS,1178,971,923,1064
TTC31,404,326,376,365
NDUFS7,841,693,686,760
PCGF1,409,408,276,289
GRB14,0,0,0,0
CLIP4,39,36,45,37
TLX2,2,6,15,4
SPTBN1,7930,6747,5787,6573
AUP1,1413,1113,917,1019
RTN4,8377,6831,4957,5779
HTRA2,491,381,420,460
LOXL3,164,137,265,233
DOK1,217,209,201,176
GALNT3,10,1,0,5
POLE4,304,308,190,244
TACR1,2,5,1,1
CCDC88A,3242,2299,2373,2820
ACADL,0,0,0,0
EVA1A,343,229,315,363
MRPL19,1758,1437,1427,1519
LANCL1,1131,947,1072,1292
WDR75,1849,1667,1375,1423
EFEMP1,0,0,0,0
REG1A,0,0,0,0
FANCL,903,704,722,742
FN1,42,59,51,47
STAT1,1886,1656,1315,1402
GLS,2067,1642,1505,1470
PAPOLG,632,514,506,513
DNAH6,34,11,23,38
PECR,130,131,115,158
UNC50,615,517,456,533
IGFBP2,23,19,9,21
ELMOD3,167,221,179,199
IGFBP5,7,10,44,32
USP34,8874,8398,6749,6569
EFHD1,141,160,123,166
KCNJ13,14,12,13,4
