gene_name,WT_A,WT_B,SMARCB1_Null-A,SMARCB1_Null-B,SMARCA4_Null-A,SMARCA4_Null-B,,,,,,,
PTPRA,8777,6978,8593,8152,9509,7717,,,,,,,
SSTR4,0,0,0,0,0,0,,,,,,,
DAP3,8792,7422,7580,8407,9927,8044,,,,,,,
RHBG,45,44,47,38,55,43,,,,,,,
KIAA0907,10160,8658,8065,8519,11844,8786,,,,,,,
ATP1A4,81,96,40,92,71,101,,,,,,,
NES,9572,8347,2394,1779,14841,15843,,,,,,,
BCAN,58,32,95,47,172,196,,,,,,,
CRP,0,0,0,0,0,0,,,,,,,
ARHGEF11,6033,5322,5679,5704,7581,5239,,,,,,,
RAB25,12,11,13,23,21,15,,,,,,,
HAPLN2,5,7,23,13,37,23,,,,,,,
APCS,0,1,0,0,0,0,,,,,,,
FCRL2,60,40,40,28,58,58,,,,,,,
DCAF8,10552,7542,10273,9521,11157,9065,,,,,,,
SYT11,466,290,418,296,2036,4750,,,,,,,
IGHMBP2,3447,2928,2568,2848,3761,2684,,,,,,,
ACY3,2,0,1,0,0,0,,,,,,,
ALDH3B2,0,1,0,0,0,1,,,,,,,
TESMIN,497,362,381,298,637,639,,,,,,,
MMACHC,2559,2195,2462,2512,3122,1930,,,,,,,
DPH2,4721,5216,4780,7431,6090,3531,,,,,,,
TOE1,2182,2307,1658,2380,2121,1263,,,,,,,
NASP,47354,44427,37415,43272,50058,37311,,,,,,,
MUTYH,2267,1860,1232,1414,1686,1272,,,,,,,
CTNNBL1,5072,5261,3936,5196,6366,4804,,,,,,,
LPIN3,1664,1089,1168,741,2478,2376,,,,,,,
ZSWIM3,565,544,468,519,609,388,,,,,,,
RBM38,5684,4884,4358,4857,5152,3638,,,,,,,
VSTM2L,33,33,62,87,372,182,,,,,,,
OSER1,2243,2141,1587,1834,2598,1851,,,,,,,
SERINC3,5903,4429,5721,5833,7511,6417,,,,,,,
PPP1R3D,1176,1015,1111,1107,1464,1164,,,,,,,
DMGDH,63,51,61,45,87,85,,,,,,,
BHMT2,38,33,28,19,48,29,,,,,,,
AP3B1,11333,8652,7562,7344,11632,8702,,,,,,,
ZBED3,1810,1596,1691,1715,2063,1508,,,,,,,
PATJ,2357,1590,2425,2194,3805,3463,,,,,,,
KANK4,16,13,1,4,61,32,,,,,,,
ANGPTL3,21,9,11,7,6,12,,,,,,,
SYT4,46,35,0,7,26,0,,,,,,,
SLC14A2,98,76,101,78,116,94,,,,,,,
FBXO44,2397,1884,3083,2978,4711,3758,,,,,,,
RSG1,365,277,449,418,433,355,,,,,,,
CASP9,842,834,987,1182,1565,1149,,,,,,,
NMUR2,1,0,0,1,0,2,,,,,,,
DCTN4,10336,8360,8739,8701,12340,9131,,,,,,,
PDE6A,142,95,125,89,138,110,,,,,,,
ATP8A2,756,497,356,270,852,339,,,,,,,
MTUS2,146,148,43,82,29,83,,,,,,,
ZMYM5,1356,1014,1085,955,1523,1156,,,,,,,
USPL1,3533,3423,3139,3365,4078,3084,,,,,,,
XPO4,14942,11221,14911,13214,17863,13130,,,,,,,
TPTE2,5,4,9,6,4,8,,,,,,,
POMP,9043,9519,7707,9213,10030,7050,,,,,,,
CDK8,3644,3275,4457,4354,4215,2894,,,,,,,
ALOX5AP,0,0,0,6,0,0,,,,,,,
WASF3,6997,4525,5009,4106,5637,3968,,,,,,,
RNF17,4,5,3,4,2,3,,,,,,,
GPR12,27,13,13,16,13,18,,,,,,,
CHRM3,1102,704,4,35,75,29,,,,,,,
MYH8,0,5,2,701,0,0,,,,,,,
MYH10,46584,36290,30168,26629,44503,35524,,,,,,,
PEMT,1917,2008,1969,2235,3136,2395,,,,,,,
SCO1,7566,6752,7992,9753,8986,6641,,,,,,,
MPRIP,27770,21308,21246,20769,28844,23959,,,,,,,
CHI3L1,10,10,4,11,7,6,,,,,,,
MYBPH,0,0,0,52,0,0,,,,,,,
PIK3C2B,3723,2119,3518,2455,4384,3336,,,,,,,
DSTYK,3443,2645,3580,3097,5027,3929,,,,,,,
CHIT1,8,8,12,22,12,15,,,,,,,
SLC41A1,4747,4158,4455,4755,5921,4804,,,,,,,
LGR6,9,8,6,2,7,5,,,,,,,
TMCC2,872,729,1197,1104,1449,1031,,,,,,,
DCLK1,9193,5891,503,422,7580,5435,,,,,,,
CCNA1,812,754,71,156,1530,1358,,,,,,,
COG6,2456,1894,2391,1987,2996,2594,,,,,,,
SPG20,13475,12232,9039,10366,12244,8293,,,,,,,
RXFP2,1,1,29,5,0,0,,,,,,,
EPSTI1,0,3,2,3,1,2,,,,,,,
TRPC4,0,1,0,0,1,0,,,,,,,
POSTN,6,12,176,126,17,10,,,,,,,
RFXAP,2177,1757,1598,1606,2142,1462,,,,,,,
TPT1,106805,105911,79544,90299,119308,87396,,,,,,,
GPALPP1,5561,4244,4146,3725,5197,4101,,,,,,,
STOML3,0,0,0,1,1,0,,,,,,,
KL,57,49,2,0,1,2,,,,,,,
RFC3,11210,9870,7525,7915,13206,8321,,,,,,,
STARD13,623,399,30,24,56,53,,,,,,,
IRS4,134,89,12,11,25,12,,,,,,,
MORC4,12904,9238,11472,10237,15402,11973,,,,,,,
BEX2,18,10,7,2,2,0,,,,,,,
RNF128,0,2,0,0,0,0,,,,,,,
TBC1D8B,5062,3475,4381,3511,6201,5369,,,,,,,
TCEAL4,6794,6648,5923,7072,10715,7609,,,,,,,
BEX1,0,3,0,4,3,0,,,,,,,
FAM104A,3139,2797,2620,3041,3766,3043,,,,,,,
SLC39A11,950,779,1301,1507,1454,1163,,,,,,,
EPHB2,3656,2545,2005,1852,3165,1979,,,,,,,
SRRM1,27693,18038,20174,17429,23857,21569,,,,,,,
BTBD2,16029,12172,12617,11341,16150,12758,,,,,,,
PRAM1,89,71,126,90,102,98,,,,,,,
KMT5C,4572,3717,2344,2264,2957,2968,,,,,,,
ZNF414,1381,1220,1154,1318,2021,1689,,,,,,,
PDE6B,735,558,590,467,610,662,,,,,,,
HSPBP1,5173,5101,4881,5749,6794,4713,,,,,,,
CSNK1G2,11547,9156,8026,8360,10815,8720,,,,,,,
SLF1,2649,2345,1983,2303,2364,1875,,,,,,,
CNDP2,11251,9942,7923,9943,11640,7840,,,,,,,
MACROD1,2291,1764,2264,2024,2637,1997,,,,,,,
WDR74,4934,4756,4351,5670,6291,4219,,,,,,,
LGALS12,1,3,11,9,6,10,,,,,,,
RTN3,20156,17943,23671,23637,27263,20370,,,,,,,
RARRES3,98,137,86,127,129,59,,,,,,,
HRASLS2,13,14,16,26,39,26,,,,,,,
MYH11,187,129,157,167,196,140,,,,,,,
FOPNL,4571,4313,3512,3954,5262,3938,,,,,,,
MED10,2192,2282,1757,2279,2359,1649,,,,,,,
PDZD2,475,409,278,226,604,482,,,,,,,
MORC2,5408,4348,4633,4379,6398,4575,,,,,,,
LARGE1,2616,1681,1324,1159,2787,2322,,,,,,,
GSTT2B,17,0,0,14,8,1,,,,,,,
MYO18B,3,11,0,5,1,1,,,,,,,
SLC2A11,1276,845,1051,863,1376,1156,,,,,,,
C1QTNF6,841,672,1124,965,930,832,,,,,,,
GGT2,0,2,4,0,0,0,,,,,,,
FAM83F,124,90,111,75,146,124,,,,,,,
SEC14L4,58,46,49,35,56,57,,,,,,,
GIMAP6,0,1,6,6,3,3,,,,,,,
GIMAP4,6,0,2005,765,5,2,,,,,,,
ADCK2,3613,3687,3203,3990,4537,3476,,,,,,,
MKRN1,7323,6083,4397,4905,10053,8020,,,,,,,
AGAP3,8505,6865,7472,7268,8017,6317,,,,,,,
KRBA1,1966,1703,1442,1271,1871,1403,,,,,,,
ZNF767P,2478,1830,1665,1672,2612,1816,,,,,,,
ACTR3B,2076,1684,1540,1808,2722,1636,,,,,,,
NTS,0,0,22,28,0,1,,,,,,,
BTG1,3100,2657,3741,2672,3635,3899,,,,,,,
LRRIQ1,221,224,661,647,453,296,,,,,,,
C12orf29,3103,2854,3158,3407,3044,1932,,,,,,,
ATP13A3,16109,11504,15089,13120,15592,11406,,,,,,,
SFTPD,6,3,0,0,8,3,,,,,,,
DYDC2,37,27,30,6,27,22,,,,,,,
TMEM254,1211,1048,917,944,1252,979,,,,,,,
TMTC1,84,100,25,16,34,39,,,,,,,
KRAS,14882,10109,8658,7607,17999,13632,,,,,,,
IPO8,9437,7855,10289,10145,11548,8211,,,,,,,
LARS,32045,25013,28031,28399,38404,29100,,,,,,,
SPINK5,1,1,0,0,1,0,,,,,,,
IMPA1,2810,2274,2260,2253,3431,2519,,,,,,,
LRRCC1,4058,3376,3822,3665,3670,3273,,,,,,,
E2F5,3860,3620,3763,4426,4034,2674,,,,,,,
CA1,13,3,14,21,12,9,,,,,,,
CCDC59,4695,4955,3945,4920,5905,4308,,,,,,,
SWAP70,6901,5712,6612,6796,10156,7536,,,,,,,
ARNTL,1185,770,601,589,857,835,,,,,,,
LYVE1,0,0,1,0,9,0,,,,,,,
AMPD3,38,45,52,62,78,183,,,,,,,
MICALCL,243,297,4,4,107,52,,,,,,,
SBF2,5375,3821,5267,5172,5701,5174,,,,,,,
MICAL2,1678,1006,982,801,1772,1563,,,,,,,
RRAS2,4771,4252,2870,3160,4942,3958,,,,,,,
HSD17B4,10252,9554,10106,10519,12184,8015,,,,,,,
ZFC3H1,9766,6713,8399,7197,10939,9448,,,,,,,
TEX15,9966,6216,12248,10597,14936,10107,,,,,,,
SARAF,8838,7935,7197,8193,10664,7992,,,,,,,
RNF122,684,446,421,280,579,572,,,,,,,
DUSP26,11,12,2,4,13,11,,,,,,,
DPF2,6751,6002,5620,6583,8464,6507,,,,,,,
MEN1,8533,7134,7750,8863,9757,6704,,,,,,,
C14orf1,2726,2759,2687,3252,4646,3332,,,,,,,
GSC,42,30,70,122,141,60,,,,,,,
C14orf159,3724,2802,3527,3654,4374,3601,,,,,,,
UNC79,196,257,29,35,94,107,,,,,,,
NUMB,4941,3737,4796,4420,6482,5879,,,,,,,
CATSPERB,38,36,40,36,52,36,,,,,,,
VRTN,14,11,11,8,18,9,,,,,,,
COX16,3215,2916,3177,3644,3743,2936,,,,,,,
TTC9,790,624,1131,973,1600,1009,,,,,,,
MED6,3162,3002,2534,2929,3336,2583,,,,,,,
EIF2S1,16081,17168,15978,21560,22440,14685,,,,,,,
ADAM20,3,6,5,5,1,2,,,,,,,
LOXL2,508,413,283,256,850,1136,,,,,,,
ELP3,3969,3272,3333,3302,4173,3090,,,,,,,
PEBP4,0,0,0,0,0,0,,,,,,,
ADAMDEC1,1,3,3,0,1,0,,,,,,,
CTIF,2496,1648,1563,1252,2452,2083,,,,,,,
MRO,64,32,91,59,61,32,,,,,,,
MBD2,5269,4893,3928,4915,6317,4270,,,,,,,
IER3IP1,4432,4356,3776,4170,4700,3479,,,,,,,
MRPS36,1806,2018,1981,2435,2592,2093,,,,,,,
CCNB1,23570,23711,19172,24994,31978,23550,,,,,,,
CDK7,851,1410,746,642,1333,1381,,,,,,,
CD180,63,36,35,25,40,47,,,,,,,
IRAK2,192,140,243,244,294,254,,,,,,,
CAMK1,57,34,31,49,38,33,,,,,,,
THUMPD3,7949,7106,7090,7980,9073,6277,,,,,,,
VHL,11027,8311,8548,7937,11763,8739,,,,,,,
BHLHE40,1133,1180,1072,1125,3165,5155,,,,,,,
ARL8B,7525,6848,6314,8113,9862,6759,,,,,,,
EDEM1,7692,4783,6595,4980,7321,6724,,,,,,,
CNTN6,11,7,31,25,321,172,,,,,,,
CHL1,3429,2329,0,11,10,0,,,,,,,
MEIS2,5572,4317,3764,4052,7477,5260,,,,,,,
DPH6,1937,1592,1282,1316,2014,1795,,,,,,,
KATNBL1,3475,2579,2806,2783,3811,3361,,,,,,,
EMC7,3237,3059,3349,4203,4559,3501,,,,,,,
TRPM1,0,1,0,0,0,1,,,,,,,
GNAT2,41,57,47,54,41,37,,,,,,,
GSTM1,0,2,19,31,22,15,,,,,,,
PRPF38B,11873,10335,8244,8804,11396,8143,,,,,,,
REG4,0,1,2,2,0,0,,,,,,,
TSPAN2,641,415,232,186,190,199,,,,,,,
TSHB,0,2,0,0,0,0,,,,,,,
GSTM5,6,1,1,114,7,1,,,,,,,
GSTM3,391,292,115,85,786,843,,,,,,,
SYT6,125,51,74,42,54,55,,,,,,,
VAV3,76,46,44,15,50,34,,,,,,,
CHIA,8,14,0,0,9,1,,,,,,,
PSRC1,7529,6583,5304,6782,7528,6122,,,,,,,
HMGCS2,1,0,0,0,0,0,,,,,,,
PTPN22,22,19,13,12,6,17,,,,,,,
SORT1,16045,13206,12991,14374,20440,16970,,,,,,,
WNT2B,691,533,728,483,1151,863,,,,,,,
PTGFRN,13709,11437,11400,10592,23170,17278,,,,,,,
LAMTOR5,4015,4320,3756,4751,4495,3046,,,,,,,
ADAM30,0,0,0,0,0,0,,,,,,,
NOTCH2,21872,15575,20366,17089,27384,21234,,,,,,,
TRIM45,1181,855,1411,1089,1405,1211,,,,,,,
CEPT1,3224,2921,2882,2836,3289,2399,,,,,,,
CD101,330,256,166,216,399,176,,,,,,,
VTCN1,0,2,1,1,0,1,,,,,,,
NGF,0,0,0,2,0,0,,,,,,,
AP4B1,2119,1728,1832,2085,2617,2056,,,,,,,
NAPG,3587,2411,3009,2533,3978,3051,,,,,,,
SPIRE1,6936,5547,6245,6638,7769,5833,,,,,,,
PPHLN1,9537,7697,8007,7806,10870,8225,,,,,,,
FKBP11,4093,3436,4742,5574,5370,3575,,,,,,,
ARF3,20145,15800,15906,17010,24666,19014,,,,,,,
TMEM106C,10191,9813,10632,11889,10767,7873,,,,,,,
SLC38A2,19621,13461,15299,13063,22213,15290,,,,,,,
PLEKHA8P1,201,242,218,217,310,302,,,,,,,
YWHAQ,69706,62086,56029,61194,80192,61322,,,,,,,
KIDINS220,15854,11674,12448,12184,16691,12722,,,,,,,
GRHL1,1171,948,1146,951,1548,1271,,,,,,,
ROCK2,11737,8046,9696,7788,11040,8564,,,,,,,
RSAD2,41,7,16,17,27,29,,,,,,,
MYCN,260,185,27,48,390,495,,,,,,,
LPIN1,4738,3285,4312,4797,6726,6277,,,,,,,
CMPK2,151,151,243,231,179,89,,,,,,,
IAH1,688,528,110,116,153,739,,,,,,,
LDHA,93886,94581,70283,83595,125955,111828,,,,,,,
SAA2,21,10,22,335,21,19,,,,,,,
ANO3,0,0,3,0,3,0,,,,,,,
IL6ST,8507,5443,8096,7399,11588,9191,,,,,,,
FST,4,6,6,22,12,5,,,,,,,
CFHR4,0,0,0,0,0,0,,,,,,,
NAV1,6502,4166,2150,1753,3490,2558,,,,,,,
CDC73,5308,4594,5592,5678,6943,4905,,,,,,,
TIMM17A,8516,8721,8360,11071,12486,7890,,,,,,,
CRB1,70,49,1702,1431,40,30,,,,,,,
CFHR5,0,0,0,0,0,0,,,,,,,
ERN2,38,22,30,27,31,27,,,,,,,
RPS15A,52579,50180,40825,48503,61569,47084,,,,,,,
RAX,95,41,19,11,27,52,,,,,,,
NARS,20510,18209,21163,26304,31722,21173,,,,,,,
GRP,0,0,0,0,10,4,,,,,,,
KIAA1468,4548,3593,4165,4610,6151,4463,,,,,,,
FBXO18,7397,6551,6427,6635,8196,6433,,,,,,,
RBM17,11221,9677,9115,10830,12586,9032,,,,,,,
IL2RA,17,18,31,17,22,26,,,,,,,
ANKRD16,1388,1076,1347,1398,1551,1234,,,,,,,
ECHDC3,1555,1016,1726,1088,2493,1937,,,,,,,
IL15RA,34,27,292,394,343,316,,,,,,,
CCNH,3347,2574,2875,2883,4698,3428,,,,,,,
HRH4,39,37,36,36,47,40,,,,,,,
TMEM241,1514,1047,1592,1455,2247,1691,,,,,,,
KCTD1,1181,960,1231,1337,1709,1159,,,,,,,
CABLES1,1858,1472,2144,2183,2748,2000,,,,,,,
DOCK2,5,1,0,5,1,15,,,,,,,
EMP1,44,37,66,195,6533,5349,,,,,,,
SOX5,1330,945,1995,1862,3336,1994,,,,,,,
RERG,36,55,83,66,49,49,,,,,,,
SLCO1B1,0,0,0,0,0,0,,,,,,,
KLRD1,382,254,299,292,580,250,,,,,,,
KLRC1,50,24,39,17,19,49,,,,,,,
SPX,10,2,5,8,3,0,,,,,,,
PRH2,3,4,4,3,4,4,,,,,,,
LRP4,3931,3081,6766,8715,6134,4866,,,,,,,
MYBPC3,8,10,6,4,7,6,,,,,,,
DDB2,3226,2497,2690,2576,3992,3788,,,,,,,
ACP2,1842,1578,1908,2348,2783,1822,,,,,,,
USP26,34,24,24,24,44,30,,,,,,,
RTL8C,8405,7168,6250,6939,10824,8389,,,,,,,
RAB33A,920,826,448,325,1045,797,,,,,,,
SOX3,0,0,0,0,0,0,,,,,,,
RBMX2,4830,4704,4429,5216,5887,4276,,,,,,,
STK26,15335,11622,11505,10902,13246,10686,,,,,,,
PIWIL4,211,156,86,76,95,85,,,,,,,
MTNR1B,0,0,13,8,0,2,,,,,,,
PUM1,14269,11321,10475,10242,15911,11719,,,,,,,
SPOCD1,74,58,110,51,70,97,,,,,,,
YARS,24495,20601,23920,26123,34359,25589,,,,,,,
PHC2,6225,5447,6372,6406,8877,6288,,,,,,,
CDCA8,8068,6811,6038,7245,9943,7478,,,,,,,
GNL2,13131,13062,11422,14602,15171,10674,,,,,,,
AGO4,4464,2958,3735,3413,4263,3776,,,,,,,
HOOK1,796,444,287,728,2077,1970,,,,,,,
CYP2J2,1,2,2,7,19,12,,,,,,,
BTF3L4,8796,7299,6309,7164,10409,7435,,,,,,,
ZCCHC11,10910,8126,8239,7120,9219,7784,,,,,,,
PRPF38A,11461,10038,8120,9322,12482,8561,,,,,,,
DSC2,4794,3621,7080,6409,5444,3554,,,,,,,
DSG3,21,12,13,22,22,14,,,,,,,
RNF138,4714,3990,5529,6177,6123,4013,,,,,,,
ELP2,10392,8439,8932,9324,13130,9675,,,,,,,
DSG1,0,0,548,445,0,0,,,,,,,
DSC3,19,10,13,22,11,15,,,,,,,
DSC1,5,0,6,8,0,2,,,,,,,
DTNA,106,73,36,56,100,87,,,,,,,
FHOD3,4333,3369,3503,3248,5536,3935,,,,,,,
TPGS2,12449,10510,11262,11909,26725,21335,,,,,,,
DAGLA,364,254,721,785,663,453,,,,,,,
SLC43A3,651,575,116,90,131,458,,,,,,,
TIMM10,2117,2381,2002,3177,2711,1766,,,,,,,
GIF,3,1,0,0,1,0,,,,,,,
DHX34,3242,3532,3516,4748,4823,2820,,,,,,,
APLNR,0,0,0,1,0,0,,,,,,,
FADS2,30623,25615,17786,14989,35897,34973,,,,,,,
TMEM258,3907,3525,3920,4391,4704,3802,,,,,,,
TCN1,0,0,0,1,4,2,,,,,,,
C5AR2,250,179,211,173,209,229,,,,,,,
TMEM165,6570,5728,4843,5187,7806,5919,,,,,,,
CLOCK,6319,4397,4675,4732,6350,5103,,,,,,,
PDGFRA,303,284,500,1179,19727,12588,,,,,,,
GGACT,307,206,685,529,574,456,,,,,,,
COL4A2,18,16,4,41,13,1,,,,,,,
CLDN10,37,35,58,44,50,21,,,,,,,
DZIP1,9223,7338,8468,7677,10542,7414,,,,,,,
UBAC2,4512,4228,4535,4429,5825,4018,,,,,,,
ARGLU1,15685,12118,11183,10361,14739,11750,,,,,,,
BIVM,4979,3462,5067,4330,5230,4446,,,,,,,
ERCC5,3115,2570,2222,1987,3339,2850,,,,,,,
TPP2,9420,8240,7129,7867,9844,7104,,,,,,,
KDELC1,2637,2510,2155,2237,3070,2146,,,,,,,
CARS2,7745,7394,6422,7072,8740,6478,,,,,,,
ARHGAP32,5677,3447,4597,3207,5386,4643,,,,,,,
STT3A,16269,14647,13892,15577,19325,15161,,,,,,,
ADAMTS8,22,17,12,2,50,45,,,,,,,
ACRV1,92,85,64,56,101,43,,,,,,,
ETS1,802,584,679,602,1316,1725,,,,,,,
SLC37A2,416,263,405,271,376,327,,,,,,,
KLB,326,273,299,333,325,204,,,,,,,
TMED7,7880,5589,7100,6865,8675,6788,,,,,,,
APC,11142,7806,11801,10808,12394,8128,,,,,,,
NREP,11308,9620,5670,5861,8282,6519,,,,,,,
WDR36,10673,7889,8726,8524,11480,8030,,,,,,,
OSTF1,714,561,931,775,1297,1046,,,,,,,
RFK,2606,2532,2540,3068,3040,1871,,,,,,,
UBQLN1,20039,16605,17761,19464,27756,19989,,,,,,,
NAA35,3626,2690,2917,2961,4451,3240,,,,,,,
C9orf40,2581,2377,2992,3566,3103,2284,,,,,,,
ANXA1,3356,2319,3757,3493,77926,53217,,,,,,,
CTSL,1978,2000,2962,4191,2709,1781,,,,,,,
TMEM2,7582,6831,2027,1787,4917,3373,,,,,,,
AGTPBP1,4313,3057,4032,3232,5581,4858,,,,,,,
GOLM1,10869,9774,25873,40213,55940,26290,,,,,,,
FAM189A2,12,4,14,46,487,215,,,,,,,
PSAT1,17639,15582,21158,22254,28469,20317,,,,,,,
ISCA1,4461,3941,7588,8445,8737,6655,,,,,,,
ADAM19,363,206,228,291,994,801,,,,,,,
HAVCR2,72,63,68,45,82,73,,,,,,,
CCNJL,240,187,37,27,89,84,,,,,,,
TAOK3,2334,1909,2754,2468,4229,3163,,,,,,,
USP30,2206,1799,1868,1820,2205,1956,,,,,,,
SDS,60,41,48,35,55,70,,,,,,,
MSI1,10058,7022,5571,4955,10005,8624,,,,,,,
HNF1A,12,15,15,21,19,10,,,,,,,
FBXO21,8266,6388,6463,5677,7793,6430,,,,,,,
TBX3,2769,2088,1776,1562,2367,1699,,,,,,,
OASL,21,20,14,18,24,17,,,,,,,
HRK,95,79,206,349,152,168,,,,,,,
RNFT2,4618,3790,3342,3776,3512,3378,,,,,,,
P2RX4,1516,1181,1647,1673,2152,1781,,,,,,,
BICDL1,142,124,202,195,191,133,,,,,,,
DTX1,153,124,150,131,205,120,,,,,,,
TRAFD1,4473,4248,3365,4011,4718,3282,,,,,,,
DMTF1,9528,7082,8335,7449,10690,8213,,,,,,,
OCM2,0,0,0,0,0,0,,,,,,,
TMEM243,1911,1646,1385,1470,1796,1289,,,,,,,
CCDC146,194,105,270,128,125,133,,,,,,,
TMEM60,1474,1426,1470,1762,1815,1466,,,,,,,
CD36,1029,917,670,495,105,85,,,,,,,
UGT2A3,0,0,0,0,0,0,,,,,,,
CSN2,0,0,0,0,0,0,,,,,,,
UGT2B28,3,0,0,0,0,0,,,,,,,
PNPLA8,3868,3347,1297,1229,4484,3829,,,,,,,
HILPDA,1724,1491,1567,1318,1998,2828,,,,,,,
FAM71F1,8,12,11,7,30,8,,,,,,,
RINT1,3624,3061,3076,3257,4176,3092,,,,,,,
SRPK2,6809,5187,6062,6390,8258,6194,,,,,,,
KCP,30,20,36,50,53,47,,,,,,,
TES,245,170,108,94,145,365,,,,,,,
MDFIC,1026,1000,1340,594,2468,2211,,,,,,,
MTO1,3358,2781,3854,3839,4938,3230,,,,,,,
ADGRB3,965,656,1172,751,17,6,,,,,,,
ANKRD6,5734,3784,3728,2755,6288,5223,,,,,,,
HTR1B,0,0,0,0,0,0,,,,,,,
KHDC1,963,855,1278,1384,1752,1426,,,,,,,
CEP162,1667,1501,1540,1512,2139,1508,,,,,,,
SYNCRIP,45568,40222,32961,36375,44270,31670,,,,,,,
SNX14,4279,3799,4312,4066,7077,5527,,,,,,,
NT5E,0,0,3,4,2,0,,,,,,,
MRAP2,324,222,77,36,275,155,,,,,,,
EPHA7,514,496,423,252,139,288,,,,,,,
AKIRIN2,4594,3483,3114,3070,4565,3403,,,,,,,
ORC3,6308,5637,4803,5654,6893,4882,,,,,,,
LCA5,833,603,1050,851,973,808,,,,,,,
MAP3K7,8184,6525,13308,11794,20039,12918,,,,,,,
CGA,17,13,15,14,31,26,,,,,,,
GJA10,13,12,0,0,1,3,,,,,,,
PRR5L,16,10,46,29,78,124,,,,,,,
LMO2,15,10,3,15,2,10,,,,,,,
PHF21A,5538,3730,5116,4286,6974,6302,,,,,,,
NAT10,16144,14888,14084,17474,18927,13114,,,,,,,
EHF,9,10,0,1,54,18,,,,,,,
ELF5,21,17,12,10,21,19,,,,,,,
PRRG4,874,684,867,849,262,291,,,,,,,
CAPRIN1,60365,53029,47957,54648,69661,50948,,,,,,,
ATP5G2,17635,17314,15709,19108,23589,17137,,,,,,,
DNAJC14,5054,4050,3869,4246,6009,4431,,,,,,,
CD63,8769,9237,7114,8907,11536,8570,,,,,,,
PRPH,42,53,16,35,168,125,,,,,,,
AVIL,315,277,225,243,352,247,,,,,,,
AMHR2,0,0,2,0,0,0,,,,,,,
LACRT,0,0,0,0,0,0,,,,,,,
GDF11,9313,7233,5526,4711,8487,6169,,,,,,,
GLS2,23,20,6,12,20,14,,,,,,,
ITGA7,1648,1239,1354,1235,1846,1364,,,,,,,
TESPA1,79,48,43,31,96,107,,,,,,,
FAM186B,281,143,249,123,245,235,,,,,,,
RDH5,240,245,219,149,295,255,,,,,,,
AGAP2,17,14,195,104,115,78,,,,,,,
BLOC1S1,1800,1595,1680,1684,2450,2016,,,,,,,
KRT85,0,0,0,0,0,0,,,,,,,
CDK4,18332,19386,15320,21776,21792,15063,,,,,,,
PPP1R1A,490,349,194,194,504,280,,,,,,,
TROAP,7472,6554,4950,5203,8324,6419,,,,,,,
TSPAN31,1542,1231,1251,1063,1937,1387,,,,,,,
B4GALNT1,4406,3351,5237,5092,6310,4177,,,,,,,
TFCP2,5863,5120,5136,5526,7705,5710,,,,,,,
COQ10A,1652,1355,1395,1415,2053,1661,,,,,,,
FAIM2,56,19,4,15,14,15,,,,,,,
PAN2,7804,5644,4273,4540,5530,4943,,,,,,,
ESPL1,14164,11434,10606,11694,15013,11375,,,,,,,
KRT7,1,0,0,0,9,0,,,,,,,
ZC3H10,1342,927,682,703,1296,924,,,,,,,
HNRNPA1,239575,211521,159402,177647,250210,186885,,,,,,,
SLC26A10,603,409,412,262,265,216,,,,,,,
ACVR1B,4666,3413,2991,2773,4812,3652,,,,,,,
OS9,8084,7551,8657,9675,11660,8553,,,,,,,
MIP,51,36,21,34,39,41,,,,,,,
KCNH3,533,329,151,181,536,540,,,,,,,
LTV1,5063,5125,5142,7466,6929,4280,,,,,,,
MAP7,2240,1653,1715,2528,2738,2309,,,,,,,
CD164,20261,16507,20475,21942,26012,18897,,,,,,,
AFG1L,1138,740,1207,1206,1060,1050,,,,,,,
NHSL1,3595,2931,3523,3062,4609,3285,,,,,,,
AHI1,3157,2302,3276,3123,4309,3153,,,,,,,
HEY2,11,16,5,11,4,2,,,,,,,
PKIB,33,33,32,36,33,40,,,,,,,
TAAR5,0,0,0,0,0,0,,,,,,,
NMBR,1,1,4,6,2,0,,,,,,,
SMPD2,680,563,577,626,1029,747,,,,,,,
MICAL1,3166,2333,2051,1628,4027,3347,,,,,,,
REPS1,8705,7272,8623,9746,8660,6265,,,,,,,
STX11,8,14,24,26,94,62,,,,,,,
TEC,231,184,263,252,495,311,,,,,,,
PRADC1,1330,1322,1403,1725,1888,1367,,,,,,,
SEMA4F,2354,1868,2069,1869,3031,2303,,,,,,,
CCT7,48925,49044,42054,51827,60324,44092,,,,,,,
EGR4,3,0,13,14,20,15,,,,,,,
RAB11FIP5,4673,3879,3174,3331,5315,3987,,,,,,,
SMYD5,4192,3799,4030,4997,4935,3711,,,,,,,
DYSF,23,26,19,31,18,6,,,,,,,
CCDC142,1047,887,994,1099,1167,755,,,,,,,
EMX1,74,43,81,39,17,31,,,,,,,
KCNMB4,474,404,114,68,572,938,,,,,,,
USP15,5663,5118,5579,6003,7269,5312,,,,,,,
GNS,9097,7201,9597,9762,12567,9576,,,,,,,
CPM,245,159,168,188,195,208,,,,,,,
MDM2,12865,9990,11285,10335,12262,9780,,,,,,,
KLHL36,4594,3290,4073,3181,5779,4996,,,,,,,
BCO1,187,160,64,50,171,158,,,,,,,
MPHOSPH6,3307,3215,2607,3246,3107,1912,,,,,,,
CHST5,132,122,86,92,138,110,,,,,,,
KIAA0513,979,600,1199,1173,1267,828,,,,,,,
