gene_name,C666-1_WTa,C666-1_WTb,C666-1_WTc,C666-1_Koa_TP53,C666-1_Kob_TP53,C666-1_Koc_TP53
TIAM2,32,31,5,42,7,20
TMEM181,818,690,372,918,828,660
PNLDC1,2,0,0,1,0,0
WTAP,2719,2266,1260,2632,2239,2076
ZMYM4,1055,655,378,1235,682,556
VIP,0,0,0,0,0,0
ARMT1,739,728,240,1003,703,552
SLC22A3,0,0,0,0,0,0
LINC01558,0,0,0,0,0,0
VWDE,0,0,0,0,0,0
GNA12,1028,716,1391,573,589,606
C7orf50,1052,1307,2467,835,818,1202
SDK1,629,738,1094,271,366,331
WASH2P,213,214,244,184,214,247
CCZ1B,578,735,84,443,243,160
C7orf26,310,414,483,141,201,228
RBAK,981,663,84,487,342,332
CREB5,589,361,411,723,640,535
FERD3L,0,0,0,0,0,0
EGFR,2488,1878,2180,1755,2009,1466
LINC00525,11,11,7,7,1,4
CDCA5,1243,1149,2035,1432,1674,1773
IGFBP3,0,0,0,0,1,0
PURB,2075,1655,471,1020,797,589
RPL32P18,1,0,1,1,0,0
IGFBP1,0,0,0,0,0,0
SSC4D,14,9,26,14,10,12
MDH2,4382,4913,10551,3260,4155,5109
POMZP3,117,147,192,93,85,146
LOC541473,2,0,0,3,0,3
NIPSNAP2,3234,2840,1179,2240,1623,1591
CCT6A,10978,11750,4865,8651,6191,5491
PSPH,985,1031,999,658,700,547
TRIM50,0,0,0,0,0,0
ZNF92,1022,672,82,622,438,351
ATXN7L1,155,165,103,56,79,45
TMEM168,728,876,357,532,399,388
ASB15,0,1,0,0,0,0
MAP11,301,359,306,174,182,204
SLC12A9,703,721,1204,307,484,576
GIGYF1,1480,1195,1614,863,846,981
TRIM4,633,614,425,369,452,366
MEPCE,1209,931,1593,700,653,734
ZAN,0,0,0,0,0,0
TMEM209,1223,993,565,845,797,688
AGBL3,11,6,9,17,9,10
STRA8,0,0,0,0,0,0
ZC3HAV1L,0,0,0,0,0,0
TMEM140,536,259,574,339,315,283
TLK2,850,720,466,1016,820,711
EPHA1,416,432,690,259,508,560
NOM1,1081,530,584,669,511,594
CNPY1,35,92,15,36,13,13
NCAPG2,2475,1806,1193,1752,1300,1275
ASB10,0,0,0,0,1,0
NLGN4X,0,0,0,0,0,0
SHROOM2,311,318,489,388,530,421
RAB19,2,0,3,0,0,1
LUC7L2,2895,2277,3749,1804,1503,1481
DENND2A,16,7,12,7,6,5
CLTRN,9,3,2,4,2,6
SH3KBP1,696,518,530,658,689,623
TMEM47,0,0,0,0,0,0
LANCL3,0,1,1,1,0,0
SYTL5,15,16,3,9,7,5
CASK,1262,1348,783,1121,1077,1085
KDM6A,558,540,239,568,576,377
SPIN2A,2,3,1,9,3,8
MSN,5921,6268,8050,7673,9227,8516
AKAP4,1,0,0,0,0,0
CCNB3,43,37,32,73,96,37
HDAC8,266,343,216,333,206,206
SLC16A2,0,0,0,0,1,2
DIPK2B,3,1,1,1,0,3
ZNF157,4,3,1,3,1,1
ZNF182,71,77,15,90,62,36
CHST7,0,1,1,5,9,13
KRBOX4,172,154,98,143,111,123
NDUFB11,617,876,1328,576,843,1069
ZNF41,251,177,102,308,216,121
RAB41,1,5,1,6,0,1
ZMYM3,772,587,816,632,774,758
TAF1,994,624,635,1033,667,453
GPR174,0,0,0,0,0,0
NONO,8732,8356,10185,8537,8479,8247
CCDC120,99,135,247,94,180,192
LPAR4,0,0,0,0,0,0
EBP,574,771,959,791,902,830
AWAT2,0,0,0,0,0,0
OGT,2749,2148,2165,3118,1900,1587
SNX12,757,799,1688,971,1369,1211
ITGB1BP2,22,7,6,10,5,7
IL2RG,1659,2231,2738,1107,1433,1541
GCNA,11,9,5,11,3,13
ZNF711,0,0,0,0,0,0
CPXCR1,1,0,0,0,0,0
DIAPH2,514,304,127,484,509,285
NXF3,0,0,0,1,0,0
RIPPLY1,0,0,0,0,0,2
PRPS1,564,556,621,797,741,683
RADX,1,1,1,1,0,0
FRMPD3,2,2,4,3,0,2
HTR2C,0,0,0,0,0,0
DOCK11,91,56,9,56,49,35
IGSF1,39,15,21,45,40,37
ARHGAP36,0,0,0,0,0,0
GPC3,334,384,287,564,591,592
GPR119,0,0,0,0,0,0
RBMX,4905,4319,5580,4296,3293,2843
MCPH1,1029,851,559,1338,1106,1008
MFHAS1,1684,1293,1891,1783,1594,1504
FBXO25,1802,1581,1079,1428,1366,1136
FATE1,0,0,2,0,2,0
MAGEA4,0,0,0,0,0,0
NSDHL,292,345,448,315,284,352
ZNF185,22,19,15,26,15,13
CETN2,655,794,318,714,647,551
RPL10,11430,15752,21931,11567,12816,14992
CSGALNACT1,115,104,33,122,76,58
ATP6V1B2,3504,3246,2896,3622,2885,2832
CCDC25,579,429,220,641,462,302
HMBOX1,56,83,63,51,62,57
CHRNB3,0,0,0,0,2,0
CHRNA6,325,290,287,385,352,256
GNRH1,10,15,0,12,7,12
BIN3,144,150,235,171,165,150
DOK2,1,0,0,0,0,0
SLC25A37,548,513,613,539,642,683
CHMP7,454,408,476,566,499,418
DOCK5,421,300,273,409,344,241
STAR,841,1281,1774,1208,1063,1136
PLPBP,1086,1211,2800,1328,1543,1862
ERLIN2,1435,1138,1280,1604,1243,1199
SNTG1,0,0,0,0,0,0
PXDNL,1,0,0,0,0,2
ST18,1,0,0,0,1,1
RGS20,11,7,4,6,14,1
TACC1,1722,1145,703,1276,1078,964
GOLGA7,2266,1997,2084,2622,2072,2116
PLPP5,810,889,999,863,925,1146
GINS4,891,1097,2190,1239,1698,1181
NSD3,3348,3032,1460,3570,3650,2769
DNAJC5B,3,2,1,25,6,1
CRH,1,0,0,0,0,0
TRIM55,0,0,0,0,0,0
ADHFE1,8,0,19,11,0,1
MRPS28,481,638,444,472,509,581
PMP2,0,0,0,0,0,0
LACTB2,706,691,333,773,619,514
PRDM14,0,0,0,0,0,0
TERF1,699,661,278,899,590,577
RPL7,22459,24441,16535,26235,15787,13341
SLC26A7,0,0,0,0,0,0
PSKH2,0,0,0,0,0,0
ATP6V0D2,1,0,0,20,2,15
SYBU,140,100,137,137,141,107
DPYS,0,0,0,0,0,0
MTDH,3566,2214,932,5064,3478,2488
LRP12,415,168,158,264,240,224
EBAG9,257,203,62,269,180,133
RSPO2,0,0,0,0,0,0
POLR2K,792,848,75,1069,845,792
MAL2,4963,3716,1720,5409,3942,3312
EIF3H,2681,3305,2320,2344,2561,2734
UTP23,541,228,355,511,290,219
NDUFB9,931,1326,1937,1229,1291,1599
TATDN1,709,684,33,786,463,420
FAM83A,2,0,4,0,0,0
GSDMC,0,0,0,1,2,0
FAM135B,1,0,0,0,0,0
TTTY7,0,0,0,0,0,0
TTTY7B,0,0,0,0,0,0
ZNF7,551,306,368,452,300,362
ARHGAP39,351,357,762,338,474,584
SLC39A4,118,151,295,133,126,171
NAPRT,102,109,190,47,62,63
VLDLR,919,639,608,683,540,440
AK3,1247,1152,510,1537,1299,1221
UHRF2,886,589,248,821,515,611
NFIB,3805,1695,1216,2888,2099,1558
CER1,0,0,0,1,0,0
PLIN2,2,1,2,5,4,4
IFNA5,0,0,0,0,0,0
HAUS6,1882,2325,251,2617,1823,1434
CDKN2B,211,186,320,237,192,335
IFNA16,0,0,0,0,0,0
CDKN2A,153,85,169,104,93,132
C9orf72,1015,961,122,1513,1182,835
IFNK,0,0,0,2,0,0
ZCCHC7,341,506,299,460,445,389
FBXO10,120,33,70,41,49,23
SIGMAR1,925,1208,1817,1188,1286,1666
CBWD5,1096,1155,245,1253,749,714
CEP78,1131,917,1021,1458,1012,986
NTRK2,9954,7451,5613,10201,8014,6321
IDNK,14,28,18,16,18,18
SHC3,59,13,18,18,20,20
AUH,131,126,93,136,110,103
MFSD14B,2090,2579,1084,2526,2199,1939
AOPEP,222,165,178,173,116,103
OR13C4,0,0,0,0,0,0
ZNF462,18,0,1,1,3,6
INIP,632,643,409,675,484,491
UGCG,592,641,154,673,616,476
ACTL7B,0,0,0,0,3,0
SNX30,905,624,563,973,839,756
STOM,5,4,5,4,1,0
GSN,1148,1357,1865,920,1645,1903
MRRF,599,545,427,667,456,408
NR6A1,115,72,142,83,123,117
CRB2,1,2,8,1,1,1
OR5C1,0,0,0,0,0,0
ALAD,606,504,568,450,678,696
ASTN2,145,118,128,98,119,92
WDR31,166,121,118,104,143,126
POLE3,1555,1542,1387,1797,1384,1448
GBGT1,0,0,0,0,0,0
GTF3C5,970,945,1557,943,1079,1198
ASB6,622,696,1126,668,861,945
PTGES2,462,892,1658,449,745,989
NTMT1,318,308,617,335,301,442
CIZ1,961,1011,1689,1186,1476,1484
SLC25A25,216,170,294,219,354,346
SH3GLB2,697,519,1083,607,771,868
MIGA2,237,309,715,420,408,431
PTGES,931,1317,1976,1148,1594,1778
LCN2,1,1,4,5,2,0
LRSAM1,403,358,593,391,575,613
HMCN2,41,41,42,34,55,75
GPR107,2684,1928,2361,2819,2710,2293
PAXX,261,318,457,276,248,353
IDI2,0,0,0,0,0,0
INPP5E,337,359,513,323,363,463
LCN9,0,0,0,0,0,0
SEC16A,1592,2298,2596,1474,2080,2133
DPH7,364,325,431,347,283,333
NOTCH1,1268,1113,2835,999,1606,1611
CACNA1B,1,0,0,1,0,0
NACC2,485,502,663,297,430,439
PROSER2,214,190,473,249,303,391
USP6NL,553,471,319,562,520,511
COMMD3,435,488,261,517,405,377
MSRB2,47,88,117,48,66,92
PDSS1,283,255,154,381,245,233
FAM171A1,1115,1172,1747,1063,1269,1234
MINDY3,515,505,97,629,397,416
SLC39A12,0,0,0,0,0,0
TMEM236,11,3,6,5,3,5
RSU1,729,746,816,929,919,838
ST8SIA6,0,0,0,0,0,0
PARD3,841,675,555,725,862,628
ANKRD30A,0,0,0,0,0,0
ZEB1,48,16,28,76,39,52
FAM13C,3,23,5,12,27,5
NRBF2,588,482,345,527,469,419
A1CF,0,0,0,0,0,0
CDHR1,0,0,2,0,0,0
LRIT1,0,0,0,0,0,0
RGR,0,0,0,0,0,0
POLR3A,792,582,920,859,754,690
HERC4,324,255,128,369,323,265
LRMDA,0,0,0,1,1,0
CAMK2G,982,840,1204,964,952,989
ADIRF,0,0,0,0,0,0
GLUD1,3034,2946,1926,3643,2875,2664
ANKRD1,8,1,0,2,6,5
HTR7,0,0,0,0,0,0
RPP30,536,661,342,765,604,573
FRA10AC1,485,487,70,565,588,501
ADD3,2691,1562,464,2579,1835,1372
HABP2,0,0,0,0,0,0
VAX1,0,0,0,0,0,0
DNAJB12,562,561,817,604,645,611
EIF4EBP2,1613,1271,977,1471,1473,1277
NPFFR1,4,1,4,7,5,4
PLEKHS1,7,19,2,13,21,7
TCF7L2,461,421,732,602,614,602
MKI67,4536,2755,4179,5406,5952,4997
CYP17A1,0,0,1,0,2,0
INA,1,0,0,0,0,0
FUOM,103,115,177,111,102,122
LRRC27,90,158,109,103,116,103
MTG1,340,253,340,272,271,265
NKX6-2,0,0,0,0,0,0
PAOX,56,66,147,55,83,103
GSTO1,730,900,916,1007,859,965
TAF5,165,215,74,293,195,174
PPRC1,2269,1611,2159,1188,1368,1633
ITPRIP,429,346,557,464,573,597
CNNM2,157,135,217,157,185,179
PDCD11,1647,1459,2665,2076,1994,1596
ADAM12,2,3,0,1,3,0
RGS10,641,726,672,596,693,659
BTBD10,368,432,201,513,398,381
ADM,8,10,18,6,15,6
GAS2,8,9,6,11,7,9
SLC5A12,2,0,0,1,0,0
LIN7C,787,762,208,970,788,763
LRRC4C,0,0,0,1,0,0
IMMP1L,43,76,19,96,78,53
SAA4,0,0,0,0,0,0
PGAP2,336,358,497,335,377,416
TUT1,397,488,682,422,584,633
SCGB1A1,0,0,0,0,0,0
SYT8,0,0,0,0,0,0
ZNF214,63,37,34,90,36,55
ZNF215,171,150,61,227,171,115
HSD17B12,1357,1118,995,1686,1253,1014
APIP,323,349,93,343,298,340
PAMR1,11,10,12,3,1,4
DGKZ,1303,1497,2957,1327,2029,2264
EIF3M,3387,3558,1902,3379,3324,3028
TNKS1BP1,1788,1962,3375,1588,2538,2062
GLYAT,0,0,0,0,0,0
SERPING1,0,0,0,0,0,0
OR5F1,0,0,0,0,0,0
SSRP1,3634,3638,4853,4001,5651,5009
SLC43A1,1,1,3,1,3,0
PTPRJ,373,244,266,318,355,325
C11orf49,153,187,333,217,277,243
ARFGAP2,905,756,1430,872,948,973
CELF1,2088,1223,2271,1922,1447,1365
HIKESHI,166,136,107,214,135,155
CCDC81,0,11,0,2,2,6
SESN3,293,213,36,558,460,384
ENDOD1,311,352,241,328,302,297
CCDC82,259,168,4,368,273,259
KLHL35,5,6,9,8,8,9
TENM4,276,61,404,176,767,304
SERPINH1,1191,1592,3000,1161,1613,1901
CAPN5,75,26,142,46,138,140
INTS4,208,196,193,254,154,182
PAK1,1387,1180,1641,1540,1333,1265
RPS3,9377,13447,18985,10556,10618,13023
ZC3H12C,341,173,151,279,205,151
TTC12,165,129,66,83,57,35
NCAM1,50,43,33,34,35,34
DRD2,0,0,0,0,0,0
C11orf52,48,53,70,38,72,47
HTR3B,0,1,0,0,0,0
NPAT,279,306,64,304,218,251
ATM,152,200,79,166,142,143
AASDHPPT,682,627,269,930,540,473
GLB1L2,458,438,755,499,744,732
SLX4IP,285,268,96,299,274,230
LAMTOR1,711,730,1292,657,715,781
P4HA3,23,13,15,19,22,20
GRIK4,17,17,30,5,9,24
ST14,1115,995,2165,1085,1769,2030
GGTLC1,1,0,0,2,0,1
ADAM33,0,0,0,0,0,0
SLC22A8,0,0,0,0,0,0
KAT14,369,270,219,328,253,247
TKFC,623,886,1458,803,898,1168
MTA2,1842,2240,3112,2137,2365,2446
TMEM138,259,347,453,388,251,232
FADS1,1609,1762,1743,1415,1247,1084
TMC2,1,0,4,0,0,3
ROM1,24,26,31,36,38,31
EML3,552,640,1060,402,625,793
INCENP,961,977,1544,1508,1185,1248
ZP1,0,0,0,0,0,0
OOSP2,0,0,0,0,0,0
MS4A3,0,0,0,0,0,0
PLCH2,304,119,266,108,242,305
CPSF7,2596,2206,3717,2180,2442,2245
MS4A2,1,1,1,0,3,1
B3GAT3,258,275,533,218,364,495
EI24,1502,1225,1464,1709,1335,1338
CCDC15,50,44,7,89,56,48
CHEK1,489,453,335,627,444,449
FEZ1,11,25,6,13,18,32
ESAM,181,150,268,161,200,215
KIRREL3,3,3,1,5,2,5
MPZL2,336,299,206,342,253,247
SCN2B,0,0,0,0,0,0
SIDT2,132,143,232,161,299,304
TMEM25,73,94,159,110,206,147
TAGLN,17,18,12,16,10,13
JPH2,8,8,13,7,16,5
DUSP15,27,67,75,59,75,81
COMMD7,230,175,202,214,202,216
C20orf144,6,3,6,5,2,5
KIAA1755,0,0,0,0,1,0
SPATA25,2,6,2,8,2,5
OCSTAMP,0,0,0,0,0,0
DSN1,443,442,374,604,496,566
SOGA1,923,827,1566,829,966,947
CNBD2,27,18,28,39,28,24
SPINT4,0,0,0,0,0,0
CDH22,0,0,0,0,0,0
LSM14B,743,741,1018,645,719,725
YTHDF1,896,919,970,1029,939,1040
CABLES2,216,186,298,184,278,321
LTO1,233,205,219,210,181,240
GPHA2,0,0,0,0,0,0
SLC22A9,0,0,0,0,0,0
TRPT1,156,206,311,156,183,276
NUDT22,173,243,522,194,277,400
FERMT3,2,14,16,3,3,10
PLCB3,806,948,1745,770,1353,1525
MRPL49,930,1014,2375,1092,1452,1341
CDC42EP2,82,114,202,93,128,133
FAU,3006,4070,6817,3362,3899,4472
TM7SF2,314,202,414,174,274,276
VPS51,759,856,2284,728,1239,1474
TBX6,106,131,183,87,130,164
PPP4C,1492,1957,4227,1575,2237,2586
ALDOA,15078,18733,32438,25196,30356,31790
TLCD3B,14,17,6,12,16,27
DOC2A,149,101,127,119,178,184
HIRIP3,1040,1097,1744,1171,1132,1404
TAOK2,1721,1684,3009,1874,2216,2576
TMEM219,763,895,1371,784,1222,1261
HMGA2,6,2,3,6,5,5
MMP3,0,0,0,0,0,0
CNKSR2,0,0,0,0,0,0
CNTN5,0,0,0,0,0,0
KLRF1,0,0,0,0,0,0
CLEC1A,46,23,16,22,23,10
MKX,0,0,0,0,0,0
MPP7,151,95,123,158,163,150
ITGB1,5510,3641,2109,7132,6332,4913
FXYD4,0,0,0,0,0,0
TRIM48,0,0,1,1,0,0
OR8K1,0,0,0,0,0,0
OR5M9,0,0,0,0,0,0
PCDH15,0,2,0,1,0,0
PPIAP26,0,0,0,0,0,0
CTF1,22,17,29,19,25,23
CWC15,471,525,370,515,333,325
FCGR1A,2,0,0,0,0,1
ARID5B,489,301,281,659,461,353
KLHL1,0,0,0,0,0,0
CDH8,23,14,19,11,9,9
DCUN1D2,301,205,203,518,318,262
TMCO3,1735,1467,1513,3061,3129,3215
TMEM218,72,90,70,68,59,66
TIRAP,0,0,2,9,0,2
EEF1AKMT1,79,78,63,165,130,123
LATS2,229,237,249,309,458,350
SAP18,1236,1420,1082,1926,1814,2013
ADGRL3,2,1,1,5,2,0
KIAA1328,582,307,117,516,270,245
FAM124A,118,87,137,191,276,256
MIA2,1755,1778,685,2582,2155,1852
HNMT,61,49,9,23,18,15
LYPD1,6,0,0,2,2,2
LYPD6B,77,73,46,55,28,71
PDCD4,885,1110,414,776,820,741
ADRA2A,0,0,0,0,0,0
GPM6A,5,0,0,2,0,0
WDR17,1,2,0,0,1,0
SPATA4,7,2,1,4,4,1
VEGFC,0,0,0,0,0,0
CCDC102B,48,37,13,48,50,47
CD226,6,2,3,6,2,3
CNDP1,11,0,13,1,3,2
FSIP1,11,11,1,27,15,13
DLG2,6,14,1,2,6,6
CCDC83,0,0,0,0,0,0
RGS18,0,0,0,0,1,0
PRSS23,8,2,40,3,52,3
MTMR12,470,382,372,775,728,490
PPP1R1C,11,4,10,11,9,5
C11orf53,0,0,3,0,0,0
CCT5,5063,5273,4616,5970,5125,5125
ATPSCKMT,277,235,192,257,185,144
DOCK1,1500,1034,1150,1507,1506,1156
DIXDC1,14,5,1,6,15,19
DLAT,899,832,556,1189,1069,749
PIH1D2,13,17,5,38,21,10
NKAPD1,666,538,153,738,536,477
TIMM8B,163,261,340,198,222,225
IL18,1,2,0,0,1,1
TEX12,0,0,2,2,3,0
PTS,64,68,30,114,62,68
PIP4K2A,976,752,693,1086,901,852
C2orf50,15,5,7,11,5,13
FREM2,0,0,0,1,2,2
FOXO1,403,488,430,808,986,823
CRIM1,1074,763,809,1651,1096,1076
SEC24D,2118,1905,1866,2330,2000,1691
ABCB9,148,114,238,114,163,188
RILPL2,361,388,420,403,374,423
DHX37,596,558,1360,709,773,811
UBC,13964,15571,18928,14311,17963,15939
ITPR1,317,282,189,380,352,309
TKTL2,0,0,0,0,0,0
PRSS53,55,33,54,44,66,95
SLC7A11,891,528,133,1233,557,418
NOCT,152,179,202,203,266,242
ENKUR,7,3,2,15,8,5
GPR158,2,0,0,0,0,0
LYZL2,0,0,0,0,0,0
CACNA2D4,73,20,28,21,18,20
DCP1B,213,197,240,109,134,126
CACNA1C,0,1,0,0,2,0
KCNA6,0,0,0,0,0,0
THRB,30,58,32,24,49,16
NGLY1,990,861,443,1230,827,846
OXSM,279,236,153,315,238,223
UEVLD,548,467,274,678,527,515
TMEM86A,22,33,27,29,45,34
C12orf45,467,551,546,478,444,334
TMEM263,747,589,302,943,692,588
BTBD11,68,28,61,41,65,53
UBE3B,611,574,1340,860,581,579
ANK3,675,437,183,496,354,283
IPMK,453,377,73,622,588,415
RAD9B,107,85,27,149,52,222
PLBD2,963,995,1199,934,1241,1237
DLG5,1135,1090,1559,964,1224,1246
MAT1A,337,312,485,203,150,148
SLC2A13,233,149,81,397,304,204
GXYLT1,776,424,67,1050,568,380
TWF1,3049,2996,484,4040,3266,2409
DIP2C,41,27,25,23,17,30
EIF4E,2384,1974,309,2852,2128,1636
TEX30,207,272,69,381,292,268
CSNK1G3,617,654,196,821,662,503
SRFBP1,253,173,23,287,204,196
AKAP6,225,40,106,110,147,236
NPAS3,0,0,0,0,0,2
FAM177A1,1068,1004,928,1173,1325,1255
MBIP,665,672,192,861,585,482
MIPOL1,214,102,7,161,135,100
EXT2,1137,945,1277,1389,1426,1256
TMEM18,449,488,261,442,361,289
ALLC,0,0,0,0,0,0
KCTD14,0,0,0,0,3,0
THRSP,0,0,0,0,0,0
NDUFC2,777,903,1469,1070,1040,1072
ME3,0,0,0,0,0,0
MSGN1,0,1,0,0,0,0
ADAMTS12,4,8,2,4,1,3
NUBPL,495,347,460,565,384,372
NEK7,604,473,112,854,648,443
ATP6V1G3,0,0,0,0,0,0
FER,1067,622,228,1559,793,465
VIPAS39,396,373,413,502,392,364
ANKRD50,765,420,177,729,595,477
UPF2,694,743,185,804,563,518
CDC123,1218,1189,1174,1443,1034,982
SCLT1,264,351,107,345,269,246
CCDC3,1,0,1,0,2,1
C4orf33,232,313,24,271,259,186
FRMD4A,134,129,166,54,92,89
SLC25A31,0,1,0,0,0,0
PTPRO,0,0,0,2,2,1
EPS8,163,84,35,306,98,104
ACAD8,305,280,362,344,385,379
THYN1,187,253,210,314,236,230
VPS26B,302,253,415,344,397,393
NCAPD3,877,786,1404,1266,1311,945
VTI1A,411,335,272,448,397,326
QDPR,894,769,1466,1031,1130,1431
FAM160B1,674,412,178,720,584,389
ANO4,7,12,2,25,22,4
TEX9,69,53,7,76,66,40
QTRT2,960,745,818,1273,851,753
DRD3,0,0,0,0,0,0
MMAA,176,124,82,158,92,124
ZNF827,125,58,237,77,95,108
POU4F2,0,0,0,0,0,0
EDNRA,0,0,0,0,0,0
NR3C2,186,149,150,216,220,305
AKR1C2,12,8,1,9,23,3
DPYSL4,0,0,1,0,0,1
VENTX,5,3,3,1,2,1
ADAM8,1557,1111,3566,1236,1809,2283
ITIH2,2,2,0,6,27,1
KIN,267,267,45,332,220,220
PIGF,156,184,71,259,179,201
ANKAR,13,1,28,10,9,9
INPP1,194,193,146,156,166,137
MFSD6,1194,1027,843,1304,1041,867
RNF144A,1,4,2,1,2,7
ASAP2,661,600,861,571,579,464
ADAM17,881,691,348,1137,997,797
FLI1,0,0,0,0,1,0
KCNJ1,2,1,0,1,14,0
TMEM45B,291,260,282,288,320,298
WWC2,1167,737,647,989,803,611
CENPU,913,725,96,1009,662,572
ACSL1,1498,1448,1167,2073,1871,1698
SLC25A4,193,270,331,308,282,372
AMN1,138,134,44,153,142,73
BICD1,92,96,112,177,132,117
SAV1,903,838,466,1289,1307,1015
CCDC122,245,271,41,253,216,206
SERP2,0,0,0,0,0,0
NBAS,510,797,655,663,646,606
ZNF385D,0,0,0,1,0,0
TDO2,13,7,1,3,6,9
GUF1,1380,1268,374,1804,1485,1220
SLC35F4,0,0,0,1,0,0
GABRA2,0,0,0,0,0,0
SACS,1362,877,698,2566,1473,1105
CCDC175,0,0,0,0,0,0
PABPC3,0,0,0,2,0,0
CENPJ,877,996,178,1362,1057,693
FBXO4,83,60,5,98,33,40
TMEM267,131,209,29,218,117,103
CCL28,0,0,0,2,0,0
PARP8,357,215,261,468,377,356
GFRA1,0,0,0,0,0,0
CACUL1,1720,1009,783,1816,1324,1296
DST,892,852,266,891,672,816
BEND6,9,18,0,5,3,7
TIAL1,2125,1375,920,2058,1318,1663
BAG3,364,499,901,568,878,992
GLT1D1,0,0,0,0,0,0
TMEM132D,0,1,0,2,0,0
RBM46,0,0,0,1,0,0
ZNF37CP,0,0,0,0,0,0
SCHIP1,155,95,30,98,88,74
MCHR2,0,0,0,0,0,0
KCNE4,17,5,0,16,13,12
AP1S3,256,134,80,373,266,240
RABGAP1L,468,368,295,436,383,339
CCDC74B,1,0,1,1,10,0
TLCD4,496,465,84,763,872,562
MZT2B,586,1144,2032,843,1005,1573
TUBA3E,1,0,0,0,0,0
ASTN1,0,0,0,0,0,0
CFC1B,0,0,0,0,0,0
FAM168B,2577,2052,3163,3166,3344,2895
PTPN14,1068,464,1170,868,606,598
SMPD4BP,173,134,131,178,137,209
MGAT5,1607,1223,1521,1911,1730,1252
TMEM163,18,24,17,24,15,17
GPATCH11,296,282,80,444,310,271
HSPB8,17,15,6,4,10,3
GEMIN6,272,337,177,337,258,232
TMEM178A,0,0,0,1,2,1
POU4F1,0,0,0,0,0,0
OBI1,926,725,121,1361,1014,690
CYSLTR2,0,0,0,0,1,0
GRID2,0,0,0,0,0,1
ARL11,0,0,2,0,0,0
RIT2,0,0,0,0,0,0
SETBP1,0,0,0,0,0,0
ARL14EP,923,708,221,945,748,359
EPG5,586,640,569,461,464,556
PSTPIP2,669,729,615,591,555,593
ATP5F1A,7898,7762,9056,10294,9082,9211
HAUS1,497,631,238,790,524,497
C18orf25,954,624,433,849,774,757
SPC25,9,14,3,23,15,5
G6PC2,0,0,0,0,0,0
PDK1,886,693,546,2312,1325,1032
PTH,0,0,0,0,0,0
PDE3B,222,186,76,260,189,153
TCF7L1,2,0,0,2,0,3
TGOLN2,2824,1891,2845,2404,2277,1911
SH2D6,5,0,0,0,5,0
KCNK13,0,0,0,0,0,0
UHMK1,3475,2631,524,3728,3229,2181
ATG10,152,223,66,188,205,144
POC5,250,309,145,418,314,244
SPOCK1,0,0,2,0,0,0
FAM151B,38,23,6,35,16,38
TADA1,431,409,250,392,372,311
GUCY1A2,0,0,0,0,0,0
CWF19L2,135,114,7,162,101,79
JMY,280,310,67,392,347,249
HOMER1,162,194,68,257,210,246
XRCC4,256,335,17,334,223,202
BOLL,4,0,0,0,0,0
ZNF547,31,24,7,48,38,44
ZNF773,82,49,110,96,73,60
ZNF776,284,126,197,226,153,136
ZNF256,0,0,0,0,0,0
SUV39H2,335,285,61,404,340,280
DCLRE1C,215,120,82,339,175,196
OLAH,1,7,2,5,10,4
RPP38,391,437,370,387,299,359
NMT2,365,403,377,363,427,479
ZSCAN1,0,0,0,0,0,0
ZNF837,23,14,51,22,29,41
USP12,1019,785,58,1392,1148,968
CCDC50,2893,1950,1276,3032,2131,1932
CAMK4,153,108,291,127,176,101
TRIM36,262,182,210,257,212,209
ZFP36L2,590,398,275,562,589,551
PAN3,751,703,248,1164,893,766
PLEKHH2,141,186,21,81,93,177
PFKM,916,783,1091,1096,1253,1154
TMEM123,6962,5411,1301,7489,6313,4643
GRIA4,14,23,4,32,4,1
IGSF10,13,1,2,4,2,9
SPEF2,121,53,6,79,67,35
SPARCL1,4,3,7,5,0,1
DSPP,0,0,0,0,0,0
DMP1,0,0,0,0,0,0
MEPE,0,1,0,0,0,0
MBNL1,2061,1775,2093,2311,1600,1310
CAPSL,0,0,0,3,3,0
NADK2,879,650,433,1038,711,559
GPD1L,720,543,610,837,640,531
GJA1,1697,1246,620,1631,1017,857
CCNO,118,137,266,137,183,246
DDX4,1,2,0,2,13,2
CLEC4F,0,0,0,0,1,0
SLC30A6,890,697,252,1264,776,647
PELO,506,508,658,662,644,610
RASGRP3,41,15,25,22,41,43
SAR1B,525,477,223,619,593,401
CATSPER3,2,1,4,4,1,1
GPR180,516,406,86,822,675,557
TCTEX1D1,0,0,0,0,0,0
DNAI4,11,21,0,11,3,9
ANKRD22,1202,723,342,1264,722,709
FARP1,1273,826,1244,1175,1355,1550
IFIT5,272,238,65,289,257,201
SLC16A12,1,0,0,0,0,0
PANK1,205,192,172,252,184,98
PRDM8,13,5,14,11,12,10
BMP3,0,0,0,0,0,0
HNRNPDL,7310,7485,2440,8270,6678,6032
HHEX,0,0,0,0,0,0
UTRN,1671,729,661,2160,1190,1029
GRM1,5,1,2,0,2,1
PTPRK,0,0,0,0,0,0
GGPS1,388,322,209,425,375,256
CNTNAP4,0,0,0,1,0,0
ZNF117,45,24,9,47,24,23
PART1,0,2,0,0,0,0
RAB3C,0,0,0,0,0,0
LMNTD1,0,0,0,0,0,0
MARVELD2,96,76,119,146,176,107
RAD17,0,0,0,0,0,0
MED21,490,427,345,786,481,475
PLOD2,826,626,55,1358,963,731
STK32B,1,0,0,0,0,0
