gene_name,dH1f_sgControl_Rep1,dH1f_sgControl_Rep2,dH1f_sgControl_Rep3,dH1f_sg_AF10_Rep1,dH1f_sg_AF10_Rep2,dH1f_sg_AF10_Rep3
GNS,3612,4180,2647,3653,2694,2919
CPM,105,67,40,196,105,127
MDM2,791,1231,459,536,623,599
KLHL36,458,523,403,485,317,375
BCO1,1,0,0,0,2,0
MPHOSPH6,287,323,208,327,232,317
CHST5,12,10,0,12,4,0
KIAA0513,234,254,158,194,202,185
DYNC1LI2,2599,3163,1951,3323,2151,2197
FBXL8,106,86,51,94,52,60
FHOD1,668,603,357,406,402,303
CCDC102A,237,207,174,244,184,168
SLC9A5,52,48,30,64,20,35
AGT,56,85,43,79,86,77
ZNF670-ZNF695,16,40,14,22,31,10
PCNX2,314,551,358,371,282,297
KCNK1,403,446,267,357,352,369
URB2,330,391,194,365,271,267
EGLN1,1095,955,788,1104,888,907
CAPN9,1,0,2,6,3,1
COG2,572,696,379,616,474,570
ABCB10,298,296,182,263,184,214
NTPCR,501,439,303,360,442,311
TAF5L,300,360,270,389,327,311
GLUL,2097,2509,1676,2024,1852,1786
STX6,615,690,487,613,459,551
RGS8,0,2,0,8,1,0
RNASEL,251,241,177,222,161,200
DHX9,3197,3850,2529,3172,2625,2779
KIAA1614,87,113,132,75,54,46
CEP350,563,698,357,979,594,449
NPL,34,31,29,36,39,29
NIBAN1,2356,2766,2048,2656,1738,2127
PIGC,332,368,252,331,322,271
LAMC1,11915,13848,9542,13899,10218,10948
RC3H1,476,621,377,514,351,403
GPR55,0,5,0,3,0,1
SP110,354,517,234,241,314,237
MRPL44,514,571,335,419,423,467
CHRND,0,0,0,0,0,0
PAX3,1,0,0,0,0,0
DOCK10,426,375,310,165,153,199
TTLL4,180,317,157,198,238,241
USP37,179,180,133,272,151,151
HTR2B,1,7,1,9,5,2
ITM2C,1595,1842,1334,1776,1594,1557
SLC19A3,52,78,15,39,19,17
SERPINE2,11715,13950,8663,7761,6319,6819
DNAJB2,407,457,345,388,370,356
WNT10A,0,0,0,0,4,0
TMBIM1,2338,2510,1985,2114,1908,1997
CYP27A1,147,180,120,98,105,125
EIF4E2,1750,1860,1235,1547,1311,1359
ARMC9,765,811,640,574,554,649
CAB39,1068,1180,818,1125,849,914
COX5B,1981,2053,1603,1787,1794,1768
REV1,499,762,260,631,361,307
TSGA10,75,37,28,33,30,25
MFSD9,79,83,147,96,82,105
TMEM127,983,1203,836,1044,901,921
EDAR,1,2,0,1,0,1
TGFBRAP1,424,490,327,453,373,449
GCC2,1395,1011,712,1310,665,952
MRPS9,701,759,494,643,580,551
GPR45,0,0,0,0,0,0
C2orf49,367,358,366,394,347,520
ANKRD36,255,343,154,184,172,151
EPC2,447,471,311,441,344,355
ARHGEF4,94,204,57,145,94,81
ISCU,1587,1739,1031,1281,1167,1183
ALDH1L2,2127,2327,1617,2685,1729,2044
STAB2,0,0,0,0,0,0
USP44,7,1,1,9,11,5
SCYL2,1079,1218,817,1341,847,1112
CKAP4,6268,6911,4724,6491,5696,5790
PLXNC1,73,132,77,131,104,113
APPL2,744,803,434,525,432,547
PWP1,1398,1731,1266,1601,1389,1223
DRAM1,1277,1508,978,738,673,707
WASHC4,1906,1356,971,1442,884,1334
SLC41A2,279,346,166,250,186,298
VILL,46,72,49,65,48,48
FLNB,12938,17709,9886,14248,11755,11561
NEK3,236,140,114,169,124,66
PCDH8,0,0,1,3,0,0
VPS36,959,1087,709,916,764,792
RNASEH2B,383,505,339,465,333,396
CKAP2,886,1038,735,969,749,905
CNMD,1,7,3,22,20,8
TBC1D4,535,607,428,527,389,474
THSD1,145,146,83,61,42,71
BORA,141,152,103,164,116,134
LRCH1,313,463,290,406,340,350
SUCLA2,1222,1332,882,1419,1260,1314
RCBTB1,500,597,399,546,336,441
MED4,710,852,552,703,604,665
PHF11,226,335,168,256,175,167
RPL13AP25,12,7,17,5,9,15
COG3,676,798,525,572,467,463
LMO7,2644,3709,2201,4010,2548,2837
SCEL,533,571,407,573,426,462
ITM2B,8414,9631,6247,7808,6723,6967
SPRY2,244,310,174,210,199,191
NUDT15,577,602,377,623,547,534
EDNRB,5,0,3,3,2,2
RCBTB2,205,248,147,198,155,206
LCP1,29,13,7,47,22,33
SETDB2,162,237,94,190,201,176
SCRN1,2299,2855,1921,2337,1835,2069
C7orf25,61,43,66,47,47,56
TNS3,1714,2028,1327,1981,1557,1606
SPDYE1,0,0,0,0,0,0
CHST12,411,609,400,526,515,461
IGF2BP3,977,1115,878,1361,899,1058
GPNMB,7787,8627,5795,4254,3749,4133
RAPGEF5,40,25,27,48,49,40
RAC1,6393,7125,4312,5371,4627,4842
KDELR2,6630,7408,4797,6199,4947,5343
NUP42,429,547,330,508,289,272
IL6,100,115,105,75,54,45
ZDHHC4,489,569,402,438,455,469
AOAH,13,15,7,18,12,18
BZW2,1514,1823,1248,1634,1515,1645
DGKB,9,3,0,7,10,2
TBRG4,857,1075,750,917,837,934
DDX56,993,1111,548,717,802,643
HUS1,202,232,234,214,190,226
NACAD,198,160,109,200,140,166
C7orf69,0,1,2,2,1,7
DBNL,1282,1833,1361,1316,1271,1232
CCM2,892,1124,784,922,810,826
MYO1G,61,83,68,93,99,93
TTYH3,1943,2099,1621,1952,1511,1542
MMD2,0,0,0,0,0,0
CIDEB,0,0,1,1,3,1
TTC5,263,228,138,296,263,266
NKX2-8,0,0,0,2,0,0
NKX2-1,0,0,0,0,0,0
ZFHX2,14,25,9,29,26,39
MTHFS,163,166,121,129,94,143
ADAMTS7,429,456,299,410,325,281
ABHD17C,119,112,62,92,95,117
IREB2,1171,1323,874,1462,1022,1185
ALPK3,81,42,10,87,46,33
TM6SF1,85,81,74,90,96,104
CIB2,47,48,39,53,36,38
CALCOCO2,1242,1753,1066,1323,1112,1085
RSAD1,521,718,380,524,379,388
NMT1,2113,1909,1442,1917,2062,1822
MYCBPAP,19,18,13,15,13,7
SRSF1,3781,3954,2592,3694,2784,3290
VEZF1,780,882,609,773,517,608
CHAD,8,12,11,14,23,16
TACO1,426,557,366,440,445,406
TEX2,594,785,547,640,535,506
DCAF7,1161,1387,937,1301,1263,994
GH2,0,0,0,0,0,0
CSH1,0,0,0,0,0,0
LIMD2,248,312,256,235,188,234
BRIP1,144,161,65,101,87,131
KAT7,624,700,486,716,526,521
RTP4,4,6,2,4,5,3
ACTL6A,1095,1119,662,989,778,915
NDUFB5,1517,1522,1124,1244,1156,1338
MRPL47,811,894,512,763,690,695
TRA2B,1988,2228,1546,2000,1866,1912
SCN2A,53,77,37,69,33,37
TBR1,3,3,0,0,2,0
MARCHF7,1558,1649,1277,1710,1237,1553
ERMN,6,11,9,1,1,6
GALNT5,589,566,464,606,447,445
SCN7A,63,261,44,147,164,128
TANK,794,895,615,794,564,696
BLK,0,0,0,1,1,0
GATA4,0,0,0,0,0,1
SKIL,1649,1716,1102,1957,1331,1551
EPRS1,5672,6690,4295,5928,4547,5521
HLX,248,233,178,120,89,144
VPS45,523,725,479,663,436,501
IL10,1,9,0,4,8,3
KCTD3,899,1084,697,937,608,647
RPS6KC1,663,758,436,640,548,558
CBWD2,564,634,482,738,511,586
IL36G,0,1,0,0,0,1
IL1RN,3,5,4,5,9,8
IL36A,1,0,0,0,0,0
IL36RN,8,9,3,4,11,17
IL36B,8,14,8,1,7,7
IL1F10,0,0,2,2,1,1
CFC1,2,1,2,8,4,4
SMPD4,885,1244,759,1072,824,842
WDR33,933,908,556,1205,844,1069
CCDC115,333,322,246,260,266,299
SAP130,352,523,298,359,285,342
BIN1,1971,2132,1545,1837,1715,1546
IMP4,938,1031,690,915,744,896
HS6ST1,681,770,590,923,784,840
UGGT1,1658,2608,1779,2545,1818,2247
GYPC,1451,1705,1083,1210,1212,1108
STAM,521,501,396,496,372,364
GAD2,0,0,0,0,0,0
ABI1,902,1100,858,1015,721,886
YME1L1,3629,4250,2945,4287,3305,3555
DNAJC1,820,935,633,736,622,680
NIPSNAP3A,438,390,297,339,279,301
LRRC8A,1229,1533,1084,1384,1230,1190
CDK9,573,823,654,740,746,654
TXN,5300,5621,3959,3821,3660,4020
ODF2,682,849,478,721,551,583
ECPAS,2954,3301,1687,2595,1772,2559
TOR1B,779,782,596,758,560,605
C9orf78,1292,1683,1086,1581,1351,1453
SMC2,706,749,570,850,537,626
KLF4,2677,3561,2989,4801,4019,4088
TOR1A,1034,1251,853,1023,902,961
RALGPS1,23,35,19,63,34,48
NIBAN2,6375,6789,5566,4612,4133,4254
OR1J1,0,1,0,1,1,0
OR13C9,0,0,0,0,0,0
ST6GALNAC4,420,464,368,415,362,361
TMOD1,24,23,20,19,20,16
DAB2IP,620,704,603,935,801,743
STXBP1,483,607,506,563,377,440
SLC2A8,61,63,53,73,49,75
ANGPTL2,644,630,458,450,378,424
CDK5RAP2,971,1071,612,822,657,747
ZFP37,98,96,56,108,46,68
SLC31A2,152,179,113,96,83,101
SLC31A1,1375,1546,1034,1456,1123,1127
TLR4,343,389,328,373,264,329
ZNF189,252,301,199,300,205,239
ALDOB,0,0,0,0,0,0
STX17,93,159,103,178,117,132
PRPF4,712,881,584,860,739,780
FPGS,628,803,487,535,457,423
USP20,356,429,203,262,332,193
BAAT,0,1,1,3,0,1
KIF12,18,18,4,23,27,11
ATP6V1G1,1934,2010,1554,1957,1721,1858
TEX10,636,698,491,610,519,490
GARNL3,5,10,17,28,12,5
MRPL50,505,504,348,491,430,455
DPM2,406,516,319,348,363,375
WDR38,1,0,0,0,0,0
TSTD2,397,531,344,545,405,420
GABBR2,23,25,20,23,15,17
HEMGN,0,0,0,0,0,0
PSMB7,2774,2990,1996,2385,2367,2365
NR5A1,0,0,0,0,0,0
TRMO,122,156,121,137,124,135
RABEPK,483,530,383,482,450,497
GOLGA1,386,532,397,499,346,396
XPA,213,224,162,223,156,232
NCBP1,1029,1141,840,1241,887,915
ANP32B,3773,4421,2787,3292,2955,3039
OR1L4,0,0,0,0,0,0
PDCL,371,485,327,372,343,388
RPL35,7452,7809,6125,6119,6680,6188
CTSV,35,62,25,53,57,47
LMX1B,4,7,5,1,2,1
ARPC5L,926,1047,681,833,746,753
ENPP2,544,673,518,337,277,326
DSCC1,164,160,123,131,118,122
DERL1,1121,1342,983,1196,1053,1188
MYC,6854,8684,5357,8829,7795,8198
CCN3,618,696,510,418,376,414
IL33,68,111,69,146,101,89
DMAC1,671,775,481,553,587,562
RANBP6,502,561,455,491,429,499
POLR1E,484,526,369,478,380,440
PLAA,818,947,582,819,755,819
IL11RA,264,323,185,177,182,150
UBAP2,545,740,444,780,565,618
APTX,511,551,380,570,457,505
RNF38,247,291,233,297,202,216
TLN1,4693,5889,4299,4461,3831,4601
CCL21,0,0,0,0,0,0
SIT1,0,0,0,0,0,0
IFNA21,0,0,0,0,0,0
DMRT1,1,1,1,3,1,0
DNAJB5,100,179,113,132,117,103
SPAG8,12,12,3,8,6,7
DCTN3,680,763,558,615,574,608
CD72,2,2,0,2,5,2
TMEM8B,137,149,89,105,101,93
GRHPR,1110,1267,933,1073,1070,1063
ALDH1B1,624,741,529,722,621,558
HINT2,300,331,207,253,295,261
ARHGEF39,61,128,55,81,75,79
IGFBPL1,0,1,0,2,0,3
DENND4C,422,465,332,498,354,461
RPS6,27214,29807,17489,20973,20202,20755
CNPY3,667,784,590,540,512,501
FOXP4,216,305,209,352,281,261
PPIL1,596,766,505,673,631,712
KLC4,354,338,258,389,311,281
KIF13A,1102,1142,821,1063,895,928
ZSCAN9,155,167,83,141,89,134
PIM1,704,783,516,576,475,499
CDSN,51,75,49,41,28,46
GMPR,31,28,17,28,37,25
CMTR1,791,876,595,822,628,738
TFAP2A,21,36,21,30,20,26
SLC22A7,0,0,0,0,0,0
YIPF3,1384,1890,1349,1397,1386,1323
TMEM14B,856,910,631,729,694,767
TMEM63B,516,708,375,498,461,406
FRS3,40,36,31,18,12,35
TJAP1,230,331,241,296,276,361
CAPN11,0,0,1,0,1,0
TINAG,1,1,0,0,0,1
HCRTR2,2,0,4,3,1,0
KIAA0319,3,5,6,11,3,6
IRF4,0,5,0,2,2,9
SLC22A23,314,463,238,684,572,539
TUBB2A,1490,1943,1556,1870,1668,1713
LRRC1,229,336,163,230,165,223
GCM1,8,18,7,4,10,6
FOXF2,2,2,2,3,4,3
BPHL,235,280,132,196,185,199
RIPK1,706,889,540,753,615,625
TUBB2B,292,355,260,620,642,612
UQCC2,636,848,566,609,680,573
HMGA1,2797,3303,2452,2047,1903,1946
TCF19,0,3,0,0,1,0
TRIM26,0,182,0,0,187,0
IER3,0,0,0,0,10,0
DDR1,580,584,352,394,403,374
MDC1,81,72,106,0,63,38
PGBD1,133,139,77,131,75,93
MOG,0,0,0,0,0,0
TPMT,684,702,467,626,550,581
TRIM15,0,0,0,1,1,5
CLPS,0,0,0,0,0,0
RNF144B,90,72,61,76,55,44
TRIM10,0,1,0,0,0,0
TRIM31,0,0,0,0,0,0
HLA-F,2,0,0,0,0,0
MTCH1,3146,3730,2537,3065,2867,2730
VARS2,0,0,0,19,20,0
TAF8,298,376,230,312,278,255
FAM8A1,802,957,605,785,588,581
C6orf52,9,8,4,4,11,8
FGFBP1,27,28,16,30,41,30
FGFBP2,23,35,22,61,72,60
FHDC1,10,13,11,20,17,18
TLR2,45,46,29,15,15,14
MGARP,38,23,23,31,13,37
TTC29,9,8,2,3,2,8
MYO7A,8,22,21,28,19,4
FCHSD2,743,959,665,949,693,810
ARRB1,190,231,119,240,235,206
SLCO2B1,5,12,11,19,44,7
THAP12,1170,1206,830,1135,884,1045
ANKRD42,310,321,166,245,175,211
IL18BP,46,55,39,57,49,34
NUMA1,2306,3118,1793,2266,1952,1657
CCDC90B,1007,1070,771,1055,710,802
SYTL2,449,435,250,390,336,310
RAB30,256,428,254,322,445,370
CREBZF,1100,1094,595,838,579,600
LRRC32,1463,1509,1116,1293,1263,1080
PRCP,985,1115,708,803,706,795
NARS2,488,485,240,315,330,365
RNF121,301,294,276,352,287,278
MRPL15,851,972,724,904,847,885
PI15,14,14,6,64,29,48
TTPA,3,1,2,2,2,0
GGH,525,581,362,460,425,405
SLCO5A1,11,10,4,15,11,6
SULF1,2816,3588,2040,5210,3938,4651
TGS1,430,468,360,547,378,520
SDCBP,4368,4610,3363,3194,2532,3076
NEK1,604,701,459,715,442,543
DDX60,760,902,327,620,427,501
NXPE4,0,1,0,0,0,0
SORL1,124,110,60,196,107,101
TMPRSS4,7,11,9,11,12,6
BUD13,263,231,170,208,207,182
TRPC6,35,14,36,26,17,21
MMP7,2,1,1,0,2,0
MMP20,0,0,0,0,0,0
MMP27,1,0,0,0,0,0
CFAP300,109,164,92,145,86,142
DCUN1D5,1079,1160,818,979,851,975
YAP1,2233,2427,1512,2192,1470,1684
TRIM29,268,403,252,438,349,415
SLC37A4,137,115,76,91,117,101
BTG4,1,0,0,0,2,1
POU2F3,14,34,15,22,21,23
RDX,2063,1964,1473,2093,1352,1545
PPP2R1B,745,487,357,726,396,539
FDX1,382,433,292,382,345,312
C11orf1,116,108,81,94,109,96
FXYD6,3,4,6,4,3,3
ARHGAP20,9,21,8,21,4,9
FXYD2,5,1,0,2,2,11
MMP13,70,81,41,20,27,21
TMPRSS13,0,0,0,0,0,2
CASP1,118,124,69,105,92,76
CASP5,7,4,1,4,4,2
ALKBH8,247,297,174,279,175,196
MAP2K5,310,285,183,251,184,190
UNC13C,10,6,6,13,14,3
SQOR,669,602,478,235,237,239
CTDSPL2,601,506,431,768,354,527
SLTM,2349,2571,1491,2339,1584,1783
THBS1,9949,10034,6455,14434,10299,10588
MAPKBP1,356,298,191,269,205,199
NUSAP1,673,767,440,701,461,563
NDUFAF1,407,396,284,373,333,348
KIF23,709,857,556,691,583,634
ITGA11,8027,10818,7848,8699,6708,6685
KNL1,285,457,255,254,147,213
HAUS2,345,494,361,430,395,341
RTF1,1454,1615,915,1807,1265,1269
PARP6,605,765,441,609,509,423
RPLP1,16752,17001,13953,12031,12634,11827
PAQR5,168,162,133,240,114,146
LRRC49,239,272,170,162,158,149
TUBGCP4,509,492,413,535,426,388
RMDN3,531,567,380,559,443,499
ITPKA,19,37,34,37,36,34
UACA,4361,5450,2982,3557,2772,3075
SMAD6,96,127,84,166,117,127
PLCB2,9,20,12,19,15,34
TMEM62,102,160,61,102,85,79
PAK6,7,11,13,19,6,1
ADAM10,3985,3736,3555,4267,2939,3699
DUOX1,29,23,26,3,8,8
SLC28A2,14,8,11,15,18,9
STRA6,125,169,85,320,295,229
CYP19A1,3,0,3,0,0,0
ZNF280D,319,375,169,234,180,211
SEMA6D,18,55,7,7,14,13
BCL2L10,0,1,0,1,1,1
RSL24D1,2548,2760,1879,2231,1948,2170
SPTBN5,38,50,14,46,29,33
GCOM1,8,13,10,9,0,9
GCHFR,28,40,27,44,36,46
BCAR3,1203,1231,783,713,663,581
TTLL7,140,161,104,169,261,158
FNBP1L,793,924,625,957,747,763
KYAT3,348,436,268,325,300,284
GTF2B,462,477,344,445,385,402
BRDT,0,5,1,1,2,0
RABGGTB,2053,2061,1265,2151,1610,1630
IFI44L,389,1095,271,413,453,348
GIPC2,11,16,9,11,12,39
ARHGAP29,4451,4592,3311,3338,2183,2751
IFI44,300,866,217,293,285,227
SLC44A5,19,15,8,24,10,19
RPL7P9,34,65,14,39,23,38
CLCA2,4,3,0,10,1,9
DNASE2B,0,1,0,0,0,0
DBT,387,450,440,498,357,532
RTCA,812,892,609,859,655,760
IFT172,365,531,347,299,271,295
SELENOI,772,715,454,932,643,746
CGREF1,105,103,94,83,88,82
HADHB,2297,2539,1682,1944,1677,1905
KHK,13,24,8,9,17,4
ADCY3,413,506,283,395,327,328
PPM1B,554,674,497,704,670,611
PNPT1,790,1175,613,1204,833,904
DYNC2LI1,363,453,261,361,331,301
LHCGR,0,0,0,0,0,0
THUMPD2,208,187,105,136,137,138
CYP1B1,3527,3762,2641,3479,2538,2944
SULT6B1,15,2,0,0,1,1
RAB1A,3726,4125,2848,3579,3057,3140
ACTR2,7230,8101,5593,8246,6163,7223
PREB,768,913,570,700,672,662
SLC5A6,293,474,232,413,378,430
ABCG5,9,8,10,9,13,10
PREPL,1597,1771,1216,1914,1280,1751
SLC3A1,11,26,4,12,8,13
EMILIN1,1973,2149,1569,1423,1336,1204
FBXO11,1183,1406,788,1075,795,931
SIX3,0,1,1,1,1,3
ATRAID,1401,1537,1002,1094,1065,1073
CENPO,336,425,233,335,248,422
LRPPRC,3418,3534,1966,3017,2232,2183
TRIM54,0,3,0,3,3,2
DTNB,73,77,53,65,51,69
ACTR1A,2127,2620,1903,2188,2065,2045
CYP2C9,1,3,0,1,1,0
MFSD13A,110,106,60,125,92,70
CYP2C8,0,2,2,0,1,2
MYOF,8051,9440,6798,8838,6577,7485
LOXL4,472,594,398,801,618,664
STAMBPL1,218,261,171,209,207,192
CH25H,25,47,32,11,19,12
LBX1,2,2,0,2,0,1
BTBD16,3,2,2,0,4,3
KIF11,614,730,513,761,517,625
CUZD1,1,0,0,1,0,0
TACC2,522,653,410,591,437,459
DUSP5,505,632,423,405,397,378
CALHM2,251,315,253,264,264,225
ARL3,619,675,447,502,491,511
CEP55,520,627,403,531,372,501
KIF20B,496,503,346,518,346,401
ENTPD1,23,46,10,22,15,12
EXOC6,184,230,136,298,198,208
PLCE1,580,745,348,612,416,539
RBP4,44,53,39,101,78,95
DBR1,343,349,224,320,244,270
DNAJC13,1783,2059,1505,1866,1362,1509
GPR87,8,13,4,4,5,4
ANXA7,2983,3818,2595,2959,2628,2606
FAM149B1,325,419,272,364,288,264
ASCC1,443,506,398,504,373,464
PLA2G12B,0,0,0,0,0,0
ZNF365,94,110,86,140,98,112
OIT3,0,2,1,2,1,0
ADAMTS14,525,618,337,589,462,397
RPS24,16430,17589,11983,12966,11855,12922
TET1,38,44,31,96,54,78
DNA2,153,196,52,185,121,150
MYPN,26,17,6,19,6,4
AOX1,183,243,124,137,100,68
ATIC,1754,2325,1136,1605,1644,1545
SMARCAL1,379,463,365,366,349,316
BARD1,115,104,52,108,77,96
STAT4,297,376,197,391,305,294
MSTN,8,10,5,9,0,3
CARF,192,268,120,322,145,273
ASNSD1,1155,1228,870,1271,995,1109
METTL5,682,715,499,586,529,571
SSB,4246,4783,3055,3960,3568,3855
NAB1,761,825,620,934,656,895
CDK15,24,31,18,28,29,37
PPIG,1862,2025,1174,1601,1443,1532
FASTKD1,540,638,387,475,439,430
MDH1B,29,33,11,47,18,15
HECW2,109,72,74,106,58,120
IDH1,2566,2900,2035,3209,2716,3086
OLA1,1727,2127,1394,1830,1500,1524
CIR1,856,977,628,669,655,679
ITPRID2,1616,1644,1193,1807,1937,1456
CHRNA1,1,4,3,8,9,3
FAM117B,168,209,124,186,140,151
WDR12,904,765,725,971,640,831
ABI2,791,912,668,899,814,727
ITGAV,5723,5352,4146,6635,4306,5287
SLC40A1,18,18,14,20,13,17
SLC35A5,548,597,358,550,432,494
SLC49A4,233,323,197,233,210,191
SENP7,221,325,157,228,196,139
GUCA1C,0,0,0,0,0,0
CCDC54,0,0,0,0,0,0
COX17,456,487,327,392,375,358
PARP9,808,1528,614,831,865,930
MNS1,57,86,35,56,27,35
USP8,914,1133,718,1323,781,963
SECISBP2L,876,1074,666,839,713,630
TMOD3,2305,2652,1826,2785,1828,2270
SPPL2A,1135,1309,1098,1276,957,919
GLCE,547,604,396,458,381,423
SHF,123,159,109,127,106,125
APH1B,250,129,113,224,90,154
INTS14,639,707,485,681,539,568
CILP,4,7,3,7,4,8
PARP16,93,94,86,88,39,60
PPCDC,61,56,57,79,67,96
HCN4,0,0,0,1,0,0
SEMA7A,1124,1220,818,685,592,532
UBL7,458,551,344,468,447,365
ARHGAP24,473,573,405,344,279,277
FAM13A,284,311,256,368,258,293
HERC3,341,294,373,307,209,276
HERC6,229,566,218,228,299,277
HERC5,36,70,25,62,54,49
PCDH10,203,196,113,651,572,521
NDST4,0,0,0,2,0,0
ZGRF1,165,152,121,109,106,95
AP1AR,519,545,426,489,364,470
COPS4,912,990,750,981,806,814
HNRNPD,3753,4775,2671,3739,3014,3328
PRKG2,9,7,6,2,2,3
RASGEF1B,30,44,29,23,26,20
SEC31A,4940,6577,3916,5054,4088,4806
FGF5,179,221,121,126,105,95
GPAT3,159,153,102,115,110,90
IL21,0,0,0,0,0,0
FGF2,1082,1124,812,958,651,793
BBS7,319,343,252,330,255,330
KIAA1109,840,1161,645,836,522,648
BMPR1B,42,76,32,41,31,37
RAP1GDS1,913,1091,816,1034,848,949
LARP1B,375,407,278,391,337,349
MMRN1,1,0,0,0,0,0
PDE5A,130,120,85,110,96,158
PRDM5,127,166,110,105,135,76
TRPC3,1,1,1,0,0,2
NAAA,282,402,220,329,276,264
NUP54,772,745,514,653,442,590
CXCL9,1,0,3,0,0,0
BMP2K,534,544,316,537,376,371
G3BP2,2647,2815,2286,3054,2360,2793
SEPTIN11,5238,5258,3801,6391,4849,5206
FRAS1,496,551,331,897,606,615
SCARB2,3881,4265,2807,3193,2734,2806
CCNG2,681,628,413,574,438,501
CNOT6L,334,469,254,380,331,327
USO1,2663,3006,2070,2871,2094,2447
CDKL2,10,14,9,6,6,6
SHROOM3,258,226,226,391,328,405
ANXA3,745,728,472,818,676,722
PPA2,1099,1251,813,917,864,976
CENPE,449,743,486,649,520,455
GSTCD,207,211,163,234,173,194
INTS12,437,435,309,394,358,411
ENPEP,29,87,25,36,107,33
CASP6,261,239,217,316,249,221
LEF1,3,6,8,3,0,2
HADH,407,468,284,404,353,406
EGF,60,58,39,175,74,82
PAPSS1,2368,2769,1853,2524,2141,2137
SEC24B,692,760,510,784,615,710
C4orf17,0,5,2,1,1,0
PPP3CA,1786,2004,1410,1717,1350,1400
SLC39A8,396,416,308,434,318,382
MTTP,0,2,1,0,1,1
FBN2,4911,5960,3839,8851,5759,6226
MAPK8IP3,695,781,410,1054,445,488
RGS3,900,1016,777,693,649,666
GUCD1,1213,1169,935,1104,887,914
TTLL8,0,0,0,0,0,0
RNF185,958,1024,793,874,824,791
SHISAL1,567,663,482,463,347,376
PARVG,14,9,10,16,22,24
B4GALNT3,27,10,12,27,12,36
PDE6H,0,0,0,0,0,0
ERP27,0,1,1,1,5,1
ETV6,403,634,349,391,344,408
GABARAPL1,640,745,479,603,570,566
KIF21A,199,192,132,196,165,214
CPNE8,258,279,197,335,194,266
YARS2,527,513,411,424,478,434
FGD4,60,78,64,63,99,67
ALG10,71,47,23,49,46,51
PIK3C2G,5,9,1,2,4,1
SINHCAF,591,640,435,836,521,526
PLCZ1,0,0,0,0,0,0
AEBP2,424,535,361,583,341,451
SLCO1C1,0,3,0,0,1,1
ETFBKMT,44,101,64,36,70,45
ETNK1,848,952,505,772,599,565
ZCRB1,1066,1222,754,890,844,809
TMEM117,302,248,205,343,217,213
PRICKLE1,510,667,550,600,438,486
C1RL,753,730,555,392,200,392
NDUFA9,1530,1542,999,1333,1191,1308
CLSTN3,439,496,285,466,328,315
KLRG1,17,30,13,39,20,14
VAMP1,85,171,73,81,66,111
TAPBPL,129,128,100,81,71,60
CD27,0,0,1,3,0,0
RBP5,2,3,3,1,2,1
PEX5,613,693,419,654,479,521
PIANP,82,94,78,38,32,39
SLC38A4,19,24,31,68,55,53
AMIGO2,1236,1345,854,914,794,871
SCAF11,1816,2053,1243,1872,1300,1360
COL2A1,31,79,28,149,117,120
PPFIA2,1,1,0,0,5,13
ANP32D,0,1,0,0,0,0
LLPH,1069,1256,741,889,863,959
RPL14P1,23,12,21,21,32,0
LRIG3,477,455,315,685,331,482
MARCHF9,42,36,19,46,32,42
INHBE,224,239,152,283,278,358
GLIPR1,906,835,832,844,654,718
TPH2,9,12,8,17,6,9
PHLDA1,2765,3163,1984,2088,1524,1708
TMEM19,423,525,360,457,531,482
LGR5,74,58,30,111,56,78
PTPRQ,22,1,2,2,2,3
DUSP6,415,564,441,368,311,281
POC1B,242,325,252,400,226,269
TMTC3,865,865,672,1034,705,873
LUM,3001,3110,2035,3691,2931,3328
KERA,0,1,0,1,1,2
SNRPF,896,977,666,754,817,773
AMDHD1,10,16,23,12,30,29
NEDD1,483,470,301,452,381,406
SYCP3,7,15,9,8,3,3
ASCL1,0,0,0,0,0,0
GAS2L3,194,226,181,174,119,114
TMEM132B,84,125,66,283,69,70
SLC15A4,511,511,353,364,273,309
TDG,851,906,575,868,778,816
RITA1,422,466,349,381,338,343
SDSL,205,228,164,168,215,195
MMAB,431,593,356,468,427,476
GLTP,968,1095,652,871,684,788
GIT2,720,935,537,802,625,635
TCHP,354,370,238,294,286,272
FAM222A,26,18,11,28,30,21
FOXN4,0,0,0,0,0,0
NUP58,841,862,607,1014,723,702
MTMR6,669,766,577,640,544,662
SLC46A3,182,226,137,246,206,204
SLC7A1,1766,2102,1316,1821,1349,1410
PDX1,0,0,0,0,0,0
LNX2,132,155,111,174,113,132
SUOX,200,268,153,212,191,219
CCDC65,8,16,9,23,6,5
SLC39A5,3,1,0,1,0,0
TARBP2,418,532,333,420,415,398
RDH16,6,9,5,10,3,2
DHH,3,5,2,3,3,2
ACVRL1,186,115,108,230,167,143
GPR84,0,0,0,1,2,0
NPFF,0,0,0,0,0,0
NABP2,654,818,529,596,626,606
N4BP2L1,57,76,23,39,31,42
CELA1,0,0,0,0,0,0
SMARCC2,817,1034,721,1042,751,625
BRCA2,95,343,73,271,89,405
KANSL2,435,470,342,531,388,329
CERS5,826,1079,549,699,747,584
MAP3K12,347,465,467,343,215,241
ITGB7,55,100,47,123,78,72
GALNT6,55,106,63,133,123,77
CSAD,359,390,145,325,155,114
LMBR1L,331,348,273,314,313,182
MYG1,442,566,446,395,418,432
ESYT1,1786,2392,1348,1651,1313,1422
TMBIM6,7698,9164,6573,7626,6683,7162
ANKRD52,1194,1322,937,1499,1049,1065
