gene_name,WT_-LV_1,WT_-LV_2,WT_-LV_3,WT_+LV_1,WT_+LV_2,WT_+LV_3,ZEB1_+/-_-LV_1,ZEB1_+/-_-LV_2,ZEB1_+/-_-LV_3,ZEB1_+/-_+LV_1,ZEB1_+/-_+LV_2,ZEB1_+/-_+LV_3
SH3BP2,1843,1921,1150,893,1671,1383,1442,1720,1521,2191,1831,704
NOP14,2812,3068,2092,1510,4067,4117,1654,2428,2097,5111,4205,1489
ADD1,5875,6953,5041,3601,6006,4606,7395,8732,6711,8468,8876,3328
L2HGDH,876,998,871,477,620,741,1013,1209,1339,1505,1482,736
TXNDC16,735,1175,661,656,340,705,1118,1234,1156,1241,1653,680
RTRAF,2468,3122,2280,1557,1848,2574,2329,2941,3262,3910,4963,1713
NID2,258,285,320,327,165,86,344,331,326,289,413,270
GMCL1,759,779,651,325,516,450,955,1548,1239,1093,1677,581
SF3B2,9062,10041,7138,4657,10264,8274,8524,12126,8717,14728,13592,5209
KLHL42,1106,1017,929,678,1059,1195,1110,1322,1059,1560,1655,602
GNAS,28809,30108,20794,13842,23046,20306,33145,43310,29439,42857,38640,16328
DNM1L,2284,2960,2141,1312,2564,2322,2625,3306,2438,3651,4494,1621
PTHLH,37,38,28,16,50,31,9,10,17,73,34,20
PHACTR3,2,4,3,3,12,8,3,2,2,8,25,5
ERGIC2,761,1197,817,560,618,738,862,1076,935,1204,1839,723
TFAP2C,117,144,111,61,104,106,123,168,155,227,123,82
AURKA,3192,3842,2880,1789,1843,2669,3004,4149,3111,4301,4799,1917
CASS4,13,11,11,7,4,5,13,14,10,19,21,5
PIR,928,1257,783,554,451,823,1135,1605,961,1259,1173,508
AAMDC,320,338,278,155,180,223,438,571,353,413,441,171
RFX2,379,389,335,185,328,303,433,557,403,448,379,187
METTL2A,1093,1182,929,703,1119,1313,901,1413,1082,1755,1757,676
SULT2B1,6,8,43,3,3,7,5,12,8,13,13,1
ALG6,156,341,211,216,114,189,180,207,283,186,679,155
CNOT3,2864,3050,2397,1347,2833,2695,2743,4023,2747,4742,4028,1705
GP6,0,0,1,1,0,0,1,0,0,1,23,0
PTPN4,768,1095,631,307,343,599,994,1308,1025,1367,1431,405
DDX18,3150,3583,2857,1831,3875,4308,2434,3373,3073,5640,5886,2107
KHSRP,16548,17639,13677,9889,19812,15274,14745,19596,14679,25312,23430,8634
GNA11,1993,2125,1384,1196,1840,1968,1598,2050,1486,2676,2340,1185
EDEM2,476,568,382,230,405,320,776,973,732,639,763,247
DNMT3B,781,821,694,504,810,595,672,853,561,887,907,489
REM1,0,0,0,0,0,0,0,0,0,0,0,0
TPX2,9424,10664,8100,4632,5817,7663,9112,13209,9507,12226,12323,5185
FER1L4,134,162,129,37,83,28,193,156,184,146,169,91
PDRG1,567,600,491,250,561,501,510,675,509,973,907,388
EPB41L1,2340,2462,1632,951,1749,1492,2539,3161,2226,2838,3485,1437
SLC15A1,7,16,12,8,19,23,14,32,21,37,28,12
DOCK9,2596,3453,1911,1057,2025,1541,3433,4116,3531,3348,3035,1260
ANKRD10,3681,3874,3238,2126,1891,2657,3413,4066,3243,4692,4680,2169
TGDS,484,885,641,361,356,592,508,798,878,885,1255,588
DOCK3,413,464,328,169,233,282,478,615,502,533,516,221
C3orf18,19,13,11,6,7,5,14,13,17,10,22,6
COQ9,1278,1403,943,613,1000,1038,1837,2537,1596,1713,1781,652
TMEM40,23,19,14,7,7,9,20,5,15,19,16,6
KIF9,44,40,39,37,56,38,46,53,55,53,113,22
ARHGAP28,440,437,308,305,173,248,649,666,546,573,822,221
CRLS1,644,1130,808,656,450,973,530,806,793,497,2066,664
DEFB127,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R13B,827,846,744,222,390,437,788,1194,1231,1007,833,385
ATRN,2349,3085,2107,1578,1732,2154,3396,4315,3387,2015,4957,1849
SMOX,214,126,164,116,320,224,129,214,166,146,213,91
SIGLEC1,0,0,0,0,1,0,0,0,0,0,1,0
FKBP1A,5931,6823,5094,4189,7242,6495,7513,9178,6449,4929,10709,3676
NSFL1C,2415,2406,2065,1138,2067,2255,1706,2871,2035,1626,3115,1277
SLC4A11,105,136,88,100,111,113,220,204,166,126,287,78
C20orf194,372,432,347,244,241,244,635,797,547,243,594,243
ZNF343,531,549,424,274,442,517,449,607,467,475,583,302
EBF4,239,507,331,153,46,164,319,401,341,236,427,202
CPXM1,1,0,0,0,0,0,1,1,1,0,0,0
MAVS,6500,6685,5278,3685,4292,3990,6391,7800,5751,4338,7489,4190
LZTS3,511,410,333,286,346,367,413,719,372,505,591,300
F11,0,0,0,0,0,0,0,0,0,0,0,0
XRN2,3557,4445,3033,2174,3292,3934,3163,4484,3724,2834,6350,2315
KIZ,443,540,488,252,382,494,561,861,565,388,858,352
DYNLL1,4207,4945,3504,2693,3193,4040,3905,4964,3915,6206,7213,2851
TESC,62,47,35,12,20,40,24,28,9,73,132,13
SNX5,2357,2898,2168,1273,1365,2255,1951,2729,2666,1365,4012,1346
RPL6,38945,41907,30918,17965,34434,37316,31147,40401,32068,57566,51535,23034
SIRPG,0,0,0,0,0,0,0,0,0,0,0,0
MAPKAPK5,1457,1380,1148,667,1249,1315,1220,1591,1214,2286,2108,817
P2RX7,77,70,56,56,45,13,30,28,37,77,84,38
ESF1,896,1347,967,653,902,1296,905,1027,975,894,2056,815
RBBP9,1010,1361,991,615,838,918,1082,1421,1156,760,1683,847
ANAPC5,3302,4037,2862,1871,2949,3117,3021,4329,3290,5060,5683,2174
SLC23A2,2345,2694,2049,1547,1857,2040,2415,3420,2474,1949,2987,1372
SLC8B1,385,250,300,144,469,271,262,480,393,349,606,144
TMEM230,2115,2438,1773,1144,1883,1823,2126,2724,1998,1721,3063,1383
DZANK1,135,105,76,51,49,74,138,141,81,88,117,88
KDM2B,1760,1884,1543,1142,1227,1252,1878,2360,2081,1973,2222,950
CFAP61,3,0,0,2,2,5,1,3,2,1,2,1
LHX5,0,0,0,0,0,0,0,0,0,0,0,0
TASP1,236,270,210,98,157,177,225,372,266,202,342,100
OAS1,20,20,13,1,5,2,6,11,14,17,7,10
GCN1,9900,10501,7745,4534,8927,8810,9213,11369,8602,15129,13250,5371
RPLP0,37279,37626,28845,16944,28478,28962,40753,51544,37232,49061,52281,20649
PXN,4480,4149,2922,2174,6723,5060,3911,5002,3372,6596,6110,2469
SIRT4,61,38,33,29,32,29,77,81,38,74,73,30
RPH3A,1,3,3,1,3,9,8,4,1,8,4,0
KIF16B,955,765,567,336,555,558,889,1254,872,612,1181,508
TRMT6,831,1056,798,585,1198,1256,650,949,807,756,1385,563
CHGB,33,24,25,13,50,18,20,35,14,24,29,10
PEBP1,3661,4314,3104,2186,4199,3880,4490,5481,3990,6071,6282,2182
TBX5,0,0,0,0,0,0,0,0,0,0,0,0
BRAP,972,905,784,439,803,632,821,1153,937,1350,1176,549
ERP29,2270,2509,1897,1147,1851,1456,2523,3670,2567,2990,2480,1115
NOS1,32,34,31,13,17,21,36,29,30,44,34,20
FUS,12897,14472,10852,7423,13175,13315,13172,15473,11718,20579,17840,8293
IGBP1,876,977,720,405,631,653,809,1064,911,1218,1035,582
FXYD5,1170,1016,755,377,1453,1103,917,1319,892,1414,1404,447
ZNF302,476,438,412,261,290,314,694,691,512,967,591,297
GRAMD1A,1199,1239,1054,631,1213,1264,1104,1622,1126,1872,1599,797
FXYD3,0,1,2,3,0,2,2,1,2,2,0,2
HEPH,1,1,1,0,0,0,1,3,0,3,4,0
CDIP1,386,196,334,102,483,152,370,472,246,398,400,392
CMTM1,104,82,73,48,53,54,89,111,70,140,91,51
KCNH4,4,6,7,4,7,13,3,4,2,12,14,3
GANAB,21850,24402,17849,10763,17383,17676,26202,34265,24744,32320,32144,12311
GMIP,382,418,259,189,247,204,598,618,393,485,477,150
RBM41,372,572,357,183,303,337,455,676,505,622,628,284
BIRC5,4016,4938,3888,2045,2547,3727,3942,5182,4481,5781,6016,2957
LAG3,8,19,12,10,13,10,14,12,17,26,11,10
MLF2,5650,6090,4689,3610,5225,5243,8521,11691,8016,8761,13223,3488
OTUB2,298,283,309,154,196,231,395,338,404,374,461,161
DDX24,142,104,77,62,149,76,76,127,113,146,140,41
ZBTB25,518,511,372,221,280,305,471,789,785,728,937,267
NECAP1,1384,1312,898,450,1155,873,1217,1494,1233,1805,1578,646
ARHGAP4,11,19,29,16,5,4,23,12,48,5,17,8
ANKRD24,9,6,10,2,1,6,12,8,26,22,15,2
DHX32,731,1131,731,462,335,661,865,1174,957,1236,1532,688
RCOR1,2066,2135,1656,1079,1629,1808,2238,3287,2888,3117,2929,1316
GPATCH2L,2435,2316,1978,1403,1640,2233,1802,2914,2537,3228,3597,1471
LTBP4,586,747,479,340,356,279,925,1015,806,969,863,368
BLVRB,383,435,382,179,179,179,733,938,510,365,524,191
SLC9A1,1137,1418,878,610,1038,908,1098,1473,1086,1949,1766,750
SPTLC1,2666,2965,2058,1368,2320,2056,1691,2815,1988,3849,2736,1522
PAPOLA,6246,7078,5335,3427,5359,6519,5659,7349,7050,10049,11157,4529
CCNK,2507,2650,2060,1346,2254,2122,2080,3009,2913,3392,3939,1527
PCBP4,443,290,234,154,198,160,519,574,361,383,462,172
RGS1,0,0,0,0,0,0,0,0,0,0,0,0
YPEL3,386,298,230,161,141,113,379,563,388,424,413,210
MRPS33,714,794,571,364,548,562,523,902,572,1010,816,450
NDUFB2,1301,1406,942,628,1200,1181,1293,1589,1129,1752,1897,765
NUDC,5948,5835,4492,3331,8467,7241,3962,5632,4248,9452,8367,3247
MAEA,2210,2105,1694,1122,2114,1714,1876,2420,1856,3049,2827,1162
ICAM1,26,27,19,6,2,5,21,19,15,9,9,14
STRN4,2200,2138,1546,1254,2110,2017,2111,2490,2013,3220,2581,1114
IRAK3,1,2,4,0,1,2,5,2,0,9,8,3
LYZ,37,36,26,15,12,21,33,47,36,24,43,14
SI,0,0,0,0,0,0,0,0,0,0,0,0
MUL1,503,514,383,272,488,394,408,587,476,775,693,304
TFAP4,409,361,373,192,607,503,291,553,332,763,450,247
PDCD7,1203,1053,847,617,1450,979,1299,1532,1097,2021,1629,623
SPG21,1507,2053,1319,1097,1383,1546,1748,2069,1738,2376,3220,1154
FETUB,0,0,0,0,1,0,0,0,1,0,0,1
DNAJB11,2390,2773,2021,1242,2099,2363,2218,3788,2824,3737,3509,1359
P3H2,623,628,288,67,57,388,1069,1297,1062,832,743,133
THPO,86,70,53,63,28,29,115,109,64,46,78,51
CHRD,259,192,175,200,136,135,297,260,160,238,232,157
FLT3LG,77,80,57,36,39,30,94,164,122,93,64,26
RAB11FIP3,21,8,21,16,10,7,23,8,12,10,18,1
GNPTG,623,641,545,288,383,345,801,1043,729,734,737,288
ZNF268,431,620,474,294,314,317,552,658,560,925,746,449
GOLGA3,3238,3656,2622,2040,3363,3148,2742,4947,2510,5508,4620,2350
PABPC4,4562,4563,3713,2414,4567,4981,3468,4514,3773,6712,6685,2439
CD209,9,4,10,10,6,10,10,16,11,19,7,8
CERS4,304,336,241,165,194,272,452,375,354,467,490,195
MCOLN1,357,327,364,223,390,214,437,658,423,534,520,223
USP48,1275,1696,1002,716,695,1218,1326,1874,1367,1967,2095,1073
EFNB1,254,254,208,220,362,261,272,295,235,301,471,148
PDPR,5191,5276,4230,2651,4845,4600,4570,6579,4381,7820,6989,3210
AARS1,7468,6953,5246,3449,6651,4751,10092,15272,9406,11672,9415,4131
GLG1,8322,10203,6605,5430,6218,7381,10033,12876,9118,12216,13079,4859
KIF4A,3400,4195,2955,1846,2444,2931,3848,5142,3891,4466,4992,2035
TNRC6A,2921,3255,2480,1435,2433,2971,2416,3378,2830,4391,4164,1855
PLEKHG2,1126,870,561,1118,982,850,815,1158,654,1607,1467,640
DLL3,50,25,45,9,43,36,35,39,34,76,53,21
NAT14,749,811,536,403,487,542,705,907,619,1097,1028,430
PITPNM2,492,315,240,223,408,380,407,524,295,512,511,164
EXOC1,861,1186,979,404,292,618,1152,1543,1232,1205,1619,530
RBM27,932,1508,1072,757,806,1004,1103,1782,1340,2232,2146,935
POU4F3,0,1,0,0,0,0,0,0,1,0,0,1
OSBPL8,1767,2357,1769,1292,1522,1737,1805,2581,2179,3023,3132,1376
DTX2,362,266,147,160,379,346,254,331,280,494,443,131
NLRC4,1,0,3,2,0,0,0,0,0,1,0,0
PUS7,677,933,659,405,1085,1086,546,763,701,1405,1268,476
LAMB4,12,10,15,7,14,15,13,15,18,23,17,3
NRCAM,330,275,230,41,125,126,215,71,118,366,217,143
LAMB1,6781,9655,5338,3632,7669,8719,14646,15706,12075,10037,10951,4358
SLC26A4,16,7,7,8,6,18,5,11,14,39,18,3
SLC26A3,0,0,0,0,0,0,0,0,0,0,0,0
DLD,2810,4267,3059,2080,2324,2983,2955,4179,3761,4603,6760,2523
WDR7,676,1087,635,376,697,643,859,1177,1026,1329,1211,443
TXNL1,654,1025,715,572,532,801,501,963,877,1135,1468,524
IL5RA,0,0,1,0,0,0,0,0,2,0,0,0
ABCC6,139,143,105,50,69,66,259,288,242,178,183,47
CMTM6,630,1001,673,675,657,701,860,1029,858,788,1486,594
ITGA6,1034,1463,1056,556,916,1124,2068,2500,1630,1743,1757,651
RAPGEF4,192,348,160,50,187,74,466,458,463,357,466,91
MAP3K20,3403,4174,2704,1142,1818,2656,3123,4066,3733,5440,4214,1920
SMPX,0,0,0,0,0,0,0,0,0,0,0,0
FH,2761,3229,2240,1406,1852,2639,2707,3382,2957,4099,4957,1713
SEL1L3,1022,1241,824,229,479,497,1712,1987,1896,1490,1477,689
TF,17,10,5,11,10,14,4,9,29,29,8,7
CDV3,4937,5258,3890,2665,5899,6037,4159,5469,4285,8024,7029,2928
MYO15A,22,21,17,8,18,9,9,47,22,27,17,22
ALKBH5,4029,4031,3337,2608,3658,3759,3695,5329,3834,5805,5624,2208
APOH,1,0,0,0,0,0,1,2,0,0,3,0
NLRP1,634,721,527,478,427,432,514,720,574,992,922,397
PITPNM3,48,64,29,32,51,50,80,50,60,68,115,38
SPAG7,1524,1450,1212,741,1185,1211,1369,2053,1445,2125,2274,766
ORC6,1485,2186,1505,683,1279,1296,1880,2504,1891,2578,2530,1048
ZFHX4,3306,2703,2258,868,2045,1836,3600,4198,3615,3976,4322,1488
SLC17A6,0,0,0,0,0,0,0,0,0,0,0,0
CPA1,1,0,2,2,5,0,2,0,0,1,1,0
ZC3HC1,1103,1397,876,627,1090,1154,1166,1690,1151,1865,1749,719
ESR1,0,0,0,0,0,0,0,0,0,0,0,0
RGS17,45,56,50,44,78,52,63,50,43,81,82,35
ANGPT2,13,16,10,12,27,7,15,23,16,21,29,6
TMEM101,769,777,598,354,446,492,840,1019,710,964,946,417
CD200,21,1,12,15,12,7,20,19,15,30,33,0
CCDC80,866,1279,696,1011,1484,1337,2669,2663,1621,1583,1663,454
CMA1,0,0,0,0,0,0,0,0,0,0,0,0
PSME1,2190,2163,1627,984,926,1203,2980,3077,2341,3347,1261,1429
PPP2R3C,457,652,490,617,495,709,359,485,472,814,481,391
HAUS4,695,846,546,409,480,529,1021,1180,856,851,623,442
JPH4,24,16,7,43,4,4,157,9,7,40,11,9
MYH7,0,0,0,0,0,0,1,0,0,1,0,0
CEBPE,0,0,0,0,0,0,0,0,0,0,0,0
SLC7A8,4,14,9,5,0,3,5,5,6,5,23,9
OSGEP,1095,1084,752,570,998,973,931,1332,1002,1522,1435,649
SLC22A17,530,447,494,339,359,233,963,988,543,609,311,419
RNF31,876,856,621,387,592,760,732,1128,852,1216,516,473
SCFD1,1415,1875,1554,810,666,1669,1711,2493,1923,2531,1434,968
G2E3,927,1058,905,391,506,748,1010,1384,1244,1422,683,516
HECTD1,6400,7422,5751,3692,4542,5852,5519,7910,6155,8868,5310,3867
HNRNPC,21232,24014,19007,11139,17787,20510,19044,26086,21017,32227,25493,13345
RPGRIP1,8,10,3,0,0,4,6,6,9,10,18,4
SUPT16H,14700,17771,12862,8012,12659,15424,12340,16218,13534,23070,11732,9150
TOX4,2369,2364,1837,1222,2343,2015,2189,3402,2009,3469,1641,1468
GEMIN2,500,568,487,304,414,482,495,665,658,788,855,293
TGM1,29,26,31,7,54,34,6,40,11,42,22,33
TINF2,1347,1244,1094,681,1125,1057,1256,2023,1298,1492,819,650
DAZL,0,0,0,0,0,0,0,0,0,0,0,0
TBL1Y,0,0,0,0,0,0,0,0,0,0,0,0
SEMA6A,351,528,365,233,247,183,1266,981,983,551,679,132
TRPM7,1922,2885,2016,1251,1036,1701,2061,2825,2724,3262,3612,1520
TYRO3,2470,2232,1750,1400,2749,2284,2026,2558,1935,2749,3037,1021
WDR76,2008,2222,1795,1146,1164,1798,2215,2876,2244,3303,2842,1274
CAPN3,5,0,5,0,12,13,0,3,0,30,0,11
SNAP23,1372,1533,1169,696,1181,1120,1460,2199,1424,2002,2876,872
TBX15,148,217,144,92,143,146,250,342,190,263,270,111
PHGDH,2780,2729,2153,1401,1867,1701,3390,4538,3158,3882,3443,1419
COL9A3,62,34,113,125,5,18,85,56,54,82,56,34
EZR,5161,5301,3794,1728,3841,4308,3582,4928,3791,7327,5671,2538
MYL6,10895,11732,7138,5015,7045,7412,14778,18461,13028,16532,13762,6733
AGO1,3202,3552,2546,1898,3225,3100,2972,4146,3091,5847,3978,2119
TEKT2,5,7,1,0,2,0,1,0,4,2,10,2
CLSPN,3547,4320,2984,2404,2874,3364,2784,3850,3123,5322,5068,2490
RFFL,719,761,650,398,586,586,949,1152,814,1009,814,285
UNC13D,62,37,54,9,16,14,19,9,35,15,85,21
MFSD11,835,1091,923,497,329,582,934,1397,1020,1185,1211,562
DPYSL2,2760,3099,1941,2074,1952,1775,1916,2603,2199,3325,3168,1706
TGFB2,222,451,242,129,39,205,227,485,390,719,482,136
GPATCH2,479,646,490,263,396,414,551,601,515,771,784,349
NUP50,5510,5988,4551,2645,4271,4740,4293,5879,4377,7343,7118,2871
CDC45,1755,1661,1200,821,1490,1965,1083,1551,1374,2157,2278,870
COMT,1253,924,936,351,405,633,845,1546,1075,1143,1544,412
ADA2,18,29,14,1,13,2,10,28,8,43,30,2
VNN3,3,7,7,4,4,7,8,7,8,4,7,3
ECHDC1,1649,2021,1544,843,1622,1461,1377,2022,1632,2487,2687,868
LRRFIP2,517,517,391,220,529,387,499,777,467,729,569,324
SEC22C,1065,1104,779,465,572,763,1028,1558,999,1366,1275,520
XYLB,242,399,264,200,236,331,354,531,308,368,383,129
HDAC6,1602,1744,1288,625,1058,749,2147,2959,2017,2082,2525,898
OR1I1,0,0,0,0,0,0,0,0,0,0,0,0
GABRP,26,34,24,5,16,18,18,23,19,21,18,11
KRT31,0,0,0,0,0,0,0,0,0,0,0,0
CDC6,3997,4421,2892,1858,3680,3168,3163,4959,3677,6729,5023,2411
UPRT,239,295,251,129,153,209,294,346,252,354,377,173
CDC23,3322,3987,3259,1822,2985,3106,3223,4189,3338,5428,5655,2444
AAAS,2225,1945,1687,1292,1815,1741,2151,2826,2139,2753,3066,1189
CBX5,14888,17558,14442,7772,4942,8685,13853,18736,16095,21927,20526,9906
FMO2,0,0,0,0,0,0,0,0,0,0,0,0
SUCO,767,1082,723,434,339,621,738,1217,1031,1061,1429,559
MSH2,2804,4390,3256,2497,2073,3508,3146,4115,3868,4670,7216,2559
MAP3K1,1062,1450,1076,536,1071,1170,1384,1446,1026,1536,1503,825
DHPS,1348,1237,996,640,764,1084,1585,2035,1555,2014,1865,681
HOOK2,336,270,175,95,182,120,423,553,393,357,330,142
NXPE1,0,0,0,0,0,0,0,0,0,0,0,0
ARCN1,7029,7875,5670,3941,5860,6582,6611,10189,7938,11112,11359,4177
EPB41L4B,457,573,476,158,463,365,314,490,366,627,528,253
TMEM38B,900,1034,812,523,976,985,507,854,812,1690,1255,621
PSMD5,2671,3350,2297,1158,2082,2694,1552,2261,1761,4166,2703,1593
PTGS1,9,11,10,3,0,5,3,1,0,10,4,11
NUP188,10870,12677,8850,6581,10895,11773,7223,9753,6523,18070,11167,6815
CRAT,1544,1496,1146,637,744,701,1767,1914,1352,1481,1194,775
SH2D3C,35,12,18,4,5,5,7,25,38,48,6,5
NANS,3370,3183,2261,1394,2722,2847,1984,2958,2070,5071,3642,1580
TBC1D2,375,322,207,200,307,423,241,232,229,523,392,189
WHRN,802,812,659,359,533,725,530,621,424,1118,602,464
PDE6C,0,0,0,0,3,0,1,1,0,0,3,1
CWF19L1,1758,2084,1474,1067,1576,1720,1762,2546,1872,2902,2894,1643
SEMA4G,339,390,324,198,250,223,508,630,409,561,552,356
BTAF1,1856,2477,1745,1160,1148,1677,1689,2448,2113,3075,3495,1897
IKZF5,476,633,474,216,405,498,391,765,550,760,745,450
BLNK,0,1,0,0,0,0,1,0,2,0,0,0
TLL2,36,69,57,41,49,31,60,58,52,56,79,33
CYP26A1,74,87,67,21,15,55,267,289,198,141,169,50
TDRD1,903,1116,825,607,591,857,793,1079,1079,1343,1887,647
SORBS1,160,124,150,59,166,103,164,118,127,262,369,194
CRTAC1,11,11,5,21,10,8,1,1,3,4,5,8
BAMBI,194,313,237,156,216,181,595,660,675,232,675,148
IL11,35,27,30,31,72,47,18,20,19,33,12,27
MYO3A,395,565,436,178,268,273,448,479,556,554,660,256
WAC,7143,8285,5653,3402,4925,6262,10972,16260,10790,7972,12351,2973
CREM,246,326,245,164,148,220,257,360,241,705,209,239
NUBP2,1161,1406,942,693,1150,1248,1035,1522,1081,2052,1822,811
TPSD1,1,0,1,0,0,0,0,0,0,0,0,0
SMIM24,0,0,0,0,0,0,2,0,1,0,0,0
HIVEP1,526,575,425,298,538,649,855,889,630,919,938,307
TREM2,1,0,0,0,0,0,1,0,0,0,0,0
KCNK16,0,0,0,0,0,0,0,0,0,0,0,0
CRISP3,0,0,0,0,0,0,0,0,0,0,0,0
FKBP5,3098,3946,2761,1755,2534,2809,2288,2913,2278,4467,4064,1813
SRPK1,4448,5124,3752,2372,4394,4997,3611,5543,4373,7597,7384,2557
BRPF3,2309,2358,1804,1544,1988,1985,2092,3397,2529,3842,3022,1281
MRPS18A,938,930,766,530,920,842,848,1164,832,1451,1401,532
PGC,0,0,0,0,0,0,0,0,0,0,1,0
TMEM14A,340,550,308,178,136,178,492,582,475,477,683,274
EFHC1,420,634,414,326,419,379,608,845,599,745,863,287
RPS18,0,0,0,0,0,0,0,0,0,0,0,0
BAG6,0,2,869,1,369,10,95,73,50,52,135,251
VARS1,1631,1377,1713,1125,2200,1939,1288,2104,1345,2817,2944,820
NCR2,0,0,0,0,0,0,0,0,0,0,0,0
HSP90AB1,49491,56749,43833,26101,51583,55948,42592,57747,43690,78326,80465,29419
MLN,0,0,0,0,0,0,0,0,0,0,0,0
CDC5L,3317,4342,2906,1984,3436,3217,3211,4113,3356,5691,5475,2493
ITPR3,2024,1535,1686,67,33,87,1883,2200,2218,679,351,415
ZNF184,450,570,393,280,180,297,493,785,656,649,705,301
DSP,4154,4046,3681,110,336,590,6477,6548,5246,2274,1408,1997
SIRT1,641,978,697,516,591,674,899,1185,1011,1082,1322,829
HNRNPH3,5877,6062,5256,3208,5785,6604,4975,6882,5255,10309,8020,4249
IFT74,194,206,131,92,157,151,190,287,222,201,299,120
JAK2,223,282,261,180,125,287,253,331,278,343,439,185
IL12RB1,45,45,38,25,47,37,35,62,34,64,48,25
ABL1,5196,5802,4348,3322,3894,4332,3839,5726,3942,8190,5179,3196
ACOT7,1217,1216,1006,616,1370,1110,942,1283,846,1561,1628,698
SH3GLB1,2048,2650,1745,1219,1690,1923,2072,3034,2343,3066,3428,1384
CDC7,2139,1958,1472,989,1505,1738,1782,2633,2191,2560,2596,1063
SYDE2,372,578,413,214,278,399,433,503,571,629,842,416
PCSK5,365,517,302,191,190,253,832,493,564,757,592,402
SCD,23200,36984,22796,16708,17494,21470,22961,32946,26334,54440,40976,25266
TMED1,854,960,668,501,858,934,875,1138,877,1232,1293,504
ABLIM1,5197,5374,3663,2067,3389,4468,5239,7841,5422,7624,6504,3300
ERMP1,760,1390,827,518,411,674,2225,2770,2077,1176,2307,600
RAB18,1424,1889,1320,801,1027,1314,2553,3621,2737,1506,3409,748
NRP1,1465,1826,883,550,458,778,2964,4693,3199,3232,1035,761
HSD17B7P2,71,125,59,49,40,33,60,153,108,123,29,71
PRTFDC1,1268,967,738,641,906,764,3132,4563,3084,1178,2355,451
PALMD,7,23,16,13,13,12,8,4,13,14,12,0
TSPAN15,292,298,266,108,212,181,436,435,296,380,407,294
MACROH2A2,1564,1738,1373,979,678,1155,1897,2453,1845,2131,2494,1342
WASHC2A,2021,2699,1674,1229,2374,2129,2646,3399,2077,3664,3937,2294
MAST3,709,818,566,410,501,542,812,989,702,967,1001,454
MZF1,264,316,264,138,195,218,346,433,278,387,396,154
OCEL1,262,269,194,152,142,121,447,488,357,325,326,185
MYO9B,3647,4171,2557,2399,3953,3867,3849,4719,3699,5760,5765,1917
KCNK6,122,52,101,49,64,53,105,113,68,91,100,52
CATSPERG,18,28,43,20,18,32,40,42,26,56,30,21
PSMD8,2312,2302,1759,1174,2399,2228,2136,2993,2209,3441,3366,1382
FBXL19,1700,2077,1479,1390,1873,1833,1601,1922,1688,3113,3171,1234
STX1B,233,441,186,115,145,162,422,324,238,350,326,201
HSD3B7,549,574,267,71,57,123,1634,2065,1331,929,1925,373
SETD1A,2688,2915,2201,1482,2134,2044,2156,3294,2092,4008,2980,1478
BCL7C,1040,1118,812,659,994,996,1195,1603,1065,1491,1479,645
MAGEB2,3,2,5,68,88,48,0,1,0,0,1,0
EFNA2,95,82,95,41,44,65,106,217,145,115,177,42
CIRBP,2717,2558,2277,935,1238,1199,3324,7125,5900,2930,4193,1121
ATP5F1D,1502,1553,1132,909,1297,1383,1450,2810,2131,2261,3413,816
CBARP,136,163,145,146,205,181,193,450,276,245,246,112
PCDH11Y,22,36,29,17,19,44,32,45,18,44,41,15
AMELY,0,0,0,0,0,0,0,0,0,0,0,0
PRKY,8,20,47,12,9,21,6,5,5,20,56,42
IGFALS,2,0,1,0,0,0,1,0,1,2,1,2
HNRNPM,11686,13002,10095,6695,12186,12535,9482,14023,10803,18148,16525,7311
MARCHF2,326,453,234,201,260,207,600,665,439,410,514,197
NDUFB7,1424,1489,1079,838,1205,1203,1539,1904,1333,1936,2088,805
TECR,3726,4212,2978,1951,2651,2744,4316,5804,3742,5305,4639,2072
TIMM13,1819,1807,1466,937,1716,2088,1167,1744,1247,2848,2451,873
CDC34,1716,1759,1388,1053,2176,1863,913,2245,1557,2587,2638,943
MTAP,999,814,604,430,753,839,554,791,714,1233,1248,462
MISP,188,96,113,25,68,80,41,228,232,397,130,130
CEP170B,1750,2131,1463,879,1629,1702,1927,2452,2368,2164,1736,1060
POLR2E,4676,5043,3613,2530,4666,4882,4599,8135,6268,6527,10270,2559
POLRMT,1362,1641,1228,942,2302,2221,832,2002,1361,2585,2352,832
HCN2,666,790,433,761,1052,904,530,1073,596,1610,1104,520
CDHR5,0,1,4,0,0,0,0,0,3,0,1,0
IZUMO4,28,31,26,18,19,21,49,60,49,35,36,13
RASSF7,348,243,236,80,103,134,334,502,416,320,305,222
GADD45B,526,435,333,153,500,487,296,353,307,815,426,277
PALM,2059,1960,1647,1196,1066,1478,1761,3833,2244,2766,2285,1404
MADCAM1,8,11,9,2,6,5,2,5,8,14,9,4
IGF2-AS,0,0,0,0,0,0,0,0,0,0,0,1
MKNK2,3667,4102,2679,2637,2206,2519,7143,8650,5722,3806,6750,1934
ARVCF,359,322,295,86,159,143,342,350,278,377,268,113
TRMT2A,1621,1993,1267,946,1828,1627,1558,2099,1789,2624,2168,933
RANBP1,6613,7550,5686,3632,7260,7511,5217,6874,5652,10376,10418,3869
ZDHHC8,1519,1695,1196,853,1360,1361,1362,2060,1331,2014,2000,705
