gene_name,DLD1_WT_replicate1,DLD1_WT_replicate2,DLD1_Furin_KO_replicate1,DLD1_Furin_KO_replicate2,HCA7_WT_replicate1,HCA7_WT_replicate2,HCA7_Furin_KO_replicate1,HCA7_Furin_KO_replicate2,HT29_WT_replicate1,HT29_WT_replicate2,HT29_Furin_KO_replicate1,HT29_Furin_KO_replicate2
SULT2B1,238,183,231,150,15,29,18,23,424,609,354,326
ALG6,315,282,277,255,346,557,379,447,379,414,237,298
CNOT3,831,776,841,635,704,1032,655,936,982,1292,692,738
GP6,2,1,0,0,0,0,0,1,1,0,0,0
PTPN4,503,450,445,381,631,670,370,598,468,685,492,592
DDX18,3865,3063,2799,2102,2913,4351,2363,3481,2068,2470,1953,2045
KHSRP,8947,7810,7171,5411,4383,7658,5608,7340,2199,2939,2113,2259
GNA11,1353,1077,948,783,1685,2692,1833,2246,754,1186,747,820
EDEM2,320,277,331,260,452,758,620,833,575,679,384,425
DNMT3B,83,69,113,86,356,618,278,364,77,112,78,59
REM1,0,0,0,0,0,0,0,0,0,0,0,0
TPX2,3778,3314,3638,2634,5026,7048,4917,6335,3047,3895,2351,2490
FER1L4,501,315,544,513,15,48,22,23,5503,5928,5204,4509
PDRG1,410,398,268,212,339,725,451,565,496,656,496,422
EPB41L1,1244,1017,1203,895,1346,1964,1047,1197,1118,1347,454,618
SLC15A1,22,9,11,8,10,22,48,59,19,23,14,11
DOCK9,1019,866,1085,713,1037,1200,630,1067,883,1326,1010,914
ANKRD10,1137,932,1007,786,900,1253,874,1124,2756,2572,2391,2128
TGDS,429,364,314,238,430,619,483,578,246,302,219,230
DOCK3,11,12,5,1,137,212,292,375,3,5,5,8
C3orf18,80,63,47,36,20,35,9,28,19,13,9,6
COQ9,723,646,616,442,838,1241,787,1034,629,831,571,557
TMEM40,22,6,9,2,9,10,15,5,17,8,9,6
KIF9,89,74,69,67,156,215,167,201,208,233,187,181
ARHGAP28,465,356,395,284,19,30,23,31,36,18,20,18
CRLS1,823,707,536,429,453,692,498,596,918,1255,658,676
DEFB127,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R13B,233,205,280,200,395,490,266,299,205,278,238,234
ATRN,1038,894,1273,933,415,665,452,550,532,698,406,440
SMOX,136,116,115,84,34,57,27,46,226,311,253,240
SIGLEC1,0,0,2,1,0,0,0,0,0,0,0,0
FKBP1A,2945,2597,2480,1709,1101,1537,1210,1535,2366,3401,2215,2182
NSFL1C,1388,1201,1267,1059,406,578,367,547,770,1114,632,625
SLC4A11,191,171,254,177,25,44,54,52,157,230,100,102
C20orf194,6,6,2,1,0,4,1,0,1,2,1,1
ZNF343,186,128,113,96,96,170,123,116,133,112,102,89
EBF4,15,11,22,15,0,0,4,6,1,1,3,1
CPXM1,0,0,1,0,0,0,0,0,0,0,0,0
MAVS,2802,2169,2594,1935,1024,1712,1195,1614,2348,2704,1704,1610
LZTS3,33,23,22,10,39,58,52,50,95,105,68,59
F11,0,0,0,0,0,0,0,0,0,0,0,0
XRN2,4214,3368,2877,2200,1058,1586,1179,1581,2110,2735,1614,1769
KIZ,453,383,370,296,135,137,279,334,339,457,170,165
DYNLL1,3418,2910,3441,2639,2887,3990,3225,3930,1622,2358,1857,1830
TESC,113,95,108,82,98,154,16,16,740,1094,657,533
SNX5,4702,4030,3670,2571,2104,3032,1911,2662,2561,3219,1833,1863
RPL6,17407,14801,17361,11673,17362,26731,20008,25682,13512,18858,13133,13529
SIRPG,0,0,0,0,0,0,0,0,0,1,0,0
MAPKAPK5,1158,962,1021,726,1689,2271,1451,1979,1288,1642,1229,1323
P2RX7,15,2,7,4,12,11,13,10,7,17,9,10
ESF1,1089,843,742,574,362,510,289,405,625,800,477,536
RBBP9,307,288,272,221,270,434,284,377,317,311,203,214
ANAPC5,2576,2220,2242,1640,2118,3154,2436,3190,1887,2388,1633,1632
SLC23A2,764,567,607,474,323,605,334,427,330,385,225,213
SLC8B1,1051,741,963,806,335,531,293,377,138,88,93,47
TMEM230,1025,955,981,711,561,810,552,681,1765,2083,1203,1272
DZANK1,37,29,41,25,22,66,28,53,36,56,27,52
KDM2B,849,719,708,552,682,991,629,829,385,506,406,416
CFAP61,0,1,1,1,2,0,1,0,0,1,0,2
LHX5,8,3,5,1,0,0,1,3,0,0,0,0
TASP1,163,160,164,139,90,125,138,153,191,203,142,149
OAS1,207,195,423,273,148,236,126,194,297,353,287,319
GCN1,7581,5930,5544,3523,3745,6451,3357,4248,5758,7247,4243,4198
RPLP0,29653,25752,25843,18811,33000,50869,44477,58096,22432,32637,22177,24139
PXN,4218,3795,3264,2476,2212,3768,2543,3539,1716,2302,1778,1629
SIRT4,9,8,13,8,5,7,6,8,2,2,2,9
RPH3A,1,0,5,2,2,9,5,6,2,0,5,2
KIF16B,302,281,243,155,206,277,198,210,197,327,180,211
TRMT6,1198,934,865,598,344,508,380,455,589,731,458,459
CHGB,9,9,7,6,16,25,21,23,9,12,5,8
PEBP1,4343,3832,4803,3470,3685,5451,3502,4534,2203,3250,2391,2232
TBX5,0,0,0,0,0,0,0,0,0,0,0,1
BRAP,556,497,625,413,434,598,421,537,273,447,292,270
ERP29,3714,2957,3451,2791,2167,3030,2360,3344,3241,3608,2305,2285
NOS1,22,14,27,7,8,11,16,14,14,25,18,19
FUS,8888,6431,6759,5567,7088,10171,6692,8901,4869,5329,4575,4302
IGBP1,656,572,675,504,722,1030,998,1316,767,956,753,732
FXYD5,1632,1409,1565,1199,1208,1564,829,1130,426,606,137,157
ZNF302,6,2,15,13,176,288,261,323,189,227,82,105
GRAMD1A,52,23,78,50,106,141,100,148,123,93,91,61
FXYD3,137,114,220,189,478,730,266,320,323,421,178,207
HEPH,19,29,0,0,1442,2031,1959,2706,1018,1210,226,219
CDIP1,0,0,0,1,0,14,0,1,0,1,0,0
CMTM1,9,10,25,16,14,30,25,24,25,31,19,24
KCNH4,1,1,1,0,3,5,8,15,3,2,2,0
GANAB,14199,11100,12225,8838,9995,15405,11910,16567,15754,19604,11621,11887
GMIP,606,447,522,430,358,616,379,569,195,360,218,165
RBM41,377,348,315,284,260,365,288,411,826,778,733,667
BIRC5,2560,2059,1903,1453,1394,2359,1615,2056,960,1302,891,753
LAG3,6,2,10,6,3,4,1,1,7,3,15,6
MLF2,2911,2507,2333,1816,2829,4441,3215,4182,1681,2266,1783,1682
OTUB2,116,110,84,57,23,21,15,35,31,66,33,39
DDX24,110,69,68,47,26,55,25,39,18,38,32,21
ZBTB25,642,455,635,456,316,432,398,444,251,383,330,222
NECAP1,702,610,604,462,522,771,580,768,449,594,409,414
ARHGAP4,7,13,3,4,17,18,7,30,20,30,41,17
ANKRD24,12,8,12,11,3,5,7,4,8,4,11,4
DHX32,751,731,819,581,746,1085,1027,1300,554,757,573,543
RCOR1,971,1061,915,758,1158,1190,737,1113,355,622,346,484
GPATCH2L,1085,949,896,640,710,1187,962,1098,658,679,546,527
LTBP4,159,81,161,135,52,135,124,155,1065,1283,1386,947
BLVRB,620,559,732,531,287,476,349,470,331,492,277,280
SLC9A1,905,630,746,619,472,619,396,534,454,535,309,296
SPTLC1,1662,1430,1609,1223,1118,1527,1210,1605,1668,1847,1276,1220
PAPOLA,6640,5494,5064,3554,4936,7061,4687,5858,2602,3247,2279,2280
CCNK,1046,762,827,542,909,1273,905,1143,627,656,506,521
PCBP4,386,318,479,408,202,340,207,236,143,214,150,158
RGS1,0,0,0,0,0,0,0,0,3,1,1,1
YPEL3,79,66,136,101,119,169,198,243,138,148,226,189
MRPS33,681,611,561,428,418,609,550,664,604,800,554,589
NDUFB2,887,830,841,553,740,1307,816,1049,691,1026,701,659
NUDC,2271,2002,1759,1320,2736,3817,2677,3407,2311,3145,2264,2344
MAEA,1809,1577,1396,1025,1363,1951,1459,1881,1372,1936,1298,1325
ICAM1,866,734,570,490,89,135,192,306,124,124,96,94
STRN4,1453,1212,1283,1046,1504,2515,1441,1963,1956,2800,1585,1892
IRAK3,3,1,4,5,1,0,4,0,1,2,0,0
LYZ,33,8,22,12,14,15,11,20,55198,64698,56726,57827
SI,1,0,0,0,1,0,0,0,15,11,9,2
MUL1,500,490,475,335,446,837,576,763,368,516,346,301
TFAP4,551,571,516,450,640,917,614,842,355,458,295,285
PDCD7,513,449,570,432,619,763,561,675,315,462,291,301
SPG21,1219,1072,919,675,1012,1539,810,939,1677,2234,1760,1767
FETUB,0,0,0,0,0,0,0,0,0,0,0,0
DNAJB11,2182,1728,1637,1351,2103,2927,2515,3265,2343,2729,1658,1635
P3H2,138,54,112,101,68,58,56,72,290,301,197,188
THPO,0,1,1,0,0,0,0,1,13,20,13,6
CHRD,15,11,36,32,2,11,6,6,226,243,201,190
FLT3LG,32,20,34,25,44,91,67,64,48,43,27,24
RAB11FIP3,21,14,4,10,13,27,12,8,4,5,8,3
GNPTG,476,355,517,317,364,521,453,622,539,618,631,488
ZNF268,412,429,462,368,351,395,314,443,286,313,218,280
GOLGA3,3065,2490,2204,1293,1544,2298,1487,1911,1818,1950,1402,1370
PABPC4,5159,4499,3787,3039,2019,3792,2336,3230,3808,5169,3450,3659
CD209,11,2,8,5,7,17,4,9,7,5,4,5
CERS4,18,1,8,0,6,4,4,10,19,11,1,8
MCOLN1,265,229,205,174,221,302,179,304,140,222,134,160
USP48,1525,1293,1145,946,1459,2389,1917,2169,1415,1774,1353,1125
EFNB1,119,112,107,79,948,1496,960,1301,3681,4921,2887,2707
PDPR,744,640,730,550,1267,2072,1781,2484,1582,1875,1427,1326
AARS1,2428,1866,2223,1490,2912,4534,2473,3417,1850,2726,1994,1845
GLG1,3998,3272,4108,3203,2984,4764,3581,5221,4171,4901,2936,3092
KIF4A,1343,1097,1163,877,1008,1338,1109,1486,1024,1381,848,935
TNRC6A,1939,1405,1940,1244,887,1562,1030,1368,1300,1776,1250,1081
PLEKHG2,685,579,783,634,185,316,291,374,745,1206,718,536
DLL3,0,0,0,0,0,0,0,2,4,0,2,1
NAT14,374,314,427,273,218,446,382,424,249,308,168,160
PITPNM2,234,214,172,186,376,561,465,518,51,65,47,54
EXOC1,672,552,743,504,540,852,686,1069,551,666,398,525
RBM27,1419,1152,845,483,688,983,642,920,733,998,643,736
POU4F3,2,0,0,1,0,0,0,0,0,0,0,0
OSBPL8,1676,1338,1270,897,1109,1691,1560,1943,1103,1443,1089,1083
DTX2,616,503,586,435,728,982,769,984,134,204,128,131
NLRC4,0,0,0,0,0,0,0,0,0,1,0,0
PUS7,1344,1251,1090,845,626,913,519,679,1275,1358,1008,888
LAMB4,4,3,5,1,5,8,0,11,16,6,9,6
NRCAM,7,14,0,0,891,1043,305,517,22,4,7,3
LAMB1,4858,3713,5428,4038,3294,4131,2054,2617,2975,2907,2096,2020
SLC26A4,51,23,56,27,0,5,7,3,5,6,3,0
SLC26A3,0,0,0,0,2,4,2,7,3,0,0,0
DLD,2623,2166,2040,1607,2299,3212,2106,2684,1495,1958,1252,1240
WDR7,452,702,455,393,345,295,234,316,138,175,199,193
TXNL1,1842,1588,1960,1367,1256,1682,1132,1535,719,981,1003,1077
IL5RA,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,21,11,34,17,63,84,55,78,11,12,13,6
CMTM6,5171,4429,4584,3437,6701,10317,9028,11574,2219,2558,1643,1615
ITGA6,7232,5936,6076,4693,7304,9523,5414,7328,8298,9410,5027,5393
RAPGEF4,13,10,4,0,7,13,6,23,0,0,0,1
MAP3K20,3271,2767,2905,2253,1357,2040,1689,2005,1353,1765,944,840
SMPX,0,0,0,0,1,0,0,0,0,0,0,0
FH,2188,2039,1929,1333,1950,2864,1775,2297,861,1137,704,766
SEL1L3,2768,2249,3246,2063,4403,5391,2834,3549,3575,4170,3022,2667
TF,12,1,9,7,5,6,6,3,8,8,6,5
CDV3,4920,4286,3776,2874,4425,6330,5004,6716,2598,3373,2318,2391
MYO15A,12,9,15,10,12,23,13,10,26,18,18,22
ALKBH5,1104,1145,1027,792,1092,1421,1048,1378,654,994,639,694
APOH,0,3,3,0,12,12,4,3,328,457,250,285
NLRP1,16,12,13,8,11,13,7,11,14,16,7,12
PITPNM3,114,67,82,56,84,121,94,147,138,197,132,138
SPAG7,466,404,535,421,352,460,347,444,194,251,181,191
ORC6,1323,981,907,731,737,1211,838,1059,734,855,740,713
ZFHX4,4,4,0,2,0,5,0,5,2,0,2,2
SLC17A6,0,0,0,0,0,0,0,0,0,0,0,0
CPA1,0,0,0,0,0,0,0,0,0,0,0,0
ZC3HC1,367,327,318,248,183,317,251,325,294,299,236,196
ESR1,2,0,0,1,0,1,0,0,0,0,0,0
RGS17,9,7,4,9,3,8,6,8,130,159,178,206
ANGPT2,11,5,5,10,1,8,5,8,6,9,8,8
TMEM101,328,238,311,266,348,678,471,625,751,988,535,613
CD200,11,6,7,0,18,0,2,0,132,124,96,125
CCDC80,142,30,163,56,14,22,23,180,56,36,28,27
CMA1,0,0,0,0,0,0,0,0,0,0,0,0
PSME1,1647,1438,1438,1157,1874,2846,2000,2393,1008,1471,1043,1081
PPP2R3C,308,246,252,193,140,231,106,196,293,493,271,247
HAUS4,532,439,443,294,695,1380,1179,1470,173,275,170,186
JPH4,0,1,0,0,0,0,0,0,0,0,0,0
MYH7,0,0,0,0,0,0,0,0,1,1,0,0
CEBPE,1,0,0,0,0,2,0,0,0,0,0,0
SLC7A8,2260,1902,2764,2290,1909,2678,5515,7183,35,17,24,23
OSGEP,866,693,649,565,791,1187,831,1014,487,483,459,387
SLC22A17,1,0,0,0,0,0,0,2,0,0,0,0
RNF31,638,533,584,473,587,988,688,870,416,425,553,389
SCFD1,805,583,694,512,807,1078,856,1028,493,706,502,536
G2E3,1182,900,717,692,750,1147,683,994,339,474,298,279
HECTD1,4740,3541,3781,2591,2057,3419,2625,2892,2868,3992,2347,2923
HNRNPC,14545,12646,12856,9624,12872,17007,11708,16187,7836,10968,6941,7730
RPGRIP1,5,6,3,3,1,0,0,3,8,5,1,7
SUPT16H,8262,6815,6627,4796,5696,8632,6222,8438,2805,3566,2655,2610
TOX4,1268,1152,1223,948,821,1417,1009,1301,596,896,521,566
GEMIN2,279,229,227,163,251,352,198,318,112,154,87,125
TGM1,206,155,181,128,44,81,46,40,50,30,15,26
TINF2,691,513,479,413,401,656,490,675,253,535,286,294
DAZL,0,0,0,0,0,0,0,0,0,0,0,0
TBL1Y,0,0,0,0,0,0,0,0,0,0,0,0
SEMA6A,20,25,15,7,101,144,530,856,15,25,23,4
TRPM7,2218,1646,1723,1445,2521,3342,2167,2708,2443,2558,1772,2081
TYRO3,1139,950,1085,768,851,1710,812,1054,507,592,415,303
WDR76,842,714,929,597,534,736,537,651,416,528,353,349
CAPN3,19,10,24,35,11,15,9,10,0,0,0,3
SNAP23,957,791,1101,832,1150,1344,1162,1463,792,999,728,897
TBX15,0,1,1,0,2,0,1,1,3,3,1,1
PHGDH,2449,2037,2108,1543,1962,3359,598,725,421,623,309,305
COL9A3,60,55,81,112,1,4,1,2,872,1242,855,781
EZR,11050,9339,9394,7032,5755,8089,6923,8941,6243,7614,5090,5297
MYL6,8619,7277,7598,5858,9847,15259,11554,15825,4397,6201,4057,4626
AGO1,1410,1276,1492,994,1148,1833,1279,1702,754,941,568,613
TEKT2,2,2,3,3,0,1,1,0,0,0,1,0
CLSPN,1991,1524,1403,1047,672,831,803,953,630,727,464,451
RFFL,720,618,685,537,536,761,423,487,876,1023,685,660
UNC13D,3120,2415,3038,2292,150,216,267,479,319,382,379,435
MFSD11,347,263,381,317,290,452,307,294,528,602,444,421
DPYSL2,3229,2544,2407,1810,1241,2042,2715,3412,436,554,388,398
TGFB2,779,781,834,645,4,12,39,85,219,254,163,131
GPATCH2,289,216,206,166,465,826,563,711,241,281,169,206
NUP50,7093,5537,5890,4265,4234,6336,3207,4135,1252,1627,1092,1157
CDC45,872,839,861,546,1009,1135,850,1266,1072,1068,941,809
COMT,933,803,965,720,678,1129,765,1139,2431,3331,2016,2127
ADA2,30,6,20,5,8,20,9,8,12,20,11,8
VNN3,7,3,2,5,1,5,10,11,8,7,7,4
ECHDC1,1958,1519,1460,1107,1148,1714,1201,1492,855,1192,929,1033
LRRFIP2,710,579,714,457,537,731,560,704,312,365,288,300
SEC22C,949,829,887,556,774,1252,941,1108,312,381,274,198
XYLB,136,171,124,115,162,305,171,347,80,134,45,52
HDAC6,931,872,1113,648,755,1072,925,949,1264,1452,1266,1014
OR1I1,0,0,0,0,0,0,0,0,0,0,0,0
GABRP,97,37,57,34,21,28,7,37,663,755,485,425
KRT31,0,0,0,0,0,1,0,0,0,0,0,0
CDC6,3487,2877,2525,1775,2406,3096,2223,2838,974,1204,714,859
UPRT,134,85,119,81,133,179,155,182,51,58,71,90
CDC23,1198,1051,1089,756,929,1367,825,1100,516,579,382,430
AAAS,554,502,559,431,664,1009,678,1103,644,762,525,551
CBX5,5719,4791,5172,4215,1621,2690,2109,2573,2613,3051,2436,2682
FMO2,0,0,0,0,0,0,0,0,0,0,0,0
SUCO,2859,2254,2392,1739,1117,1724,1246,1679,1761,1857,1179,1178
MSH2,4476,3461,3353,2314,1680,2591,1649,2237,1551,2008,1259,1336
MAP3K1,640,542,586,466,453,744,519,628,854,992,589,573
DHPS,701,521,664,400,636,1027,689,981,475,568,532,420
HOOK2,1073,671,868,604,864,1260,915,1232,707,715,580,519
NXPE1,3,4,14,9,1,0,3,2,0,0,0,0
ARCN1,4740,3881,3525,2702,2643,3792,2987,3843,3505,4645,2903,3118
EPB41L4B,718,610,492,313,1231,1728,1183,1462,427,579,275,314
TMEM38B,378,367,211,189,587,943,547,769,363,461,296,312
PSMD5,1918,1668,1738,1312,1027,1605,1273,1543,1227,1502,908,1069
PTGS1,21,5,32,14,1,1,0,0,201,249,281,252
NUP188,2689,1980,1933,1352,1226,1982,1248,1709,1546,2358,1362,1390
CRAT,706,544,555,447,443,643,460,591,345,512,279,230
SH2D3C,0,0,0,0,4,0,1,0,0,0,0,2
NANS,930,857,929,627,942,1368,1083,1348,635,894,619,608
TBC1D2,711,645,802,649,158,240,238,341,150,256,169,175
WHRN,137,83,122,91,55,140,170,157,0,13,2,6
PDE6C,1,1,1,1,0,0,0,0,0,0,0,6
CWF19L1,779,500,536,476,609,970,579,876,398,502,307,449
SEMA4G,1,4,2,2,916,1091,636,867,1935,2381,1702,1541
BTAF1,2523,2050,1923,1430,1037,1604,974,1291,2898,2737,1964,1938
IKZF5,496,341,335,203,332,585,499,513,480,500,329,292
BLNK,0,0,0,0,0,3,0,0,17,13,23,15
TLL2,13,6,17,13,6,13,12,19,21,4,13,8
CYP26A1,7,7,7,2,33,27,19,25,2,5,3,7
TDRD1,12,17,7,10,3,3,2,6,0,1,1,0
SORBS1,283,220,476,308,2137,3193,1932,2487,19,43,9,8
CRTAC1,0,0,0,0,0,0,0,0,0,0,0,0
BAMBI,455,377,629,494,324,431,765,1009,70,63,1,1
IL11,35,28,10,24,9,16,4,10,12,15,11,8
MYO3A,0,0,0,1,43,54,0,0,0,4,0,2
WAC,3056,2716,3307,2342,2607,3530,2640,3414,1936,2490,1747,1708
CREM,173,192,103,71,124,137,128,173,83,122,64,82
NUBP2,763,686,594,447,765,1362,1028,1250,697,1030,790,757
TPSD1,0,0,0,0,0,0,0,0,0,0,0,0
SMIM24,3,1,8,5,3,9,1,1,30,21,23,10
HIVEP1,431,314,366,294,382,481,300,315,369,447,356,330
TREM2,0,0,0,0,0,0,2,1,0,0,0,0
KCNK16,0,0,0,0,0,0,0,0,1,1,0,1
CRISP3,0,0,0,0,0,0,0,0,0,0,0,0
FKBP5,1016,891,528,441,26,25,11,8,686,826,668,633
SRPK1,4227,3660,2938,2071,5129,7835,6838,9115,2428,2958,1994,2001
BRPF3,659,622,860,592,741,939,943,1261,916,1122,858,786
MRPS18A,616,527,511,393,663,936,611,838,443,616,453,425
PGC,0,0,1,1,11,4,1,3,4,2,4,2
TMEM14A,689,642,417,300,219,376,382,485,481,623,427,388
EFHC1,303,245,242,278,92,163,104,225,419,409,436,404
RPS18,0,0,0,0,0,0,0,0,0,0,0,0
BAG6,764,841,630,653,0,35,0,0,84,119,16,128
VARS1,822,847,810,651,0,0,0,0,593,301,462,285
NCR2,0,0,0,0,0,0,0,0,0,0,0,0
HSP90AB1,52490,43278,36614,26555,33199,50280,39410,51340,22322,30476,20397,21562
MLN,0,0,0,0,0,0,0,0,0,0,0,0
CDC5L,2209,1859,2040,1517,1329,1824,1322,1810,1189,1471,1007,1039
ITPR3,4855,3908,4102,3056,5295,8828,5565,7473,8570,10787,7637,7531
ZNF184,194,144,153,107,167,236,181,208,111,175,113,137
DSP,6069,4648,5024,4019,9268,12798,10569,13446,2594,3071,2544,2545
SIRT1,756,596,573,422,625,909,569,773,297,385,368,307
HNRNPH3,4261,3423,3132,2476,3325,4270,3406,4417,1794,2349,1890,1729
IFT74,219,172,332,259,276,382,407,450,229,323,204,221
JAK2,167,117,159,107,115,142,123,197,64,77,66,38
IL12RB1,21,24,28,20,19,54,18,33,28,49,21,24
ABL1,1085,1036,1064,907,1088,1341,1210,1622,688,855,606,628
ACOT7,832,761,728,568,1278,2008,1307,1836,265,433,255,280
SH3GLB1,1548,1380,1869,1225,813,1149,1121,1284,806,1033,730,696
CDC7,998,848,965,616,558,776,520,796,501,645,400,437
SYDE2,251,202,190,125,173,299,220,252,120,130,84,68
PCSK5,154,110,61,44,465,767,844,1223,625,868,470,529
SCD,7616,6256,7755,5697,9364,13926,7833,10417,21062,24632,14855,14951
TMED1,440,347,362,281,231,462,317,376,271,392,204,225
ABLIM1,3406,2885,3443,2731,2541,3973,3644,4399,3138,3904,2608,2496
ERMP1,407,368,422,346,1837,2800,2533,3334,4642,5377,3109,3224
RAB18,1322,1183,1218,924,1012,1345,895,1115,638,776,572,555
NRP1,1838,1478,2601,1967,86,155,255,328,423,530,183,189
HSD17B7P2,105,51,89,58,103,144,125,191,81,64,80,68
PRTFDC1,1048,832,908,622,138,228,365,459,295,450,260,249
PALMD,3,1,2,0,0,2,0,3,10,17,0,2
TSPAN15,624,601,634,446,633,1039,725,1119,1472,1978,1220,1346
MACROH2A2,207,188,178,114,360,454,82,110,9,3,10,8
WASHC2A,1126,958,1251,929,1280,1580,1379,1783,952,997,730,772
MAST3,155,157,222,158,214,370,171,256,313,398,395,273
MZF1,746,520,520,431,332,522,444,597,2093,2281,1612,1413
OCEL1,97,75,103,68,100,153,133,198,97,115,77,82
MYO9B,1974,1528,1625,1064,1321,2202,1498,2037,1516,1894,1279,1377
KCNK6,321,218,329,248,383,652,471,598,717,633,548,538
CATSPERG,30,18,50,39,25,37,42,29,43,69,36,39
PSMD8,2801,2602,2247,1635,2147,3022,1920,2489,2449,3542,2107,2134
FBXL19,450,506,619,365,420,618,384,602,345,576,334,445
STX1B,24,22,52,47,18,34,33,26,7,3,5,5
HSD3B7,279,218,170,128,491,841,639,878,208,232,122,110
SETD1A,1078,817,967,734,711,1098,692,939,693,890,654,667
BCL7C,369,317,358,267,335,569,427,565,116,180,116,143
MAGEB2,0,0,0,0,0,0,0,0,0,0,1,0
EFNA2,1,2,1,2,5,14,1,2,117,173,123,121
CIRBP,2064,1585,2658,1966,1586,2804,2214,3308,1134,1169,1003,930
ATP5F1D,1444,1429,1210,843,1523,2622,1591,1851,642,920,636,636
CBARP,160,101,150,141,80,162,89,147,72,72,67,24
PCDH11Y,18,7,0,13,11,8,19,9,15,11,12,2
AMELY,0,0,0,0,0,0,0,0,0,0,0,0
PRKY,266,209,195,92,14,20,14,7,8,4,5,5
IGFALS,0,0,0,0,0,2,0,1,0,0,0,1
HNRNPM,7362,5975,6257,4528,6447,7574,4922,6592,3428,4165,2990,3053
MARCHF2,129,125,187,151,100,204,150,201,47,64,45,23
NDUFB7,746,697,690,512,665,1106,704,918,347,591,359,381
TECR,1493,1465,1577,1308,1276,1506,1085,1403,1756,2191,1522,1456
TIMM13,943,840,694,491,812,1403,927,997,604,904,632,565
CDC34,843,671,697,432,1468,2244,1845,2384,391,625,429,460
MTAP,1726,1522,1412,990,1091,1684,1348,1458,2814,3591,2725,2428
MISP,4448,3839,3840,2723,5070,8105,6833,8646,1966,2712,1878,1979
CEP170B,3606,2828,3121,2534,2631,4193,2483,3326,2167,2631,2026,1831
POLR2E,3059,2837,2439,1904,2115,3372,1921,2450,1207,1959,1265,1351
POLRMT,1315,991,1013,705,1393,2051,1168,1706,773,1171,738,644
HCN2,54,26,40,27,17,24,25,20,0,6,8,7
CDHR5,7,0,0,3,71,59,57,95,0,5,0,0
IZUMO4,19,19,17,10,8,11,14,13,36,49,28,34
RASSF7,1830,1643,1395,983,840,1647,1093,1513,1976,2718,1811,1859
GADD45B,342,325,307,248,219,327,167,180,26,39,14,13
PALM,6,10,10,9,10,21,11,7,7,15,15,11
MADCAM1,2,0,3,2,1,4,5,5,0,0,1,1
IGF2-AS,0,0,0,0,0,0,0,0,0,0,0,0
MKNK2,1461,1486,1599,1164,1471,2371,1218,1507,1837,2405,1419,1323
ARVCF,434,389,506,386,279,319,324,382,2348,2716,2116,2073
TRMT2A,859,668,653,528,491,811,649,821,1875,2552,1611,1607
RANBP1,3358,3153,2864,1990,3385,4832,3033,3746,4708,6304,4348,4462
ZDHHC8,654,594,719,640,1197,1983,1326,1716,2244,2866,2244,1899
KLHL22,294,184,279,198,208,286,244,330,125,97,88,75
MED15,1446,1171,1199,978,711,1219,840,1254,2006,2399,1963,1832
SERPIND1,15,11,6,2,0,0,0,0,1,0,0,0
SNAP29,750,607,953,651,592,887,630,943,476,618,397,453
CRKL,2464,2205,2506,1784,1905,2880,2076,2650,2972,3879,2450,2398
LZTR1,1556,1122,1301,1037,722,1277,983,1260,495,578,439,417
MMP11,35,19,56,35,110,173,51,51,14,18,15,13
CECR2,20,4,28,26,19,44,283,444,11,0,1,4
SMARCB1,1204,1186,1470,1118,1294,1688,875,1315,519,877,631,751
P2RX6,6,0,8,3,3,0,0,0,62,24,16,22
DERL3,33,43,56,25,42,99,41,31,11,12,2,6
SLC7A4,0,0,0,0,0,0,0,0,1,0,0,0
BCL2L13,988,881,1100,825,843,1195,1155,1481,622,809,540,593
DDT,719,742,736,572,516,891,507,660,532,682,469,514
GSTT2,12,36,18,0,0,0,0,0,0,0,0,0
OSM,0,2,0,0,0,0,0,0,0,0,0,0
CABIN1,1286,999,1042,767,1111,1729,1309,1491,706,927,741,654
TBC1D10A,207,177,263,143,108,175,145,165,138,206,111,147
SUSD2,9,5,8,4,10,25,8,3,15,23,16,16
SF3A1,2383,2392,2814,2009,2198,2958,1914,2748,862,1298,1010,935
GGT5,29,30,38,34,26,33,13,31,20,19,22,20
RNF215,207,181,231,195,137,243,185,265,142,138,87,91
SEC14L2,65,109,102,78,100,175,89,254,52,53,45,56
SEC14L3,6,1,4,4,0,0,2,0,3,3,2,0
SPECC1L,1022,854,1024,797,610,1222,690,881,325,505,306,289
PPIL2,1469,1159,1294,1076,978,1464,900,1185,719,894,598,622
UPB1,8,9,20,9,8,16,13,22,9,13,9,0
YPEL1,68,58,68,48,7,8,15,12,31,33,37,31
SNRPD3,2318,1899,2013,1552,2093,2437,1658,2168,873,1225,871,989
PES1,2456,1988,1529,1055,1424,2228,1471,1884,946,1440,1056,1011
MAPK1,3430,3060,3324,2544,2464,4290,3132,3817,1090,1712,1260,1169
GGT1,1405,1127,1428,1142,147,205,30,56,210,367,269,219
PRODH,38,29,9,19,42,73,10,16,57,56,159,95
PPM1F,564,577,576,416,332,521,330,459,245,324,337,208
SLC35E4,86,68,92,54,24,40,22,31,222,279,142,165
TOP3B,901,691,837,696,558,880,615,903,357,320,332,251
CRYBB3,12,13,3,1,12,22,14,26,4,5,1,1
CYTH4,9,4,10,4,4,7,3,5,9,4,0,5
ESS2,386,324,359,245,251,432,329,390,302,424,287,242
