gene_name,1-D0-Del_PLEC,2-D0-Del_PLEC,3-D0-Del_PLEC,4-D0-Del_PLEC,6-D0-Neg,7-D0-Neg,8-D0-Neg
AQP8,2,3,2,1,0,0,0
CPPED1,17,30,24,31,19,28,0
USP31,1124,1099,1000,1063,1376,1287,7
HMOX2,1535,1542,1435,1500,1324,1290,19
DNAJA3,0,0,0,0,0,0,0
CORO7-PAM16,5,23,35,41,52,7,16
SALL1,37,8,21,11,9,14,1
TOX3,0,0,0,0,0,0,0
RRN3P2,9,14,13,14,8,8,0
RBL2,5054,5253,5303,5756,4842,4742,64
QPRT,831,1121,1141,1284,744,701,14
XYLT1,7008,7971,8064,8409,6997,8145,116
PYCARD,462,489,534,500,518,482,9
RPGRIP1L,1860,1842,1564,1873,1459,1643,19
MAZ,8942,10317,10654,10994,11008,11109,150
STX4,2086,2429,2443,2829,2480,2445,32
CDIPT,2875,3177,3415,3521,3270,2947,55
BCKDK,1742,2019,1926,2364,2158,2067,33
KAT8,1100,1221,1259,1321,1127,1096,31
NOMO1,5,25,12,41,27,12,0
IL21R,40,55,53,35,35,43,0
SYT17,14,15,20,28,17,16,0
TMC5,4,3,10,18,4,7,0
CCP110,2330,2695,2245,2684,2444,2268,21
VPS35L,3370,3803,3539,4346,3435,3609,54
SLC6A2,0,0,0,0,0,0,0
RNF40,4610,5295,5031,5898,5024,4777,58
KNOP1,1106,1137,1034,1155,985,870,30
AQP9,21,31,23,49,19,14,2
AAGAB,2641,2601,2287,2717,2515,2569,26
IQCH,179,161,191,212,212,208,1
LACTB,836,875,672,922,715,679,8
CORO2B,5884,6934,5939,7613,6171,6430,66
CSK,2396,2927,2579,3166,2824,2827,39
HERC1,2259,2519,3136,3676,2563,3501,52
TRIP4,1057,1105,1047,1151,1083,915,14
MTFMT,707,563,623,681,630,725,14
RASL12,21,10,31,19,20,18,0
AP3B2,4,7,11,6,7,10,0
ACSBG1,15,11,12,6,26,31,0
IGDCC4,6,8,10,21,5,2,0
RAB11A,6403,6526,5893,6972,6795,6128,74
CTSH,8,18,22,17,25,15,0
TTC23,937,944,774,1042,780,905,23
CD276,5044,6938,6677,7530,6821,6769,85
FAH,3001,3284,3020,3667,3024,2812,33
CEMIP,13518,15629,18966,20997,13654,13246,428
RPAP1,1308,1785,1443,1993,1405,1471,38
HOMER2,5,12,20,6,11,11,0
EHD4,5916,6983,6875,8115,7474,7309,90
TMEM87A,3630,3721,3475,3677,3795,3558,52
ZNF106,6014,6706,6804,7321,5204,6208,97
CEP152,1207,1243,1209,1495,1378,1274,12
ATP8B4,24,26,29,35,28,18,0
OCA2,0,0,0,0,0,0,0
DTWD1,2909,2843,2621,2975,2524,2243,51
TGM5,0,0,0,0,0,0,0
FAM189A1,20,26,53,27,19,14,0
GABPB1,1996,1860,1709,1762,2128,2053,39
TJP1,5718,6760,5973,7754,6511,6703,14
BMF,1435,1872,1901,1435,2273,1926,31
DMXL2,2908,2701,2370,3149,2259,2390,49
SCG3,0,1,1,0,0,0,0
DNAJC17,626,603,552,721,660,588,12
EIF3J,4769,4785,4264,5057,5129,4836,59
SPG11,4529,3843,3922,4962,3357,3650,38
RHOV,2,4,5,4,3,3,0
VPS18,1158,1518,1351,1667,1320,1282,28
OIP5,445,419,355,382,480,466,4
SLC30A4,223,289,307,294,227,260,1
BLOC1S6,6428,6411,6115,6752,6450,6105,100
MYEF2,372,290,292,373,381,434,4
SGK3,640,593,443,712,793,624,3
PDGFRL,6,1,6,6,6,6,0
CSPP1,975,935,885,1018,874,880,7
ZDHHC2,1881,1836,1826,1704,1669,1451,11
BRF2,197,202,180,198,193,186,2
TRIM35,646,573,500,573,553,528,13
ZFAND1,2784,2141,2382,2308,2196,1873,36
RP1,77,81,101,81,51,73,0
CA2,0,0,0,0,0,0,0
FZD3,16,37,23,38,31,19,0
INTS9,459,545,507,581,534,575,6
RIPK2,2948,2923,3123,3088,3123,2731,42
EYA1,0,1,0,0,1,3,0
NBN,4871,5027,4681,4966,4661,4494,36
TRPA1,3,7,22,17,31,16,5
CPQ,2009,1938,2204,2027,1688,1484,41
DECR1,3171,3098,3344,3749,3484,3162,46
CALB1,4,7,6,3,3,2,0
BPNT2,9624,10745,9136,10690,10270,10103,107
SFRP1,4,6,2,7,7,13,0
LAPTM4B,3871,3632,3401,3684,3810,3173,48
UBE2W,1672,1424,1485,1505,1270,1108,17
POP1,1274,1236,881,1429,1299,1213,10
NIPAL2,2145,2167,2054,3376,2078,2417,33
IKBKB,883,1113,1113,1260,830,992,18
PLAT,1315,1430,1625,1647,1420,1359,36
JPH1,0,0,1,0,0,0,0
DKK4,4,0,1,3,4,0,0
STK3,1646,1624,1473,1827,1779,1456,18
GDAP1,334,282,217,315,357,343,1
RAB2A,8041,7993,7465,7457,7241,6547,119
EIF3E,31813,25739,26036,25232,25080,20945,325
EMC2,2011,1781,1803,1944,1724,1526,22
ESRP1,0,0,0,0,0,0,0
CCN4,868,944,1389,1080,1059,1103,36
NDRG1,7521,8260,7770,8951,7836,7963,82
ZC2HC1A,1344,1353,1346,1544,1256,1147,7
IL7,318,310,297,321,378,279,2
STMN2,0,0,0,0,0,0,0
ARMC1,2443,2301,2030,2555,2401,2121,25
TRPS1,3560,3220,3603,3978,2722,2272,42
SPAG1,427,454,365,444,551,488,17
CHRAC1,1183,1300,1179,1370,1298,1380,6
NCALD,706,709,643,1086,822,726,13
SNX16,311,311,278,370,304,208,4
GML,0,0,0,0,0,0,0
UBR5,9109,8771,8687,10631,10166,8969,84
GFUS,0,3,14,0,0,3,3
EEF1D,9720,10766,10193,10441,10740,9860,121
ANXA13,0,6,2,2,1,2,0
SQLE,11389,11018,9765,10997,10159,8809,124
SH2D4A,790,895,795,1018,877,825,8
INTS10,1443,1442,1381,1803,1441,1357,30
ERI1,1567,1611,1407,1669,1733,1503,8
SLC39A14,5036,5324,5307,5138,5145,4980,58
MTMR9,466,549,509,622,493,488,8
LEPROTL1,737,985,771,1086,924,912,9
DCTN6,1117,1058,1037,1029,972,941,15
R3HCC1,562,590,623,691,567,561,12
GSR,1678,1806,1612,2112,1677,1502,57
TNFRSF10A,165,179,151,175,140,127,4
UBXN8,569,656,555,531,491,549,5
PPP2CB,2147,2361,2335,2379,2282,2505,20
ERICH1,345,321,380,407,369,414,16
NEFM,0,0,0,0,1,0,0
TUSC3,4631,4648,4165,4626,3996,3724,50
ARHGEF10,0,0,0,0,0,0,0
KLHDC4,917,1023,975,1166,1008,1079,21
MCM4,15286,14915,11665,12925,15270,15824,59
ADAM2,0,0,0,0,0,0,0
KCTD9,2317,2521,2232,2378,2424,2436,20
FGL1,0,0,0,0,0,0,0
ASAH1,830,849,972,912,859,704,12
BNIP3L,5391,4814,5068,5135,5042,4573,105
MAN2B1,3395,4152,4341,5123,4293,4129,70
KCNN4,985,1185,932,1002,1068,1206,14
TULP2,0,0,0,0,0,0,0
NUCB1,7879,10541,10889,12818,9367,8806,122
DHDH,0,2,0,0,0,1,0
GYS1,2602,3109,2755,3319,2697,2858,31
CGB2,0,0,0,0,0,1,0
LHB,1,1,1,1,0,0,0
CGB3,0,0,0,1,1,0,0
TUBB4A,4,2,8,4,0,0,0
KCNA7,20,27,21,27,11,22,0
SNRNP70,7379,9087,8026,10207,8610,8909,86
CLPTM1,3951,4587,4290,5087,4413,4438,51
RELB,904,1055,1300,1179,1325,1115,17
CLASRP,1643,1524,1458,1811,1255,1372,12
LIN7B,52,58,73,67,78,78,2
PPP1R37,714,959,1028,1279,902,892,11
FCGRT,549,547,529,609,495,411,22
PIH1D1,1929,2056,1990,2373,2100,2115,42
CKM,0,0,0,0,0,0,0
ARHGEF18,1055,1349,1119,1404,1312,1115,16
PPP1R13L,167,260,225,128,142,126,5
PEX11G,26,37,33,38,46,22,0
ERCC2,2610,3238,2856,3747,2928,2950,14
DOT1L,1323,1858,1380,2133,1662,1618,36
PLEKHJ1,1186,1516,1344,1581,1766,1444,19
SLC17A7,7,11,9,10,8,6,1
RNASEH2A,1767,1878,1562,1963,2010,1848,13
KLC3,15,11,10,7,10,9,0
CD37,4,5,5,4,3,3,0
SF3A2,1744,2664,2388,3161,2856,2550,51
AMH,4,31,17,33,17,31,1
DKKL1,1,8,2,4,8,2,0
LYL1,8,18,14,30,17,26,0
OAZ1,25769,28503,26649,29909,30412,26792,390
TRMT1,2235,2328,2421,2701,2081,2217,24
STX10,2182,2278,2450,2496,2521,2315,37
RETN,0,0,0,0,0,0,0
FCER2,0,0,0,0,0,0,0
DMPK,1864,2919,2918,3878,2912,3132,48
CLEC4M,11,11,18,17,10,18,0
RSPH6A,1,2,1,0,0,0,0
TBC1D17,1447,1812,1869,2062,1692,1448,22
IL4I1,41,48,74,86,50,38,4
TLE6,5,2,9,2,3,3,0
CCDC130,497,584,586,862,477,570,8
PTOV1,3218,4145,4000,4290,3734,3561,50
TLE5,9856,11613,11092,11987,12150,11034,174
NOVA2,3,3,6,2,4,5,0
SGTA,2526,3183,2897,3667,3429,3273,44
KIR3DX1,6,7,5,10,19,14,0
LILRB1,0,0,0,0,0,0,0
MED25,1402,1756,1597,1908,1721,1600,25
SNAPC2,774,1089,1044,1257,1151,1097,17
C19orf53,3041,3286,3167,3447,3352,3190,40
TIMM44,1794,1995,1658,2062,1830,1814,27
CCDC61,277,368,381,477,318,315,7
IL27RA,144,138,144,135,117,116,2
ASF1B,2052,2181,1746,2114,2398,2277,19
TNNT1,69,84,69,88,67,48,3
VRK3,1457,1680,1524,1703,1369,1328,17
FAM32A,4102,4033,3945,4016,4231,3790,46
PPP6R1,5067,6653,5947,7632,7050,6904,89
C19orf44,219,304,277,365,234,213,5
MED26,626,817,743,692,884,841,9
OLFM2,46,55,60,59,72,79,0
RASAL3,1,3,0,2,1,0,0
AKAP8,1986,2326,2101,2345,2588,2457,29
EPHX3,3,1,4,3,4,2,0
ILVBL,1886,2140,1987,1961,2069,1709,48
ZNF419,106,90,98,165,71,109,12
SYDE1,2108,2662,2632,2890,2810,2916,40
CASP14,1,0,1,0,2,2,0
SLC1A6,4,9,5,5,3,4,0
AURKC,19,13,9,15,15,6,0
POP4,1225,1265,1173,1349,1402,1292,18
CCNE1,146,158,137,123,139,138,3
URI1,4679,4535,4457,4744,4537,4313,64
PDCD5,5004,4784,4609,4946,5424,4707,69
ANKRD27,2432,2755,2442,2823,2566,2338,30
RPS16,30275,34514,33918,38136,36071,32195,537
TIMM50,2737,2867,2590,3075,3009,3120,40
LGALS13,0,0,0,0,0,0,0
CLC,0,0,0,0,0,0,0
CCNP,0,1,2,5,2,0,0
GPI,14308,16022,13636,17117,14806,14465,182
AKT2,6854,7833,6696,8053,6710,7296,62
PLD3,5499,6536,7045,7589,6177,5856,108
PRX,214,305,302,333,242,261,1
PIAS4,436,596,638,1136,563,801,2
NUMBL,2416,3096,3345,4073,3527,3339,45
EBI3,0,1,0,0,0,0,0
YJU2,982,1168,1240,1344,1408,1268,23
SHD,1,0,0,0,0,0,0
TBCB,3288,3816,3401,3820,3686,3444,39
FSD1,158,187,198,297,173,208,3
POLR2I,896,1034,961,1135,1180,982,20
OVOL3,1,0,1,4,0,2,0
CLIP3,1972,2542,2936,3004,2063,2024,36
ZFR2,1,1,2,0,2,1,0
SLC1A5,11062,12821,11597,12211,11426,11240,119
PRKD2,862,1118,1011,1316,1160,1125,15
TJP3,0,0,0,0,0,0,0
APLP1,15,17,16,19,9,23,0
CACTIN,1061,1241,1268,1844,1447,1577,22
CCDC9,624,808,763,924,688,740,18
HNRNPUL1,15930,18835,16908,20732,18599,19150,263
FZR1,1805,2329,2275,2860,2354,2369,25
BBC3,270,312,375,374,442,414,5
TGFB1,3866,4391,4470,4359,4640,4638,41
DENND3,492,566,455,696,525,576,13
DMAC2,1695,1971,1889,2093,1926,1860,32
PLIN3,12786,15730,15536,17881,15332,14268,234
MYH14,2,2,3,11,3,7,0
MRPL4,1843,2449,2302,2851,2847,2762,18
SIGLEC8,0,3,2,3,4,7,0
CD79A,7,5,7,2,8,5,0
LIM2,0,0,0,0,0,0,0
ICAM4,3,2,6,10,6,4,0
RPS19,34689,37364,37046,39361,39132,34623,490
NOP53,7616,7803,8333,8840,7822,7380,118
NKG7,0,0,0,0,0,0,0
ICAM5,21,46,55,68,39,53,0
ETFB,2272,2761,2741,3130,3008,2753,37
CD33,163,149,196,205,202,170,1
CEACAM5,1,1,9,1,1,5,0
CRX,50,58,31,82,56,43,2
BABAM1,3052,3158,2959,3485,3242,3066,31
TYK2,2989,3130,3236,4176,3168,3559,43
SULT2A1,5,6,3,8,9,4,0
CDC37,8858,10150,9170,10495,10018,9871,106
NAPA,3068,3606,3126,3971,3449,3229,38
RABAC1,1595,2012,2228,2281,2184,1837,35
ATP1A3,26,32,36,43,30,22,0
MEIS3,480,656,722,735,545,534,16
PTPRS,1759,2370,2651,3465,2295,2392,45
CNFN,2,2,2,1,1,0,0
ZNRF4,0,0,0,0,0,0,0
MEGF8,4790,5987,6000,7022,5608,5610,90
KDELR1,7977,9304,9275,10757,8517,8371,120
CYTH2,3721,3915,4073,4362,3946,3847,69
GRWD1,1616,2172,1840,2457,2394,2229,31
GRIN2D,11,15,18,21,20,21,0
SYNGR4,1,0,0,1,1,3,0
CLEC11A,3999,5457,5632,6098,6395,5384,73
CCDC114,7,6,11,8,3,13,1
CARD8,870,856,918,1087,978,835,11
LIG1,3313,3505,2540,3525,3175,2746,13
SIGLEC6,0,0,0,0,0,0,0
ZNF175,538,525,487,505,768,773,9
PLA2G4C,51,66,63,58,43,76,4
SIGLEC5,0,0,0,0,0,0,0
CABP5,0,0,0,0,0,0,0
HAS1,144,174,161,204,150,86,3
RAB3D,510,494,578,719,483,385,14
DBP,53,59,67,73,52,55,1
TMEM205,1001,1152,1179,1300,1258,1083,16
CAPS,174,370,296,431,224,252,7
PLPPR2,823,1083,996,1128,1026,977,10
FAM83E,1,4,1,5,1,2,0
RASIP1,2,1,1,3,2,4,0
THEG,0,0,0,0,0,0,0
FGF21,0,0,0,0,0,0,0
BCAT2,1327,1518,1455,1670,1630,1503,29
MIER2,961,1378,1012,1441,1127,914,4
PLEKHA4,2556,3231,3532,4107,3503,3258,78
PPP2R1A,12290,13846,13280,15053,12866,12455,143
TNPO2,3144,3970,3459,4875,3457,3956,58
WDR83OS,3221,3202,3207,3338,3442,3149,36
CACNG7,11,13,29,23,15,27,0
GCDH,655,767,752,819,669,713,9
LILRB5,11,9,12,25,12,8,0
KLF1,0,0,0,0,0,0,0
DNASE2,1720,1752,1813,1781,1721,1558,32
MAST1,36,41,24,26,32,51,1
LENG1,2,4,5,4,1,1,0
PRPF31,2046,2353,2151,2902,2605,2310,46
TFPT,0,16,0,10,0,0,4
JAK3,22,37,40,39,34,37,0
RPL18A,31939,40656,41628,45714,44652,40008,611
SLC5A5,30,31,31,28,32,37,0
KCNN1,7,8,14,18,11,6,0
ARRDC2,998,1094,968,1149,1180,1021,11
PIK3R2,3690,4399,4873,5260,4544,4585,54
RAB3A,65,69,65,95,64,57,4
PDE4C,43,44,46,85,51,54,0
ISYNA1,48,85,77,68,70,93,1
ELL,1611,2073,1914,1803,2477,2347,27
CRTC1,544,810,868,1010,885,824,13
COMP,13,9,6,4,11,6,0
UPK1A,2,2,1,0,2,1,0
COPE,3405,4449,4330,5139,5128,4580,53
DDX49,1184,1374,1423,1373,1482,1197,19
ETV2,33,53,46,35,48,45,1
ATP4A,0,0,0,0,0,0,0
ARMC6,1553,1567,1334,1461,1438,1478,37
TMEM147,2363,2545,2361,2621,2569,2312,29
GAPDHS,0,0,2,0,1,1,0
MAG,0,0,0,0,0,0,0
TMEM59L,7,8,9,9,4,10,0
HAMP,6,11,10,12,10,25,0
USF2,3326,2984,3322,3461,2845,2832,55
LSR,101,110,126,142,153,150,5
KXD1,3315,3719,3565,4054,3638,3606,48
FKBP8,8842,11250,11614,12531,11958,10593,176
SUGP1,884,1265,1266,1456,1442,1378,14
HPN,1,2,0,1,0,2,0
ZNF14,97,68,68,61,78,50,2
SCN1B,39,42,35,49,57,58,1
PBX4,0,0,0,0,0,0,0
ERF,3031,3296,3040,3588,3056,3335,36
GSK3A,2763,3118,2764,3175,3046,2957,33
ATP13A1,2199,2924,2380,3336,2574,2647,39
ZNF574,432,549,534,675,668,658,4
GRIK5,8,8,10,6,6,10,0
SIPA1L3,3382,3755,2283,4564,2561,3513,51
ZNF85,245,267,258,261,272,251,0
ETHE1,1172,1247,1360,1399,1262,1161,16
CADM4,70,108,107,94,56,65,1
SMG9,899,1233,1067,1473,1189,1231,18
AVL9,2710,2973,2453,2892,2357,2124,45
RUNDC3B,0,0,0,1,1,0,0
CFAP69,387,469,503,566,391,449,10
GTPBP10,1492,1239,1059,1257,1302,1157,24
RASA4,1261,1853,1605,1735,1412,1579,28
CDK6,3616,4121,3981,5033,3840,4405,59
PMPCB,4237,3966,4052,4436,4191,3714,73
DNAJC2,2657,2653,2293,2526,2768,2682,39
TFPI2,5508,6481,4946,6216,6838,6215,28
BET1,2167,2062,1905,1952,1874,1661,29
NAMPT,17507,20292,20248,22519,17792,18475,382
POLR1F,4023,3777,3653,3507,3640,3776,36
PIK3CG,0,0,0,1,0,1,0
PON3,3,1,2,1,3,0,0
PON2,2630,2464,2532,2800,2524,2318,57
ITGB8,2145,2143,2006,2796,1711,1845,41
HBP1,2623,2747,3020,3211,2614,2491,55
DUS4L,347,399,321,380,454,345,12
SP4,337,320,216,380,249,233,3
WDR91,465,448,410,530,485,435,11
DNAH11,829,878,854,1100,916,832,6
CBLL1,1230,1242,1301,1400,1174,1313,13
DLX5,0,0,0,0,0,0,0
MTPN,13723,14687,13815,15274,14266,13460,162
STEAP1B,1021,1031,888,1021,974,861,10
PTN,2164,2350,2185,2540,2238,1807,32
MPP6,1854,1727,1419,1868,1755,1820,10
GSDME,1816,1727,1734,2005,1588,1439,14
ATP6V0A4,0,1,1,2,0,0,0
ZC3HAV1,4305,4743,4577,6107,4096,4228,51
TTC26,1337,1173,1061,1252,1217,1076,8
OGDH,5560,6624,5632,6767,5601,5703,62
NPVF,0,0,0,0,0,0,0
ADAP1,40,48,44,53,42,61,0
TFEC,14,4,13,8,4,2,0
H2AZ2,7182,7388,7001,7569,8052,6883,78
CAV2,4964,5020,4235,4805,4698,4649,45
CAV1,88491,86834,78757,88168,81762,81274,820
MET,4088,4349,3484,4525,4316,4684,32
RNF32,9,21,4,12,2,20,0
LMBR1,3283,3581,3206,3714,3252,3222,38
WNT2,1,4,1,3,3,0,0
HOXA1,5,2,2,5,5,4,0
DNAJB6,7096,7502,6939,6894,7469,7175,98
HOXA2,0,1,1,0,2,1,0
HOXA3,7,7,7,20,19,6,0
LFNG,47,39,60,30,50,80,0
HOXA5,10,10,15,21,11,3,0
HOXA6,3,2,3,2,1,2,0
BRAT1,1340,1944,1850,2219,2316,1964,23
IQCE,1990,2509,2477,2934,2118,2443,28
ANKRD7,1,0,0,0,1,0,0
VIPR2,8,4,10,4,5,6,0
TSPAN12,4,3,7,4,5,4,0
SSBP1,3665,3502,2915,3541,3960,3012,75
HOXA13,3,8,9,5,4,6,1
CPED1,3763,3969,3810,4096,3351,3367,57
EVX1,0,0,0,0,0,0,0
HIBADH,4653,4386,4477,4569,4235,3734,74
TAX1BP1,8493,7983,7829,7934,7904,6983,89
CPVL,0,0,0,0,0,0,0
CHN2,4,8,15,16,3,15,0
GRB10,1284,1352,1311,1941,1422,1388,8
ABHD11,478,614,493,597,617,603,7
COBL,0,1,0,0,0,0,0
FKBP14,3615,3374,3195,3252,2839,3061,31
PLEKHA8,784,748,608,832,667,709,11
STX1A,3637,4475,3536,3994,3901,3964,38
NOD1,1119,1259,1374,1388,1032,1191,29
GARS1,10023,10596,9944,11418,10184,10027,124
CRHR2,0,0,0,0,0,0,0
EPHB6,96,202,106,312,334,136,0
MINDY4,1188,1410,1210,1499,1211,1189,14
GHRHR,0,0,1,0,0,2,0
NSUN5P2,144,178,189,234,150,176,3
CASP2,1996,2304,1747,2460,2044,2272,20
CHCHD2,9777,9854,9494,10288,11835,10083,133
CCL24,2,0,0,1,0,0,0
HSPB1,5910,8117,8223,8839,7907,7558,110
NPTX2,0,0,0,0,0,0,0
PDAP1,6927,7675,6836,8574,8191,8014,102
BUD31,2788,2765,2721,2951,3018,2868,36
PTCD1,264,383,372,414,361,401,4
CYP3A5,174,160,157,244,158,165,0
ZKSCAN1,3926,4248,4309,5676,3259,3312,50
EIF3B,11420,12860,11168,12880,11799,12438,111
SNX8,1359,1594,1312,1492,1550,1454,13
NUDT1,1005,1113,1022,1136,1244,1074,10
PTPRZ1,2,1,9,4,2,2,0
TAF6,2855,3105,2999,3776,3148,3305,42
WASL,5483,6116,5737,6526,5778,5817,70
HYAL4,5,2,0,0,2,2,0
SPAM1,0,0,0,0,0,0,0
AIMP2,1080,1232,1050,1259,1314,1227,11
TFR2,6,7,3,5,1,6,0
FSCN3,1,2,5,3,2,0,0
MOSPD3,400,476,505,569,469,465,10
PAX4,0,0,0,0,0,0,0
PCOLCE,32879,42261,42710,49443,40947,39168,659
FBXO24,26,18,32,27,40,25,1
PPP1R17,0,0,0,0,0,0,0
RBM28,2456,2689,2407,2871,2487,2494,16
USP42,577,777,584,997,642,665,13
IMPDH1,2792,3115,2652,3324,2911,3315,38
AGFG2,570,831,805,942,756,716,15
LSM5,2369,1990,1625,1686,1984,1622,20
SERPINE1,56895,63638,50886,64608,57667,55307,744
AP1S1,3635,3450,3308,3357,3228,2960,49
MOGAT3,6,6,15,12,3,8,0
C1GALT1,6150,5903,5071,5321,4537,3876,48
PLOD3,7261,7383,7762,8600,7437,7527,65
RPA3,1891,1523,1233,1241,1551,1224,22
ZNHIT1,2029,2426,2256,2648,2495,2342,36
CLDN15,304,320,282,444,241,288,7
NOBOX,0,0,0,0,0,0,0
GLCCI1,565,536,536,640,577,480,17
MYL10,0,6,4,3,5,2,0
PHF14,2764,2427,2491,2565,2450,2242,23
NRF1,1096,1141,921,1291,1010,1069,10
TMEM106B,4820,4479,4441,4915,4213,4041,75
EZH2,2044,2207,1792,2390,2445,2332,15
CEP41,1168,1102,864,1017,928,851,24
ZNF862,360,470,471,531,325,338,8
SFRP4,7,10,20,13,19,17,0
MEST,19,15,18,15,15,26,0
MEOX2,52,50,42,110,48,35,1
ANKMY2,1367,1241,1316,1380,1269,1161,26
ACTR3C,19,11,14,10,6,9,0
POU6F2,1,3,3,0,0,1,0
TSPAN13,24,30,36,22,39,21,2
RARRES2,0,0,0,0,0,0,0
AGR2,0,0,0,0,0,0,0
AHR,3517,3958,3932,4295,3278,3332,35
CHCHD3,4458,4967,4463,5160,5057,4809,56
GIMAP2,459,425,428,381,362,286,9
TMEM176B,0,0,0,0,0,0,0
GLI3,3800,4781,4950,5365,4181,4515,57
PSMA2,7704,6555,6116,6115,7230,5690,90
MRPL32,3420,3201,3039,3199,3360,3085,42
COA1,2399,2290,2205,2471,2608,2207,30
BLVRA,2935,2835,2697,3056,2962,2560,49
URGCP,2020,2367,2267,2785,2380,2156,31
TMEM248,6489,6979,6323,7082,6696,6443,43
STAG3L4,233,266,290,239,203,257,2
RHEB,6069,6180,5402,6122,6863,6090,62
PRKAG2,607,653,561,654,644,742,12
AEBP1,8031,10464,10437,12100,9396,8654,119
POLD2,9298,10500,9467,11056,10217,9933,121
MYL7,0,0,0,0,0,0,0
GCK,0,1,0,3,0,0,0
BCL7B,2830,3144,2970,2902,3342,3111,28
YKT6,6283,6197,6050,6760,6517,6571,89
TBL2,1729,2186,1869,2404,1878,1945,38
GALNTL5,3,0,0,6,0,1,0
CLIP2,3672,4600,4893,5561,4364,4482,81
EIF4H,25697,28030,26170,28064,29049,26870,344
LIMK1,4394,5513,5334,6343,5571,5610,93
SPATA6L,22,25,37,34,16,35,0
SLC1A1,2421,2554,2241,2272,2355,2438,17
LHX2,6,3,4,6,2,1,0
FKTN,3241,3205,3328,3604,2635,2801,81
FSD1L,620,464,430,586,469,509,1
CNTNAP3,17,22,16,22,17,11,0
SPIN1,5657,6087,5731,6385,5517,5642,149
NMRK1,456,464,470,526,353,315,8
TMEM245,5820,6306,5758,6839,5341,5706,77
PRUNE2,1157,1036,1061,1175,843,758,13
MEGF9,1937,2060,1945,2400,2156,1963,25
TRIM14,2059,2151,2014,2531,2035,2249,30
CORO2A,32,44,50,45,32,43,1
TGFBR1,3567,3959,4030,4533,4641,4341,58
SEC61B,4073,4048,4075,4282,4532,3937,48
C5,907,985,736,1008,936,781,5
OGN,53,41,70,66,38,35,0
ASPN,150,134,196,146,175,145,5
ECM2,286,266,303,308,234,179,5
TLE4,428,493,429,507,436,431,11
LHX6,1,0,1,1,9,2,0
PTGR1,3349,3148,3147,3309,3058,2738,37
SUSD1,239,324,312,290,261,234,7
AMBP,17,17,16,15,14,16,3
AKNA,343,490,441,716,462,555,20
TNFSF8,0,0,0,0,0,0,0
DNM1,5065,6295,5517,8452,5477,5566,61
ENG,11864,14887,12999,16045,12822,12521,167
AK1,1886,2048,1924,2091,1792,1731,29
CDC37L1,642,663,657,735,645,530,11
RLN1,0,0,1,1,2,0,0
RLN1,0,1,0,1,0,0,0
PLGRKT,739,709,621,685,812,657,16
TBC1D13,1118,1159,1134,1541,1256,1348,19
RIC1,2743,2915,3001,3425,2950,2973,46
KDM4C,1482,1484,1430,1822,1345,1420,22
DOCK8,11,19,10,29,7,26,0
KANK1,2355,2774,2596,3437,2532,2296,48
ELAVL2,2,1,4,1,2,2,0
NCS1,5247,6629,5812,6168,6273,6523,73
TESK1,1034,1262,1407,1432,1239,1247,11
KCNT1,0,0,0,0,0,0,0
CA9,0,2,2,0,0,0,0
FUBP3,3800,4625,3484,5596,5682,4810,51
TYRP1,5,1,3,1,0,1,0
CREB3,1185,1457,1346,1599,1295,1274,23
RGP1,2859,3241,3141,3734,2689,3118,46
MPDZ,3263,3785,3734,4252,3179,3482,46
LHX3,1,0,0,1,0,0,0
DDX58,2074,2056,2460,2647,1640,1491,34
EDF1,4778,5505,5691,6313,6005,5498,82
PIP5K1B,2,2,1,2,3,0,0
GLIS3,2346,2554,2740,2806,2279,2221,29
BAG1,2108,2199,2075,2358,2507,2443,34
RAPGEF1,5099,5859,5205,6090,5386,5698,59
NPDC1,1572,2507,2621,3384,3118,2576,63
APBA1,329,454,427,596,408,369,0
SETX,6590,6817,6820,8025,6417,6667,119
SH3GL2,1,0,1,1,0,0,0
PTGDS,0,0,0,0,1,0,0
ABCA2,2790,3698,3979,5009,4282,4093,56
SHB,1833,2020,1975,1890,2178,2112,33
UBE2R2,5086,5367,5318,6063,5198,5028,91
ABHD17B,471,551,518,563,536,534,9
EXOSC3,1164,1222,965,1276,1316,1105,8
ZFAND5,12117,12344,12873,13259,12044,11990,167
DVL1,2098,3058,2791,3342,3716,3313,28
PDLIM1,516,461,517,510,539,523,4
CCNJ,502,536,533,575,518,580,5
DNTT,0,0,0,0,0,0,0
GATA3,0,1,0,2,0,0,0
ATRNL1,0,0,0,0,0,3,0
HPS1,3575,3909,3677,4226,3908,3768,72
PHYH,1064,1123,1070,1307,1137,964,28
RASSF4,114,97,187,146,122,89,3
DNMBP,3028,3617,3015,3658,3633,4178,44
RAB11FIP2,1440,1925,1633,1614,1747,1647,27
CXCL12,34834,36365,44246,39164,33641,30448,859
ERLIN1,6733,7392,6290,7002,6347,6516,68
EIF3A,27471,30177,27318,31969,27970,29273,389
PKD2L1,0,2,1,0,0,0,0
CUBN,489,503,523,656,522,451,9
TRDMT1,757,825,794,784,775,807,25
DDX50,3972,3613,3479,3485,3468,3289,51
MAPK8,1575,1459,1492,1633,1710,1528,17
SEC23IP,3218,3899,3521,4100,3362,3278,104
ATE1,3549,3692,3127,3497,3123,3227,20
NSMCE4A,2698,2609,2308,2526,2947,2554,25
