gene_name,1_S5_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep1,2_S6_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep2,3_S7_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep3,4_S8_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep1,5_S9_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep2,6_S10_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep3,7_S11_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep1,8_S12_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep2,9_S13_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep3,10_S14_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep1,11_S15_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep2,12_S16_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep3
PRSS35,0,0,0,0,0,0,0,1,0,1,0,0
MMS22L,1978,2147,1542,2239,1616,1477,2133,3332,2090,1696,2020,1386
FAXC,56,86,50,69,63,59,52,58,38,49,50,32
GABRR1,0,0,0,0,0,0,0,0,0,0,0,1
PNRC1,466,594,381,550,519,501,367,431,291,393,411,330
PM20D2,3265,4444,3008,3193,2532,2915,737,872,653,521,578,426
RARS2,703,1045,717,1018,720,778,770,1037,723,546,598,435
SCML4,0,0,0,0,0,0,0,1,1,0,0,0
TBC1D32,491,589,425,531,312,334,857,1049,666,425,473,331
CLVS2,0,0,0,0,0,0,0,1,1,0,0,0
GPR6,0,0,0,0,0,0,1,0,0,0,0,0
RNF217,0,0,0,9,12,23,8,2,3,24,24,2
RSPO3,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP18,609,688,474,527,366,387,452,558,410,364,447,247
TAAR2,0,0,0,0,0,0,0,0,0,0,0,0
TAAR6,0,0,0,0,0,0,0,0,0,0,0,0
TAAR8,0,0,0,0,0,0,0,0,0,0,0,0
ABRACL,118,156,99,166,122,128,43,62,65,24,30,21
TAAR1,0,0,0,0,0,0,0,1,0,0,1,0
SLC18B1,3417,4175,3136,4767,3085,3204,3952,4815,3461,2623,2603,1865
MTFR2,263,333,216,314,225,227,305,354,262,204,219,151
SLC2A12,0,1,0,2,0,0,0,3,0,0,1,0
SHPRH,1929,2414,1699,2409,1535,1785,1746,2428,1564,1391,1457,1151
AIG1,913,1226,811,1067,921,789,416,523,326,188,195,145
DYNLT1,349,542,395,473,427,379,345,407,317,293,302,233
TIAM2,81,77,55,75,25,38,56,75,51,40,43,33
TMEM181,1018,1335,798,1079,905,1029,1026,1281,850,772,896,582
PNLDC1,0,0,0,1,0,1,0,3,0,0,0,2
WTAP,1994,2686,1851,2517,1811,1975,1639,2095,1400,1596,1632,1216
ZMYM4,1034,1197,861,821,723,844,935,966,574,498,518,351
VIP,0,0,0,0,0,0,0,0,1,0,0,0
ARMT1,669,897,558,847,560,797,351,504,283,209,239,150
SLC22A3,0,0,0,1,0,0,0,1,0,0,4,1
LINC01558,8,6,0,4,1,2,5,6,0,1,6,2
VWDE,0,0,0,0,0,0,0,0,0,0,0,1
GNA12,114,189,142,141,116,138,205,226,186,159,170,129
C7orf50,166,268,246,239,221,207,205,285,160,170,182,144
SDK1,0,0,0,1,0,0,2,0,0,0,0,0
WASH2P,194,227,193,259,270,231,421,493,343,470,409,425
CCZ1B,497,552,477,619,487,387,444,478,398,374,379,279
C7orf26,139,201,121,170,169,126,123,162,102,79,94,72
RBAK,580,698,462,512,462,403,460,615,414,374,473,296
CREB5,0,0,0,0,0,0,0,0,0,4,0,0
FERD3L,0,0,0,0,0,0,0,0,0,0,0,0
EGFR,3,0,0,0,0,0,1,1,0,0,0,0
LINC00525,0,0,0,0,0,0,0,0,0,0,0,0
CDCA5,235,356,273,280,316,251,223,362,187,154,193,160
IGFBP3,0,0,0,0,0,0,0,0,0,0,0,0
PURB,938,1340,879,1077,867,940,1350,1592,1058,1100,1188,787
RPL32P18,2,2,2,0,2,1,1,3,1,1,2,1
IGFBP1,0,0,0,0,0,0,0,0,0,0,0,0
SSC4D,6,10,8,6,9,10,1,6,0,3,1,1
MDH2,392,597,439,709,682,634,437,639,344,381,432,367
POMZP3,46,39,26,38,34,22,31,61,35,22,31,35
LOC541473,0,0,0,0,0,0,0,0,0,0,0,0
NIPSNAP2,1929,2610,1520,1997,1569,1524,930,1563,1010,855,961,815
CCT6A,4856,7455,4608,7170,6055,6522,3811,5372,3495,2594,2915,2237
PSPH,414,553,381,539,498,391,536,729,473,339,393,304
TRIM50,0,0,0,0,0,0,0,0,0,0,1,0
ZNF92,329,459,274,414,308,320,242,432,240,235,350,148
ATXN7L1,145,159,131,169,97,98,190,256,126,57,63,33
TMEM168,354,451,354,297,298,302,325,585,340,273,359,222
ASB15,0,0,0,0,0,0,0,0,0,0,0,0
MAP11,69,106,53,104,83,78,76,87,45,63,44,51
SLC12A9,132,196,159,134,158,102,83,150,80,29,39,35
GIGYF1,500,706,498,682,701,528,720,990,543,539,590,543
TRIM4,406,597,389,534,397,457,381,408,270,277,313,189
MEPCE,530,811,582,792,986,647,582,969,551,501,657,563
ZAN,0,0,0,0,0,0,0,1,0,0,0,0
TMEM209,292,407,263,312,263,265,415,510,380,288,343,242
AGBL3,13,29,9,18,12,21,14,18,2,12,11,8
STRA8,0,0,0,0,0,0,0,0,0,0,0,0
ZC3HAV1L,89,146,124,130,133,126,73,147,81,43,47,48
TMEM140,5,7,2,5,2,2,2,3,2,62,25,45
TLK2,916,1063,719,865,595,699,740,974,654,607,752,484
EPHA1,3,1,2,0,0,2,3,3,0,0,1,0
NOM1,1151,1387,904,1108,1121,1046,1125,1374,960,771,951,632
CNPY1,0,1,0,0,0,0,0,2,0,0,1,0
NCAPG2,1183,1694,1258,2372,2030,1674,1367,1782,1194,2074,2351,1469
ASB10,0,0,0,0,0,0,0,0,0,0,1,0
NLGN4X,0,0,0,0,0,0,0,0,0,0,0,0
SHROOM2,0,0,0,0,1,0,5,0,0,0,0,0
RAB19,0,0,0,0,0,0,0,0,0,0,0,0
LUC7L2,866,1137,808,909,759,861,1081,1490,878,1094,1273,846
DENND2A,21,26,17,29,18,15,19,23,11,19,21,10
CLTRN,0,1,0,1,1,0,4,3,1,3,2,6
SH3KBP1,143,161,122,93,35,43,80,119,70,15,21,40
TMEM47,0,0,0,0,0,0,0,1,1,0,0,0
LANCL3,34,55,50,292,179,210,37,71,21,140,136,102
SYTL5,0,0,0,0,0,0,1,0,0,1,0,0
CASK,296,385,332,228,144,206,236,240,239,55,72,109
KDM6A,302,478,328,557,311,331,843,901,496,695,790,491
SPIN2A,25,32,32,45,44,33,35,59,36,44,51,40
MSN,759,1368,1043,1157,988,1085,712,873,604,168,218,183
AKAP4,3,2,2,7,2,3,2,2,7,4,2,4
CCNB3,5,17,16,31,10,11,7,11,5,5,6,5
HDAC8,251,341,230,285,179,216,298,488,287,216,223,149
SLC16A2,3,1,0,2,0,2,4,2,1,0,0,0
DIPK2B,12,13,4,10,9,12,7,7,1,6,9,5
ZNF157,13,16,11,16,20,11,13,19,6,9,8,4
ZNF182,123,191,115,173,119,124,124,156,76,68,76,55
CHST7,10,14,12,31,14,17,9,14,6,3,6,5
KRBOX4,110,132,92,126,78,93,120,145,90,89,77,74
NDUFB11,602,861,594,851,721,640,506,760,466,454,494,434
ZNF41,159,236,133,177,131,154,161,143,130,73,86,53
RAB41,0,0,0,0,0,0,0,0,0,0,0,0
ZMYM3,272,349,252,327,297,276,204,263,155,100,126,104
TAF1,1264,1732,1316,1412,1299,1447,2313,3184,2150,2535,2750,1853
GPR174,103,142,91,103,83,74,29,41,32,11,8,12
NONO,1972,2737,2193,2682,2226,2003,2393,2985,2083,1681,1969,1568
CCDC120,13,8,6,19,15,14,6,5,3,7,3,4
LPAR4,0,0,0,0,0,0,1,0,0,0,0,0
EBP,687,955,683,863,687,638,458,638,385,299,318,259
AWAT2,0,0,0,0,0,0,0,0,0,0,0,0
OGT,4234,5669,4032,5788,3732,3842,8761,10639,7272,5808,6175,4904
SNX12,309,478,310,440,425,308,223,329,204,178,212,143
ITGB1BP2,28,27,14,15,11,14,24,21,17,12,11,9
IL2RG,14,8,7,18,11,16,24,9,18,1,2,3
GCNA,29,31,23,37,24,27,28,60,30,61,76,33
ZNF711,105,136,77,291,210,181,90,127,85,148,188,132
CPXCR1,0,0,0,0,0,0,0,0,0,0,0,0
DIAPH2,945,1250,822,1135,786,856,571,820,493,338,369,234
NXF3,6,19,12,8,3,13,3,8,5,3,2,3
RIPPLY1,0,0,0,0,0,0,0,0,0,0,0,0
PRPS1,776,1082,735,987,891,866,824,1057,683,630,752,475
RADX,307,311,336,202,164,203,180,297,199,165,167,125
FRMPD3,2,2,2,4,2,2,2,5,2,0,2,1
HTR2C,0,0,0,0,0,0,0,0,1,1,0,0
DOCK11,1362,1667,1177,1350,770,897,849,1133,858,312,305,213
IGSF1,0,3,1,3,1,2,4,5,0,1,0,2
ARHGAP36,0,0,0,0,0,0,0,0,0,0,0,0
GPC3,0,0,0,0,1,0,1,0,2,0,0,0
GPR119,0,0,0,0,0,0,0,0,0,0,0,0
RBMX,4155,6084,4348,5154,4538,4368,5419,7115,4853,3877,4534,3446
MCPH1,1413,1915,1182,1644,1122,1189,1474,1819,1169,762,925,683
MFHAS1,2012,2976,2120,2879,2686,2388,2552,2969,2105,2458,2723,2277
FBXO25,925,1117,717,1057,662,687,635,832,538,477,618,344
FATE1,0,0,0,0,0,0,0,0,0,0,0,0
MAGEA4,0,0,0,0,0,0,0,0,0,0,0,0
NSDHL,208,294,246,297,268,292,255,365,262,236,237,228
ZNF185,6,6,2,7,11,8,7,14,4,8,8,9
CETN2,140,199,125,146,121,122,128,179,142,86,84,62
RPL10,6521,8951,6387,9583,7471,6695,8387,12327,7388,7877,8537,7526
CSGALNACT1,15,24,2,20,11,10,19,7,6,20,15,6
ATP6V1B2,1994,2789,1880,3485,3200,2952,1707,2327,1495,2030,2060,1533
CCDC25,1707,2473,1592,2336,1717,1728,1436,2098,1335,1239,1572,890
HMBOX1,581,804,430,625,426,430,839,941,684,495,550,390
CHRNB3,0,0,3,0,0,0,0,0,0,0,0,0
CHRNA6,0,0,0,0,0,0,0,0,0,0,0,0
GNRH1,25,39,29,31,44,33,25,26,23,32,26,37
BIN3,239,347,237,359,293,260,267,424,218,225,233,111
DOK2,2,4,1,3,9,6,5,5,2,8,3,2
SLC25A37,3718,5109,3967,11234,9826,7517,12490,15960,10610,32613,35766,29949
CHMP7,463,874,480,681,713,704,448,720,462,423,445,327
DOCK5,138,189,168,69,51,55,184,241,111,39,31,37
STAR,154,157,117,605,487,458,39,46,43,47,39,44
PLPBP,763,974,819,819,822,634,895,1126,638,620,688,597
ERLIN2,947,1321,874,1053,891,872,901,1274,794,572,742,427
SNTG1,0,0,0,0,0,0,0,1,0,0,0,0
PXDNL,2,1,1,1,1,0,0,1,0,3,1,2
ST18,2,2,2,1,2,0,2,4,5,1,1,0
RGS20,92,103,87,83,68,80,82,101,58,54,49,39
TACC1,1076,1297,810,917,632,677,1770,2393,1551,796,995,797
GOLGA7,534,886,640,835,784,684,543,613,370,418,473,370
PLPP5,79,196,118,161,107,111,87,134,100,55,49,52
GINS4,509,670,474,626,488,490,543,947,599,294,488,507
NSD3,2425,3268,2463,3040,2317,2284,2897,3997,2539,2275,2620,1763
DNAJC5B,7,9,2,5,5,4,4,6,6,9,4,6
CRH,0,0,0,0,0,0,0,0,0,0,0,0
TRIM55,0,2,0,0,0,1,0,0,0,0,0,1
ADHFE1,23,32,17,41,12,10,20,35,31,24,20,23
MRPS28,490,697,429,648,527,552,350,445,246,278,303,177
PMP2,0,0,0,0,0,0,0,0,0,0,0,0
LACTB2,662,883,547,919,548,676,623,736,568,528,586,376
PRDM14,0,0,0,0,0,0,0,0,1,1,0,0
TERF1,601,895,629,643,649,602,430,684,353,325,311,232
RPL7,35511,45765,29852,44453,30287,32605,29520,38920,26113,22027,23768,16481
SLC26A7,0,1,0,0,0,3,1,2,4,8,0,3
PSKH2,2,0,0,0,0,0,0,2,1,0,0,1
ATP6V0D2,0,3,7,1,4,3,14,4,3,5,5,3
SYBU,10,6,2,87,108,52,15,29,13,98,198,147
DPYS,0,0,0,0,0,0,0,1,0,0,0,0
MTDH,7189,9733,6372,6618,6361,5715,4727,6388,4003,3036,3150,2696
LRP12,61,83,81,106,61,106,58,121,42,68,60,56
EBAG9,867,1150,706,993,721,746,649,904,536,554,611,424
RSPO2,2,0,0,0,0,0,0,0,0,0,2,0
POLR2K,1225,1558,970,1294,863,983,1101,1372,1072,840,909,640
MAL2,0,0,0,0,0,0,0,0,0,0,0,0
EIF3H,5873,8760,6042,7867,6125,5958,5711,8138,5228,5126,5764,4211
UTP23,946,1223,912,966,847,854,561,951,581,509,530,339
NDUFB9,4849,6843,4951,7118,5260,5638,3466,4497,3207,3310,3468,2591
TATDN1,670,900,607,754,535,544,478,672,511,477,495,318
FAM83A,410,544,390,818,660,560,375,608,367,592,655,637
GSDMC,6,5,1,6,4,2,3,7,3,3,1,3
FAM135B,0,4,0,0,0,3,3,6,3,0,3,1
TTTY7,0,0,0,0,0,0,0,0,0,0,0,0
TTTY7B,0,0,0,0,0,0,0,0,0,0,0,0
ZNF7,256,373,272,322,273,253,342,415,278,282,276,276
ARHGAP39,3,5,3,5,4,5,3,3,3,4,5,5
SLC39A4,69,100,90,107,182,94,96,144,84,56,94,98
NAPRT,78,108,72,123,210,125,94,127,44,71,67,75
VLDLR,159,152,148,8,4,5,162,189,93,35,21,13
AK3,626,959,655,953,750,636,597,697,459,457,515,345
UHRF2,1090,1667,1040,1596,981,1032,1431,1902,1495,1280,1489,972
NFIB,0,2,0,0,0,0,1,3,2,1,3,4
CER1,0,0,0,0,0,0,0,0,0,0,0,0
PLIN2,3151,4206,3029,8502,6971,7439,6378,7778,5722,6311,6354,5434
IFNA5,0,0,0,0,0,0,1,0,0,0,0,0
HAUS6,1930,2644,1910,2585,1898,2368,2609,3496,2064,2407,2273,1734
CDKN2B,107,137,102,286,211,180,387,511,350,761,673,578
IFNA16,0,0,0,0,0,0,0,0,0,0,0,0
CDKN2A,1642,2454,1974,2388,2192,1778,1977,2977,1753,1396,1517,1440
C9orf72,129,216,136,190,151,128,141,197,178,197,206,195
IFNK,0,0,0,1,0,0,0,0,0,0,0,0
ZCCHC7,573,839,555,779,459,533,653,920,529,423,546,348
FBXO10,38,25,13,15,15,20,27,27,17,23,40,3
SIGMAR1,761,1251,988,1162,1076,881,767,1216,735,652,686,608
CBWD5,586,775,506,666,470,619,648,908,629,463,549,302
CEP78,853,1056,710,910,654,702,1080,1257,872,566,644,446
NTRK2,0,0,0,0,0,0,0,1,2,0,1,0
IDNK,27,40,20,18,25,14,16,19,18,18,21,13
SHC3,1,2,20,3,1,1,2,1,1,4,3,0
AUH,199,263,185,258,221,189,173,238,118,135,138,102
MFSD14B,1419,2038,1432,1795,1482,1516,1247,1586,1186,922,1003,732
AOPEP,210,274,152,241,182,162,253,399,230,164,173,125
OR13C4,0,0,0,0,0,0,0,0,0,0,0,0
ZNF462,0,0,0,0,0,0,0,1,0,0,0,0
INIP,611,897,617,772,468,418,654,672,390,410,551,344
UGCG,311,558,270,931,668,602,724,765,628,988,1116,760
ACTL7B,0,2,2,1,0,0,0,1,1,0,0,1
SNX30,276,342,267,303,251,273,260,142,81,64,57,42
STOM,1884,2530,1898,3209,2713,2432,1134,1623,1059,1986,2339,1794
GSN,22,64,23,40,16,20,50,42,31,34,29,53
MRRF,771,1104,748,1028,765,808,671,960,575,486,460,378
NR6A1,69,96,70,49,51,71,110,51,48,40,38,22
CRB2,31,48,42,39,73,37,12,19,7,9,7,4
OR5C1,0,0,0,0,0,0,0,0,0,0,0,0
ALAD,1043,1476,1184,1399,1161,882,982,1361,884,1318,1507,1193
ASTN2,373,491,311,333,206,278,525,686,442,265,258,192
WDR31,257,384,269,247,168,149,150,205,150,129,171,104
POLE3,2004,2732,1904,2159,1666,1697,1538,2039,1441,1117,1326,1036
GBGT1,757,1124,875,1179,1246,972,1056,1261,859,780,890,724
GTF3C5,704,1082,851,1053,1023,829,530,765,551,436,503,395
ASB6,106,203,144,140,151,149,149,193,133,123,107,134
PTGES2,269,296,249,344,390,261,275,454,338,182,186,170
NTMT1,125,201,150,215,263,193,140,205,136,126,120,104
CIZ1,145,170,100,174,123,138,184,269,168,161,159,132
SLC25A25,326,368,370,529,424,362,272,426,237,309,321,231
SH3GLB2,786,1285,927,1199,1317,919,1343,1903,1112,1037,1081,897
MIGA2,619,987,723,919,860,670,939,1557,824,959,1019,791
PTGES,7,4,8,4,4,4,3,3,2,2,0,1
LCN2,0,2,0,1,4,0,0,0,0,0,0,0
LRSAM1,138,172,140,183,175,150,155,203,136,126,186,104
HMCN2,20,33,33,52,32,31,23,48,20,20,29,15
GPR107,334,425,299,372,376,347,310,426,238,170,211,134
PAXX,131,153,166,216,177,147,175,246,147,132,139,116
IDI2,0,0,0,0,0,0,0,0,0,1,0,1
INPP5E,125,174,142,175,170,108,199,265,179,128,144,136
LCN9,0,0,0,0,0,0,0,2,0,0,0,0
SEC16A,319,524,355,463,456,409,539,590,384,366,389,424
DPH7,251,283,300,317,350,255,314,395,276,298,365,264
NOTCH1,0,1,0,0,1,0,2,2,2,1,0,12
CACNA1B,0,2,0,1,1,0,1,8,0,3,4,5
NACC2,90,146,122,140,171,124,97,132,85,69,71,73
PROSER2,22,58,18,29,39,11,23,47,50,12,21,28
USP6NL,983,1309,976,1262,890,952,1055,1417,982,954,970,738
COMMD3,527,670,425,680,428,441,390,516,337,433,447,303
MSRB2,46,43,25,29,36,31,22,102,32,24,35,14
PDSS1,284,372,230,321,250,264,260,328,237,126,149,111
FAM171A1,0,0,0,0,1,4,1,0,0,0,0,0
MINDY3,805,1043,679,906,580,729,556,743,523,596,531,415
SLC39A12,0,0,0,0,0,0,0,0,0,0,0,0
TMEM236,17,27,27,33,22,21,29,57,21,51,36,34
RSU1,991,1346,1027,1141,902,836,878,1117,835,630,680,558
ST8SIA6,116,139,95,171,91,97,104,191,120,195,198,147
PARD3,447,566,412,504,338,359,398,533,429,321,397,292
ANKRD30A,0,0,0,0,0,0,0,0,0,0,0,0
ZEB1,151,254,115,136,144,123,155,301,168,172,153,94
FAM13C,1,0,1,0,0,0,1,4,1,0,1,0
NRBF2,144,195,125,135,136,139,131,167,97,91,110,78
A1CF,1,0,0,0,0,0,0,0,0,0,1,0
CDHR1,126,214,175,247,221,240,171,209,113,62,97,54
LRIT1,0,0,0,0,0,0,0,0,0,1,0,0
RGR,2,2,0,1,0,1,0,1,2,2,1,1
POLR3A,712,1082,725,1045,993,893,655,895,595,449,550,420
HERC4,719,945,540,723,505,620,658,854,611,316,433,259
LRMDA,38,55,43,49,44,60,42,62,46,22,16,29
CAMK2G,127,202,135,150,132,98,139,151,82,83,65,75
ADIRF,5,7,7,7,6,4,2,1,3,7,3,0
GLUD1,2926,4104,2656,3296,2740,2676,1435,1692,1245,939,1014,675
ANKRD1,0,0,0,0,0,0,0,0,0,0,0,0
HTR7,0,0,0,0,0,0,0,2,0,0,1,0
RPP30,650,764,515,745,554,683,390,528,359,305,310,244
FRA10AC1,369,620,394,471,382,343,468,581,406,529,457,255
ADD3,647,733,641,686,290,521,611,838,502,519,556,456
HABP2,0,0,0,0,0,0,0,0,3,0,0,0
VAX1,0,0,0,0,0,0,0,0,0,0,0,0
DNAJB12,272,477,302,391,362,346,267,327,260,238,281,207
EIF4EBP2,540,846,574,694,601,598,504,634,405,383,556,399
NPFFR1,27,33,23,26,26,14,20,24,20,17,24,10
PLEKHS1,0,0,0,0,0,0,0,0,0,0,0,0
TCF7L2,1,1,1,2,1,4,14,1,3,15,4,3
MKI67,7849,11070,7871,9167,7398,7434,7097,9770,6577,7060,8269,5633
CYP17A1,87,131,95,74,105,88,7,10,11,5,4,1
INA,10,16,12,2,4,3,2,1,3,0,0,0
FUOM,108,166,148,178,145,131,68,103,65,75,81,58
LRRC27,50,39,52,56,50,59,33,79,49,22,32,18
MTG1,320,548,434,498,498,379,293,439,287,229,306,223
NKX6-2,0,0,0,0,0,0,0,0,0,0,0,1
PAOX,10,10,7,12,16,15,3,6,6,6,4,5
GSTO1,3808,5249,3621,6208,4424,4592,3843,5255,3468,3162,3554,2573
TAF5,482,615,423,592,457,523,290,316,250,205,215,176
PPRC1,309,334,259,258,213,318,278,364,219,208,172,154
ITPRIP,166,266,202,347,413,302,262,304,250,588,695,599
CNNM2,346,515,430,449,429,317,486,708,457,307,322,351
PDCD11,1927,2693,1683,2243,2216,2047,1801,2471,1641,1191,1249,860
ADAM12,0,0,0,0,0,0,0,7,0,0,0,0
RGS10,191,198,154,529,335,340,245,355,235,603,714,476
BTBD10,589,690,460,632,363,428,379,448,335,210,221,173
ADM,0,0,0,8,4,2,4,6,4,29,16,16
GAS2,0,0,1,0,0,0,0,1,0,1,3,3
SLC5A12,2,1,0,2,0,0,0,0,0,0,0,0
LIN7C,1202,1588,1058,1488,1120,1251,1297,1471,1236,1078,1243,792
LRRC4C,0,0,0,0,0,0,0,0,1,1,0,0
IMMP1L,131,182,111,141,114,128,136,162,131,103,109,91
SAA4,0,0,0,0,0,0,0,0,1,0,0,0
PGAP2,171,263,183,198,176,149,166,211,163,108,118,78
TUT1,102,179,109,170,102,127,103,176,103,66,90,84
SCGB1A1,0,0,0,0,0,0,0,0,0,0,0,0
SYT8,0,0,0,0,0,0,0,1,0,0,0,0
ZNF214,1,0,0,2,0,5,1,0,0,1,0,0
ZNF215,7,10,2,4,9,6,3,7,2,3,2,0
HSD17B12,1993,2776,1783,2140,1547,1683,1370,2103,1401,890,1099,765
APIP,449,557,388,578,390,446,285,358,268,215,232,164
PAMR1,0,0,0,0,0,0,0,0,0,0,0,0
DGKZ,322,464,302,418,375,293,294,347,207,133,184,131
EIF3M,4346,5659,3740,5322,3861,4207,3001,3911,2853,2233,2447,1682
TNKS1BP1,280,657,431,461,517,284,557,843,463,407,649,467
GLYAT,0,0,0,0,0,0,1,0,0,0,0,0
SERPING1,0,0,0,0,0,0,0,0,0,0,1,0
OR5F1,0,0,0,0,0,0,0,0,0,0,0,0
SSRP1,1886,2492,1836,2492,1848,1671,1882,2774,1594,1458,1791,1430
SLC43A1,355,618,501,798,633,519,646,1017,628,916,1111,931
PTPRJ,45,57,52,346,191,169,151,238,120,421,642,317
C11orf49,170,226,139,134,103,91,121,165,115,50,66,36
ARFGAP2,1154,1514,1112,1332,1255,1108,1009,1333,875,785,907,731
CELF1,972,1338,901,1271,995,1210,1231,1453,972,929,1053,900
HIKESHI,579,732,411,637,441,515,443,678,379,407,463,377
CCDC81,8,10,3,8,8,9,18,9,14,9,5,5
SESN3,650,900,549,605,359,391,567,740,429,472,553,412
ENDOD1,137,176,116,157,100,95,133,190,125,325,386,279
CCDC82,418,527,475,528,320,317,403,551,420,386,381,234
KLHL35,518,742,582,670,624,483,447,703,407,340,368,293
TENM4,0,0,0,0,2,0,0,0,2,0,2,2
SERPINH1,424,661,496,675,725,503,409,587,405,358,441,360
CAPN5,23,36,37,47,24,25,55,82,92,91,81,103
INTS4,624,774,520,646,552,593,554,807,491,446,500,313
PAK1,664,989,711,848,857,828,486,696,388,503,538,463
RPS3,13690,20710,13619,19133,16834,14731,12376,18798,11599,12573,14813,10588
ZC3H12C,0,0,0,0,0,0,0,0,1,1,0,0
TTC12,166,200,158,177,134,116,171,154,116,105,112,61
NCAM1,0,0,0,0,0,0,0,1,0,10,0,0
DRD2,0,0,0,0,0,1,0,0,0,0,0,0
C11orf52,0,0,0,0,0,0,0,1,3,0,0,0
HTR3B,3,2,2,2,2,0,0,1,0,0,1,1
NPAT,1377,1938,1274,1765,1388,1305,1629,2086,1594,1178,1212,853
ATM,9722,11754,7483,11227,6921,8087,11120,13890,9603,6772,7171,5009
AASDHPPT,1189,1650,1031,1533,1205,1209,972,1068,723,659,866,587
GLB1L2,104,150,116,113,95,84,136,142,97,59,58,49
SLX4IP,127,226,112,159,114,111,127,177,98,50,77,69
LAMTOR1,456,708,532,667,631,556,423,540,331,288,335,264
P4HA3,0,1,1,0,2,0,3,4,0,1,2,0
GRIK4,0,0,0,0,0,0,0,0,1,0,0,0
ST14,0,1,0,0,0,0,0,0,0,0,1,2
GGTLC1,0,0,0,0,0,0,0,0,0,0,0,0
ADAM33,0,1,0,0,0,0,1,3,0,0,0,0
SLC22A8,0,0,0,0,0,0,0,1,0,0,0,1
KAT14,332,443,292,377,270,259,262,306,207,187,197,115
TKFC,85,120,132,125,123,66,120,211,125,128,99,76
MTA2,2227,3242,2355,3004,2968,2330,1681,2100,1463,1272,1534,1137
TMEM138,422,452,358,510,426,441,577,738,445,337,349,284
FADS1,2022,2665,1813,2671,2324,2342,1944,2599,1620,1727,2225,1495
TMC2,4,8,2,4,7,0,1,8,7,1,2,0
ROM1,24,37,10,25,43,21,21,2,15,5,3,11
EML3,197,225,153,208,230,181,105,179,112,54,60,69
INCENP,537,514,479,624,474,467,605,1033,708,485,581,435
ZP1,0,0,0,0,0,0,0,1,0,0,0,0
OOSP2,0,0,0,0,0,2,0,0,0,0,0,0
MS4A3,1,1,0,0,0,3,0,0,3,0,0,0
PLCH2,0,0,0,0,0,0,3,0,3,3,0,0
CPSF7,170,303,134,200,215,132,254,373,209,241,189,97
MS4A2,995,1134,852,13,12,21,17,17,21,4,6,6
B3GAT3,79,77,89,100,113,79,58,93,77,54,57,42
EI24,1172,1697,1186,1490,1454,1285,864,1174,798,609,814,524
CCDC15,583,752,488,516,348,447,705,936,620,499,537,408
CHEK1,1141,1522,887,1413,967,1129,1152,1320,1017,772,924,683
FEZ1,19,43,17,32,32,20,7,15,10,20,15,11
ESAM,2,1,4,1,2,1,0,0,1,0,0,1
KIRREL3,0,2,0,2,2,3,2,5,2,0,0,2
MPZL2,0,0,0,0,0,0,0,0,0,0,0,0
SCN2B,2,3,2,4,5,2,7,8,7,5,11,4
SIDT2,129,170,112,140,171,120,105,139,72,76,133,83
TMEM25,4,0,1,4,4,2,2,7,1,2,12,2
TAGLN,12,9,13,12,9,25,25,19,7,7,27,13
JPH2,0,0,0,0,0,0,1,0,2,0,1,2
DUSP15,0,0,0,0,0,0,0,2,0,0,0,0
COMMD7,40,60,44,25,24,21,45,51,41,13,16,15
C20orf144,5,5,7,3,7,1,3,3,3,4,8,7
KIAA1755,0,1,0,0,0,0,2,0,1,0,1,2
SPATA25,3,8,6,7,4,5,5,6,6,2,2,6
OCSTAMP,0,0,0,0,0,0,1,0,0,0,0,0
DSN1,582,743,606,723,494,502,487,681,472,478,562,381
SOGA1,698,1032,676,552,539,466,465,524,307,86,106,88
CNBD2,43,44,28,44,28,33,41,58,39,46,30,39
SPINT4,0,0,0,0,0,0,0,0,0,0,1,0
CDH22,0,0,0,0,0,0,0,0,0,0,0,1
LSM14B,277,358,234,297,345,284,200,267,187,160,185,137
YTHDF1,435,658,419,544,572,489,397,494,357,307,293,239
CABLES2,8,23,17,23,32,25,21,50,11,11,24,26
LTO1,251,406,274,412,332,255,276,290,237,210,230,171
GPHA2,0,0,0,0,0,0,0,0,0,0,0,0
SLC22A9,0,0,0,0,1,0,0,0,0,1,0,0
TRPT1,53,76,56,71,64,62,48,56,41,43,48,39
NUDT22,139,193,189,200,185,153,125,131,89,79,74,74
FERMT3,356,579,386,535,552,400,429,622,470,341,437,394
PLCB3,150,253,164,217,221,148,203,318,202,163,213,190
MRPL49,481,666,463,630,637,567,396,528,303,291,361,269
CDC42EP2,4,4,3,3,1,5,1,3,0,3,10,4
