gene_name,Wild-type_rep1,Wild-type_rep2,Wild-type_rep3,ATF7IP_KO_rep1,ATF7IP_KO_rep2,ATF7IP_KO_rep3,SETDB1_KO_rep1,SETDB1_KO_rep2,SETDB1_KO_rep3
TEAD2,297,373,364,203,321,120,347,333,211
EED,443,647,502,361,664,292,523,601,447
CDHR2,3,5,6,9,9,1,5,5,4
SNCB,0,0,0,1,0,0,0,0,0
TSG101,444,604,553,370,605,272,495,621,423
NCBP3,1132,1605,1546,1054,1700,742,1491,1540,1057
ATP2A3,148,197,180,115,201,74,89,191,130
CA12,0,0,1,4,3,0,0,2,1
MGLL,65,80,77,99,52,72,17,57,108
NTN4,377,491,533,190,280,209,366,364,243
BCS1L,187,262,210,173,247,123,235,203,153
NUAK1,517,658,716,255,517,316,622,583,335
DPP8,1179,1677,1631,1181,1879,808,1328,1827,1244
SLC24A1,150,221,227,182,255,101,253,202,220
ZNF532,391,563,544,410,574,266,566,472,371
SCARF1,2,5,4,3,2,1,3,8,2
LMAN1,3089,4341,3931,3726,5009,1749,3640,4832,3194
HACD3,2675,3542,3359,2514,3544,1555,3105,3746,2230
IPCEF1,2,1,1,3,2,0,2,1,1
ZZEF1,820,1006,877,751,1247,510,927,1090,804
NOX3,0,0,0,0,0,0,0,0,0
ENO1,21594,29060,25819,16979,24150,10046,19023,25405,15581
SLC12A1,3,3,5,13,14,7,4,7,10
MYDGF,755,1042,1085,941,1321,575,852,1392,870
ANO8,69,120,88,69,120,43,87,97,67
TUBE1,216,271,255,270,340,158,680,332,214
ARHGEF10L,108,173,117,112,177,65,146,154,83
TXK,5,15,17,10,22,13,15,18,11
WSCD2,1,0,0,1,2,1,0,1,1
KCNQ2,0,0,0,0,0,1,0,0,0
TACR2,5,7,8,2,9,5,13,4,11
ACTR6,387,582,560,405,593,296,532,543,438
TIPIN,364,481,505,332,437,176,355,414,305
SRI,731,996,850,744,1086,454,835,1098,688
EIF4G3,1190,1348,1552,997,1345,636,1275,1334,929
NUP37,487,699,571,450,578,289,474,622,417
SEMA3A,0,0,0,0,2,0,0,0,0
GTSE1,707,869,818,609,1106,463,549,1022,648
SEMA3C,526,661,664,532,908,327,716,721,578
TTC38,535,788,689,488,671,274,469,790,417
ACAT1,2107,2757,2781,2160,3255,1479,2588,3501,2295
GRAMD4,76,101,102,98,117,46,94,125,68
CELSR1,458,544,482,421,680,275,419,466,365
WNT8B,0,3,5,5,6,0,1,3,6
ZNF638,3107,4319,4776,3424,4938,2369,3869,4154,3262
SLC25A40,412,562,488,505,635,194,590,610,430
TIMM21,380,482,535,354,528,197,372,551,378
ADD2,16,16,14,8,15,6,11,10,8
FGF4,0,0,0,0,0,0,0,0,0
RASAL2,908,1297,1251,659,1120,685,944,894,747
VPS9D1,40,50,39,53,72,23,57,63,43
ZNF37A,1002,1321,1516,1171,2128,1141,1807,1748,1593
MARK3,895,1075,1227,833,1240,594,1196,1136,799
SLC25A3,4548,6355,4468,3958,5557,2472,4086,5785,3625
FNDC3B,1309,1741,1844,1059,1676,767,1739,1407,1131
FOSL2,1561,1942,1665,1026,1553,1011,1650,1862,1162
CACNG5,0,0,0,0,0,0,0,0,0
CACNG4,0,0,0,0,0,0,1,0,0
FRYL,1241,1546,1682,1310,2092,933,1349,2254,1258
TMEM131,615,883,814,708,1071,572,787,1011,676
FSCN1,3536,4719,3875,2175,3896,1401,2306,3877,2151
ACTB,25991,35135,28750,18200,28369,13405,12565,30135,18517
MOCOS,914,1236,1074,848,1403,484,1875,1483,927
PLD1,546,694,732,603,1102,296,1014,752,487
ATP12A,0,0,0,0,0,0,0,0,0
WDR62,561,662,598,548,808,317,583,777,440
DLG1,1209,1653,1771,1081,1756,879,1349,1667,1184
RAB7A,1135,1616,1557,1051,1687,764,1138,1729,1117
BCAP29,669,962,932,783,1001,443,942,905,794
SEC31B,83,91,102,80,136,65,92,148,86
SART3,1226,1513,1621,1091,1443,832,1176,1507,1044
ARHGAP15,39,55,60,42,79,34,57,76,41
TUBA3D,12,11,16,8,12,6,7,9,7
PAX2,0,0,2,0,1,0,0,0,0
EXOSC7,328,483,395,258,374,190,257,423,284
KIFAP3,413,538,494,427,592,267,369,444,425
MKRN2,496,689,623,418,663,378,857,708,458
MCM6,1868,2812,2618,1733,2904,1113,2868,2823,1943
REXO2,648,869,877,503,776,434,738,858,563
RBM7,576,795,779,495,715,317,749,717,549
RBMS2,853,1014,923,772,1173,591,806,1090,735
BAZ2A,966,1322,1274,1009,1616,678,1004,1373,1045
PTPN23,112,144,111,112,201,79,97,142,106
MLH1,796,1227,1101,778,1376,537,987,1304,874
UNG,1130,1582,1308,1179,1400,749,1240,1571,954
FMO4,5,2,1,6,7,3,5,3,8
KLHL20,218,268,322,191,332,166,291,263,218
RGS11,2,4,3,3,7,7,2,3,5
SLC46A1,636,790,636,545,779,330,627,715,449
PLXNA2,112,122,129,142,208,107,185,144,195
SPAG5,2808,3665,3514,2695,3907,1673,2746,4045,2308
ANKRD13A,570,736,720,456,696,315,696,751,464
TPD52,1662,2041,1835,1393,1691,981,1267,2086,1258
ACACB,170,219,230,228,280,144,245,187,196
TRAF4,1167,1348,983,956,1322,735,919,1374,702
PAG1,64,81,90,51,55,47,18,46,139
GPATCH1,210,311,329,241,405,211,373,370,274
ICAM3,49,66,93,48,57,34,44,63,55
NT5C2,1538,2122,2170,1563,2453,1216,1940,2297,1711
MCAM,2849,3789,3627,2477,4200,1823,2845,4476,2497
GPC4,0,0,0,0,0,0,0,0,1
MBNL3,2334,3176,3121,1793,2949,1500,1768,3038,2445
CAMSAP3,89,96,103,124,149,63,103,97,76
RAP1GAP,82,140,116,100,140,61,126,115,89
XAB2,387,545,576,430,610,309,490,592,425
ARHGEF1,456,590,505,430,613,250,545,584,378
STXBP2,141,219,238,183,210,104,169,229,181
MAP2K7,393,477,439,332,589,267,470,491,326
NMRK2,0,0,0,0,1,0,1,0,0
DGKD,699,810,751,579,900,397,761,799,533
CTTNBP2,2,3,4,0,2,3,6,1,1
ACTL6B,0,1,1,0,0,0,0,0,1
RARB,10,8,14,9,11,6,21,15,13
TOP2B,4120,5951,6295,3185,5457,2770,4815,5326,3928
TM9SF3,2779,3935,4105,2941,4481,2038,3500,4126,3167
NFKB2,606,742,694,361,535,267,830,557,379
UBE2T,772,1081,949,751,1209,432,938,1127,658
PPP1R12B,440,554,585,505,755,376,528,566,470
DNAJC10,1798,2533,2315,1898,2562,1153,2109,2498,1669
GTF3C1,1307,1729,1813,1396,2106,939,1384,1937,1252
IL4R,105,138,131,128,131,69,173,167,118
USP33,2973,4117,3907,3145,4684,2426,4319,4048,3061
PAK3,4,12,8,5,8,7,7,8,7
CAPN6,0,0,0,0,0,0,0,0,0
DCX,2,5,5,5,6,2,3,1,4
SNRPA,814,1137,1106,786,1132,497,1044,1082,839
SPAG6,1,0,0,0,1,3,1,3,1
EXOSC5,216,255,186,188,211,109,222,221,146
DYNC1I2,1248,1809,1912,1277,1851,1000,1197,2027,1432
APBB1IP,1,1,0,6,5,5,0,6,3
LRCH4,94,110,92,117,174,45,108,151,84
FAM76B,722,1078,1038,945,1536,739,1339,1330,1129
SIRT6,102,115,85,88,122,63,106,144,76
TYR,3,4,3,1,0,2,0,2,1
POLD3,978,1311,1223,843,1383,591,1460,1293,870
ACTN2,0,0,0,0,0,0,0,0,0
CAPZB,651,871,846,564,890,411,620,906,664
GPR137B,2,6,5,5,7,7,3,4,5
NAALAD2,44,48,51,30,67,43,34,51,35
JADE1,956,1365,1321,959,1428,674,1423,1687,1060
SLC25A43,218,305,317,294,346,210,271,372,279
UBE2A,640,807,748,659,907,492,663,956,732
FGFR1,203,267,235,162,238,123,197,264,144
FKBP6,1,5,4,1,5,3,1,8,8
SMC1B,4,1,5,4,4,3,2,7,3
FBLN1,944,1225,1156,928,1676,685,1236,1134,918
ITGA8,4,3,2,2,1,2,0,3,1
CST7,1,0,3,1,0,0,1,0,2
MAP2,0,0,1,0,0,0,2,1,0
PIAS2,481,631,601,446,611,290,516,651,429
AMPH,3,2,0,1,1,0,2,1,0
ARAF,340,404,380,314,426,237,311,435,274
MCCC1,360,503,511,451,651,254,564,627,431
LAMP3,8,3,13,10,10,3,9,8,13
FAP,3,2,5,1,0,0,1,1,0
NEBL,240,333,308,414,535,295,333,428,378
ACER3,439,684,657,490,819,385,529,776,475
UBE2K,1068,1715,1625,1148,1698,763,1696,2223,1262
PIK3C3,566,787,817,553,838,316,597,849,601
N4BP2,610,846,889,615,955,434,921,967,764
TIGAR,310,478,431,312,512,338,399,488,427
TULP3,684,961,1174,667,1086,465,762,888,796
SYNJ2,278,388,369,293,387,192,329,365,240
ADCY2,30,36,40,35,36,20,25,47,34
PPP2R5C,1285,1765,1671,1366,1923,867,1529,2056,1305
RBFOX1,0,0,0,0,0,0,0,0,0
GNB1,922,1253,1166,761,1267,558,1011,1173,797
HOXA9,57,70,63,88,99,61,87,97,82
EDN1,43,49,68,88,137,64,99,119,108
MLLT10,852,1197,1226,834,1272,593,1115,1108,879
ZCWPW1,35,34,55,54,73,30,65,58,64
ADCYAP1R1,0,1,0,2,0,0,0,1,0
FGF20,0,0,0,0,0,0,0,0,0
P2RY10,0,0,0,0,0,0,0,0,0
ITM2A,0,0,0,0,0,0,0,0,0
NRDC,1725,2632,2478,1874,2774,1347,2053,2033,1820
VDAC3,1155,1506,1470,1037,1532,715,1055,1599,1019
PCM1,2500,3516,4014,2358,3895,1677,4265,3600,2799
TNRC6C,22,31,35,11,16,10,52,12,29
CBFA2T2,354,480,439,367,642,251,448,469,360
BRINP1,0,0,0,0,0,0,0,0,0
ITCH,1518,1872,1613,1242,1905,860,1710,1826,1159
PKD2L2,20,27,31,25,41,18,22,20,19
TP53INP2,98,134,111,78,120,49,69,121,80
SDF4,651,826,825,681,1043,476,644,1014,623
MYH7B,10,24,24,24,29,16,24,27,23
BPIFB2,0,0,0,0,0,1,0,0,0
TP73,3,2,1,2,4,2,1,5,5
TOLLIP,107,149,116,66,129,80,82,138,69
UBE2D4,223,306,296,206,298,118,235,229,202
CLUL1,4,2,1,1,5,1,1,1,0
RUNX1T1,1,2,5,1,0,0,2,3,2
CDH17,1,3,2,9,7,2,9,7,5
THOC1,859,1175,1278,855,1232,542,1241,1104,868
FKBP7,65,115,97,64,77,29,69,117,68
OSBPL6,49,81,57,48,105,49,146,89,52
SLC1A3,909,1147,1315,960,1487,369,1497,1237,803
XRCC5,6900,9467,8962,5973,9228,3859,6351,8607,6062
LXN,52,57,57,84,133,51,83,85,55
SP140,0,0,0,0,1,1,0,1,1
MKNK1,229,322,313,196,262,117,200,231,196
TNS1,463,565,587,597,895,388,271,633,399
REXO1,208,252,228,205,259,148,190,247,175
SAR1A,2723,4040,4224,3001,4434,1970,3106,4696,3355
CDC14A,119,142,147,116,201,72,154,166,130
RAPGEF3,6,12,7,18,40,9,31,33,14
CEACAM1,20,18,17,13,29,12,16,16,14
SENP1,886,1124,1161,858,1337,615,1165,1202,810
DUSP13,0,0,1,1,0,1,0,3,0
CIC,283,327,307,314,544,198,257,416,269
LIPE,35,38,25,31,49,26,26,45,31
FDFT1,1374,1984,1724,1336,1989,790,1148,1970,1281
PAFAH1B3,340,390,335,316,454,178,299,422,259
OPHN1,440,562,593,350,624,266,638,598,390
AFM,0,0,0,0,0,0,0,0,0
KIF22,1433,1848,1753,1323,1934,825,1653,2084,1245
SCGN,0,0,0,0,0,0,0,0,0
CARMIL1,1483,2033,2257,1328,2053,816,1948,2122,1359
PGM1,2413,3327,3187,2496,3733,1584,2664,3348,2319
DDX1,1994,2805,2915,1919,2892,1336,2105,2735,2096
DNM2,1512,1939,1911,1292,2279,973,1799,2048,1406
EPB41L2,745,1161,1315,1050,1832,1285,1860,2061,1543
RIMS1,535,654,655,360,488,149,380,507,242
MOXD1,0,0,1,0,1,0,0,2,0
STX7,341,552,502,459,636,331,424,632,469
RABL2B,130,189,191,150,234,123,166,180,163
KEAP1,606,755,643,553,785,430,553,697,463
DDX43,5,7,2,6,12,7,5,5,9
PTPRH,57,87,68,91,109,49,71,96,72
DCT,0,0,0,1,2,1,3,0,0
SLC35C2,454,612,452,467,588,274,548,623,439
CRYBG3,816,1117,1132,816,1123,651,876,1057,859
EPHA6,0,0,0,0,0,0,0,0,0
SCTR,4,8,8,12,7,7,6,11,10
RFX3,10,9,10,11,15,10,12,20,11
RIF1,4814,6715,7622,4645,7548,3347,6824,6639,5162
RAB21,908,1194,1124,773,1225,679,952,1218,825
SLC4A4,0,0,0,0,0,0,0,0,0
SMARCA2,1593,2000,2213,1620,2640,1247,2558,2351,1722
RDH8,1,1,3,1,1,1,0,3,3
SESN1,247,333,333,250,337,183,204,345,251
MID2,36,66,76,65,80,59,103,97,77
PIH1D3,0,4,5,1,3,2,4,1,2
COL5A3,0,0,1,0,0,0,0,0,0
SRCAP,461,580,606,427,646,384,521,645,408
PUM3,1428,1925,2216,1245,1755,938,1534,1561,1359
CPB2,3,4,3,1,1,3,3,2,3
CHRNA3,27,30,36,15,30,13,18,26,17
KCNN2,0,1,0,11,9,3,13,25,10
CNOT4,486,677,753,613,811,289,778,725,545
PSEN1,661,990,923,681,1103,447,1052,1062,807
CPOX,299,416,369,286,395,165,229,421,252
CLDND1,304,445,425,387,502,195,354,517,362
MOK,96,140,128,106,129,85,110,124,97
HSP90AA1,14522,23624,27471,13962,24113,12013,10581,21725,17181
RBL1,683,982,918,620,989,429,955,950,688
DLGAP4,99,151,134,119,146,60,108,141,106
IGSF9B,0,2,0,0,0,0,0,0,0
CFHR2,0,0,0,0,0,0,0,0,0
CROCCP3,74,110,93,77,106,57,82,102,88
NDC80,1050,1485,1496,1087,1668,655,1593,1583,1064
AP4E1,726,942,838,629,995,461,859,981,604
RSBN1,599,917,856,639,923,460,810,894,641
MAGI3,702,935,1042,678,1196,675,852,1119,718
CXCL2,36,36,36,28,46,25,143,74,30
AFP,0,0,0,0,0,0,0,0,0
COL4A4,234,282,286,119,204,77,164,199,140
TCF7,36,67,45,59,87,43,35,81,61
OSTM1,381,507,421,396,547,253,362,501,345
CDH7,5,2,6,9,12,3,5,4,3
IMPG2,3,3,11,4,6,4,10,5,6
PCNP,1606,2184,2050,1645,2485,1219,1863,2627,1844
EXD2,314,389,391,273,400,184,325,405,278
ARG2,30,18,34,11,21,2,26,19,15
MEF2C,1,8,8,3,5,4,1,9,5
PTPRC,1,2,2,1,3,0,2,2,4
CACNA1S,0,0,0,0,0,1,0,0,0
PKP1,0,0,0,0,0,0,0,0,0
UBA5,602,916,869,620,890,418,745,875,698
STK17B,506,703,653,533,759,430,491,900,507
CDC14B,417,523,447,315,475,301,404,464,277
ZNF510,432,549,615,753,1103,554,751,923,717
LRP2,4,2,1,5,5,3,5,5,5
ZNF506,66,80,58,75,138,79,79,106,90
JMJD4,187,237,175,209,251,122,194,218,170
DUSP12,384,501,474,336,499,227,597,375,321
AACS,397,547,467,354,557,203,335,565,344
KIAA0141,701,936,861,688,981,385,889,917,608
SLC13A1,1,0,1,0,0,0,3,0,1
CADPS2,1,2,2,3,0,3,2,2,0
PCDHB4,0,0,0,0,0,0,0,0,0
PCDHA6,0,0,0,0,0,0,0,0,0
PCDHGA2,0,2,2,1,2,0,2,0,2
HSPB11,1582,2171,2084,1598,2873,1338,1425,1919,2068
PHLPP1,335,386,376,219,345,147,300,365,226
ATP8B1,37,51,41,31,65,22,40,47,36
IL12RB2,44,69,61,45,106,37,28,35,26
SMARCD3,216,267,270,180,299,124,257,309,166
WDR70,831,1119,1201,856,1129,556,964,1007,847
FYB,0,0,0,0,0,0,0,0,0
MPP4,12,5,13,16,22,8,20,15,13
STRADB,276,424,413,223,322,125,347,361,231
BZW1,5242,7183,6275,4461,5808,3118,3945,5568,3997
PGR,0,2,0,0,0,0,0,0,0
C1QTNF3,7,15,10,33,40,23,7,18,4
ME2,766,1118,1111,562,876,242,773,859,499
C5orf22,854,1228,1165,868,1249,568,1169,1140,813
CCNT2,667,982,976,694,979,439,737,922,705
FAM135A,284,410,383,344,493,234,365,428,310
COL19A1,6,11,14,36,38,14,12,88,29
EPB41L3,2,10,5,3,5,5,0,1,58
COBLL1,314,467,512,252,509,267,547,459,336
DLG3,436,606,605,453,622,256,490,653,425
KCNK2,0,3,1,2,6,4,0,1,2
SERTAD4,156,182,216,353,358,187,217,309,328
TRAF5,500,670,667,428,606,305,534,639,396
MRPL22,460,655,734,446,684,348,571,624,445
GEMIN5,1498,2018,2068,1170,1624,766,1262,1542,1120
OPRK1,0,1,0,2,1,0,2,2,3
NFE2L1,1172,1519,1653,1348,2280,1064,3286,1853,1602
SEMA5B,1,0,0,0,0,1,0,0,0
GSK3B,1467,1869,1792,1215,1913,986,1910,1948,1296
ITGB5,1644,2209,2044,1926,3222,1325,1970,3053,1933
ERC1,688,951,1025,595,1144,506,772,951,761
XPO1,7239,9878,9618,6655,10769,4904,8119,9535,6999
LINC01587,0,0,2,1,0,0,3,2,0
RNF13,668,895,951,659,873,513,959,882,663
TRPM3,11,27,28,19,27,12,26,25,18
PALB2,428,551,614,448,682,296,633,580,513
DOPEY1,292,382,357,279,460,242,396,383,289
LYRM2,385,524,556,429,574,271,535,609,393
BCKDHB,425,581,513,450,639,230,508,723,453
KAT6A,1040,1424,1470,1070,1786,813,1499,1632,1148
ZCCHC6,864,1166,1345,1037,1565,755,974,1278,976
ULK2,12,16,5,9,12,3,8,12,3
GRHL2,4,10,8,7,11,6,9,5,9
TNPO1,5809,7871,7487,4715,7350,3321,7080,6864,4542
PLOD1,1128,1472,1487,1350,1906,740,1431,1902,1176
P2RX5,272,377,303,183,242,112,293,194,178
ITGAE,239,332,278,250,385,160,293,410,238
DIS3,1618,2171,2377,1545,2264,1126,2167,2120,1550
PIBF1,458,546,636,443,684,290,849,628,467
TDRD3,680,952,1003,780,1046,548,1023,1000,726
NUFIP1,184,228,207,128,236,111,176,213,131
PDS5B,921,1409,1602,947,1798,689,1456,1479,1144
OXCT1,5525,7806,8194,4600,7886,3210,6514,7593,5161
RRAGB,90,145,138,127,216,90,148,200,133
EPYC,0,0,0,0,0,0,0,0,0
CYLD,334,468,447,315,460,267,635,533,362
SLC27A5,170,268,219,170,231,96,174,255,138
ZNF324,171,200,211,157,254,121,227,230,137
ZNF671,2,2,2,1,1,1,2,5,1
ZNF416,50,79,54,98,133,76,127,162,97
ZNF586,163,198,205,154,265,110,180,222,154
ZNF446,81,101,73,105,138,80,146,136,78
ZNF264,381,598,534,565,919,401,602,770,533
RPS5,4111,5685,4350,4370,6073,2633,4911,5647,3855
FAT1,2771,3821,3815,2822,4665,2250,2750,4520,2912
YTHDC1,580,782,819,556,767,423,669,874,614
CHMP2B,665,869,907,493,846,444,709,839,671
SMAP2,185,255,267,137,210,102,213,188,148
PPIE,399,554,456,374,558,235,637,469,370
ZMPSTE24,1499,2053,1829,1365,2046,937,1575,1703,1350
STARD7,3449,4635,3845,3045,4352,1967,3232,4545,2839
NOA1,380,567,500,342,545,254,565,644,361
REST,1532,2108,2054,1526,2248,1173,1869,2554,1624
HAL,2,13,8,6,8,1,3,6,2
SSH1,373,508,459,431,681,296,531,633,452
GSTP1,0,0,0,0,0,0,0,0,0
APLP2,5062,7331,7482,4688,8147,3805,6729,8150,5325
FAM234B,149,189,157,86,139,74,144,125,81
SLCO1A2,6,9,14,13,16,5,11,18,14
WBP11,1915,2567,2596,1597,2710,1364,1949,2588,1819
EIF3I,1536,2271,1844,1591,1960,865,1483,1507,1291
NKAIN1,1,2,8,0,5,0,4,8,0
COL16A1,41,45,47,43,50,12,64,37,34
TXLNA,1799,2295,1995,1499,2401,1050,1821,1780,1387
APOB,3,0,0,1,3,2,2,0,1
NCOA1,335,449,522,325,533,252,534,514,348
AGBL5,399,591,545,481,604,242,558,603,409
EFR3B,765,1018,888,533,996,369,682,972,480
KIF3C,88,119,106,53,68,39,75,100,52
RAB10,1334,1804,1631,1363,1887,982,1437,1860,1267
GCKR,10,6,6,7,11,4,5,9,7
HADHA,2594,3638,3610,2527,3692,1518,3702,3644,2321
MAPRE3,1,5,9,6,14,5,7,13,5
CAD,1114,1418,1087,891,1195,467,882,1111,678
CD59,2966,4041,3502,2737,4945,2988,2892,5566,3489
CD82,44,54,49,66,91,28,47,66,54
BCORL1,41,80,54,50,85,33,52,97,55
ATRX,3423,4879,5724,3385,5501,2460,5404,5444,4035
AK6,190,136,363,88,276,114,405,298,278
FCN1,2,4,1,5,11,2,6,6,3
MYNN,326,463,425,405,584,282,529,585,391
MECOM,632,905,922,602,988,566,870,863,590
SCAMP1,787,1100,1008,781,997,431,1040,1141,637
PREP,460,589,475,500,545,341,253,573,347
HACE1,257,375,340,305,402,177,365,426,309
SEH1L,760,1056,940,702,972,387,684,972,631
WDR47,512,700,607,386,668,358,418,556,411
WDFY1,966,1224,1258,707,1126,563,1083,1180,744
OVGP1,13,19,15,16,30,23,17,18,8
SLC25A24,1558,2260,2229,1907,2635,1228,1921,2129,1863
MAP3K4,475,662,688,572,918,417,642,737,617
PILRA,14,10,15,14,21,7,7,14,11
IGSF9,56,63,55,44,82,29,41,42,38
ABCB1,342,456,455,237,330,217,130,297,298
ZNF213,47,50,50,47,72,35,74,61,46
AKR1B1,548,758,443,565,714,252,384,667,349
CPNE3,2918,4279,4131,3224,4333,2111,2768,5119,3408
RRN3,480,714,553,474,751,364,624,639,464
CTTN,1845,2357,2385,1330,2170,1058,1549,2304,1407
WNT11,4,2,12,3,3,4,5,6,3
MTIF2,969,1289,1494,853,1272,588,1414,1137,926
DDHD2,714,1085,920,780,1093,496,943,1030,747
TTC39A,12,11,12,7,17,9,15,10,15
EPS15,824,1192,1061,750,1063,594,930,790,833
ORC1,820,1187,1075,814,1177,553,987,854,859
MGST2,256,341,318,355,434,204,220,510,306
CHERP,196,256,235,136,272,97,172,231,139
ATG16L1,255,351,298,213,334,172,192,333,210
USP40,387,560,542,444,722,250,618,759,485
POMGNT1,574,735,711,597,847,305,506,706,508
RAD54L,330,451,409,347,529,242,455,435,298
MAST2,454,649,637,409,743,269,600,614,381
DNAJA1,5420,7372,7923,4757,7411,3484,3100,7036,4794
B4GALT1,2592,3906,3523,2605,4378,1833,3986,3569,2795
CHMP5,1053,1395,1202,1155,1470,683,1016,1600,1036
NFX1,1709,2323,2384,1678,2560,1275,2895,2310,1777
AQP6,9,6,5,8,9,4,6,7,7
DIMT1,753,1114,1127,718,1092,458,961,946,717
IPO11,1209,1825,1677,971,1747,689,1473,1672,1165
FOLH1,4,1,7,4,3,7,4,6,4
EIF2AK1,3104,4628,4417,2935,5281,1977,3931,5122,3621
NME8,0,0,0,0,0,0,0,0,0
EPDR1,158,240,219,248,337,184,179,266,219
SNX10,366,528,462,557,678,309,510,578,422
SEPHS1,956,1501,1330,1108,1523,647,1266,1707,1004
MRPL28,713,971,1032,594,835,402,870,896,624
HBQ1,1,0,1,0,0,0,0,0,0
ITPKC,92,113,94,83,134,68,108,137,85
CEACAM6,1,0,0,0,4,2,0,1,0
FAT2,1,2,1,0,0,1,0,0,0
RBM22,653,865,878,619,999,502,919,836,697
TMED2,4341,6006,6026,4503,6607,2988,4568,6545,4684
ERO1B,8,11,7,10,14,7,10,18,4
ZFAND6,801,1091,1077,822,1122,623,961,1166,799
HSD17B2,52,64,69,45,81,49,57,56,60
TXLNG,1988,2651,2965,1748,2676,1142,2696,2201,1681
PPEF1,23,28,18,9,22,13,25,24,12
LAT2,44,40,43,33,40,35,33,40,32
HUWE1,7496,9932,9367,7165,11882,5012,8367,10216,7026
ZW10,523,668,659,435,663,353,564,655,499
ALG9,1122,1558,1589,1121,2089,1087,1313,1932,1362
MYBPC2,2,0,1,0,0,0,0,2,0
NOX4,10,14,20,12,22,13,14,11,11
ACOX3,68,114,77,79,102,35,77,134,73
MTMR2,1249,1812,1796,1044,1620,876,1376,1599,1152
PPP1R15A,572,675,737,486,783,366,880,624,481
HSD17B14,13,7,13,4,11,3,13,9,3
TRIP6,859,1154,909,847,1213,541,888,1065,696
ACHE,8,6,6,5,4,1,3,7,1
FTL,5715,6987,6015,5457,7027,3571,3922,5940,4502
SRRT,1629,2013,2310,1300,2117,993,1306,2083,1409
BAX,222,254,211,190,282,121,177,269,177
NLK,1629,2062,1979,958,1759,529,1723,1432,975
PIGS,587,761,595,556,852,373,655,777,521
ADAMTS2,5,0,5,5,13,121,0,5,570
TMPRSS11E,0,0,0,0,0,0,0,0,0
ATXN7L3,612,762,525,608,834,380,570,830,531
PGS1,294,364,284,243,402,192,279,381,226
PSMC5,696,1286,1319,753,1444,568,1143,1276,996
UIMC1,559,670,729,469,690,337,741,660,496
CETP,3,2,2,1,4,2,2,3,1
MMP2,0,0,0,0,0,0,0,0,0
MT3,0,0,0,0,0,0,0,0,0
LPCAT2,146,175,189,213,300,135,186,308,206
GNAO1,10,13,22,32,35,21,21,23,19
OGFOD1,1348,1685,1619,1233,1709,838,1633,1637,1137
SH3BP2,290,348,320,360,540,192,609,526,321
NOP14,1085,1510,1706,884,1372,645,1174,1551,905
ADD1,1248,1570,1528,935,1554,796,992,1872,1008
L2HGDH,398,585,511,349,583,238,490,502,384
TXNDC16,219,320,295,290,387,177,280,412,247
C14orf166,1161,1588,1753,1396,2205,1217,1518,2169,1751
NID2,4,6,5,6,15,6,6,7,13
GMCL1,504,692,673,372,614,285,511,549,396
SF3B2,3278,3871,4508,2782,4142,2176,2781,3854,2844
KLHL42,753,1015,996,829,1525,588,1001,1265,991
GNAS,10301,13294,14152,9614,14836,7140,12447,16170,10512
DNM1L,2548,3405,3666,2094,3577,1639,3004,3199,2512
PTHLH,0,0,0,0,0,0,0,0,1
PHACTR3,28,42,43,26,42,22,40,39,37
ERGIC2,1397,1925,2203,1338,2276,1116,1511,2241,1606
TFAP2C,229,308,299,297,472,248,466,378,352
AURKA,2244,2985,2779,2099,2954,1251,1766,3258,1675
CASS4,10,10,13,12,17,8,18,11,9
PIR,451,681,606,545,663,232,349,516,390
AAMDC,150,203,172,141,184,93,153,199,112
RFX2,57,70,83,69,89,41,95,93,53
METTL2A,562,788,641,495,838,329,686,770,483
SULT2B1,12,16,11,16,20,8,10,13,14
ALG6,525,752,623,499,775,305,512,646,460
CNOT3,110,202,189,99,187,82,149,131,131
GP6,2,2,1,3,6,1,5,12,2
PTPN4,764,980,1005,678,1043,588,1213,1151,703
DDX18,2390,3617,3230,1907,2955,1423,2890,2795,1996
KHSRP,2547,3466,3457,2158,3488,1362,2803,2939,2164
GNA11,733,897,746,656,990,460,737,930,568
ASAP3,132,172,169,150,186,75,243,199,128
EDEM2,168,252,210,249,297,140,146,285,199
DNMT3B,563,715,721,448,651,267,575,659,345
REM1,0,0,0,0,0,0,0,0,0
TPX2,5043,6996,7466,4624,7261,3441,5845,6962,4696
FER1L4,11,10,10,14,20,7,15,21,6
PDRG1,209,318,218,149,232,126,322,255,157
EPB41L1,705,868,880,491,873,465,509,756,534
SLC15A1,16,13,12,7,15,4,10,10,6
DOCK9,691,946,880,621,902,397,689,911,576
ANKRD10,1136,1404,1311,1192,1474,743,1102,1499,964
TGDS,197,272,275,204,281,132,346,277,204
DOCK3,30,47,46,9,27,27,12,36,14
C3orf18,6,11,4,4,23,8,15,17,9
COQ9,702,890,864,514,819,303,848,785,474
TMEM40,6,13,9,15,14,7,8,5,8
KIF9,61,73,60,44,60,39,75,74,59
ARHGAP28,380,536,496,210,339,117,381,322,219
CRLS1,395,539,405,383,541,227,421,558,350
DEFB127,0,0,0,0,0,0,0,0,0
PPP1R13B,130,150,177,139,223,103,143,183,138
ATRN,624,936,742,717,1015,472,733,956,634
SMOX,39,67,74,82,110,54,136,141,52
SIGLEC1,4,4,0,0,0,1,1,1,1
FKBP1A,720,1190,990,751,1239,480,777,1186,749
