gene_name,WT1,WT2,WT3,KO2_ASH1L,KO1_ASH1L,KO4_ASH1L,KO3_ASH1L
OVOL3,1,0,0,0,0,3,2
CLIP3,47,34,54,4,29,58,29
ZFR2,1,4,0,1,1,0,0
SLC1A5,16773,23521,31123,18384,11476,20524,10814
PRKD2,1238,1491,1238,1963,1057,1878,890
TJP3,194,279,277,798,24,130,107
APLP1,227,98,177,416,208,432,271
CACTIN,2018,1911,1840,1485,2255,1924,1732
CCDC9,604,669,695,408,499,521,427
HNRNPUL1,22898,23531,23750,21316,17122,32148,16568
FZR1,3154,3132,3043,3398,4535,4449,3205
BBC3,486,412,1068,654,277,372,347
TGFB1,5168,5566,5786,5808,3312,9698,4191
DENND3,2295,2331,2081,2262,749,2238,753
DMAC2,2635,2739,2560,2797,2442,3357,1805
PLIN3,8636,9086,8954,6291,8888,11882,5054
MYH14,28,24,16,141,7,24,15
MRPL4,4427,4539,4494,2782,4391,5248,4339
SIGLEC8,2,5,4,5,5,3,5
CD79A,6,10,9,127,2,4,3
LIM2,0,0,0,0,0,0,0
ICAM4,14,13,26,15,3,21,17
RPS19,45406,52503,52677,51946,46930,69650,34491
NOP53,5440,6230,7958,6381,4224,7799,3443
NKG7,1,0,0,1,0,4,4
ICAM5,22,36,48,77,133,56,207
ETFB,8479,9015,9169,11725,5882,10380,6809
CD33,122,105,153,356,20,178,8
CEACAM5,4,3,6,9,0,0,1
CRX,23,22,49,20,33,32,26
BABAM1,4067,4040,3772,3761,4318,4730,3763
TYK2,2571,3184,3313,3337,3413,3102,3657
SULT2A1,7,4,7,2,10,8,4
CDC37,13931,14188,14157,10008,14754,13415,13455
NAPA,4835,5019,4927,3855,3785,5844,2699
RABAC1,1657,1959,2249,1203,1656,2525,1523
ATP1A3,310,325,263,223,248,422,204
MEIS3,179,113,188,175,237,250,79
PTPRS,2670,2972,3124,2624,4715,5747,3697
CNFN,36,42,54,32,21,37,50
ZNRF4,0,0,0,0,0,0,0
MEGF8,2316,2991,2952,2388,3930,6367,2769
KDELR1,13358,14029,14249,11688,7584,17163,10350
CYTH2,3852,4085,4366,2459,2789,5240,2242
GRWD1,5696,5497,4730,5367,5149,6908,4872
GRIN2D,1007,950,952,97,597,1107,369
SYNGR4,22,23,29,24,3,38,21
CLEC11A,2374,2605,2481,551,872,5069,1012
CCDC114,9,11,3,13,23,14,19
CARD8,845,977,947,858,632,1158,852
LIG1,3236,3352,3055,3246,2072,3069,2354
SIGLEC6,0,0,0,0,0,0,0
ZNF175,668,498,687,644,378,957,516
PLA2G4C,157,145,159,210,112,174,176
SIGLEC5,0,0,0,0,0,0,0
CABP5,0,0,0,0,0,0,3
HAS1,0,0,0,0,0,0,0
RAB3D,400,476,445,434,260,513,311
DBP,95,120,64,202,217,327,114
TMEM205,1676,1866,1976,1611,2227,2809,1758
CAPS,86,165,101,135,167,160,88
PLPPR2,868,931,791,572,890,1576,655
FAM83E,10,11,4,11,6,4,2
RASIP1,9,8,15,4,8,11,6
THEG,14,18,22,29,0,0,3
FGF21,0,7,10,2,0,0,2
BCAT2,3265,3434,3719,3249,2563,3917,2310
MIER2,1732,2007,1684,1440,2166,2009,1566
PLEKHA4,380,458,432,1016,148,881,514
PPP2R1A,17754,15897,16211,17892,13830,24934,10592
TNPO2,7434,6979,6962,6037,6927,7782,8799
WDR83OS,3062,3740,3887,3696,3570,4985,2372
CACNG7,1,0,7,3,35,9,2
GCDH,895,1088,1064,823,1255,1223,958
LILRB5,7,7,11,0,0,17,6
KLF1,0,0,0,0,0,0,0
DNASE2,1111,1751,2190,1955,1784,2746,1396
MAST1,63,65,83,63,175,150,141
LENG1,10,2,8,11,8,4,2
PRPF31,4614,4757,4711,4562,4474,6178,4745
TFPT,169,175,279,151,56,136,110
JAK3,462,502,628,329,112,418,71
RPL18A,37126,39797,47715,40822,43082,48446,33262
SLC5A5,44,79,39,49,41,69,27
KCNN1,25,43,47,30,7,33,7
ARRDC2,2546,2677,2733,2991,1674,3026,1603
PIK3R2,3440,3122,3817,4425,4494,4170,3567
RAB3A,35,46,80,56,46,72,62
PDE4C,40,44,59,64,20,97,41
ISYNA1,750,654,708,656,862,365,698
ELL,809,914,948,815,1161,1258,912
CRTC1,436,421,403,626,530,652,492
COMP,2,3,3,2,1,0,0
UPK1A,1,0,0,3,1,2,0
COPE,6108,6772,6688,5633,6912,7521,6074
DDX49,2646,2614,2707,2594,3509,3425,2958
ETV2,27,19,23,35,17,32,19
ATP4A,0,0,1,1,0,0,0
ARMC6,3484,3839,3961,3249,4827,4525,3215
TMEM147,4327,4619,4579,3667,2986,5810,3813
GAPDHS,0,0,0,0,0,0,0
MAG,2,2,2,4,0,0,0
TMEM59L,4,5,8,32,8,11,29
HAMP,7,17,11,16,11,5,19
USF2,2606,2750,2780,3346,1987,4330,1940
LSR,507,459,419,589,2655,55,1670
KXD1,5672,5471,6000,4571,5142,6751,4512
FKBP8,6547,7306,7846,6561,7374,8004,5419
SUGP1,1386,1418,1634,1291,1642,1808,1357
HPN,11,10,7,176,0,4,0
ZNF14,286,279,357,394,280,433,306
SCN1B,304,452,329,771,181,513,118
PBX4,63,38,62,66,51,78,31
ERF,4970,5374,4595,4270,3476,5189,3939
GSK3A,3751,3758,3302,3517,3907,6630,2932
ATP13A1,5695,5024,5473,5844,7386,8164,5693
ZNF574,1547,1329,1356,1172,1383,1984,1386
GRIK5,2,4,5,6,3,4,1
SIPA1L3,2704,2831,2690,3727,2602,5403,1591
ZNF85,119,120,113,234,321,365,78
ETHE1,2579,2928,3285,1975,2141,4246,1493
CADM4,54,86,83,145,27,118,91
SMG9,2512,2531,2851,2097,2318,3827,1332
AVL9,7952,9491,10440,11060,5230,8853,5542
RUNDC3B,59,91,117,161,266,249,46
CFAP69,95,154,238,300,79,172,57
GTPBP10,3890,4616,4521,4003,1718,3524,2711
RASA4,1089,1261,1158,1670,821,1521,629
CDK6,11887,12358,11093,9592,6508,11570,10002
PMPCB,9464,11418,11060,9086,5010,9491,5153
DNAJC2,8675,9652,7843,7028,5887,9446,5234
TFPI2,21,16,58,97,37,585,26
BET1,2607,3217,3163,2798,1145,3046,1514
NAMPT,36959,51686,63010,30208,18909,39324,18594
POLR1F,5121,5696,5118,5305,4439,6906,4858
PIK3CG,3,0,0,29,0,8,1
PON3,394,485,462,605,15,94,88
PON2,21537,23925,20317,22020,7269,16963,10671
ITGB8,57,43,51,58,208,342,33
HBP1,3691,4833,5554,6005,2402,4559,1654
DUS4L,1966,2611,2683,2034,840,1887,1307
SP4,724,837,722,985,1002,1147,548
WDR91,957,934,932,1180,507,1240,505
DNAH11,10,12,13,19,409,70,23
CBLL1,4810,5050,4852,3803,2346,4677,3506
DLX5,0,0,0,0,0,0,0
MTPN,25991,28747,26629,23737,14340,27419,15071
STEAP1B,7,5,7,5,3,0,7
PTN,1,0,3,11,18,230,4
MPP6,2493,2780,2629,2546,3568,3235,2027
GSDME,157,129,165,547,1144,742,632
ATP6V0A4,2,3,7,7,3,17,13
ZC3HAV1,12051,13589,13114,16924,8779,18304,9741
TTC26,2742,3403,2947,2495,1345,2727,1949
OGDH,8936,9681,9035,11105,9722,13475,8773
NPVF,0,0,0,0,0,0,0
ADAP1,713,587,780,3071,517,1217,692
TFEC,6,1,10,14,0,0,4
H2AZ2,10962,13281,11547,13186,10038,15269,7652
CAV2,16161,16132,13390,6921,6166,12287,3664
CAV1,69755,75849,68236,21233,30202,54953,21015
MET,48203,57618,51596,69151,18861,37093,30677
RNF32,86,122,78,72,50,102,35
LMBR1,5106,7198,6191,4702,2771,4629,3094
WNT2,0,2,0,0,0,0,0
HOXA1,102,87,76,511,117,289,140
DNAJB6,14665,16957,15011,11842,8671,15944,6803
HOXA2,78,82,49,234,97,164,123
HOXA3,582,582,534,1482,593,1118,600
LFNG,3665,4802,5712,8273,4037,6652,2034
HOXA5,32,53,48,111,39,95,32
HOXA6,20,26,20,62,16,82,34
BRAT1,4060,4316,4464,3783,4653,4817,4250
IQCE,1215,1261,1316,1652,1033,1788,867
ANKRD7,44,54,36,48,22,124,26
VIPR2,0,0,0,5,0,17,1
TSPAN12,39,21,14,10,8,18,11
SSBP1,11306,12547,10570,8186,4637,8203,4682
HOXA13,0,2,0,2,4,0,0
CPED1,1210,1650,1363,1396,84,142,696
EVX1,0,4,0,0,0,0,0
HIBADH,6981,9031,9166,8137,3493,6160,4208
TAX1BP1,12405,15546,14956,14750,11817,15380,7910
CPVL,117,195,152,3,3017,512,10
CHN2,46,66,53,40,237,101,30
GRB10,10205,13034,15635,12565,10656,15896,10854
ABHD11,2675,2497,2591,2175,1234,2150,1754
COBL,0,0,0,2,1,9,3
FKBP14,2332,2748,2547,1595,2616,2471,2874
PLEKHA8,2306,3173,2742,2505,2237,2837,1565
STX1A,1582,2122,2111,1829,3104,3102,1518
NOD1,863,962,1072,729,763,1047,517
GARS1,25894,44460,59881,25543,30414,29211,21949
CRHR2,0,0,0,0,0,0,0
EPHB6,2007,1321,994,425,250,953,1083
MINDY4,498,539,632,717,500,731,510
GHRHR,0,2,3,1,0,0,0
NSUN5P2,799,836,903,592,1002,834,740
CASP2,4976,4902,3951,5653,2457,4925,3196
CHCHD2,27184,31754,31305,24795,26576,32901,24783
CCL24,0,0,0,0,0,2,0
HSPB1,17293,17568,18060,19388,7903,17572,12179
NPTX2,0,0,0,0,0,0,0
PDAP1,18258,19961,19534,13146,12278,19063,11590
BUD31,8640,9934,11219,7989,4912,9533,5217
PTCD1,1852,2450,2062,1724,1002,1658,2152
CYP3A5,869,1026,1084,1956,142,290,257
ZKSCAN1,7256,9456,9428,12740,4277,9256,4950
EIF3B,34783,36889,31089,32350,32758,38948,29506
SNX8,2944,2845,2864,4449,2414,2996,2746
NUDT1,1343,1385,1552,1428,1319,1553,1333
PTPRZ1,0,0,0,0,0,22,0
TAF6,7798,8130,7768,7717,5166,8306,4941
WASL,8832,9494,8899,9614,3204,7178,3847
HYAL4,550,701,583,484,19,94,182
SPAM1,1,0,0,2,0,0,0
AIMP2,4409,4769,4070,3801,4796,4943,4021
TFR2,15,24,20,65,35,58,74
FSCN3,10,10,2,4,4,0,1
MOSPD3,630,757,777,663,465,734,349
PAX4,0,0,0,0,0,0,2
PCOLCE,148,204,193,206,58,169,95
FBXO24,43,46,30,45,8,33,12
PPP1R17,0,0,0,0,0,0,0
RBM28,7880,8722,8104,7103,3746,6290,6278
USP42,1290,1718,1489,2033,1434,2030,1515
IMPDH1,15703,16006,13581,14796,7190,14375,7074
AGFG2,1452,1574,1445,4386,797,2085,676
LSM5,5376,6263,5067,5829,4512,6904,4334
SERPINE1,10022,13220,16683,17405,30361,78090,4383
AP1S1,8688,9841,8990,8554,3850,7352,4034
MOGAT3,26,16,21,76,4,10,6
C1GALT1,2264,2451,2178,2656,1996,1854,1863
PLOD3,16036,16575,16726,16874,9000,16308,9648
RPA3,3860,5058,4386,5458,3901,5282,2681
ZNHIT1,5648,6850,7061,4904,2878,5553,3493
CLDN15,409,341,376,345,159,239,358
NOBOX,0,0,0,0,0,0,0
GLCCI1,302,282,252,433,702,939,253
MYL10,0,0,0,3,1,0,0
PHF14,2892,3288,2745,3178,2261,2773,1984
NRF1,1426,1510,1337,1354,1177,2055,1415
TMEM106B,4290,5952,5152,9686,1887,4178,4350
EZH2,8110,9089,8449,6380,4642,7313,5254
CEP41,3274,3914,3444,3612,2116,4198,2193
ZNF862,427,560,605,616,196,687,420
SFRP4,0,0,0,8,3,2,0
MEST,5402,6470,5915,3840,5190,6080,5176
MEOX2,0,0,0,1,0,9,1
ANKMY2,1135,1329,1288,1966,1076,1433,804
ACTR3C,304,439,429,699,250,240,316
POU6F2,157,186,206,285,156,278,80
TSPAN13,3564,4736,4001,3913,241,836,2552
RARRES2,128,125,90,243,71,300,252
AGR2,68417,75971,66478,92548,34,13041,68792
AHR,14468,19602,17931,20067,6509,8210,10407
CHCHD3,11475,13018,11861,7859,6669,11638,6960
GIMAP2,189,161,197,876,78,302,99
TMEM176B,110,118,147,2309,0,37,13
GLI3,235,192,281,808,1717,1708,968
PSMA2,12716,16328,13592,14834,11688,15510,9334
MRPL32,3662,4007,3452,3953,3619,4398,2904
COA1,4754,5876,5398,5962,4852,6884,3830
BLVRA,1487,1515,1580,2219,443,1037,934
URGCP,1491,1714,1329,2972,1436,2261,1598
TMEM248,8771,9394,8464,9573,8960,11193,6989
STAG3L4,858,1025,824,758,838,1251,632
RHEB,21755,25240,21707,17134,11610,22078,10727
PRKAG2,2453,2405,1403,1136,1566,1743,1421
AEBP1,11,12,26,22,37,8,10
POLD2,12144,12739,12933,12742,13233,16451,10507
MYL7,0,0,0,0,0,0,0
GCK,0,0,0,0,0,0,0
BCL7B,4191,4111,4001,5433,3509,4855,3493
YKT6,10687,11944,10112,10117,11166,12782,8068
TBL2,3366,3849,3484,3420,3587,4519,2899
GALNTL5,0,1,3,4,8,1,6
CLIP2,3788,4095,4174,5165,1334,2943,1209
EIF4H,51476,56948,50347,41633,27348,46013,30598
LIMK1,6995,6974,6424,6011,3759,6682,4340
SPATA6L,83,91,78,107,119,67,43
SLC1A1,132,133,121,1463,617,1748,1191
LHX2,16,9,3,85,38,15,7
FKTN,2223,2530,2423,3578,2634,3029,1843
FSD1L,386,279,439,324,349,278,268
CNTNAP3,709,759,713,1880,628,754,625
SPIN1,3710,4129,4104,6150,4692,5896,3127
NMRK1,166,219,249,473,84,192,165
TMEM245,7950,8835,7857,13791,9708,15025,6127
PRUNE2,61,112,181,287,19,781,1
MEGF9,1500,1752,1653,3074,1649,1819,661
TRIM14,2527,2696,2632,4775,3408,4437,1443
CORO2A,554,545,520,1009,221,629,44
TGFBR1,808,902,903,1441,2688,2640,847
SEC61B,3968,4458,4214,4506,3916,4738,3479
C5,1830,2467,2532,1473,153,200,825
OGN,0,0,0,0,0,0,0
ASPN,0,0,0,0,0,0,0
ECM2,8,12,72,1,9,13,14
TLE4,32,44,39,164,922,123,131
LHX6,20,21,25,84,193,139,10
PTGR1,2252,2793,2307,4711,2620,2923,1135
SUSD1,1233,1379,1349,2394,1096,1742,650
AMBP,389,443,516,1790,3,45,74
AKNA,1031,1232,1802,1308,864,1170,785
TNFSF8,0,0,0,0,0,0,0
DNM1,5044,4608,4377,8258,3577,5127,4448
ENG,2762,2787,2737,3780,1569,3973,1353
AK1,2026,2166,2182,2252,2045,3169,1729
CDC37L1,332,520,441,839,647,699,375
RLN1,0,0,0,1,29,0,1
RLN1,1,0,0,3,0,0,0
PLGRKT,721,897,763,856,1052,1255,661
TBC1D13,2385,2732,2686,4009,2898,4042,1665
RIC1,1138,1251,1075,1750,2093,1938,748
KDM4C,899,1153,1004,1858,1012,1473,586
DOCK8,9,11,19,17,10,13,6
KANK1,310,428,309,1070,54,123,261
ELAVL2,0,2,1,1,0,0,2
NCS1,4028,4446,4574,4645,5599,5976,3006
TESK1,511,586,499,1002,757,969,504
KCNT1,0,0,2,0,1,0,0
CA9,10,9,6,91,0,0,15
FUBP3,5019,5349,4503,6794,6138,7923,5124
TYRP1,1,0,7,12,1,41,15
CREB3,1787,1778,1866,2517,1992,2557,1572
RGP1,2932,3841,4058,6281,5184,5718,2847
MPDZ,1650,1877,1418,1871,3010,3035,1470
LHX3,0,0,1,2,0,0,0
DDX58,1807,2821,2688,3056,3586,6211,1499
EDF1,7325,7781,8780,8058,8568,9869,5444
PIP5K1B,2,0,0,0,1,0,0
GLIS3,638,804,826,1106,1240,800,626
BAG1,2525,2972,2761,2731,4487,3935,2126
RAPGEF1,4774,5232,5300,7032,7795,8450,3652
NPDC1,3221,3241,3288,2252,3294,3376,2787
APBA1,0,0,0,3,0,0,0
SETX,4769,5484,4323,7306,5987,7837,4297
SH3GL2,0,0,0,0,2,0,0
PTGDS,7,10,4,5,4,4,0
ABCA2,3795,3167,3189,4240,6208,7138,2946
SHB,1718,1651,1607,2630,2335,2711,1397
UBE2R2,4701,5428,4916,7749,4303,6258,2870
ABHD17B,697,850,653,959,718,952,447
EXOSC3,1988,2151,1817,2246,2383,2936,1518
ZFAND5,12405,14402,14455,21303,9476,18554,7848
DVL1,6978,6619,7082,6553,9242,9405,7701
PDLIM1,9877,11281,10498,5013,8123,11254,4150
CCNJ,446,506,501,398,448,572,374
DNTT,0,0,0,0,0,0,0
GATA3,860,1024,991,1420,508,1444,791
ATRNL1,3,0,1,0,72,0,3
HPS1,1992,2133,2063,1805,1724,1849,1310
PHYH,403,555,487,674,593,671,390
RASSF4,576,701,760,793,133,469,143
DNMBP,4653,4870,4415,3690,2545,5194,1875
RAB11FIP2,1174,1431,1363,1847,1159,1309,1185
CXCL12,0,0,0,2,0,0,1
ERLIN1,6959,8687,7077,7904,6582,8600,5082
EIF3A,33380,36863,32733,31680,23136,35076,24334
PKD2L1,0,0,0,3,0,0,3
CUBN,46,39,44,69,245,306,94
TRDMT1,1016,1156,985,553,1128,1279,671
DDX50,3905,4795,4406,3538,3519,4357,2796
MAPK8,1959,2583,2475,2442,2207,2854,1468
SEC23IP,6685,7647,6028,5652,4658,6467,4879
ATE1,3536,3813,3934,3243,2789,3739,2443
NSMCE4A,2902,3331,2933,2319,2111,2767,1622
PLEKHA1,2347,2965,2989,3364,2401,2878,1748
PALD1,1,0,0,4,66,9,5
UNC5B,53,93,177,107,80,140,116
CDH23,3,6,5,27,0,3,0
VSIR,1078,1017,985,2663,737,1306,164
SPOCK2,120,146,167,58,46,13,50
MICU1,5284,6189,5788,7420,3003,5321,2662
PPP3CB,2248,2644,2263,2760,2186,3286,1743
CCSER2,1892,2308,2513,1678,1922,2618,2052
BMPR1A,1669,2062,1965,1815,1029,1620,1128
MINPP1,1699,2370,1301,1757,1497,2067,868
ACTA2,16,16,19,48,67,46,22
LIPA,7726,10930,9908,8933,5660,9223,4307
TLX1,8,5,3,53,1,0,0
TWNK,3787,3876,3733,3491,2921,3802,3009
LZTS2,3318,3368,3551,4276,1804,3242,2246
SFXN3,3744,3608,4082,2953,3549,4015,2065
KAZALD1,490,569,588,794,295,360,325
FBXW4,468,348,597,721,519,740,266
FGF8,0,1,0,1,1,0,4
NPM3,3394,3832,4123,2181,2819,2554,2992
TNKS2,4335,5561,5005,5550,4092,6041,3219
PITX3,3,0,0,0,8,0,7
GBF1,7602,8025,7111,7127,6024,7502,5656
ARHGAP21,7246,8217,7142,4068,6071,7045,5775
CPEB3,129,204,133,160,160,152,64
FBXL15,421,513,557,209,376,559,263
CUEDC2,1979,2380,2325,2254,1789,2386,1817
SUFU,857,1139,1126,948,1031,1524,682
ANKRD26,669,919,740,627,1017,921,638
ACBD5,1748,2024,1829,2457,1497,1695,1670
LHPP,64,112,107,224,127,220,78
LARP4B,6570,7575,6492,4723,5449,6286,5798
GTPBP4,12654,12801,11438,6163,8449,10201,9837
EDRF1,1525,1721,1467,1596,1741,1632,1033
BCCIP,10677,11768,9145,7366,7371,9079,7369
MTPAP,2260,2537,2100,1706,2093,2591,2239
NEURL1,51,56,61,51,172,102,98
SH3PXD2A,1613,1640,1412,1488,952,1929,672
PITRM1,10976,12186,10868,5354,8116,9317,7934
STN1,1152,1322,1345,1738,1026,1340,590
MAP3K8,759,754,683,310,169,583,310
DKK1,1340,992,339,671,285,378,343
EBF3,0,0,0,0,0,0,0
GLRX3,11235,13434,12823,9088,8445,10445,7666
SORCS1,6,18,1,3,4,20,13
TASOR2,9390,11268,9804,6253,8938,9194,6854
XPNPEP1,3839,4940,4785,4923,2572,4731,2772
SMC3,10939,13366,11652,9826,9429,11824,6783
SHOC2,2611,3305,3002,2629,1761,2761,1189
TFAM,6457,7626,7062,6139,4834,6373,4129
CCDC6,7486,8345,7422,7955,4492,6483,4886
CUL2,4037,5101,3580,3223,4427,5393,3218
CCNY,3103,4158,3930,2679,3312,4063,2647
UBE2S,12689,11876,10045,6538,11640,16307,9468
RPL28,27578,29366,35064,24696,23616,35713,21640
ZMIZ1,4995,4597,5277,5691,4027,6941,2281
DNAJC12,1353,1891,2562,1801,270,335,1267
PPIF,9110,8820,7742,8064,6063,6445,7470
PBLD,178,271,203,417,193,129,103
TSPAN14,4645,4810,3958,3711,2315,3530,2421
LGI1,8,12,8,18,7,6,10
TBC1D12,600,716,611,757,510,609,280
CYP2C18,106,176,78,911,0,36,0
KRT23,1,2,0,3,0,5,0
CRYBA1,0,0,0,0,0,0,0
NUFIP2,9120,8866,7615,13728,11464,14988,9990
GIT1,3872,4249,3965,5033,5449,7111,4636
RPL19,67892,75468,75135,95095,77264,98180,62967
FBXL20,727,957,1034,1666,824,1488,484
RUNDC3A,111,121,93,100,92,159,70
UBTF,7888,8727,7241,10086,8322,11555,9178
CSF3,0,0,3,0,0,0,0
PSMD3,12006,12222,11387,13359,16573,19765,13660
CASC3,5309,5261,5771,5925,8281,8880,4917
RAPGEFL1,147,92,105,119,160,110,199
RGS9,82,75,88,234,41,125,256
RNF43,1861,2416,1741,2270,88,1361,2185
WNT3,0,18,0,113,25,0,47
ASPA,14,22,9,26,5,43,11
RAD51C,1342,1522,1506,1387,1167,1537,1081
SEPTIN4,12,18,23,34,8,113,15
MTMR4,3281,3586,3785,3492,3235,2942,4484
TRIM37,3513,3809,3331,3411,2884,3299,3005
P2RX1,26,21,25,13,3,39,3
DHX40,3589,5540,5327,5480,4072,4262,3320
KRT37,0,0,0,0,0,0,0
TUBD1,545,895,588,679,781,694,548
KPNB1,44385,45677,35785,51314,39639,58789,40174
GOSR2,2445,2472,2143,2543,2598,3202,1774
PNPO,2106,2655,2919,3877,2589,3915,2950
RPS6KB1,3787,4627,4248,4364,3386,5359,3338
TRIM16L,1368,1462,1537,2924,1224,1409,1232
ZNF29P,0,0,0,0,0,0,0
CDK5RAP3,4058,3654,3817,4955,3492,4383,5294
CBX1,5826,6491,5283,8579,7076,10105,5726
RECQL5,1370,1517,1965,2366,1510,2063,1477
PIGL,670,778,719,786,634,819,585
GALK1,767,885,865,1516,602,1136,705
INTS2,1130,1519,1316,1914,1086,1726,1302
CAMTA2,1438,2183,3589,1660,2207,1925,1517
MED13,4612,6801,4740,8501,7383,8602,4725
HOXB6,675,696,701,616,569,456,481
ENO3,65,53,82,115,136,84,163
PFN1,50063,50728,48763,37875,43696,55532,39636
RNF167,3544,3686,3327,4680,3381,4369,3021
SLC25A11,2882,3157,2903,3696,2528,3988,3197
RASD1,125,128,133,54,19,53,119
CHRNE,0,0,0,0,0,1,0
RAI1,3513,3369,3725,4075,3226,4457,2642
NUP88,4942,5500,5048,4980,5449,6488,4858
C1QBP,15815,18775,16379,15717,12699,17468,12586
SLC6A4,20,8,18,36,29,21,47
BLMH,4179,4486,3674,7051,4665,6385,4583
CPD,10855,13048,12805,20888,8602,16331,6138
GOSR1,3889,4656,4127,6871,3436,5986,4769
CCDC47,13255,15347,13198,15397,11937,14875,10923
MED31,474,578,464,573,473,561,371
DRG2,2580,2626,2609,2819,2161,3073,2161
FTSJ3,8727,8689,7697,8041,8469,9413,9307
AKAP10,1871,2263,2145,2721,1855,2548,1397
ALDH3A1,12,2,5,54,0,0,0
SMARCD2,4466,5349,4926,5404,3854,6356,3429
ICAM2,48,41,74,107,32,61,230
SYNGR2,6307,7121,7203,11320,4092,6453,5475
B9D1,555,642,782,900,412,769,495
UTP6,5518,6728,5474,6969,5796,7134,5438
DDX5,50361,49703,40131,46314,40490,58409,34754
C17orf75,1180,1457,1468,1972,1386,2017,1043
CYTH1,2203,2871,2628,3716,2253,3919,1441
PSMD11,9567,10475,8620,11699,11184,15230,11491
LGALS3BP,20926,23577,26446,35059,20045,35950,19764
ASIC2,18,9,11,6,19,13,35
CCL7,1,0,0,0,0,0,0
CCL2,85,78,86,88,32,151,111
CCL8,0,0,0,0,0,0,0
CCL1,0,0,0,0,0,0,0
PEX12,340,345,364,687,394,574,315
KRT32,1,0,0,0,0,0,0
DHX58,259,294,325,972,534,583,331
KAT2A,5201,4973,4828,7101,7040,8063,6234
RAB5C,9861,9651,9875,12367,9286,13330,9327
NAGLU,1737,1813,2191,4430,1521,2435,1668
HSD17B1,42,14,11,52,3,15,30
MLX,4658,5134,4378,5393,3428,5449,4677
CNTNAP1,1246,1357,1769,1825,694,1176,863
ABI3,103,93,90,84,8,104,5
EZH1,1040,1115,1159,1818,1696,1915,1099
DLX4,23,21,31,188,16,66,42
PPP1R9B,2798,3394,3545,3839,4283,5113,3550
COL1A1,2458,2620,3132,673,720,833,3113
SGCA,3,9,4,2,0,5,5
PTGES3L-AARSD1,33,51,48,32,3,43,95
MRPL27,2968,3218,2758,2680,2227,2629,1890
VAT1,10748,13279,16279,20655,14638,20639,10180
LRRC59,31550,33413,27644,18621,23285,27423,21214
RND2,4,3,4,3,11,2,14
ALOX12,1,0,0,0,0,0,0
HDAC5,2285,2963,3488,3055,3157,5855,1460
ABCC3,9062,9261,10098,13936,1711,3497,4188
LUC7L3,9724,9795,8040,7642,7808,8516,5083
PPY,0,0,0,0,0,0,0
MPP2,117,105,87,253,311,453,123
SMURF2,1561,1840,1763,1543,1827,2446,1140
DUSP3,4782,4788,4849,7818,5990,9283,5238
CACNG1,0,0,0,0,0,0,0
EFTUD2,14238,15773,12794,16340,16082,22915,14483
HLF,5,12,8,30,14,20,4
SLC16A6,158,183,321,548,197,333,287
PRKAR1A,7913,9357,8028,11325,10314,15115,8394
EFNB3,17,11,23,15,29,12,53
FAM20A,0,0,0,2,0,1,0
YWHAE,38446,43699,39324,42122,37582,50341,27799
MMD,4206,5880,4872,5847,2136,4914,1633
RANGRF,1237,1225,1392,1086,879,1423,839
DPH1,2265,2781,2611,3453,2077,3295,2034
MAP2K6,49,75,118,277,2,39,6
DHRS7B,1015,1397,1237,1221,1120,1225,1005
WSB1,3738,3920,3814,3394,3869,4805,3023
RCVRN,0,0,0,0,0,0,0
MYH1,0,0,0,0,0,0,0
SLC9A3R1,4819,4687,3715,8063,2126,4256,2987
MYH3,49,45,41,55,77,87,84
NAT9,2297,2464,2452,2033,2181,2306,2108
TMEM104,2788,2750,1926,2227,3262,3781,2293
VTN,21,16,22,30,0,0,12
TNFAIP1,2357,2725,2499,3328,3484,3565,2642
IFT20,1238,1397,1422,1529,1315,1801,929
TMEM97,2623,2671,2504,2874,3712,4079,3518
CDR2L,1280,1280,1093,432,1109,848,1071
PMP22,3888,4173,3549,4592,2391,4521,2021
FOXN1,0,0,0,0,0,0,2
UNC119,522,610,422,844,362,867,409
ALDOC,38,26,49,55,33,43,76
SUPT6H,8380,8642,8352,13506,9710,12245,10252
RAB34,4877,5367,5035,6269,6131,5917,5993
PHF12,2373,2194,2426,3576,3568,4053,3160
PHOX2B,0,0,0,0,0,0,0
TMEM33,8870,10290,9003,11879,6635,9695,5536
GABRA4,0,0,0,0,0,0,0
GNRHR,0,0,0,0,0,0,0
SLAIN2,6041,6239,4770,5268,7582,6964,4403
OCIAD1,12132,14277,13249,15972,9255,13587,6988
UGT2B10,0,0,1,22,0,0,0
CWH43,1,0,0,0,0,0,0
DCUN1D4,2566,3055,2863,2571,2640,3185,2294
USP46,1905,1977,1851,2094,1494,2224,1915
SULT1E1,13,19,5,2,0,0,1
ODAM,0,0,0,0,0,0,0
SMR3A,0,0,0,0,0,0,0
CHIC2,526,686,860,502,621,715,343
NMU,511,625,391,2496,1403,1836,258
CRACD,0,6,2,4,188,0,1
LAMTOR3,2585,3237,2830,3486,2220,2828,2165
PF4V1,0,1,4,0,2,0,2
NFKB1,4760,5886,5721,6502,4531,5545,5703
AREG,12317,16003,13354,8921,1138,8839,4664
MANBA,1340,1644,1859,2224,679,1558,1312
UBE2D3,22517,25901,22712,26146,22350,26130,23330
MAPK10,208,202,132,226,32,217,24
ELF2,2203,2002,2077,2273,1653,2735,1766
NDUFC1,1871,2143,2034,1769,1610,1999,1795
UCP1,0,0,0,0,0,0,0
