gene_name,A375_Control_1,A375_Control_2,A375_Control_3,A375_POLK_1,A375_POLK_2,A375_POLK_3
COPA,17453,22124,20027,25162,18604,20051
CD244,1,2,0,2,0,0
LY9,0,1,3,1,4,3
HS3ST2,0,0,0,0,0,0
RBBP6,2743,3302,2852,3416,2730,2931
ZC3H7A,3625,4454,4163,3460,2833,2638
PRM2,0,0,0,0,0,0
SERAC1,209,287,249,324,255,279
ANXA11,8478,9919,8965,11514,9447,9816
LDB3,11,8,2,16,6,7
OPN4,1,0,0,0,0,0
SHLD2,1532,2026,1797,2005,1565,1790
PRXL2A,2162,2574,2331,2690,2058,2296
ZNF205,468,612,594,721,552,634
NAA60,2261,2511,2266,2707,2342,2432
RPL5,24986,31872,28233,32908,26225,27118
ODF2L,881,1218,1176,1091,929,946
PTGFR,0,4,0,13,7,1
SPATA1,3,1,4,2,5,0
TRMT13,747,830,862,971,768,966
LRRC39,8,12,7,13,11,7
RWDD3,284,330,307,346,280,274
ZNF644,1526,1859,1718,1766,1595,1460
CCDC18,372,466,309,351,303,377
RPAP2,864,1258,1033,913,1034,1204
SLC66A2,1105,1400,1073,1240,1107,1217
BBS9,367,512,349,319,514,483
PMS2,1141,1478,1394,1634,1311,1407
ZMIZ2,2068,2298,2073,2637,2150,2167
OCM,0,0,0,0,0,1
SEPTIN7,7018,8713,7782,8745,6769,6978
EEPD1,52,195,172,248,102,99
KIAA0087,2,3,4,2,3,1
KLHL7,1046,1356,1238,1394,1171,1316
HERPUD2,904,1211,990,1319,1021,1065
CBX3,13363,16626,14982,19316,14877,15294
HNRNPA2B1,92351,115668,103808,110761,89905,90897
WIPF3,28,36,31,40,39,35
NXPH1,2,0,2,1,1,0
NPY,4,10,4,2,2,6
FAM126A,1619,1847,1650,2058,1554,1558
HOXA7,8,15,11,7,14,11
INHBA,6195,7637,7430,3851,3574,3523
FKBP9,2776,3297,2880,4428,3141,3890
NT5C3A,982,1214,973,1249,900,1069
ARL4A,418,456,424,590,533,503
CCZ1,4289,5192,4805,5903,4738,4872
POLM,855,1163,1055,1665,1276,1194
RAMP3,0,0,0,0,0,0
MRM2,2004,2609,2502,3296,2632,2724
TWIST1,1061,1392,1165,1446,1174,1349
SMU1,4372,5326,4830,5529,4401,4571
GLIPR2,138,218,198,73,65,72
SLC25A51,607,706,613,701,561,565
CLTA,9412,11741,10611,12899,9990,10175
RECK,342,529,443,434,448,425
SPINK4,0,1,1,0,0,1
TAF1L,1,5,1,3,2,2
ACO1,1714,2160,1915,2228,1659,1724
PHF24,0,0,0,1,0,1
DNAI1,12,5,42,7,2,7
DCAF10,1116,1405,1178,1833,1403,1590
CNTFR,1,0,4,0,4,0
KIAA1549,1904,2415,2101,2622,2069,2039
TRIM24,1652,2019,1695,2105,1715,1808
CYREN,2052,2520,2227,3120,2386,2455
CALD1,5144,6610,5670,8404,6640,6987
AKR1D1,5,5,7,5,1,1
NUDT10,15,21,20,33,24,42
SFTPA1,0,0,0,0,0,0
NEUROG3,0,0,0,0,0,0
PLAU,13,19,19,30,5,3
SRGN,96,101,97,224,175,186
CHST3,1888,2387,2015,2060,1760,1859
BICC1,327,376,356,358,327,272
CISD1,776,859,744,1067,785,892
EGR2,12,11,10,7,8,4
ECD,2050,2581,2461,2889,2237,2340
P4HA1,1808,2254,1988,1943,1526,1578
SLC25A16,189,171,207,380,271,250
ZWINT,2905,3766,3480,4134,3324,3456
VPS26A,2443,3344,2735,3125,2715,2651
RBM19,1705,2189,1871,3052,2469,2688
CIT,2209,2441,2299,5392,4981,4838
IFT81,847,1039,893,1440,1289,1371
ACADS,234,263,230,684,597,591
HVCN1,11,33,11,36,4,13
DDX54,5715,6566,6081,10951,9701,9345
MED13L,2273,2397,2076,4052,4091,3611
CDKN2C,2627,3328,3027,3365,2750,2901
RNF11,2645,3213,2577,3111,2792,2663
RASSF8,12011,15603,13232,14105,11214,11643
BHLHE41,74,94,123,172,107,155
SSPN,1,3,3,8,3,2
ITPR2,1401,1829,1789,1731,1574,1414
CCDC91,926,1553,1077,1240,1183,1217
NECAB1,120,157,125,165,120,175
WWP1,1481,1766,1715,1970,1848,1686
ACOT9,2028,2602,2320,2537,1906,2187
PRDX4,3494,4308,3796,3916,3103,3287
DDX39A,7950,9880,8790,12052,9316,9729
PKN1,8305,10077,9071,15054,12566,13585
TRIR,10970,13431,12875,15073,12381,12378
ADGRE5,5128,6241,5441,8000,6633,6971
WDR83,973,1150,1092,1624,1291,1392
GIPC1,9012,10942,10224,11849,9732,9894
ACTRT1,0,0,0,0,0,0
CCDC70,0,0,0,0,0,0
SPRYD7,947,1146,994,1329,1042,1156
EBPL,2243,2529,1797,2618,2357,2663
ATP7B,461,676,573,407,402,320
ZC3H13,6611,7844,7500,9622,7148,6918
GUCY1B2,22,26,38,28,33,60
NLN,1738,2088,1880,1701,1413,1485
CENPK,855,901,879,1225,932,1196
OPTN,551,713,620,1344,1063,993
ITIH5,379,362,353,719,634,546
ATF1,685,804,739,1554,1060,1213
TSFM,1344,1854,1523,3024,2251,2281
NEUROD4,0,0,0,0,0,0
ARHGAP9,72,75,47,148,85,128
NCKAP1L,7,0,0,2,3,1
MMP19,68,102,69,213,122,144
PFDN5,3805,4609,4386,8318,6916,6861
SPATS2,1008,1310,1222,1827,1555,1510
ORMDL2,901,1124,894,1905,1540,1649
NR4A1,3434,3768,3454,5512,4687,4621
PDE1B,10,4,23,22,21,39
HOXC13,431,602,477,1121,855,916
CDK2,3065,3980,3247,5883,4660,4879
LRP1,4088,4116,4391,5617,4792,4329
HOXC11,214,300,262,514,400,409
ATG101,2721,3420,3089,5308,4040,4335
NFE2,59,94,86,209,189,201
HOXC12,5,7,6,618,539,547
IKZF4,297,406,368,511,511,458
SMUG1,951,1252,1178,2810,2114,2289
TUBA1B,51491,64775,55370,95626,77585,80397
EEF1AKMT3,205,223,135,352,285,301
KBTBD4,1374,1841,1626,2202,1780,1666
SARDH,8,15,14,4,7,1
DBH,0,0,0,0,0,0
ATPAF1,1927,2378,1983,2792,2450,2489
STIL,1888,2204,1943,2316,1782,1999
HJURP,3008,3540,3173,3643,2931,2848
IL13RA2,17499,22450,21390,28601,22473,23380
COL10A1,2,4,1,3,1,5
AMD1,5989,7048,6484,7210,5319,5406
NDUFAF4,628,761,665,865,660,788
USP45,378,398,386,431,379,353
PLP1,2743,3571,3242,6054,4668,5020
SERPINA7,0,0,0,0,0,0
MORF4L2,11643,14742,13323,14964,11885,12812
H2BW1,0,1,3,0,0,0
RAB9B,70,59,58,83,58,64
NRK,0,0,0,0,1,0
FAM199X,2556,3260,2656,2737,2223,2329
ESX1,0,0,0,0,0,0
MAGEA9,0,0,0,0,0,0
ATXN3L,22,22,17,19,15,15
RAB9A,566,618,645,780,597,644
METTL8,430,540,516,536,421,383
TTC21B,654,685,582,742,522,665
NMI,350,502,433,522,425,395
TNFAIP6,11,17,10,21,4,8
ACVR1C,43,32,34,44,79,108
BAZ2B,688,774,711,758,706,709
SLC36A1,778,715,772,943,673,720
LPGAT1,3607,4264,3076,3855,3844,4342
BATF3,86,114,101,178,131,147
G0S2,1,2,1,4,2,0
KCNJ2,186,203,221,173,147,144
RAP2C,1286,2021,1790,1704,1407,1710
EXOSC9,2022,2382,2150,2507,1994,2163
PLA2G12A,963,1022,979,1049,1672,835
B9D2,180,247,198,292,235,226
COQ8B,1168,1500,1436,2205,1736,1960
PFKFB2,783,815,940,1030,978,1247
C4BPA,0,0,0,0,0,0
C4BPB,6,1,0,1,6,0
RAB38,503,603,543,868,688,668
GPR83,2,0,5,6,8,3
AGO2,4635,6194,5317,4298,4699,4334
MXD4,1617,2085,1943,1708,1167,1277
CKS2,4404,5593,4517,6646,5192,5305
DAW1,0,0,0,1,0,0
ACSL3,10075,12528,10739,13557,11052,11019
CHPF,5994,7706,6839,7774,6640,6750
DNPEP,970,1559,1347,1672,1288,1148
INHA,20,21,38,36,7,19
MOGAT1,0,0,1,0,0,3
OBSL1,6067,7511,6692,9205,7573,8121
FAM124B,0,1,0,0,0,0
SLC12A4,2529,3277,2732,2516,2100,2275
ENKD1,1424,1714,1538,1883,1602,1539
MC3R,0,0,0,0,0,0
GCNT7,1,0,2,1,2,2
CTCFL,3,1,1,1,0,1
FAM210B,2518,3139,2577,2563,2168,2279
PI3,2,0,0,0,1,0
FAM209A,4,10,7,6,7,1
SNX21,929,895,946,1516,1418,1332
SLPI,0,0,1,1,0,1
WFDC3,8,18,7,30,13,16
TTPAL,1930,2265,2215,2610,1999,2204
PREX1,5635,6731,5961,5555,4536,4485
KCNS1,0,0,0,0,0,1
SLC12A5,16,4,6,6,11,12
ARHGAP40,0,0,0,1,0,0
SDC4,2791,3400,3041,4505,3454,3532
NCOA3,1818,2363,1895,2950,2326,2265
PIGT,3597,4648,4017,7080,5874,5990
SEMG2,0,0,0,0,0,0
MATN4,18,21,17,43,36,40
NCOA5,1923,2365,2015,2736,2070,2335
VAPB,2730,3510,3199,3849,3174,3374
PARD6B,123,188,149,197,146,165
ATP5F1E,9635,12177,11366,17963,15001,15448
CHD6,3033,3720,3231,3812,3494,3882
PLCG1,6701,8139,7547,9689,7418,8572
TOX2,411,480,454,595,542,631
SRSF6,8192,10008,8545,9382,6809,7230
GDAP1L1,0,0,6,6,2,5
GTSF1L,0,0,0,0,0,0
ARFGEF2,3367,4220,4540,6474,4714,4490
ZNFX1,2397,2805,2491,3596,2999,2962
ZNF831,9,11,4,20,12,10
EDN3,2,3,3,5,4,5
CSE1L,15036,18567,16129,23309,18013,18865
PEDS1-UBE2V1,285,327,193,313,261,252
RAB22A,1401,1891,1685,2349,1868,2101
PTGIS,78,102,45,12,12,14
STAU1,10562,13244,11793,14975,11446,12158
CDH26,3,0,0,0,3,0
SNAI1,1109,1314,1208,1216,983,1058
MOCS3,1496,1739,1688,2365,1836,1938
STX16,4417,5398,4593,8893,7534,7872
PMEPA1,4045,5518,4875,2760,2400,2399
RNF114,3085,3937,3593,4696,3742,3738
ANKRD60,0,0,0,0,1,0
DDX27,5803,7394,6508,9061,7230,7149
RBPJL,0,1,0,2,1,2
SEMG1,0,0,0,0,0,0
C20orf85,0,0,0,0,0,0
BCAS4,104,158,188,311,173,192
KCNK15,0,2,0,17,9,14
TP53TG5,36,25,26,55,40,29
PCK1,0,1,1,0,4,0
ZBP1,2,0,1,1,0,1
NEURL2,35,72,45,73,70,54
MAGEA10,1308,1501,1448,2435,1940,1952
MTRR,1932,2857,2445,2681,2011,2075
FASTKD3,681,738,651,858,670,561
PEPD,2147,2734,2414,3382,2613,2772
CHST8,4,2,2,1,1,0
IQSEC2,318,466,366,490,412,500
VAMP7,2104,2464,2321,2769,1991,2155
IL9R,15,16,15,29,12,17
XG,0,0,0,2,0,0
STAMBP,2749,2958,2829,3305,2598,2517
NAGK,1048,1315,1191,1334,1438,1176
MCEE,120,149,133,119,100,104
PAIP2B,126,134,182,146,113,133
SNRNP27,1444,1858,1639,1597,1500,1432
MPHOSPH10,2978,3713,3152,3308,2669,2648
IL17C,0,1,2,0,2,0
NDUFB4P12,0,0,0,0,0,0
ATP8A1,280,248,231,538,570,491
USP22,17530,22043,18790,21893,18023,18507
POF1B,0,0,1,0,3,0
HIF3A,8,4,4,1,4,7
ZNF576,571,747,652,858,668,801
IRGC,0,0,0,0,0,0
ZNF45,988,1159,1036,1783,1406,1347
LYPD3,50,58,79,149,111,118
PSG8,0,0,0,0,0,0
CEACAM8,3,4,2,2,1,2
NDP,5,5,2,4,5,1
USP9X,5559,6948,6426,7732,6487,6019
CRISP2,1,1,1,3,1,1
F13A1,0,0,0,1,0,1
GRM4,0,3,3,2,1,2
TRERF1,641,771,714,841,651,734
PACSIN1,3,11,16,11,18,22
BTN2A2,544,576,589,873,732,714
SIRT5,223,206,166,254,159,214
MRS2,1189,1448,1281,1440,1168,1229
WRNIP1,2220,2822,2385,2895,2378,2357
RRP36,2342,2831,2332,2966,2395,2437
BTN2A3P,69,90,60,124,83,120
BTN1A1,2,1,1,3,1,1
SNRPC,3778,4817,4092,5228,4197,4312
SLC17A3,0,0,0,0,0,0
SLC17A1,0,0,0,0,0,0
SERPINB6,2080,2647,2424,4837,3865,4063
XPO5,5485,5956,5182,6401,5288,4914
ABCC10,645,820,800,942,901,905
H1-3,30,29,23,75,47,52
PEX6,1054,1299,1081,1334,1061,1042
NQO2,1344,1548,1459,1991,1594,1594
OARD1,703,954,910,1129,762,857
UNC5CL,8,11,8,17,13,10
AARS2,1741,2235,1989,2308,1937,1999
H1-1,2,3,2,4,0,4
ZNF391,111,140,127,173,168,152
RPS10,24228,29506,27782,32785,26535,27776
MOCS1,543,694,609,838,669,715
H2BC11,40,22,28,13,20,21
MED20,762,870,894,1252,936,1014
OR2B6,0,0,1,0,0,0
TBCC,736,926,779,1078,851,885
SPDEF,3,7,3,5,1,1
TCP11,2,2,5,2,2,0
MAD2L1BP,854,1073,1011,1260,980,931
APOBEC2,0,1,2,0,3,1
KLHDC3,5420,6763,6274,7569,6271,6540
GNMT,11,17,10,6,3,8
DNAH8,1,1,0,0,0,0
TREM1,0,1,3,2,13,3
MEA1,1951,2497,2227,3017,2514,2601
KLHL31,590,696,646,724,623,666
COL21A1,5,6,5,6,23,10
CDKN1A,7388,9622,8684,7620,6289,6459
SOX4,974,1206,1045,1572,1308,1376
GLO1,6373,7653,6664,7013,5636,5895
CPNE5,6,8,1,6,9,7
KCNK17,0,0,0,0,0,0
RREB1,1485,1733,1426,1853,1610,1667
SSR1,4904,5853,5614,5948,4550,4587
RIOK1,1964,2372,2169,2683,2171,2442
NRN1,336,432,354,550,523,571
SLC35B3,173,228,171,220,164,171
RPP40,360,434,329,499,413,361
ATXN1,1169,1748,1306,928,901,801
NUP153,4451,5452,4593,5727,4408,4630
DEK,7574,9418,8566,9864,8489,8257
EEF1E1,1118,1382,1291,1563,1274,1343
CRISP1,0,0,0,0,0,0
RUNX2,127,265,99,279,248,167
OPN5,0,0,0,1,0,0
GCM2,0,0,1,3,0,0
LRRFIP1,4068,4922,4427,4787,3736,3832
LOC93463,0,0,0,0,0,0
RAB17,313,373,356,597,390,507
CXCL6,1,0,0,1,0,0
EREG,11,7,4,11,10,1
TRIM51,205,297,250,320,274,268
MYRF-AS1,0,4,0,0,1,3
MYRF,602,793,697,478,387,399
SCGB1D2,0,0,0,0,0,0
SCGB2A1,0,0,0,0,0,0
AHNAK,15631,18027,17933,25397,24966,19389
EMC3,2008,2812,2295,2193,2091,2067
SSUH2,299,263,273,298,279,271
WNT1,0,1,0,0,1,0
SH3TC1,768,1024,902,1097,838,957
CNOT1,13036,16947,15436,11998,10050,9880
LRRC29,95,97,102,93,91,79
BBS2,1270,1545,1499,1612,1238,1556
MT1G,0,0,0,0,0,0
MT2A,10377,13171,12381,14339,11499,12222
C16orf70,787,1025,884,780,700,662
GOT2,11325,14179,13039,11048,9269,9141
DOK4,1432,1738,1580,1829,1449,1702
PIWIL1,0,0,0,0,0,0
GPR18,2,2,0,1,1,0
CLYBL,56,65,62,36,60,54
TMTC4,1226,1450,1267,1489,1421,1274
RAP2A,1613,2297,1961,2589,2119,2205
SLC10A2,0,1,2,2,0,1
ABCC4,1623,2110,1820,2404,1759,1911
EFNB2,1473,1895,1678,1921,1369,1477
SOX21,0,1,1,0,0,0
TM9SF2,6792,8638,7430,8938,6894,7231
HROB,610,763,657,928,738,814
KIF25,0,2,2,0,0,0
IRF1,361,477,334,435,413,362
UPF3B,1023,1380,1215,1437,1178,1210
RNF113A,657,905,783,925,723,720
SEPTIN6,1524,1922,1898,2039,1589,1750
TMEM255A,154,234,190,548,329,291
NDUFA1,1954,2472,2237,2696,2278,2293
AMELX,0,0,0,0,0,0
DMAC2L,578,645,599,788,686,535
BMP4,132,188,190,190,208,140
PTGER2,7,7,12,6,8,12
FAM193A,1159,1341,1374,1317,1342,1332
GRK4,320,358,333,427,322,364
SOX9,53,87,53,4,4,6
TEKT3,21,10,9,27,27,20
MYH2,14,17,12,18,4,17
HS3ST3B1,121,209,150,134,111,128
SLC25A35,252,218,213,259,223,352
MRPS7,2992,3622,3310,3814,2930,3220
GGA3,1825,2245,1984,2819,1885,2070
ARMC7,582,762,669,815,702,664
NUP85,1844,2316,2035,2399,2039,2187
SLC25A19,666,820,708,1179,878,904
MIF4GD,529,654,654,764,564,628
NT5C,1873,2244,2242,3306,2806,3032
MSTO1,2859,3337,3011,3562,3021,3012
MIR9-1HG,44,80,37,32,16,44
TTF1,2280,2868,2520,3300,2513,2492
GTF3C4,4896,6347,5249,6197,4911,5111
DDX31,1809,2198,1940,2511,1851,1950
BARHL1,2,2,1,3,1,1
KIR2DL1,0,0,0,0,0,0
PPP1R12C,1899,2108,1901,2575,1878,2228
MBOAT7,4148,5332,4677,5760,4472,4710
SRMS,0,0,1,0,0,1
OPRL1,27,49,75,62,43,54
SLC2A4RG,1770,2192,1865,2985,2646,2674
NPBWR2,0,0,0,0,0,0
FNDC11,0,11,1,0,1,2
BHLHE23,0,0,0,0,0,0
PPDPF,3606,4464,3783,5263,4176,4509
IL1B,7,11,2,17,22,7
PLGLB2,5,9,2,5,5,7
IL37,1,5,5,9,5,6
CHCHD5,740,975,898,997,870,860
PAX8,26,41,17,62,36,19
INSIG2,290,341,406,288,291,273
POLR1B,6330,7137,7011,5923,4603,5233
CCDC93,960,1246,1107,1360,1039,996
PSD4,162,185,202,215,216,280
SLC25A23,1496,1931,1466,1304,1128,1168
PSPN,132,143,146,147,96,99
GTF2F1,8116,10813,9566,11940,9202,10054
ALKBH7,915,1226,1021,1484,1237,1235
CLPP,3273,4154,3615,4862,3950,4111
TNFSF9,835,1162,903,1360,1089,1141
GRIA3,0,1,2,1,13,3
THOC2,4658,6033,5224,6536,5505,5224
MED1,5141,6375,5621,6141,5045,5008
RPL23,27530,34831,32245,39965,32753,32795
ATG4C,454,532,538,876,677,826
CD70,2643,3251,3001,3026,2511,2708
C3,406,313,332,1132,687,1104
SH2D3A,44,26,29,42,37,31
TRIP10,2161,2855,2366,3038,2599,2738
GPR108,1799,2269,2130,2707,2274,2415
TNFSF14,0,0,0,9,5,5
FOSB,706,770,652,480,356,446
OPA3,2499,2939,2440,2516,2161,2231
SNRPD2,12793,15970,14519,19423,16404,17127
RTN2,535,675,614,578,572,549
EML2,1655,1840,1792,2994,2663,2560
VASP,5074,6245,5395,5143,4349,4686
SYMPK,7253,8477,7672,9556,7640,7752
GPCPD1,508,545,536,998,809,873
SDCBP2,33,54,31,47,49,44
PANK2,1596,2181,1743,3488,2726,2642
TGM3,1,0,0,0,0,0
GNRH2,2,0,2,1,0,0
DEFB126,0,0,0,0,0,0
FOXA2,0,0,1,0,0,0
FAM182A,0,1,1,11,13,1
CD93,0,0,1,40,18,38
GZF1,573,775,786,1322,1016,1046
PAX1,0,0,0,0,0,0
NAPB,195,163,161,273,222,259
CST8,0,0,0,0,0,0
NKX2-4,109,140,108,198,139,204
CENPB,6092,7381,6485,14027,11648,12447
PSMF1,2576,3183,2835,5304,4142,3935
NKX2-2,69,72,60,77,58,65
DTD1,2008,2687,2465,4282,3503,3616
CSTL1,0,0,0,0,0,0
RBCK1,2111,2736,2327,5206,4441,4458
TMX4,3776,4526,4636,8804,6438,6863
CST11,0,0,0,0,0,0
STK35,1326,1588,1306,2491,2075,2109
SNRPB,13065,16455,14943,27404,22030,22721
NRSN2,1732,2303,2012,4537,3865,4005
AP5S1,491,672,576,1467,1066,1201
RRBP1,6426,7665,7290,14195,11714,11397
BMP2,248,324,275,528,415,456
ZNF133,252,298,231,751,612,639
FLRT3,1251,1598,1323,2616,1893,1961
OVOL2,0,1,0,20,9,14
PCSK2,19,19,40,15,19,11
GFRA4,0,0,0,0,0,0
MKKS,1263,1628,1294,2857,2086,2202
BFSP1,222,294,204,448,271,278
DSTN,6912,8864,7905,13222,10140,10884
LAMP5,0,0,0,0,0,1
SNRPB2,10675,13647,12289,16993,13539,14022
MGME1,1040,1339,1185,2072,1598,1676
LRRN4,2,0,0,4,3,3
TBC1D20,875,1074,935,1793,1485,1582
ITPA,2216,2878,2599,5056,3942,4034
TCF15,15,10,10,49,66,67
OTOR,0,0,2,0,0,0
MCM8,2074,2469,2247,5002,3903,3957
BANF2,0,0,0,0,0,0
TMEM74B,18,5,5,4,6,10
FAM110A,186,247,210,441,369,351
SIRPD,0,2,0,3,3,0
MRPS26,2520,3260,2877,6350,5144,5297
DEFB129,0,0,0,0,0,0
S1PR4,11,20,13,30,24,33
NCLN,6832,8962,8023,9254,7195,7353
CITED1,61,81,82,67,54,79
MAX,2431,2920,2851,3027,2103,2172
CHURC1-FNTB,0,65,51,22,24,62
ARMCX5,428,590,615,766,660,640
GDF5,1,0,0,1,0,0
MMP24,35,37,42,41,42,26
NECAB3,486,653,540,1247,1194,1184
ID1,1767,2078,1873,3728,2997,3193
RALY,5323,6606,5616,10535,8724,9054
DYNLRB1,4351,5470,5113,7668,6185,6288
C20orf173,0,0,0,0,0,0
EIF2S2,6646,8398,7575,16081,12625,13170
ERGIC3,6046,7960,7150,9645,7759,8223
ROMO1,3224,4148,3724,5790,5058,4897
BPIFB9P,0,1,0,0,2,0
FAM83C,2,1,1,1,0,0
BPIFB1,8,14,23,16,15,9
CEP250,3470,4370,3462,5577,5138,4361
PLAGL2,1080,1344,1118,1898,1466,1456
MMP24OS,1390,1758,1314,2118,1762,1876
GRPR,3,6,7,11,4,10
KDM5C,8145,10671,8705,12225,9987,10632
AMOT,2435,3130,2952,3368,2505,2623
TMEM115,2533,3058,2915,3625,2892,3108
PSMB2,9705,11806,10438,12379,9986,10521
AGO3,1051,1514,1331,1643,1203,1177
UROD,2930,3855,3628,4460,3601,3903
ST3GAL3,371,432,412,566,441,561
TMEM53,503,644,543,923,724,675
HECTD3,1652,2145,2265,2413,2283,2237
KLC1,3768,4575,4116,4613,4069,4097
XRCC3,1094,1248,1236,1897,1648,1595
TUBGCP3,2996,4027,3538,4435,4000,3988
MCF2L,1796,2274,2142,1782,1478,1675
F10,0,4,10,7,3,6
PCID2,2781,3450,2932,4729,3614,3737
PROZ,6,6,7,1,3,8
SLURP1,0,0,0,0,0,0
LRFN3,754,1078,702,913,730,842
IGFLR1,148,220,186,212,213,311
CAPNS1,8049,10047,8712,11729,9652,10242
PDCD2L,887,1055,878,1046,831,751
GPR42,0,0,0,0,0,0
RBM42,4654,5773,5055,6482,5088,5465
KIRREL2,18,17,10,4,4,4
UBA2,12591,15536,12919,12662,10446,11189
FFAR2,0,0,1,0,0,0
HCST,2,2,11,3,6,2
FFAR1,1,0,0,1,0,0
COX6B1,5311,6821,6142,7856,6640,6760
KRT36,0,0,0,0,0,0
THRA,2161,2608,2532,3036,2494,2650
CCR7,1,1,0,2,0,0
NR1D1,684,913,685,1245,965,1073
FRMD8,3822,4669,4527,3789,2820,3092
PRDX5,9195,11524,10699,14210,11831,12283
BCL2L12,1717,2058,1897,1981,1781,1730
IRF3,2074,2414,2286,2903,2744,2776
PRMT1,14465,18027,16375,18880,15487,16005
RRAS,568,686,610,1023,920,970
PRRG2,33,76,45,58,42,53
SCAF1,8766,10399,9435,12459,9700,10046
PRR12,4796,6117,5257,6656,5565,5202
TSKS,0,0,0,0,0,0
FLRT1,247,285,242,268,221,251
ASL,1252,1325,1258,1912,1712,1683
SBDS,3922,5030,4390,5409,4161,4190
CSN1S1,0,0,0,0,0,0
STAT5A,794,933,913,1587,1258,1259
WNK4,4914,5998,5091,5070,4064,4032
BECN1,3531,4982,4109,4592,3839,3896
PRKCG,5,0,2,9,1,1
TRAP1,10070,12937,11018,15699,12761,13191
GLIS2,250,273,204,203,254,291
NSRP1,2258,2714,2554,2908,2489,2444
DNAJC8,5249,6671,6045,7276,5720,5870
AHDC1,2505,2882,2651,2729,2381,2616
IFI6,668,803,759,1176,938,995
DACH2,1,0,0,0,0,0
ZNF384,2884,3460,2999,3473,2853,3076
EMG1,2497,3400,3135,3939,2999,3257
SSX1,4,2,3,323,228,267
UXT,1854,2372,2217,2877,2496,2461
CFP,22,10,6,7,9,21
ELK1,3543,4264,3748,4565,3754,4014
TIMM17B,2587,3387,3042,3702,3095,3408
PCNX4,2008,2858,2319,1594,1547,1616
ATG14,471,573,502,565,478,444
KTN1,6560,8139,7074,9696,7411,7765
SIX1,914,989,1061,1244,935,894
RHOJ,395,391,300,253,237,158
DLGAP5,2729,3430,2946,3486,2639,2888
L3HYPDH,376,463,374,473,363,384
HSPA2,594,716,635,804,683,697
ZBTB1,894,887,816,837,715,828
TRMT5,605,988,1083,1114,780,838
SGPP1,418,531,406,632,480,590
PLEKHG3,695,883,735,980,817,829
PZP,0,0,0,1,0,0
PRDM7,6,4,2,2,18,4
RHOT1,1561,1903,1650,2239,1721,1840
EVI2A,23,19,18,21,20,23
OMG,5,1,6,2,4,1
DYNC2I1,702,932,819,1013,736,827
AIF1L,2068,2638,2235,3366,2750,2928
FAM78A,1258,1685,1431,1765,1466,1556
NUP214,4518,5999,5699,7593,5316,5287
CTAG2,0,9,7,12,5,3
AVPR2,84,89,55,63,45,38
SLC10A3,1253,1643,1368,1824,1376,1398
MAP2K2,5143,6341,5663,7240,5856,6072
HNRNPH2,3470,4466,4000,4171,3359,3443
ARMCX1,1,0,1,1,2,0
TMEM35A,0,0,0,2,0,2
NXF5,1,0,0,1,0,0
TIMM8A,790,994,847,1164,967,930
ZC4H2,473,614,492,759,503,591
CANX,29068,36294,28963,28863,22656,24367
INTS11,4824,5550,4987,6211,5126,5632
RGS13,1,1,1,0,0,0
IPPK,1504,2126,1901,2271,1773,1917
ZNF484,228,242,227,320,281,262
OMD,2,1,1,0,1,2
FGD3,59,82,67,84,85,80
HIVEP3,4058,5455,4461,5487,4169,4251
PPCS,971,1175,1002,1276,1095,1064
EDN2,0,8,0,0,0,2
BCL11B,14,11,4,2,1,0
COX7C,6804,8801,7932,10429,8692,8950
TRAF2,1045,1377,1174,1661,1382,1424
ABHD8,820,1099,901,1499,1403,1342
MASP1,1,0,2,11,0,2
ATP13A4,0,0,0,3,0,7
PLAAT1,75,92,91,3,4,3
HELB,305,315,344,591,474,427
RAP1B,4304,4964,4591,7792,6167,6012
IL22,0,0,0,0,0,0
TSPAN8,0,0,0,2,2,3
BEST3,7,5,6,6,9,8
RAB3IP,198,328,216,560,540,647
PTPRB,1,39,4,90,24,40
DYRK2,1932,2337,2280,3284,2601,2503
YEATS4,900,1087,1064,1932,1544,1689
TAS2R3,1,3,0,0,0,0
TAS2R4,11,6,5,6,6,5
TAS2R5,4,4,3,11,5,4
CRYGN,0,0,2,0,2,0
LRRC61,0,0,0,0,0,0
TRPV5,0,0,0,0,0,1
IDUA,231,356,267,331,371,349
FGFRL1,7248,9035,7664,8955,6985,7671
TMEM175,657,710,610,983,766,878
AUNIP,527,678,594,739,591,674
PIN1,3564,4385,4226,4225,3616,3605
FBXL12,886,1084,975,1128,879,951
EMC1,6298,5292,5017,5731,5055,4737
PLA2G5,0,0,1,0,0,0
UBR4,9278,11785,10194,12355,10645,8786
HP1BP3,6274,7474,7144,7965,6433,6835
ADGRE2,192,164,131,257,183,217
SIN3B,3325,4017,3450,4713,3987,3960
OR7A10,0,0,0,0,0,0
SLC35E1,4988,5956,5337,6415,4989,5178
EPS15L1,2691,3194,3247,3755,2886,3037
KLF2,236,251,278,379,305,339
OR7C2,0,0,0,0,0,0
OR7C1,0,0,0,2,0,0
F2RL3,0,0,0,2,2,0
UQCR11,3290,3915,3996,4527,3933,4060
GFER,1263,1671,1347,2011,1657,1845
SYNGR3,72,101,96,70,64,74
PKMYT1,2635,2913,2649,3297,2729,2650
WFIKKN1,18,12,6,10,9,15
WDR24,921,1102,883,1513,1193,1264
FBXL16,95,68,70,24,9,17
CHTF18,2207,2610,2334,3054,2866,2973
GNG13,5,9,3,1,2,1
