gene_name,Jurkat_ctrl_repl.1,Jurkat_ctrl_repl.2,Jurkat_ctrl_repl.3,Jurkat_SIX6_KO_repl.1,Jurkat_SIX6_KO_repl.2,Jurkat_SIX6_KO_repl.3
KEAP1,3029,2822,2965,4052,3170,2874
DDX43,13,9,18,40,61,33
PTPRH,0,0,1,0,1,9
DCT,5,3,3,5,9,16
SLC35C2,1400,1242,1344,4522,3940,2814
CRYBG3,835,701,1018,1188,1175,956
EPHA6,0,0,0,0,0,0
SCTR,0,0,0,0,0,0
RFX3,546,394,562,1263,1250,858
RIF1,4890,4199,5043,4573,3494,3292
RAB21,3426,3399,3314,3956,3417,2639
SLC4A4,977,826,1023,1120,1123,776
SMARCA2,2461,2270,2396,3566,2967,2437
RDH8,0,0,0,0,0,0
SESN1,568,535,625,813,580,535
MID2,0,0,0,0,0,0
DNAAF6,1,0,0,0,1,0
COL5A3,2,0,0,0,4,0
SRCAP,2732,2516,2430,4551,3508,3136
PUM3,1795,1875,1875,2049,1345,1614
CPB2,56,57,59,38,30,42
CHRNA3,583,568,775,989,880,769
KCNN2,200,172,207,233,192,167
CNOT4,700,579,762,1101,1033,893
PSEN1,1740,1764,2079,3446,2811,2067
CPOX,2322,1941,2287,3158,2463,2102
CLDND1,3596,3357,3663,6076,4897,3879
MOK,178,160,258,297,264,219
HSP90AA1,156622,147555,162454,78085,58646,79060
RBL1,2077,2038,2085,3092,1914,2035
DLGAP4,948,819,944,3412,3834,2577
IGSF9B,397,277,628,747,411,697
CFHR2,0,0,0,0,0,0
CROCCP3,109,218,195,444,484,301
NDC80,2060,1925,2416,2676,1829,1423
AP4E1,1304,1166,1431,1471,1354,1199
RSBN1,1392,1244,1425,2649,2570,1901
MAGI3,529,488,635,1019,787,651
CXCL2,0,0,0,0,0,0
AFP,0,0,0,0,0,0
COL4A4,12,2,11,7,9,5
TCF7,14937,14599,15447,36794,33294,27871
OSTM1,1896,1776,1822,2544,2237,1694
CDH7,0,1,2,1,1,1
IMPG2,4,5,4,4,7,9
PCNP,6708,6195,6954,8693,7185,6122
EXD2,553,387,471,908,664,505
ARG2,814,745,868,792,703,606
MEF2C,80,1,39,4,3,3
PTPRC,9048,8374,9407,24867,25544,17548
CACNA1S,0,0,0,0,0,0
PKP1,318,317,347,8,6,16
UBA5,2293,2328,2246,2642,2159,1982
STK17B,3314,3011,3581,8783,7756,5458
CDC14B,7,7,17,26,17,9
ZNF510,791,635,835,1718,1345,1248
LRP2,130,47,49,4,33,3
ZNF506,310,191,268,628,538,466
JMJD4,910,845,838,1497,1121,1106
DUSP12,907,869,857,1647,1276,1067
AACS,830,774,800,1274,1089,943
DELE1,536,505,521,982,636,604
SLC13A1,0,0,2,0,2,0
CADPS2,0,0,0,0,0,0
PCDHB4,8,3,7,6,8,6
PCDHA6,0,0,0,2,0,4
PCDHGA2,0,0,0,0,0,1
HSPB11,1241,1200,1391,1123,988,906
PHLPP1,614,531,592,800,633,515
ATP8B1,4,5,4,5,5,4
IL12RB2,12,4,0,3,9,4
SMARCD3,1251,1143,1267,3126,2912,2089
WDR70,1452,1155,1580,2103,2016,1548
FYB1,9387,8686,10071,27506,28132,19940
MPP4,5,4,3,13,8,16
STRADB,1203,1181,1388,1926,2043,1364
BZW1,11862,10552,11319,17729,14477,13206
PGR,0,0,0,0,0,0
C1QTNF3,94,98,92,156,142,165
ME2,8496,7781,8622,10806,8984,8356
C5orf22,1913,1887,1893,3556,2939,2169
CCNT2,1615,1841,1938,2692,2298,1763
FAM135A,876,789,797,1333,1289,1139
COL19A1,0,0,0,0,0,0
EPB41L3,0,4,0,0,0,0
COBLL1,1027,879,1021,1713,1552,1128
DLG3,1584,1709,1694,3554,3179,2158
KCNK2,0,0,0,0,0,0
TRAF5,2266,2057,2367,4234,3678,2808
MRPL22,1329,1426,1391,2339,1710,1507
GEMIN5,1333,1254,1504,1618,1199,1349
OPRK1,0,6,3,4,5,3
NFE2L1,8306,8378,7508,11790,8577,7898
SEMA5B,5,2,8,0,0,0
GSK3B,5284,4755,5442,7247,7169,6065
ITGB5,8,7,4,6,7,5
XPO1,14379,13746,15334,17264,13684,13804
LINC01587,0,0,0,0,1,0
RNF13,1020,1043,988,2100,1741,1464
TRPM3,29,21,26,46,35,32
PALB2,1127,962,965,1107,1037,869
DOP1A,648,567,649,1302,856,709
LYRM2,1621,1733,1755,2381,2365,1949
BCKDHB,1588,1355,1549,2367,1806,1499
KAT6A,4187,3913,4286,5981,5439,3971
TUT7,1140,1165,1536,1881,1793,1401
ULK2,3,12,5,6,4,7
GRHL2,0,0,0,3,0,0
TNPO1,8243,6806,7240,8981,7091,7067
PLOD1,876,947,980,1146,973,842
P2RX5,2153,1869,2151,2420,2487,1965
ITGAE,1152,1103,1133,1173,908,827
DIS3,2776,2426,3024,3450,2746,2659
PIBF1,705,598,775,955,914,746
TDRD3,879,741,834,1496,1299,1008
NUFIP1,719,666,775,961,758,759
PDS5B,2549,1661,2375,2275,2024,1874
OXCT1,7195,6775,7449,8151,6675,6074
RRAGB,255,227,332,514,402,286
EPYC,0,0,0,0,0,0
CYLD,1403,1255,1437,2010,1856,1478
SLC27A5,506,471,431,618,460,455
ZNF324,567,554,495,1038,850,752
ZNF671,245,294,271,720,460,333
ZNF416,167,160,219,383,315,248
ZNF586,311,240,306,587,516,376
ZNF446,341,313,338,756,681,611
ZNF264,1216,899,1402,3648,3072,2230
RPS5,17537,16039,17250,32193,26579,21645
FAT1,4998,4355,4478,5334,5077,3596
YTHDC1,3509,3235,3654,4837,4417,3691
CHMP2B,1462,1419,1802,2137,1792,1487
SMAP2,2284,2137,2316,3099,2861,2027
PPIE,2770,2591,2852,4435,3501,2814
ZMPSTE24,3204,3084,3686,4105,3225,3109
STARD7,10219,8914,9959,10372,8376,8354
NOA1,1225,1131,1288,2403,1993,1668
REST,2245,2250,2480,4676,4366,3138
HAL,67,58,63,216,287,244
SSH1,1506,1497,1747,3122,2316,1862
GSTP1,17665,17221,18241,23843,17379,16904
APLP2,5447,5164,5974,8872,7395,6131
FAM234B,1085,1021,1107,1708,1440,1139
SLCO1A2,7,4,3,48,10,19
WBP11,5026,5783,5076,6464,5636,4716
EIF3I,9335,8561,9115,10075,7420,7637
NKAIN1,9,1,3,9,8,9
COL16A1,31,28,43,170,158,87
TXLNA,6830,6482,7067,9226,7971,6976
APOB,0,0,0,0,0,0
NCOA1,1374,1182,1484,1978,1798,1457
AGBL5,1902,2023,2030,4184,3636,2701
EFR3B,196,205,188,107,110,75
KIF3C,721,830,645,2026,1786,1218
RAB10,6857,6459,6629,9591,7856,6433
GCKR,3,7,3,3,2,3
HADHA,6115,5464,6332,9271,8314,6649
MAPRE3,128,136,128,167,185,160
CAD,8706,6201,7250,9091,7136,7622
CD59,2375,2407,2535,3013,2506,1973
CD82,3069,2999,2811,2649,2740,1838
BCORL1,1284,1045,1161,2130,2160,1525
ATRX,3269,3267,3702,5217,5245,3888
AK6,1227,1319,1121,983,687,796
FCN1,0,0,0,0,0,0
MYNN,954,959,1004,1629,1357,1127
MECOM,0,5,0,0,0,0
SCAMP1,1842,1862,2065,3503,2871,2341
PREP,2688,2360,2554,4279,3409,2961
HACE1,1367,1260,1398,2983,2837,1994
SEH1L,6021,5492,6587,7798,5441,5982
WDR47,959,890,967,1583,1380,1209
WDFY1,2189,1867,2203,3525,3279,2302
OVGP1,126,96,116,216,236,133
SLC25A24,1749,1662,1802,3675,3140,2525
MAP3K4,1770,1336,2209,2804,2334,2231
PILRA,53,69,67,168,190,104
IGSF9,10,7,12,8,12,10
ABCB1,0,3,1,0,0,0
ZNF213,424,428,399,1290,1055,752
AKR1B1,4156,3914,4180,7779,6013,5130
CPNE3,1664,1696,4248,2365,1838,2067
CTTN,205,143,185,333,286,197
WNT11,4,0,0,3,3,6
MTIF2,1770,1625,1939,2281,1716,1559
DDHD2,2554,2871,2606,5491,4892,3846
TTC39A,9,24,7,2,17,2
EPS15,3074,3091,3218,4742,4009,3208
ORC1,1501,1322,1572,1581,1101,1112
MGST2,1,3,3,1,3,4
CHERP,2639,2481,2898,4847,3972,3543
USP40,603,391,500,675,540,527
POMGNT1,2622,2502,2697,4712,3589,3163
RAD54L,3644,3520,3997,4183,3258,2739
MAST2,1699,1296,1525,2996,2025,2105
DNAJA1,15538,15062,16539,13151,11320,12561
B4GALT1,2026,1849,2040,2711,2078,1827
CHMP5,2197,1978,2300,3645,3219,2535
NFX1,2196,1994,2294,3189,2811,2649
AQP6,9,18,22,41,14,34
DIMT1,3290,3040,3184,4346,3412,3216
IPO11,2261,2288,2281,2402,1893,1929
FOLH1,0,1,0,0,0,0
EIF2AK1,7054,5856,6934,14282,10485,8705
NME8,0,0,1,0,0,0
EPDR1,2903,2782,2923,4590,3580,3091
SNX10,2489,2033,2379,2876,2302,1967
SEPHS1,7076,6802,7479,11160,8681,8055
MRPL28,2237,2068,2321,4327,3478,2854
HBQ1,186,129,146,284,165,187
ITPKC,309,288,277,655,480,484
CEACAM6,0,0,0,0,0,0
FAT2,18,7,12,39,29,20
RBM22,1835,1778,1997,3458,3089,2480
TMED2,9270,8678,9315,10811,8877,8268
ERO1B,530,537,624,1212,1092,790
ZFAND6,2057,1702,2301,3747,3097,2498
HSD17B2,4,0,4,12,2,4
TXLNG,2145,1981,2240,2472,1968,2253
PPEF1,4,4,4,21,39,46
LAT2,43,57,63,57,48,57
HUWE1,7601,6168,6525,8006,8241,6308
ZW10,1980,1974,2099,2594,1997,1840
ALG9,1269,1133,1266,2388,1830,1496
MYBPC2,0,1,0,1,13,1
NOX4,0,0,0,0,0,0
ACOX3,597,474,628,1281,931,868
MTMR2,3058,2993,3305,4547,3878,3386
PPP1R15A,578,655,587,2024,2151,1141
HSD17B14,88,73,82,306,323,176
TRIP6,965,841,855,1628,1209,1105
ACHE,4,7,9,1,6,17
FTL,17686,16563,17587,30758,24533,21737
SRRT,7691,6912,8090,8550,7385,7540
BAX,1328,1395,1624,2729,1966,1671
NLK,1829,1706,1900,4048,3742,2619
PIGS,1812,1384,1861,3625,3250,2264
ADAMTS2,1,3,3,0,1,0
TMPRSS11E,0,0,0,0,0,0
ATXN7L3,3057,3201,3153,6341,5132,4705
PGS1,1193,1132,1263,2131,1730,1503
PSMC5,6203,6335,6351,5881,4393,4355
UIMC1,1288,1200,1470,2408,1944,1695
CETP,0,0,2,0,1,1
MMP2,2,6,3,4,4,4
MT3,15,9,20,48,34,29
LPCAT2,0,2,4,2,2,5
GNAO1,1180,1135,1238,1938,1840,1558
OGFOD1,2412,2475,2561,3269,2524,2718
SH3BP2,2511,2300,2508,3400,2757,2393
NOP14,5521,5050,5812,5421,4041,4798
ADD1,6064,6206,6332,10814,9740,7306
L2HGDH,1853,1920,1924,2128,1611,1671
TXNDC16,798,595,774,1319,1223,885
RTRAF,5871,6006,5335,6896,6033,4993
NID2,53,38,77,93,114,143
GMCL1,2832,2697,3049,5480,4497,3763
SF3B2,11123,10419,11687,15319,13252,10992
KLHL42,2124,1896,2050,2943,2377,2118
GNAS,28264,26126,28474,68754,60767,47097
DNM1L,3053,2914,3776,5387,3577,3608
PTHLH,10,10,6,5,6,4
PHACTR3,24,22,21,52,57,61
ERGIC2,2032,2138,2290,2795,1936,1838
TFAP2C,328,345,388,34,26,13
AURKA,2666,2551,2661,6430,4709,3942
CASS4,2,7,16,26,26,29
PIR,0,0,1,0,0,1
AAMDC,167,179,187,291,277,231
RFX2,621,723,747,1509,1158,1062
METTL2A,1266,1190,1338,2005,1493,1414
SULT2B1,2,3,2,9,4,3
ALG6,988,935,1052,1378,1173,1040
CNOT3,2111,2106,2155,4377,4110,3205
GP6,0,3,0,8,10,2
PTPN4,997,1268,1161,2284,1470,1358
DDX18,6737,6081,7098,7635,5743,6469
KHSRP,11128,10664,11538,16994,13872,13248
GNA11,411,620,535,682,768,651
EDEM2,955,930,998,1959,1640,1256
DNMT3B,1353,1190,1280,3107,2504,1973
REM1,0,0,0,0,0,0
TPX2,9593,9263,10364,19666,16522,12937
FER1L4,41,30,12,58,85,62
PDRG1,1822,1645,1800,3556,2763,2389
EPB41L1,317,384,321,1024,1071,717
SLC15A1,1,2,3,10,7,8
DOCK9,1144,1028,952,2472,2706,1663
ANKRD10,2351,2128,2532,4241,3427,2853
TGDS,811,720,857,1155,877,840
DOCK3,529,495,494,118,129,91
C3orf18,302,287,344,562,445,382
COQ9,1342,1193,1296,1948,1628,1396
TMEM40,1,0,0,0,0,0
KIF9,198,213,240,297,235,183
ARHGAP28,224,158,173,5,13,15
CRLS1,1859,1871,2036,3784,3019,3242
DEFB127,0,0,0,0,0,0
PPP1R13B,685,585,729,944,977,642
ATRN,1540,1456,1583,3352,2704,2408
SMOX,1242,1190,1205,3217,2677,1963
SIGLEC1,0,0,0,4,1,1
FKBP1A,13792,12735,14434,27085,21807,20634
NSFL1C,3850,3748,3813,6627,5690,4870
SLC4A11,601,599,666,1035,856,873
C20orf194,406,351,369,986,855,679
ZNF343,693,708,694,1338,1188,910
EBF4,218,274,254,156,314,128
CPXM1,3154,3071,3196,9047,8352,6585
MAVS,5284,4962,5491,9814,8390,6784
LZTS3,303,308,264,533,492,436
F11,0,1,0,0,0,0
XRN2,5967,5431,6119,11160,9467,8437
KIZ,629,662,709,1947,1845,1300
DYNLL1,4780,4525,4964,5515,4619,4306
TESC,749,669,689,1362,980,821
SNX5,6122,5743,6633,9766,8200,7605
RPL6,44230,43481,45156,78182,66817,56949
SIRPG,377,379,449,1386,1253,787
MAPKAPK5,2212,2042,2146,3677,3145,2510
P2RX7,277,215,252,767,948,490
ESF1,2207,2125,2316,2611,1925,2274
RBBP9,1072,1118,1240,2723,2356,2055
ANAPC5,7005,6374,7307,9790,7519,6800
SLC23A2,2371,2160,2432,4950,3753,3578
SLC8B1,1494,1547,1738,2895,2274,1714
TMEM230,3540,3357,3632,7099,6282,5085
DZANK1,177,131,168,407,302,297
KDM2B,4062,3829,4352,6899,5632,5341
CFAP61,15,10,11,7,12,3
LHX5,0,0,0,0,0,0
TASP1,1057,1000,1132,1881,1402,1224
OAS1,270,290,311,192,222,151
GCN1,5225,4272,3757,6426,5610,4101
RPLP0,65229,64016,68583,163603,140914,106068
PXN,1507,1564,1525,2809,2287,1647
SIRT4,55,39,49,64,74,69
RPH3A,2,1,2,24,2,0
KIF16B,741,881,747,1438,1255,1027
TRMT6,1865,1890,1881,3681,2483,2647
CHGB,10,9,15,59,47,32
PEBP1,8613,8211,8766,10416,7981,8081
TBX5,0,0,0,0,0,0
BRAP,1296,1334,1526,2088,1635,1388
ERP29,3354,3651,3547,5326,4358,3335
NOS1,0,0,0,0,0,0
FUS,18912,18718,19285,19760,14583,17503
IGBP1,1394,1405,1384,2698,2551,1875
FXYD5,1111,1116,1200,2450,2116,1613
ZNF302,673,619,762,1238,1120,896
GRAMD1A,3219,3006,3317,9222,8226,6130
FXYD3,0,4,0,0,0,0
HEPH,32,11,28,33,38,42
CDIP1,952,921,965,2309,1626,1643
CMTM1,172,143,198,274,306,216
KCNH4,128,122,115,182,97,131
GANAB,11594,10301,11789,22071,21175,15135
GMIP,930,883,971,2053,1987,1505
RBM41,515,483,462,645,586,476
BIRC5,4909,4280,5145,6571,4991,4340
LAG3,21,19,20,13,5,4
MLF2,5458,5502,5719,6319,5176,4275
OTUB2,194,154,201,252,243,158
DDX24,71,125,88,114,83,94
ZBTB25,1008,969,1228,1845,1761,1288
NECAP1,1254,1184,1245,1972,1514,1286
ARHGAP4,4492,3948,4371,8926,7548,5368
ANKRD24,8,12,25,40,57,24
DHX32,8,6,3,15,31,7
RCOR1,3338,2886,3303,4498,3782,3028
GPATCH2L,2774,2757,2668,5026,2963,2962
LTBP4,1810,1966,1926,3612,3540,2559
BLVRB,333,252,263,360,281,203
SLC9A1,737,777,729,1366,1145,982
SPTLC1,2055,1796,2010,3434,2936,2427
PAPOLA,6670,6412,6371,8271,7540,6188
CCNK,3343,3136,3165,5319,4869,3926
PCBP4,1108,1048,1104,2199,1805,1514
RGS1,0,1,0,2,0,0
YPEL3,19,10,5,20,15,8
MRPS33,1068,1046,982,896,807,757
NDUFB2,2333,2045,2375,2929,1999,2048
NUDC,10454,10157,10660,10039,7796,8378
MAEA,2341,2206,2281,3258,2549,2492
ICAM1,408,383,422,809,857,559
STRN4,2866,3082,3029,6130,5478,4363
IRAK3,3,0,7,2,2,2
LYZ,47,15,28,53,44,36
SI,0,0,0,0,0,0
MUL1,870,758,774,1449,1201,992
TFAP4,1163,1175,1139,1985,1360,1395
PDCD7,2209,1897,2142,3600,3089,2607
SPG21,3447,3087,3437,5287,3982,3601
FETUB,0,0,1,1,1,0
DNAJB11,2712,2721,2851,3890,3025,2627
P3H2,0,0,0,0,0,1
THPO,0,0,0,3,1,2
CHRD,0,0,0,1,4,0
FLT3LG,134,109,104,184,155,110
RAB11FIP3,16,10,29,33,13,18
GNPTG,667,542,685,931,763,520
ZNF268,297,447,721,15,19,18
GOLGA3,3768,2928,2843,5157,4119,3483
PABPC4,9501,8804,9516,13067,10363,9134
CD209,0,0,0,3,0,1
CERS4,612,577,543,1823,1764,1153
MCOLN1,693,679,796,1051,867,852
USP48,2547,2295,2546,3666,3182,2868
EFNB1,434,423,391,890,710,626
PDPR,3274,2632,3213,5122,4736,3744
AARS1,9408,8329,9356,20909,19809,13943
GLG1,5253,4372,4698,8439,8699,5674
KIF4A,1978,1897,2155,3171,2501,2064
TNRC6A,2132,2044,2034,3323,3016,2042
PLEKHG2,1597,1353,1242,3148,4099,2232
DLL3,586,546,486,949,724,681
NAT14,972,897,1048,2029,1657,1371
PITPNM2,3554,3134,3467,2924,2669,2215
EXOC1,1011,952,1058,1946,1730,1288
RBM27,2474,2148,2505,2804,2134,1782
POU4F3,2,0,1,0,0,0
OSBPL8,4176,4106,4597,6691,6447,5195
DTX2,585,569,638,1360,1054,842
NLRC4,5,9,2,10,7,12
PUS7,1904,1867,1804,1869,1240,1597
LAMB4,19,19,22,49,20,21
NRCAM,59,24,34,22,21,16
LAMB1,1180,1075,1218,1928,2043,1253
SLC26A4,45,33,39,73,65,83
SLC26A3,0,0,0,0,0,0
DLD,4311,4073,4591,6333,5114,4775
WDR7,651,621,810,1045,853,809
TXNL1,2975,2742,3137,3576,2668,2470
IL5RA,0,0,0,1,3,0
ABCC6,8,7,11,5,2,13
CMTM6,5843,5290,5889,9283,7784,6610
ITGA6,1914,1705,1809,4777,3831,2655
RAPGEF4,336,300,307,239,184,210
MAP3K20,4935,4446,5054,6264,4823,4400
SMPX,0,0,0,0,0,0
FH,3521,3292,3581,4246,3338,3191
SEL1L3,956,880,831,1015,933,638
TF,3,10,6,13,19,5
CDV3,9896,9440,10428,12407,10738,10375
MYO15A,2,1,0,16,1,15
ALKBH5,4579,4430,4659,7776,6097,5158
APOH,0,0,0,0,0,0
NLRP1,427,277,390,1781,1824,994
PITPNM3,26,39,31,101,162,94
SPAG7,1255,1179,1227,2095,1795,1367
ORC6,2941,2755,2907,3571,2346,2454
ZFHX4,0,0,0,9,1,1
SLC17A6,0,0,0,0,0,0
CPA1,0,1,0,0,0,0
ZC3HC1,1034,1106,1170,1568,1276,1135
ESR1,2,2,1,8,2,3
RGS17,61,63,64,48,30,21
ANGPT2,13,6,2,11,5,6
TMEM101,1370,1338,1506,2627,2233,1837
CD200,0,0,0,0,11,0
CCDC80,9,15,4,5,0,1
CMA1,15,4,6,4,4,1
PSME1,6853,6427,7205,8388,6618,6094
PPP2R3C,1211,1071,1169,2106,1945,1491
HAUS4,2145,1798,1998,3868,3207,2331
JPH4,4,4,4,6,3,1
MYH7,0,0,0,1,2,0
CEBPE,2192,2145,2395,3619,4071,2602
SLC7A8,134,140,192,46,41,22
OSGEP,1340,1396,1459,2430,1907,1745
SLC22A17,13,16,38,54,66,52
RNF31,1533,1419,1488,2398,2346,2052
SCFD1,1660,1475,1638,1891,1476,1405
G2E3,1542,1512,1938,2341,2046,1761
HECTD1,4464,3929,4513,5387,4410,4126
HNRNPC,29366,29098,31189,33365,26130,23946
RPGRIP1,4,3,11,5,8,8
SUPT16H,18440,17183,19393,20388,16218,16233
TOX4,2436,2349,2496,4596,4070,3503
GEMIN2,576,534,627,884,778,703
TGM1,113,53,46,125,45,73
TINF2,1682,1665,1749,3178,2499,2089
DAZL,0,1,0,0,1,0
TBL1Y,20,24,29,1,1,0
SEMA6A,43,16,21,21,46,17
TRPM7,4296,3979,4566,5407,4275,3948
TYRO3,1219,1046,1127,1299,1224,1196
WDR76,3565,3575,4081,4592,3375,3173
CAPN3,28,25,60,76,50,66
SNAP23,2456,2270,3075,3785,2959,2337
TBX15,0,0,0,0,1,0
PHGDH,14449,13582,14720,24094,17855,17160
COL9A3,344,346,308,581,613,406
EZR,7306,6978,7522,11858,10185,8573
MYL6,9338,8995,9094,7766,6238,6116
AGO1,3003,2853,2851,4943,3723,3605
TEKT2,2,2,4,5,4,3
CLSPN,3292,2889,3328,3201,2294,2366
RFFL,865,715,861,1843,1165,828
UNC13D,3814,3745,4601,6422,5169,4530
MFSD11,639,537,645,1107,1129,751
DPYSL2,3929,3414,3706,8173,8434,5122
TGFB2,3,0,6,2,10,0
GPATCH2,914,823,938,1343,1111,866
NUP50,7680,7409,7893,13461,10005,8502
CDC45,4400,4065,5025,4737,3143,3289
COMT,2653,2394,2523,5405,4298,3666
ADA2,754,760,797,1946,1815,1277
VNN3,0,1,0,0,0,0
ECHDC1,2709,2713,2942,3732,2905,3003
LRRFIP2,2342,2266,2379,3132,2765,2174
SEC22C,2097,1849,1983,3848,3183,2256
XYLB,1041,971,1024,1155,981,807
HDAC6,2355,1808,2231,5180,5284,3706
OR1I1,0,0,0,0,0,0
GABRP,3,7,4,12,14,9
KRT31,0,0,0,0,0,0
CDC6,4486,4371,4246,4012,2875,3084
UPRT,556,507,593,872,803,668
CDC23,2916,2636,2905,4115,3414,3001
AAAS,1778,1779,1800,3569,3044,2347
CBX5,14916,13696,14893,16867,14597,12624
FMO2,0,0,0,0,0,0
SUCO,1953,1637,1942,3131,2795,2460
MSH2,244,253,277,369,274,251
MAP3K1,1280,1135,1393,2730,2298,1699
DHPS,3369,3152,3362,6265,5286,4231
HOOK2,607,630,727,1123,1099,783
NXPE1,0,0,0,3,0,0
ARCN1,7159,7279,7632,10121,8977,6949
EPB41L4B,676,684,817,1382,1086,989
TMEM38B,2146,1717,1959,2975,2428,2251
PSMD5,2112,1964,2172,2252,2142,1903
PTGS1,56,63,63,56,52,77
NUP188,8270,7325,8302,9891,8569,7731
CRAT,533,477,504,929,852,590
SH2D3C,387,336,338,1547,1825,879
NANS,1473,1405,1447,1522,1106,1253
TBC1D2,118,91,124,189,201,124
WHRN,180,211,169,104,135,76
PDE6C,3,11,1,3,2,3
CWF19L1,1887,1725,1860,3099,2296,2044
SEMA4G,203,137,167,364,269,216
BTAF1,4461,3923,4448,6728,6223,5032
IKZF5,948,1021,1000,1761,1428,1132
BLNK,5,4,4,27,16,20
TLL2,39,10,30,70,38,70
CYP26A1,152,106,165,288,217,226
TDRD1,0,0,0,0,0,0
SORBS1,120,120,128,114,72,92
CRTAC1,0,0,0,0,0,0
BAMBI,158,122,148,3,1,4
IL11,7,4,6,13,3,7
MYO3A,0,2,3,0,0,0
WAC,6542,5684,6513,11198,9383,7048
CREM,645,527,559,1005,811,772
NUBP2,2544,2443,2562,4568,3404,3059
TPSD1,0,0,0,0,0,0
SMIM24,764,849,788,1459,1721,1227
HIVEP1,341,208,519,498,543,393
TREM2,0,0,0,0,0,0
KCNK16,1,0,0,3,0,0
CRISP3,0,0,0,0,0,0
FKBP5,5541,5238,5548,6493,4739,4861
SRPK1,9430,9682,10545,13792,10806,10480
BRPF3,1047,1138,1132,2106,2004,1543
MRPS18A,1344,1156,1168,2371,1830,1572
PGC,2,0,3,1,3,0
TMEM14A,686,627,740,694,488,511
EFHC1,325,417,335,369,316,272
RPS18,0,17,0,0,0,0
BAG6,62,106,14,0,167,47
VARS1,2350,2262,2417,3079,2489,2781
NCR2,17,11,16,11,12,5
HSP90AB1,83496,76370,86403,67141,50268,59194
MLN,0,0,0,0,0,0
CDC5L,2924,2700,3016,3809,3310,2815
ITPR3,3323,2890,3167,4857,4089,3768
ZNF184,912,816,1053,1836,1559,1233
DSP,0,1,0,0,0,0
SIRT1,1293,1140,1344,2324,2088,1748
HNRNPH3,8622,8865,9247,12682,10594,9572
IFT74,25,19,37,25,4,7
JAK2,509,607,611,1188,1282,744
IL12RB1,236,310,247,311,298,181
ABL1,4511,4326,4456,8259,7769,5932
ACOT7,4939,4599,4869,7414,5476,5549
SH3GLB1,3789,3645,3872,5014,4528,3749
CDC7,2446,2354,2710,3790,3036,2629
SYDE2,344,316,326,477,435,348
PCSK5,172,127,154,133,171,79
SCD,10280,9801,10424,32827,32810,20467
TMED1,605,493,572,766,672,576
ABLIM1,3623,3317,3609,8017,7999,5666
ERMP1,658,578,649,863,727,534
RAB18,1970,1894,2100,2246,2072,1527
NRP1,74,54,146,28,24,20
HSD17B7P2,51,31,55,117,136,75
PRTFDC1,218,190,215,165,86,102
PALMD,1,0,0,0,0,0
TSPAN15,742,661,848,1154,1067,766
MACROH2A2,35,35,31,75,65,34
WASHC2A,1929,1700,1907,2305,2208,1893
MAST3,871,695,806,1283,1247,999
MZF1,427,391,446,1052,877,808
OCEL1,316,393,389,800,683,543
MYO9B,2976,2557,2920,5567,4324,3951
KCNK6,1045,889,913,1188,1034,927
CATSPERG,15,4,11,24,13,29
PSMD8,5797,5662,5939,8859,6609,5794
FBXL19,2361,2362,2284,4782,4086,3228
STX1B,7,6,5,24,19,9
HSD3B7,30,16,40,37,33,23
SETD1A,2079,2074,2145,3042,2466,2225
BCL7C,1200,1080,1109,1897,1515,1246
MAGEB2,0,0,0,0,0,0
EFNA2,0,0,3,2,1,0
CIRBP,6357,6455,6864,9225,7193,6173
ATP5F1D,2088,1953,2199,3941,2897,2388
CBARP,272,359,315,779,707,515
PCDH11Y,33,45,41,107,87,71
AMELY,0,0,0,1,2,0
PRKY,523,441,384,881,775,668
IGFALS,6,5,4,10,5,17
HNRNPM,14259,13467,14089,11823,9185,11401
MARCHF2,227,192,210,640,531,354
NDUFB7,1433,1425,1429,2416,1817,1523
TECR,4363,4246,4684,8318,6905,5817
TIMM13,3218,3151,2836,3598,2840,2702
CDC34,1469,1368,1375,2844,2325,1784
MTAP,33,23,33,50,32,26
MISP,4,3,4,11,3,2
CEP170B,61,65,66,0,3,0
POLR2E,2744,2723,2763,4632,3596,3197
POLRMT,4309,3636,3773,7182,5384,4970
HCN2,85,73,41,103,113,107
CDHR5,0,1,0,7,2,0
IZUMO4,120,95,81,201,171,122
RASSF7,621,592,574,989,832,626
GADD45B,250,214,239,501,303,251
PALM,471,599,477,825,865,520
MADCAM1,18,17,20,21,34,11
IGF2-AS,0,0,0,0,0,0
MKNK2,7425,6663,6748,10993,9923,7816
ARVCF,868,740,1028,1970,1526,1132
TRMT2A,2373,2015,2557,3277,2881,2611
RANBP1,12652,12503,12795,10963,7367,8814
ZDHHC8,1990,2049,1916,3154,2725,2354
KLHL22,470,436,389,719,669,522
MED15,2201,2074,2203,3842,3651,2845
SERPIND1,1,0,0,3,3,0
SNAP29,2392,2285,2187,2480,1898,1958
CRKL,6846,6345,6924,12413,10611,8267
LZTR1,2534,2022,2428,4382,3147,3334
MMP11,3,6,4,20,15,4
CECR2,24,30,31,51,45,30
SMARCB1,5588,5304,5584,10122,8845,7228
P2RX6,30,19,28,53,22,14
DERL3,76,94,96,305,204,124
SLC7A4,1,0,0,2,0,2
BCL2L13,2113,2145,2454,2566,2118,1954
DDT,858,847,890,1843,1460,1200
GSTT2,0,0,0,0,0,0
OSM,61,52,71,79,89,70
