gene_name,293T-1,293T-2,293T-3,YTHDF2_crispr-1,YTHDF2_crispr-2,YTHDF2_crispr-3
SLCO1B1,0,0,0,0,0,0
KLRD1,12,3,13,27,4,1
KLRC1,0,0,0,0,0,0
SPX,1,3,1,3,6,3
LRP4,7,15,5,7,15,5
MYBPC3,0,0,0,0,0,0
DDB2,0,0,1,0,0,2
ACP2,2,0,0,0,0,0
USP26,0,0,0,0,0,0
RTL8C,0,0,0,0,0,0
RAB33A,0,0,0,0,0,0
SOX3,0,0,0,0,0,0
RBMX2,11,28,26,61,49,40
STK26,146,267,242,372,248,255
FOLH1B,0,0,0,0,0,0
PIWIL4,1,0,0,1,1,0
MTNR1B,0,0,0,0,0,0
PUM1,75,142,160,195,149,151
SPOCD1,0,2,0,0,0,1
YARS1,93,105,48,180,97,93
PHC2,12,2,4,7,27,14
CDCA8,17,16,10,30,28,30
GNL2,6,48,13,42,20,28
AGO4,10,11,9,9,9,16
HOOK1,93,175,136,176,110,159
CYP2J2,0,5,0,3,1,3
BTF3L4,174,184,182,248,221,188
TUT4,59,161,83,86,89,135
PRPF38A,11,69,47,209,175,90
DSC2,38,43,36,75,64,51
DSG3,0,0,0,0,0,0
RNF138,199,398,341,733,469,519
ELP2,22,105,90,165,172,120
DSG1,0,0,0,0,0,0
DSC3,44,70,51,98,99,80
DSC1,0,0,0,0,0,0
DTNA,48,56,47,110,64,45
FHOD3,0,0,3,1,7,1
TPGS2,9,14,27,48,15,44
DAGLA,0,0,0,0,0,0
SLC43A3,0,0,1,5,0,0
TIMM10,2,2,5,5,5,14
CBLIF,0,0,0,0,0,0
DHX34,1,2,0,3,2,2
APLNR,0,0,0,0,0,0
FADS2,0,4,0,3,0,2
TMEM258,0,2,0,1,0,0
TCN1,0,0,0,0,0,0
C5AR2,0,0,0,0,0,1
TMEM165,15,41,48,105,93,75
CLOCK,16,27,15,23,32,29
PDGFRA,0,2,0,2,3,4
GGACT,1,0,0,3,1,0
COL4A2,0,0,3,11,4,4
CLDN10,0,0,0,0,0,0
DZIP1,52,130,79,123,110,138
UBAC2,17,21,23,83,77,46
ARGLU1,110,329,278,407,234,272
BIVM,29,72,38,64,70,82
ERCC5,0,7,3,0,13,8
TPP2,25,45,65,125,59,55
POGLUT2,0,7,9,15,18,8
CARS2,0,7,0,37,24,22
ARHGAP32,13,38,17,20,15,25
STT3A,45,44,44,57,40,36
ADAMTS8,0,0,0,0,0,0
ACRV1,4,0,0,0,0,0
ETS1,5,7,0,10,3,20
SLC37A2,4,2,2,0,0,1
KLB,0,0,0,0,0,0
TMED7,119,171,143,358,248,292
APC,13,12,21,78,41,109
NREP,10,5,9,60,47,42
WDR36,40,98,56,124,140,107
OSTF1,37,49,51,92,50,68
RFK,130,118,122,209,182,215
UBQLN1,200,216,211,453,294,319
NAA35,28,37,54,82,60,56
C9orf40,56,70,67,159,121,103
ANXA1,0,1,2,1,0,0
CTSL,9,20,17,65,35,38
CEMIP2,5,11,18,15,16,14
AGTPBP1,161,262,196,282,198,196
GOLM1,38,71,77,162,114,109
FAM189A2,0,0,0,0,0,1
PSAT1,139,195,145,196,119,136
ISCA1,21,30,12,58,39,63
ADAM19,6,3,3,7,2,3
HAVCR2,0,0,0,0,0,0
CCNJL,1,0,0,0,1,0
TAOK3,3,5,18,39,15,10
USP30,5,8,5,8,18,24
SDS,0,0,0,0,0,0
MSI1,17,26,48,31,31,12
HNF1A,0,0,0,0,0,0
FBXO21,29,42,56,138,63,92
TBX3,3,8,5,7,9,7
OASL,0,0,0,0,0,0
HRK,5,12,10,10,15,5
RNFT2,5,9,4,9,7,2
P2RX4,10,3,9,7,9,2
BICDL1,0,0,0,0,0,1
DTX1,0,0,0,0,0,0
TRAFD1,5,20,21,37,19,17
DMTF1,24,112,92,107,76,49
OCM2,0,0,0,0,0,0
TMEM243,6,16,24,27,28,26
CCDC146,0,7,5,7,3,3
TMEM60,3,5,2,4,3,6
CD36,0,2,0,0,0,0
UGT2A3,0,0,0,0,0,0
UGT2B28,0,0,0,0,0,0
PNPLA8,39,59,44,65,46,25
HILPDA,3,18,13,75,41,52
FAM71F1,0,0,0,0,0,0
RINT1,8,38,33,57,30,48
SRPK2,20,43,48,66,67,104
KCP,0,0,0,0,0,0
TES,25,37,35,26,37,32
MDFIC,48,61,40,104,93,87
MTO1,1,46,18,44,39,60
ADGRB3,3,1,3,9,8,2
ANKRD6,12,17,5,11,11,19
HTR1B,0,0,0,0,0,0
KHDC1,2,0,3,0,1,0
CEP162,3,6,8,33,8,28
SYNCRIP,187,258,263,488,379,361
SNX14,16,47,22,51,28,54
NT5E,0,0,0,0,0,0
MRAP2,1,1,3,5,0,3
EPHA7,9,38,26,52,43,34
AKIRIN2,17,39,32,53,53,57
ORC3,8,18,13,47,39,33
LCA5,8,13,10,17,7,11
MAP3K7,65,82,83,201,154,150
CGA,0,0,0,0,0,0
GJA10,0,0,0,0,0,0
PRR5L,2,4,2,10,7,6
LMO2,0,1,0,0,0,0
PHF21A,20,21,14,38,9,51
NAT10,5,8,10,21,8,20
EHF,0,0,0,0,0,0
ELF5,0,0,0,0,0,0
PRRG4,19,29,23,33,44,29
CAPRIN1,102,144,123,298,118,206
ATP5MC2,3,2,1,5,1,11
DNAJC14,1,6,8,12,6,8
CD63,45,16,18,87,44,55
PRPH,0,0,0,0,0,0
AVIL,0,0,0,0,0,0
AMHR2,0,0,0,0,0,0
LACRT,0,0,0,0,0,0
GDF11,7,5,1,15,9,11
GLS2,0,0,0,0,0,0
ITGA7,0,0,0,1,2,0
TESPA1,0,0,0,0,0,0
FAM186B,0,0,0,0,0,0
RDH5,0,0,0,0,0,0
AGAP2,1,1,1,2,1,0
BLOC1S1,1,0,0,0,0,0
KRT85,0,0,0,0,0,0
CDK4,0,0,0,7,1,2
PPP1R1A,2,1,0,0,0,0
TROAP,5,1,2,14,6,3
TSPAN31,1,1,1,13,0,12
B4GALNT1,1,8,1,2,4,0
TFCP2,40,41,30,64,38,40
COQ10A,10,5,5,15,10,11
FAIM2,0,0,0,0,0,0
PAN2,9,8,7,12,17,2
ESPL1,0,1,2,0,5,1
KRT87P,0,0,0,0,0,0
KRT7,0,0,0,0,0,0
ZC3H10,3,7,3,4,4,3
HNRNPA1,458,1449,1215,2186,1299,1504
SLC26A10,0,0,0,3,0,0
ACVR1B,5,16,11,21,11,9
OS9,37,32,39,148,107,108
MIP,1,0,0,0,0,0
KCNH3,0,0,0,0,0,0
LTV1,36,43,59,127,88,97
MAP7,31,51,45,87,41,55
CD164,147,304,251,496,431,410
AFG1L,3,35,4,5,61,2
NHSL1,9,22,8,37,21,5
AHI1,5,49,26,116,49,21
HEY2,4,1,5,2,4,6
PKIB,29,20,35,53,43,36
TAAR5,0,0,0,0,0,0
NMBR,0,0,0,0,0,0
SMPD2,0,0,0,0,0,0
MICAL1,3,2,0,2,0,2
REPS1,7,22,17,24,13,21
STX11,0,0,0,0,0,0
TEC,2,2,7,5,9,2
PRADC1,7,5,6,8,2,3
SEMA4F,0,0,0,1,7,3
CCT7,2,0,0,6,1,0
EGR4,0,0,0,0,0,0
RAB11FIP5,2,13,3,12,6,6
SMYD5,7,5,4,14,9,3
DYSF,0,0,0,0,0,0
CCDC142,0,0,0,0,2,0
EMX1,0,0,0,0,0,0
KCNMB4,4,18,21,21,43,28
USP15,31,77,89,160,123,64
GNS,0,30,6,21,15,15
CPM,12,12,1,1,11,2
MDM2,228,81,107,199,164,198
KLHL36,8,16,11,24,22,26
BCO1,0,0,0,0,0,0
MPHOSPH6,11,47,32,101,62,48
CHST5,0,0,0,0,0,0
KIAA0513,3,3,1,2,4,0
DYNC1LI2,32,138,82,119,90,44
FBXL8,5,2,0,0,0,0
FHOD1,6,18,18,22,14,14
CCDC102A,0,0,0,1,0,0
SLC9A5,0,0,0,3,0,3
AGT,0,0,0,0,0,0
ZNF670-ZNF695,0,0,0,1,1,0
PCNX2,48,56,66,69,52,43
KCNK1,7,9,4,20,9,18
URB2,3,8,9,23,14,10
EGLN1,28,121,66,467,244,223
CAPN9,0,0,0,0,0,0
COG2,10,31,16,57,45,72
ABCB10,27,56,42,120,54,111
NTPCR,34,49,27,77,35,83
TAF5L,41,64,42,72,59,71
GLUL,132,280,218,440,286,310
STX6,16,31,34,48,45,37
RGS8,0,0,0,0,0,0
RNASEL,3,4,2,6,3,1
DHX9,44,113,104,270,207,196
KIAA1614,0,0,0,0,0,0
CEP350,13,51,75,83,29,20
NPL,0,3,2,6,10,5
NIBAN1,1,6,1,1,0,0
PIGC,6,7,10,31,12,20
LAMC1,51,63,33,93,46,110
RC3H1,35,85,73,84,57,73
GPR55,0,0,0,0,0,0
SP110,0,0,0,2,0,0
MRPL44,16,35,27,84,51,73
CHRND,0,0,0,0,0,0
PAX3,0,11,5,3,5,3
DOCK10,0,0,0,0,0,0
TTLL4,4,14,4,24,17,30
USP37,46,69,58,87,74,76
HTR2B,0,0,0,0,0,0
ITM2C,0,0,0,0,0,0
SLC19A3,4,7,4,8,9,5
SERPINE2,26,42,30,65,44,53
DNAJB2,1,4,0,7,0,0
WNT10A,0,0,0,0,0,0
TMBIM1,3,0,1,2,2,3
CYP27A1,0,0,0,0,0,0
EIF4E2,7,5,10,13,4,14
ARMC9,6,4,1,23,15,18
CAB39,56,114,70,208,160,154
COX5B,0,0,0,0,0,0
REV1,8,22,41,48,41,29
TSGA10,7,0,0,2,9,7
MFSD9,3,49,3,6,2,7
TMEM127,0,0,3,3,0,2
EDAR,0,0,0,0,0,0
TGFBRAP1,0,1,5,5,3,8
GCC2,35,140,95,188,162,83
MRPS9,31,29,12,69,49,64
GPR45,0,0,0,0,0,0
C2orf49,21,29,52,119,53,68
ANKRD36,18,67,52,78,51,25
EPC2,25,19,11,20,21,23
ARHGEF4,0,0,0,2,0,0
ISCU,40,37,48,130,80,84
ALDH1L2,63,78,70,72,57,71
STAB2,0,0,0,0,0,0
USP44,6,2,10,22,10,9
SCYL2,92,119,91,182,113,150
CKAP4,204,328,255,447,431,351
PLXNC1,2,2,0,2,3,3
APPL2,4,3,3,5,5,15
PWP1,15,38,25,81,26,44
DRAM1,3,3,2,17,3,10
WASHC4,33,108,134,85,80,130
SLC41A2,7,46,13,13,4,11
VILL,0,0,0,0,0,0
FLNB,11,30,12,21,15,9
NEK3,7,10,11,21,24,23
PCDH8,1,0,0,0,0,0
VPS36,35,68,60,74,69,40
RNASEH2B,123,63,75,84,70,40
CKAP2,72,219,208,300,209,240
CNMD,0,0,0,0,0,0
TBC1D4,34,52,49,103,97,87
THSD1,0,1,0,6,0,1
BORA,5,22,12,20,15,13
LRCH1,16,16,21,45,16,26
SUCLA2,24,51,46,60,45,41
RCBTB1,34,58,37,102,73,77
MED4,40,40,41,119,71,84
PHF11,0,0,0,0,0,0
RPL13AP25,0,0,0,0,0,0
COG3,26,56,43,41,23,31
LMO7,16,12,13,16,6,25
SCEL,0,0,0,0,0,0
ITM2B,116,205,177,385,161,248
SPRY2,11,20,9,21,10,13
NUDT15,54,58,47,80,69,68
EDNRB,0,0,0,1,1,0
RCBTB2,1,3,0,8,0,1
LCP1,0,0,0,2,0,0
SETDB2,15,13,11,33,18,15
SCRN1,55,88,77,150,132,105
C7orf25,1,0,2,1,1,7
TNS3,0,4,2,1,0,2
SPDYE1,0,0,0,0,0,0
CHST12,6,19,18,38,59,25
IGF2BP3,19,34,29,62,78,92
GPNMB,2,1,1,2,0,0
RAPGEF5,8,6,4,12,24,4
RAC1,107,126,130,188,142,141
KDELR2,112,161,129,360,246,220
NUP42,19,95,29,139,80,92
IL6,0,0,0,4,0,0
ZDHHC4,11,31,13,23,30,21
AOAH,0,0,0,0,0,0
BZW2,29,76,51,123,58,95
DGKB,0,0,0,0,0,0
TBRG4,0,0,0,0,0,0
DDX56,0,0,1,0,0,0
HUS1,11,8,12,18,14,14
NACAD,0,0,0,0,0,0
C7orf69,0,0,0,0,0,0
DBNL,5,3,3,24,18,54
CCM2,2,8,3,6,4,4
MYO1G,0,0,0,0,0,0
TTYH3,6,8,2,4,4,5
MMD2,0,0,0,0,0,0
CIDEB,0,0,0,0,0,0
TTC5,7,11,4,13,7,21
NKX2-8,4,2,0,3,2,4
NKX2-1,0,2,1,2,2,1
ZFHX2,0,0,0,1,0,0
MTHFS,6,20,10,25,18,11
ADAMTS7,0,0,0,0,0,0
ABHD17C,20,27,28,44,44,27
IREB2,62,137,123,276,149,150
ALPK3,0,0,0,0,0,0
TM6SF1,11,2,1,0,0,6
CIB2,0,2,0,2,0,1
CALCOCO2,19,40,72,98,72,68
RSAD1,36,19,34,45,34,43
NMT1,1,25,15,40,33,40
MYCBPAP,0,2,0,0,2,0
SRSF1,249,592,549,850,501,621
VEZF1,20,47,26,104,33,72
CHAD,0,0,0,0,0,0
TACO1,16,9,6,52,37,36
TEX2,1,2,5,19,20,8
DCAF7,26,56,45,107,61,51
GH2,0,0,0,0,0,0
CSH1,0,0,0,0,0,0
LIMD2,0,0,0,0,0,0
BRIP1,29,59,64,78,88,87
KAT7,15,63,12,44,31,20
RTP4,0,0,0,0,0,0
ACTL6A,12,13,14,31,31,24
NDUFB5,40,63,90,105,104,108
MRPL47,27,20,27,56,41,47
TRA2B,30,49,25,74,79,33
SCN2A,1,0,0,3,4,2
TBR1,0,0,0,0,0,0
MARCHF7,42,151,163,339,168,184
ERMN,0,0,0,0,0,0
GALNT5,0,0,2,0,0,2
SCN7A,0,0,1,0,0,0
TANK,27,69,36,64,29,64
BLK,0,13,1,0,0,0
GATA4,0,0,0,0,0,0
SKIL,65,64,70,67,63,73
EPRS1,15,42,55,48,47,66
HLX,0,0,1,0,0,0
VPS45,2,13,10,11,11,15
IL10,0,0,0,0,0,0
KCTD3,76,144,133,305,226,179
RPS6KC1,2,11,24,14,13,12
CBWD2,8,9,55,39,20,36
IL36G,0,0,0,0,0,0
IL1RN,0,0,0,0,0,0
IL36A,0,0,0,0,0,0
IL36RN,0,0,0,0,0,0
IL36B,0,0,0,0,0,0
IL1F10,0,0,0,0,0,0
CFC1,0,0,0,0,0,0
SMPD4,0,0,38,70,41,28
WDR33,37,53,36,41,35,20
CCDC115,11,6,1,13,14,4
SAP130,3,4,6,12,3,6
BIN1,0,0,0,1,2,3
IMP4,0,5,1,8,6,11
HS6ST1,5,22,12,16,11,28
UGGT1,249,466,430,789,483,460
GYPC,0,0,0,0,0,0
STAM,24,23,24,51,19,5
GAD2,0,0,0,1,0,0
ABI1,35,79,61,94,42,63
YME1L1,41,136,109,205,129,173
DNAJC1,9,18,13,23,13,22
NIPSNAP3A,40,37,28,94,53,63
LRRC8A,6,2,10,24,17,14
CDK9,3,0,0,0,0,2
TXN,275,427,331,992,600,694
ODF2,4,6,12,41,6,36
ECPAS,76,84,70,66,60,53
TOR1B,1,10,4,9,11,10
C9orf78,11,7,10,41,47,15
SMC2,40,87,99,280,135,154
KLF4,2,3,4,13,0,3
TOR1A,13,33,10,63,55,58
RALGPS1,0,3,5,1,0,9
NIBAN2,3,3,3,9,4,3
OR1J1,0,0,0,0,0,0
OR13C9,0,0,0,0,0,0
ST6GALNAC4,0,1,1,8,2,2
TMOD1,6,6,3,6,3,4
DAB2IP,0,8,0,1,1,4
STXBP1,11,10,10,24,30,20
SLC2A8,0,0,0,1,0,0
ANGPTL2,0,0,0,0,0,0
CDK5RAP2,2,11,2,29,14,14
ZFP37,12,25,29,49,28,21
SLC31A2,1,1,0,3,7,1
SLC31A1,12,26,17,48,23,22
TLR4,0,2,0,0,0,0
ZNF189,6,16,19,50,43,24
ALDOB,0,0,0,0,0,0
STX17,13,24,13,35,36,55
PRPF4,3,7,3,19,4,0
FPGS,0,0,0,0,1,0
USP20,0,0,0,0,0,0
BAAT,0,0,0,0,0,0
KIF12,0,0,0,0,0,0
ATP6V1G1,51,70,53,119,112,96
TEX10,13,35,25,98,21,65
GARNL3,4,3,6,22,5,5
MRPL50,42,111,87,206,140,146
DPM2,0,2,5,8,9,4
WDR38,0,0,0,0,0,0
TSTD2,18,20,16,26,30,31
GABBR2,1,0,0,0,0,0
HEMGN,0,1,0,0,1,0
PSMB7,5,10,8,44,16,26
NR5A1,0,0,0,0,0,0
TRMO,0,0,0,4,4,2
RABEPK,8,5,1,20,10,6
GOLGA1,2,6,8,4,7,29
XPA,29,31,38,138,68,79
NCBP1,92,91,42,130,96,25
ANP32B,278,343,348,947,608,586
OR1L4,0,0,0,0,0,0
PDCL,36,64,32,74,64,82
RPL35,0,0,0,0,0,0
CTSV,11,25,19,42,26,78
LMX1B,4,23,14,13,24,11
ARPC5L,23,35,38,68,34,40
ENPP2,0,0,3,3,4,8
DSCC1,17,45,53,124,94,71
DERL1,18,23,36,58,23,34
MYC,50,74,47,232,214,201
CCN3,1,0,0,0,2,0
IL33,0,0,0,0,0,0
DMAC1,10,5,1,32,5,13
RANBP6,10,34,27,76,28,48
POLR1E,0,3,2,5,16,9
PLAA,8,17,12,35,15,35
IL11RA,0,0,0,0,0,0
UBAP2,5,10,17,24,13,14
APTX,31,20,17,23,16,23
RNF38,26,44,52,92,48,73
TLN1,7,23,6,25,15,18
CCL21,0,0,0,0,0,0
SIT1,0,0,0,0,0,0
IFNA21,0,0,0,0,0,0
DMRT1,0,0,0,0,0,0
DNAJB5,0,1,0,2,0,3
SPAG8,0,0,0,0,0,0
DCTN3,2,4,3,12,10,8
CD72,0,0,0,0,0,0
TMEM8B,0,1,0,0,0,2
GRHPR,6,2,0,2,6,2
ALDH1B1,12,17,14,64,39,70
HINT2,1,1,0,1,0,0
ARHGEF39,3,7,3,18,14,8
IGFBPL1,0,0,0,0,0,0
DENND4C,22,46,36,62,46,39
RPS6,1080,1457,1157,2613,1883,2013
CNPY3,5,3,2,10,11,10
FOXP4,0,0,0,0,0,0
PPIL1,34,50,32,76,46,51
KLC4,0,1,0,0,2,0
KIF13A,9,11,10,42,34,24
ZSCAN9,2,0,4,6,1,1
PIM1,28,32,17,18,12,17
CDSN,0,0,0,0,0,0
GMPR,16,32,18,41,21,28
CMTR1,9,21,19,45,43,40
TFAP2A,7,41,37,41,42,47
SLC22A7,0,0,0,0,0,0
YIPF3,0,0,0,0,0,2
TMEM14B,12,16,15,25,32,26
TMEM63B,5,2,11,4,3,3
FRS3,2,1,1,4,0,4
TJAP1,1,23,2,17,2,14
CAPN11,0,0,0,0,0,0
TINAG,0,0,0,0,0,0
HCRTR2,0,0,0,0,0,0
KIAA0319,1,0,0,0,0,0
IRF4,0,0,0,0,0,0
SLC22A23,0,3,2,1,0,0
TUBB2A,0,0,0,0,0,0
LRRC1,24,40,33,60,47,35
GCM1,0,0,0,0,1,0
FOXF2,16,33,34,51,42,40
BPHL,8,6,4,32,21,9
RIPK1,1,4,4,15,3,4
TUBB2B,0,5,0,3,2,7
UQCC2,21,15,9,25,9,15
HMGA1,0,0,0,2,0,1
TCF19,0,0,0,22,15,0
TRIM26,0,0,0,0,0,0
IER3,1,3,1,8,5,11
DDR1,1,0,0,0,0,0
MDC1,15,12,12,16,14,15
PGBD1,3,14,17,23,23,17
MOG,0,0,0,0,0,0
TPMT,29,49,59,132,72,84
TRIM15,0,0,0,0,0,0
CLPS,0,0,0,0,0,0
RNF144B,2,1,6,10,5,3
TRIM10,0,0,0,0,0,0
TRIM31,0,0,0,0,0,0
HLA-F,0,0,0,0,0,0
MTCH1,6,17,4,21,11,13
VARS2,0,0,0,0,0,0
TAF8,13,10,23,15,5,11
FAM8A1,37,60,43,115,104,78
C6orf52,0,3,0,0,3,0
FGFBP1,0,0,0,1,0,0
FGFBP2,0,0,0,0,0,0
FHDC1,4,9,2,3,9,3
TLR2,1,0,0,0,0,0
MGARP,6,12,5,33,17,13
TTC29,0,0,0,0,0,0
MYO7A,0,0,0,0,0,0
FCHSD2,32,30,26,96,41,36
ARRB1,2,0,0,10,2,0
SLCO2B1,0,0,0,0,0,0
THAP12,44,53,43,146,126,67
ANKRD42,10,17,15,16,14,13
IL18BP,0,1,0,1,0,1
NUMA1,19,22,16,27,7,23
CCDC90B,44,28,35,45,54,24
SYTL2,2,7,0,7,4,1
RAB30,7,18,7,21,24,14
CREBZF,149,286,241,583,397,420
LRRC32,0,0,0,0,0,0
PRCP,21,38,41,124,96,96
NARS2,12,52,16,53,26,36
RNF121,2,3,1,17,8,3
MRPL15,16,8,3,33,15,13
PI15,15,22,11,22,17,27
TTPA,0,0,0,2,0,0
GGH,37,59,63,125,69,92
SLCO5A1,13,27,12,19,4,13
SULF1,7,13,86,5,8,6
TGS1,13,30,15,52,31,46
SDCBP,51,106,107,313,157,194
NEK1,18,31,37,80,52,60
DDX60,4,3,1,4,9,1
NXPE4,0,0,0,0,0,0
SORL1,5,8,10,9,26,11
TMPRSS4,0,0,0,0,0,0
BUD13,0,5,0,5,6,5
TRPC6,1,0,0,0,0,0
MMP7,0,0,0,0,0,0
MMP20,0,0,0,0,0,0
MMP27,0,0,0,0,0,0
CFAP300,3,0,6,7,2,6
DCUN1D5,46,57,38,177,117,139
YAP1,60,61,67,179,114,153
TRIM29,0,0,0,0,0,0
SLC37A4,9,11,3,16,5,4
BTG4,0,0,0,0,0,0
POU2F3,0,0,0,0,0,1
RDX,88,151,202,365,196,236
PPP2R1B,25,27,34,84,33,32
FDX1,81,90,85,239,178,176
C11orf1,0,5,2,4,1,1
FXYD6,5,6,7,17,13,13
ARHGAP20,6,10,6,19,11,15
FXYD2,0,0,0,0,0,1
MMP13,0,0,0,0,0,0
TMPRSS13,0,0,0,1,0,1
CASP1,0,0,0,0,0,0
CASP5,0,0,0,0,0,0
ALKBH8,32,57,62,80,54,68
MAP2K5,5,5,1,2,4,7
UNC13C,0,0,0,2,0,0
SQOR,0,0,0,0,0,0
CTDSPL2,61,109,138,138,119,111
SLTM,9,58,54,138,70,87
THBS1,5,3,4,5,9,12
MAPKBP1,1,0,4,2,1,0
NUSAP1,17,46,50,100,65,91
NDUFAF1,3,5,5,26,21,17
KIF23,25,60,35,73,42,95
ITGA11,0,0,0,0,0,0
KNL1,31,49,42,129,43,51
HAUS2,13,28,20,21,19,8
RTF1,15,40,43,102,57,64
PARP6,3,18,21,41,7,23
RPLP1,115,75,55,125,67,78
PAQR5,14,25,20,46,31,25
LRRC49,7,7,13,10,24,42
TUBGCP4,8,10,7,10,5,5
RMDN3,3,6,3,24,25,10
ITPKA,0,0,0,0,2,0
UACA,23,110,81,86,74,57
SMAD6,9,18,8,27,21,17
PLCB2,0,0,0,0,0,0
TMEM62,0,0,0,0,17,6
PAK6,1,0,0,1,0,0
ADAM10,1132,2202,1736,2108,2473,1740
DUOX1,0,0,0,0,0,0
SLC28A2,0,0,0,0,0,0
STRA6,0,0,0,1,0,0
CYP19A1,0,0,0,0,0,0
ZNF280D,38,62,34,62,49,80
SEMA6D,4,3,2,4,4,1
BCL2L10,0,0,0,0,0,0
RSL24D1,393,404,405,636,373,394
SPTBN5,0,0,0,0,0,0
GCOM1,0,0,0,0,0,0
GCHFR,0,0,0,0,0,0
BCAR3,3,2,5,7,12,8
TTLL7,24,55,60,38,30,57
FNBP1L,30,73,99,122,98,109
KYAT3,30,62,58,99,65,66
GTF2B,12,28,17,34,28,32
BRDT,0,0,0,3,0,0
RABGGTB,114,360,243,717,518,591
IFI44L,25,24,30,45,32,39
GIPC2,0,0,0,0,0,0
ARHGAP29,9,25,28,35,58,39
IFI44,0,0,0,0,0,0
SLC44A5,22,42,39,80,44,47
RPL7P9,0,0,0,0,0,0
CLCA2,0,0,0,0,0,0
DNASE2B,0,0,0,0,0,0
DBT,46,62,43,75,46,61
RTCA,29,33,28,43,53,51
IFT172,1,9,1,7,6,5
SELENOI,43,101,80,203,160,164
CGREF1,0,0,0,0,0,0
HADHB,16,18,11,34,35,18
KHK,0,0,0,0,0,0
ADCY3,4,5,1,2,11,4
PPM1B,73,98,58,179,96,105
PNPT1,9,68,73,210,107,92
DYNC2LI1,35,60,47,106,68,91
LHCGR,0,0,0,0,0,0
THUMPD2,15,45,36,61,43,53
CYP1B1,0,0,2,0,0,5
SULT6B1,0,0,0,0,0,0
RAB1A,84,157,123,183,181,115
ACTR2,415,548,537,1152,834,786
PREB,0,3,0,6,2,2
SLC5A6,0,0,0,0,0,0
ABCG5,0,0,0,0,0,0
PREPL,58,85,141,185,141,154
SLC3A1,2,3,0,5,2,0
EMILIN1,0,0,0,0,0,0
FBXO11,37,63,80,91,60,82
SIX3,9,14,13,16,13,13
ATRAID,0,1,0,0,0,0
CENPO,4,7,15,26,14,21
LRPPRC,70,173,161,396,227,231
TRIM54,0,0,0,0,0,0
DTNB,0,0,12,14,2,2
ACTR1A,5,16,7,14,15,14
CYP2C9,0,0,0,0,0,0
MFSD13A,3,0,3,7,7,0
CYP2C8,0,0,0,0,0,0
MYOF,0,0,0,3,0,0
LOXL4,0,0,0,0,0,0
STAMBPL1,4,14,6,14,9,11
CH25H,0,0,0,0,0,0
LBX1,0,0,0,2,0,0
BTBD16,0,0,0,0,0,0
KIF11,40,89,71,160,131,129
CUZD1,0,0,0,0,0,0
TACC2,1,1,5,0,0,3
DUSP5,3,1,9,3,0,2
CALHM2,0,0,0,0,0,0
ARL3,8,4,4,19,10,14
CEP55,16,55,62,83,61,101
KIF20B,25,58,55,108,77,75
ENTPD1,0,0,0,0,0,2
EXOC6,3,33,9,72,26,32
PLCE1,3,7,8,15,14,13
RBP4,0,0,0,0,0,0
DBR1,30,29,51,83,53,57
DNAJC13,23,53,24,56,78,68
GPR87,0,0,0,0,0,0
ANXA7,25,44,29,58,67,63
FAM149B1,20,11,8,8,6,13
ASCC1,0,1,6,6,8,16
PLA2G12B,0,0,0,0,0,0
ZNF365,0,0,3,2,1,1
OIT3,0,0,0,0,0,0
ADAMTS14,0,0,0,0,0,0
RPS24,10,15,17,22,14,25
TET1,20,41,53,95,66,55
DNA2,31,35,45,118,121,40
MYPN,0,2,0,0,0,0
AOX1,0,0,0,0,0,0
ATIC,21,54,27,95,86,55
SMARCAL1,1,5,3,1,3,7
BARD1,24,60,44,77,74,44
STAT4,0,0,0,1,0,0
MSTN,0,0,0,0,0,3
CARF,4,18,70,5,12,6
ASNSD1,67,68,96,105,119,101
METTL5,82,132,115,184,147,115
SSB,60,156,138,334,270,294
NAB1,35,71,54,95,70,75
CDK15,0,0,0,0,1,0
PPIG,57,158,100,171,119,138
FASTKD1,32,31,43,61,61,27
MDH1B,0,0,3,1,6,0
HECW2,5,7,3,13,3,7
IDH1,7,6,3,30,14,15
OLA1,154,262,207,425,275,278
CIR1,6,21,18,25,48,19
ITPRID2,47,79,71,253,118,108
CHRNA1,0,0,0,0,0,0
FAM117B,16,24,13,51,50,41
WDR12,44,98,73,178,107,138
ABI2,87,179,151,253,118,146
ITGAV,74,132,96,156,115,126
SLC40A1,3,2,1,1,1,0
SLC35A5,19,28,27,35,41,38
SLC49A4,8,10,9,30,31,41
SENP7,41,71,83,90,43,56
GUCA1C,0,0,0,0,0,0
CCDC54,0,0,0,0,0,0
COX17,145,131,98,154,100,114
PARP9,0,0,0,0,2,0
MNS1,0,0,0,0,0,0
USP8,3,88,58,160,41,70
SECISBP2L,18,43,45,105,28,48
TMOD3,52,41,42,74,47,64
SPPL2A,42,49,62,46,47,24
GLCE,39,43,31,70,66,57
SHF,0,0,0,0,0,0
APH1B,5,7,10,18,16,19
INTS14,9,14,9,41,28,25
CILP,0,0,0,0,0,0
PARP16,8,13,13,10,12,21
PPCDC,1,0,0,2,1,0
HCN4,0,0,0,1,0,0
SEMA7A,0,0,0,2,0,0
UBL7,0,0,0,0,0,0
ARHGAP24,0,0,0,5,3,6
FAM13A,10,59,48,61,29,26
HERC3,18,25,17,54,23,36
HERC6,2,1,4,19,5,7
HERC5,7,18,18,45,32,32
PCDH10,32,38,27,64,50,79
