gene_name,5377-sg_Control,5377-sg_PAK4,5391-sg_Control,5391-sg_PAK4,5465-sg_Control,5465-sg_PAK4
KMT2A,3428,3514,3195,4394,2187,1290
TREH,0,0,0,0,0,0
IFT46,403,165,274,290,327,87
MMP8,4,1,4,3,0,0
APOA1,3,0,1,0,0,0
ZNF541,1,0,1,1,11,0
SLC8A2,0,2,6,17,0,1
KPTN,37,31,81,81,83,30
KIF14,1639,1498,543,394,74,351
TNNT2,1,0,1,4,3,2
DDX59,220,284,366,385,203,77
CAMSAP2,2592,1931,2733,2767,2469,743
ATF6,1656,1594,2339,2502,2038,526
CRYGD,0,0,0,0,0,0
MREG,156,131,191,166,104,48
TNP1,0,0,0,0,0,0
FASTKD2,1732,1298,903,1306,606,219
NRP2,6183,6924,4230,4370,4265,1145
CREB1,1582,1899,1939,1339,798,485
KLF7,2269,1077,1774,2045,684,468
TTR,0,2,0,0,0,0
B4GALT6,292,222,0,0,23,11
C1orf54,14,6,61,56,595,110
CA14,62,37,34,40,46,13
CFAP94,3,1,13,2,3,0
IRAG2,5,9,1,15,27,3
ATP10B,119,96,92,123,159,50
SPCS2,504,444,296,385,366,149
USP35,327,260,326,354,489,143
ELOVL4,114,134,361,542,373,71
FILIP1,24,8,17,28,10,2
CASP8AP2,1391,1187,669,770,564,313
HMGN3,755,689,449,428,1481,239
UBE3D,126,123,176,167,161,55
CNR1,1988,1119,352,259,3595,2099
SPACA1,0,0,0,0,0,0
ANKRD13C,779,751,790,974,1161,415
SGIP1,39,10,319,247,1950,551
PHF3,2796,2863,2207,2419,2362,1034
ZC2HC1B,2,4,0,0,0,0
ADGB,4,8,1,3,14,3
PLAGL1,419,324,934,770,1038,452
FBXO30,1506,1623,1742,2116,1239,391
TNFAIP3,622,4774,3719,4370,634,1144
AKAP7,194,129,128,110,43,34
RAB32,576,701,1567,1948,351,142
MYB,64,52,27,64,43,11
ALDH8A1,11,3,14,28,18,7
SGK1,1406,404,1036,941,1003,506
RNF146,857,875,729,764,833,188
ARG1,0,0,0,0,1,0
CCN2,3802,856,4479,2605,8996,4684
TCF21,2,11,3,0,3,8
PMFBP1,15,13,4,0,3,7
FBXL5,2071,2848,2941,3093,2688,653
MED28,1678,2483,647,1086,1471,179
SLC16A7,1007,1479,903,1022,2017,588
RXYLT1,484,561,407,431,225,50
ZNF430,224,221,267,149,311,52
VAMP8,10,4,357,316,386,139
DCLRE1B,417,235,229,264,87,33
MYL12B,1859,1180,4310,3664,3582,1213
FOXO3,2376,2536,1639,2938,2184,665
ARMC2,93,27,49,51,149,19
GHRH,0,0,0,0,0,0
RPN2,6414,6167,3811,3714,4987,2556
TGIF2,268,285,459,431,127,91
CASQ2,0,0,0,0,0,0
OLFM3,0,0,0,0,0,0
PKD2,2071,2551,1952,2139,2775,767
ABCG2,140,73,69,82,11,8
SPP1,1326,552,15,21,3,20
STBD1,349,255,332,275,38,51
CCNI,6574,5346,2504,3020,4532,1308
RARRES1,625,2366,254,171,4922,907
MFSD1,1810,1293,1249,1254,1975,574
RAB3GAP2,1755,1674,2525,2908,2217,698
EEF2KMT,373,317,326,448,98,12
PPL,134,202,2,14,33,27
UBN1,1686,1659,1023,1022,1205,394
KLF12,1346,982,1048,1697,1810,704
UCHL3,512,372,601,560,304,121
PCDH17,23,75,26,23,27,8
HS1BP3,531,331,328,405,538,151
LDAH,617,670,370,478,401,176
WDR35,1173,961,824,807,580,165
CCND2,53,67,2431,2716,62,56
FGF23,0,1,1,2,0,0
ELL2,2510,2201,7052,6368,3349,2385
DNAH7,51,40,54,41,208,35
CYP20A1,490,396,451,582,349,95
NDUFB3,772,522,531,566,611,207
GTF3C3,1382,1154,565,578,1284,341
SATB2,1121,830,251,317,442,177
UBE2B,615,687,588,620,478,162
TRPM6,33,43,55,57,91,19
GDA,13,16,5,16,6,4
KLF9,2259,1296,1050,921,3541,1041
TJP2,901,645,622,682,1048,381
ECRG4,0,0,0,1,0,0
ITGB1BP1,1334,944,966,1051,985,284
CPSF3,1317,1294,685,1006,933,261
PIGZ,9,3,91,72,22,17
SENP5,3172,3343,3555,3650,1761,736
CCDC92,289,226,150,246,350,151
C1orf198,391,489,991,1032,680,189
TRIM67,0,0,4,5,2,0
HEATR1,3706,3219,3363,3640,1431,310
PTBP3,2211,2640,1184,2791,1562,948
RAD23B,4989,4773,3588,4373,2462,1005
FKBP15,1286,1060,926,1007,837,427
CTNNAL1,3058,2929,2370,2555,2395,879
ABITRAM,413,316,204,200,229,81
DYNC2I2,742,727,667,598,283,102
SET,13024,12161,9218,9802,3737,1151
PTPA,2601,1937,1517,1486,10897,2963
GLE1,862,977,373,401,323,147
RAB14,2463,1744,1609,1579,1895,519
CNTRL,1164,824,309,384,160,137
TRIM32,624,419,759,1071,527,247
FBXW2,3085,2962,2027,2366,1866,679
PHF19,1638,1390,623,589,181,206
NEK6,1360,943,541,474,343,168
BSPRY,3,0,0,0,0,1
PPP6C,1421,1280,1238,1501,993,344
NDUFA8,559,466,488,467,284,107
HDHD3,148,90,88,163,82,25
RBM18,837,1049,983,1151,473,238
SLC46A2,0,0,0,0,0,0
HSDL2,1097,858,789,633,653,386
MAPKAP1,2702,1886,2080,1774,1013,374
NR4A3,10,54,17,21,329,152
INVS,727,812,563,516,573,254
GALNT12,908,1227,178,369,204,78
DENND1A,974,824,703,555,118,111
ALG2,693,933,1010,1080,501,206
CSF3R,2,4,2,5,2,0
KDSR,1623,1293,1969,2455,1127,325
VPS4B,1311,1344,1169,1214,1410,438
ONECUT2,47,52,27,23,0,1
C19orf25,409,349,800,968,268,137
ZBTB45,70,36,87,70,82,35
YLPM1,2044,1599,1193,1383,2091,741
DCAF4,237,175,311,378,64,39
PROX2,0,0,0,0,0,0
VSX2,0,0,0,0,0,0
FCF1,724,778,646,770,434,156
PGF,97,59,775,790,1292,1097
BBOF1,92,106,147,79,215,110
NEK9,1534,2219,1765,2170,2631,880
ACYP1,134,94,79,84,60,26
IFT43,292,256,193,214,203,56
NPC2,3354,1927,953,1140,1681,698
DNAL1,723,715,652,712,472,142
IRF2BPL,1002,551,306,349,576,240
ACOT2,196,126,239,234,394,106
LTBP2,1460,712,2644,3813,2919,987
AREL1,1324,1499,822,824,1217,506
MLH3,1317,1158,952,1057,848,287
TTLL5,805,906,498,420,738,247
FLVCR2,184,190,319,263,1524,283
ABCD4,480,514,414,460,275,113
DLST,1840,1343,1941,2073,1748,702
PPP4R4,6,30,4,5,0,0
TGFB3,49,44,37,15,1299,46
ZC2HC1C,29,15,23,29,13,10
SLIRP,843,749,725,791,388,136
RBM25,2704,2583,2793,3078,2050,712
ALDH6A1,562,587,376,379,774,317
GPR68,21,9,77,96,0,0
ESRRB,0,1,0,2,0,0
EIF2B2,435,444,680,716,384,170
NRDE2,351,368,589,740,404,198
COQ6,420,357,365,360,420,147
ZNF410,1554,1549,2018,2090,944,345
RHOQ,2723,2661,1009,1540,1948,570
GPR75,98,72,60,43,33,10
SUPT7L,696,675,717,784,665,230
KLHL29,392,386,327,433,140,67
DNMT3A,447,688,490,468,524,167
TMEM214,874,674,717,688,990,318
ATAD2B,1048,741,773,560,1145,337
FKBP1B,29,25,45,68,101,69
ATL2,1668,1577,683,697,675,221
YPEL5,1043,1050,1745,2768,1582,444
FAM98A,934,945,1279,835,1351,315
YIPF4,1037,1907,1851,2131,2200,665
AFTPH,775,987,1134,1248,524,280
LGALSL,228,217,52,94,6,3
CNRIP1,256,186,426,420,372,201
BCL11A,0,3,30,24,25,19
CRIPT,296,362,245,287,286,98
EPCAM,4,5,21,20,2,2
SLC17A5,435,251,526,372,1640,502
OGFRL1,4505,3868,2890,2738,2000,960
SLF2,1770,1605,1964,2000,1480,737
IDE,873,783,1166,993,1554,234
TECTB,0,0,2,0,0,0
ELOVL3,3,2,3,1,2,0
IFIT3,393,548,1576,1802,520,1586
NKX2-3,0,1,0,0,0,0
IFIT2,112,145,443,424,326,692
GPAM,728,655,667,742,295,133
CUTC,77,116,189,263,276,75
PPP1R3C,76,277,1002,1291,300,212
PYROXD2,41,160,1150,91,87,45
CNNM1,11,14,6,1,2,1
MXI1,73,63,369,443,348,234
SMNDC1,543,474,636,642,480,134
C10orf88,250,348,396,467,325,119
HELLS,1983,1670,828,877,373,186
PRLHR,3,8,9,10,13,5
TCTN3,593,426,654,648,1303,335
DENND10,656,484,734,857,932,306
AVPI1,114,77,204,219,397,104
WDR11,1410,687,1491,1558,2019,719
ARMH3,301,270,465,486,341,134
KCNIP2,14,22,14,21,16,39
CFAP58,32,19,74,66,82,26
GOT1,534,597,1748,1920,344,180
CPN1,0,0,0,0,0,0
C10orf95,0,0,0,2,0,0
SFRP5,2,0,0,0,1,0
GNA13,2234,1921,2803,4021,1279,476
HOXB8,17,1,0,0,0,0
KANSL1,396,302,285,240,418,157
HOXB5,27,22,0,0,0,0
CRHR1,0,0,0,0,0,0
HOXB3,908,680,1,0,0,3
HOXB1,0,0,0,0,0,0
DUSP1,1103,869,5106,5257,6412,3016
PANK3,2789,4012,3981,8483,3550,1140
MSX2,3,1,8,22,1,0
TEK,113,73,914,872,32,11
RCL1,276,222,433,550,332,131
CAAP1,432,315,222,228,344,104
EQTN,0,0,0,0,0,3
MOB3B,20,76,76,104,79,23
INSL6,21,15,25,26,52,13
INSL4,0,0,0,0,0,0
MLANA,48,40,25,17,27,14
CD274,327,285,242,427,32,14
IFNA6,0,0,0,0,0,0
IFNA8,0,0,0,0,0,0
GRIA2,2,5,0,0,0,0
NUP43,1729,1809,1024,1340,682,250
MTHFD1L,1140,1052,2479,2688,745,345
LRP11,1506,1069,487,509,966,297
CCDC170,0,1,5,3,74,28
PCMT1,1607,1310,1250,1314,840,339
PLEKHG1,86,79,62,172,11,8
MYCT1,17,5,278,302,5,8
TASL,5,2,4,5,4,0
MAGEB4,0,0,0,0,0,0
CYSTM1,199,121,507,603,282,122
WDR55,1064,726,765,735,574,239
ARAP3,621,568,368,406,333,147
PCDHB8,40,25,1,2,1,0
PCDHB10,157,206,5,12,3,2
PCDHB14,130,90,9,16,17,12
PCDHB12,65,47,6,5,2,0
SLC25A2,12,0,8,12,16,4
TNN,0,0,0,0,0,0
MRPS14,367,309,195,264,346,151
CENPL,644,661,487,533,142,56
TNFSF18,5,5,24,8,47,191
SEC16B,2,0,27,6,56,17
GORAB,183,319,530,579,380,95
GPR31,0,0,0,0,0,0
ACAT2,829,775,361,200,398,55
TCP1,6277,7614,6706,7311,2541,884
TTLL2,0,0,1,0,2,0
SNX19,3010,2533,3620,3402,2107,822
KCNJ5,44,28,33,55,24,12
MSANTD2,497,402,335,362,211,95
TP53AIP1,0,0,7,26,0,0
TEX11,3,6,3,9,10,8
ARR3,3,0,0,0,0,0
PDZD11,641,569,864,967,399,185
SLC10A7,134,219,103,85,202,71
NUDCD1,1309,1519,946,1556,395,225
ENY2,1102,893,774,818,501,225
MASTL,762,613,270,274,199,178
KIAA1217,312,386,125,187,606,207
LYZL1,0,0,0,2,0,0
PLXDC2,125,35,1,6,194,16
EPC1,519,394,709,751,790,185
IQSEC3,0,0,5,3,0,0
CCDC77,258,253,133,130,129,88
TAF12,294,361,538,515,243,71
ENOX1,43,8,89,11,19,8
TNFSF11,0,4,0,1,389,227
MTRF1,195,262,215,360,186,44
SPART-AS1,2,6,7,12,2,0
SOHLH2,30,12,0,0,1,0
DNAJC15,821,674,1036,982,1227,420
PROSER1,558,451,314,301,369,146
UFM1,2180,2258,2751,2959,1400,612
WBP4,353,358,606,645,290,113
ELF1,861,777,745,718,963,402
SMAD9,138,38,52,79,213,91
HSPH1,2746,4192,3063,3384,876,335
KBTBD7,58,91,72,81,199,84
ALG5,362,219,416,405,448,111
EXOSC8,820,761,608,567,172,150
ETF1,5935,4764,4503,6147,4051,829
TGFBI,18423,11904,77470,96373,99552,34205
FAM53C,1330,963,1031,1107,901,308
SIL1,635,623,705,834,980,467
PAIP2,648,791,639,833,862,399
MYOT,3,0,0,0,0,0
KDM3B,2086,2346,2146,2331,1697,644
EGR1,407,134,359,491,239,294
SERP1,2301,2700,3770,3602,1978,882
PLS1,41,47,84,62,231,37
ZFP30,405,270,572,755,445,135
NR2C1,347,324,328,404,579,218
UTP20,3742,3182,1666,2034,744,416
TMPO,6874,5267,2087,1791,663,394
ARL1,2167,1486,1455,1916,2222,627
GLT8D2,28,10,85,66,541,102
MTERF2,228,238,300,281,134,39
SOCS2,271,66,30,29,248,30
NFYB,854,572,447,376,376,120
WASHC3,545,413,398,386,263,181
APAF1,919,847,621,612,1021,288
DUSP4,368,315,1024,1088,199,273
CLU,486,786,875,1126,65,45
TNFRSF10B,3843,6898,17011,17650,5446,1736
SORBS3,836,436,485,600,250,138
PTK2B,76,81,47,47,57,20
CHRNA2,0,0,0,0,0,0
ADRA1A,31,22,22,15,26,12
PPP3CC,663,773,1330,1419,720,231
PDLIM2,547,285,714,803,961,382
EPHX2,33,42,31,21,32,11
RNF170,325,315,467,425,544,167
NPPB,0,0,1,1,0,0
UBIAD1,288,278,248,352,145,67
TARDBP,2458,2079,1722,1572,1124,547
TNFRSF8,4,0,6,8,3,2
ZNF706,523,490,462,589,295,112
LYPLA1,1897,1851,3244,3291,936,509
CRISPLD1,499,522,1,2,0,1
COPS5,887,788,779,754,759,203
RDH10,190,124,165,202,331,62
EPX,0,0,0,0,0,0
AKAP1,539,246,456,537,304,49
COIL,308,263,272,264,205,89
TRIM25,1065,1881,4897,7410,616,999
SCPEP1,535,474,450,521,1112,335
SPOP,587,637,656,645,758,312
TBX2,263,182,2210,2138,2268,869
SLC35B1,670,667,512,593,364,181
TBX4,0,1,17,4,0,0
NACA3P,3,0,1,0,0,0
TEX14,0,7,5,4,2,1
FAM117A,35,26,57,33,23,19
NCAPH,1285,889,268,278,40,83
LRAT,58,73,1,20,1,1
TMEM131L,977,593,406,600,374,73
MND1,158,128,52,59,7,13
TRIM6,303,112,217,308,94,85
ABCC11,0,0,2,19,13,1
TENT4B,512,579,853,907,428,161
ADCY7,861,589,885,847,51,50
CEP89,934,892,1109,1429,489,181
TSHZ3,491,294,412,550,409,146
ECHDC2,198,166,396,445,194,91
PLBD1,27,3,9,18,8,9
PRB2,0,0,0,0,0,1
PYROXD1,510,359,820,920,250,80
IAPP,28,47,18,41,26,16
KCNJ8,24,11,56,67,585,63
PSPC1,848,889,601,702,1135,300
ZNF549,232,303,519,500,313,113
A1BG,90,53,278,326,196,39
ZSCAN18,616,357,1061,1076,401,176
ZNF211,90,226,197,290,280,87
PDZRN3,19,7,73,77,596,105
RGSL1,0,0,0,0,11,0
LHX4,0,0,9,3,0,0
RNF2,519,405,645,580,311,126
TRMT1L,369,316,503,523,377,200
SEC22A,487,427,495,505,532,158
CSTA,169,116,1,1,56,65
DPPA4,124,48,82,102,172,38
POPDC2,5,23,11,8,5,3
B4GALT4,582,547,619,766,1003,285
NAA50,7254,6255,6025,5938,2092,838
CD80,0,0,0,2,0,0
KIF18A,1422,1008,254,224,75,169
GJA8,0,0,0,0,0,0
DESI2,1780,1406,2055,2380,1665,499
MAPK8IP1,154,210,73,93,125,39
CRY2,254,402,317,317,370,153
PEX16,195,174,266,386,231,65
DEPDC7,40,31,103,94,75,38
CAT,411,369,636,505,1077,364
PILRB,1236,1076,298,321,329,154
ZMYM2,1971,1595,2176,2394,2831,1252
GJB6,12,10,0,0,2,4
GJA3,20,25,11,15,1,0
TBC1D15,743,811,801,798,1041,322
ADGRB2,214,152,86,78,49,8
HCRTR1,0,0,4,3,0,0
ZCCHC17,538,500,719,750,363,110
FABP3,4,0,5,0,3,0
KHDRBS1,3104,2418,2167,2297,1433,709
TMEM39B,114,95,63,85,65,53
CCRL2,7,3,126,136,16,15
CCR2,0,0,0,0,0,0
POLR3GL,213,163,218,174,376,108
GHSR,0,0,0,0,0,0
TNFSF10,99,158,5,5,77,48
ZNF639,1536,1243,925,1136,599,232
SLITRK3,0,1,0,0,0,0
PIK3CA,1752,1484,1544,1784,1322,653
PDS5A,6857,5373,5047,4468,2867,1291
TMEM156,184,131,1003,599,245,109
LIAS,174,219,323,305,135,35
CPXM2,0,0,4,1,1,1
TMEM54,484,350,97,158,37,49
ZSCAN20,184,276,374,553,178,93
CSMD2,94,34,17,28,29,13
HPCA,2,0,0,0,0,1
LRIF1,838,1157,640,670,330,173
TMIGD3,2,1,1,0,0,1
CLCC1,994,968,829,917,816,262
GPSM2,1854,1466,606,427,120,224
GTDC1,370,613,645,572,446,161
CXCR4,3,15,4,8,7,0
ZRANB3,353,328,353,300,214,85
ACVR2A,402,499,286,334,340,134
POLK,1536,1079,914,968,1171,525
SV2C,13,11,5,6,10,8
FLT3,0,0,1,1,0,0
RPL21,5745,5133,6456,6540,5515,1478
MTIF3,223,279,375,345,318,135
GTF3A,1739,1905,1194,1284,457,194
RASL11A,98,34,27,51,314,52
UBL3,500,339,1173,1380,540,140
FYTTD1,1654,2067,2644,2773,1715,640
MTERF4,394,301,305,371,394,111
XPNPEP2,0,0,0,0,0,0
SASH3,0,0,0,0,0,0
OCRL,1359,885,2772,3117,909,396
PAEP,7,2,3,0,1,4
OBP2A,0,0,0,0,0,0
MRPS2,449,332,501,491,145,90
TBX22,0,0,0,0,0,0
FMOD,24,3,0,0,3,1
MYOG,0,0,0,0,0,0
LAX1,3,5,2,4,3,6
PLG,18,10,18,35,9,5
KIAA1191,2329,2036,1481,1707,1420,788
COPA,5462,4490,6056,5160,7819,2815
CD244,0,1,0,0,1,0
LY9,15,21,13,8,11,4
HS3ST2,3,7,8,11,0,1
RBBP6,1612,1344,1294,1471,956,486
ZC3H7A,1904,1443,1482,1577,1245,447
PRM2,0,0,0,0,0,0
SERAC1,530,391,465,539,226,72
ANXA11,1703,1190,2531,2160,3677,1489
LDB3,8,3,4,11,7,4
OPN4,0,0,0,0,0,0
SHLD2,1044,904,898,1036,921,297
PRXL2A,233,183,182,181,739,180
ZNF205,193,58,106,111,95,32
NAA60,331,313,272,251,232,97
RPL5,9175,8237,10519,11271,8511,1832
ODF2L,1812,1289,1209,1051,2338,742
PTGFR,28,80,423,615,334,307
SPATA1,8,6,6,0,16,3
TRMT13,424,464,325,352,247,94
LRRC39,7,10,10,10,29,1
RWDD3,246,207,145,138,161,47
ZNF644,1471,1941,1583,2129,1353,571
CCDC18,644,699,364,241,234,173
RPAP2,2527,2494,4065,4375,2024,728
SLC66A2,554,336,548,594,351,115
BBS9,350,320,234,263,686,225
PMS2,801,863,487,502,295,105
ZMIZ2,782,782,404,647,285,213
OCM,0,0,0,0,0,0
SEPTIN7,7411,5919,3574,3983,3328,1479
EEPD1,155,65,68,78,57,38
KIAA0087,19,8,11,11,13,8
KLHL7,1170,771,725,761,542,184
HERPUD2,858,843,332,623,488,218
CBX3,6235,5007,2342,2360,2047,732
HNRNPA2B1,9001,8251,4103,3697,3499,1634
WIPF3,5,7,8,4,0,0
NXPH1,0,0,0,0,0,0
NPY,0,0,0,0,0,0
FAM126A,5141,5156,3091,3123,1945,684
HOXA7,94,65,0,0,0,0
INHBA,452,580,734,952,993,212
FKBP9,4556,3852,1880,2185,5019,1662
NT5C3A,612,543,477,563,305,118
ARL4A,1243,1124,667,759,271,62
CCZ1,2245,1804,1360,1664,1135,463
POLM,265,303,174,179,171,82
RAMP3,0,0,0,0,0,1
MRM2,1500,1083,416,509,230,109
TWIST1,815,913,270,262,873,190
SMU1,2196,2148,1727,2192,1390,454
GLIPR2,397,346,378,428,66,17
SLC25A51,577,372,422,494,494,159
CLTA,3711,2685,3141,3467,1481,410
RECK,421,267,399,490,760,379
SPINK4,0,1,1,0,0,0
TAF1L,9,1,2,0,3,0
ACO1,1751,2958,2893,2695,4521,918
PHF24,13,4,15,25,0,0
DNAI1,4,3,2,2,0,0
DCAF10,2164,1412,1100,1657,944,535
CNTFR,7,0,2,1,0,0
KIAA1549,682,593,197,183,9,12
TRIM24,775,686,308,429,173,75
CYREN,1443,1313,469,605,145,352
CALD1,11321,7209,8176,8920,31314,7068
AKR1D1,5,2,3,2,4,1
NUDT10,35,33,30,41,0,0
SFTPA1,0,0,0,0,0,0
NEUROG3,0,0,0,0,0,0
PLAU,303,493,3133,3840,1783,458
SRGN,1811,3000,7959,6735,13321,5244
CHST3,1336,1198,2346,2815,495,209
BICC1,305,317,1499,1644,2875,1084
CISD1,210,230,646,557,450,211
EGR2,6,6,18,9,2,20
ECD,650,488,944,853,526,235
P4HA1,1405,875,1041,906,1739,2757
SLC25A16,417,288,611,619,690,250
ZWINT,844,869,573,495,82,71
VPS26A,1095,977,1792,1899,969,307
RBM19,1295,1129,676,662,380,150
CIT,3374,2540,605,641,132,425
IFT81,798,721,266,225,702,176
ACADS,183,116,91,64,74,47
HVCN1,8,7,17,28,58,9
DDX54,2052,1548,1753,1750,692,94
MED13L,3876,3512,1988,2210,2073,1369
CDKN2C,468,554,68,39,234,110
RNF11,2297,1768,1582,1994,1965,568
RASSF8,3893,3406,1949,2518,2626,577
BHLHE41,1062,901,180,217,158,151
SSPN,353,488,153,352,566,160
ITPR2,1149,1233,1362,1258,2313,489
CCDC91,695,551,491,475,397,128
NECAB1,4,18,4,4,19,2
WWP1,1546,885,860,977,687,199
ACOT9,1407,985,2005,2425,901,328
PRDX4,1759,1400,3683,4001,1439,689
DDX39A,1519,1501,612,646,417,153
PKN1,2945,2249,3892,4198,1182,814
TRIR,1028,922,1100,1090,851,203
ADGRE5,1550,1205,1059,838,290,148
WDR83,101,90,116,121,136,33
GIPC1,1036,679,2176,2185,723,298
ACTRT1,0,0,0,0,0,0
CCDC70,0,0,0,0,0,0
SPRYD7,485,335,417,528,161,63
EBPL,350,287,247,238,260,107
ATP7B,77,70,237,287,82,40
ZC3H13,1098,1449,1002,1204,1161,511
GUCY1B2,18,4,21,15,26,0
NLN,1096,1204,1237,1404,399,227
CENPK,1056,944,464,442,76,82
OPTN,1245,2307,5139,5532,3024,1039
ITIH5,94,89,66,60,75,64
ATF1,486,472,332,482,325,57
TSFM,428,403,482,429,296,79
NEUROD4,0,0,0,0,0,0
ARHGAP9,0,9,39,27,0,0
NCKAP1L,6,14,16,9,25,11
MMP19,109,245,336,371,188,70
PFDN5,2172,2116,1914,1972,3585,895
SPATS2,1521,919,1068,845,750,231
ORMDL2,348,315,356,415,246,98
NR4A1,155,71,74,87,266,75
PDE1B,59,30,4,20,13,0
HOXC13,148,109,0,1,0,0
CDK2,1417,1003,334,433,262,135
LRP1,11468,6255,9820,10632,31258,11503
HOXC11,62,43,0,0,0,0
ATG101,1105,990,1030,1185,606,194
NFE2,1,2,1,0,0,0
HOXC12,4,5,0,0,0,0
IKZF4,155,121,54,45,150,21
SMUG1,649,574,282,338,296,155
TUBA1B,41583,31958,20237,20252,2703,5157
EEF1AKMT3,248,194,241,268,160,115
KBTBD4,184,319,324,369,311,96
SARDH,73,59,299,278,83,44
DBH,0,0,2,1,0,0
ATPAF1,517,380,455,457,515,244
STIL,1128,902,416,341,175,140
HJURP,2047,1370,367,227,39,144
IL13RA2,2118,1341,8,5,2,1
COL10A1,8,7,0,2,0,0
AMD1,4089,3160,1912,1747,1232,581
NDUFAF4,415,305,375,590,150,33
USP45,765,725,681,1018,782,203
PLP1,6,4,3,0,4,0
SERPINA7,0,0,0,0,0,0
MORF4L2,5939,4823,10549,10991,6437,1815
H2BW1,0,0,0,0,0,0
RAB9B,21,25,48,42,49,4
NRK,0,0,0,0,0,0
FAM199X,2594,2052,4154,4562,1565,487
ESX1,0,0,0,0,0,0
MAGEA9,0,0,0,0,0,0
ATXN3L,0,0,0,0,0,0
RAB9A,299,394,1081,1194,321,101
METTL8,516,455,1504,1380,369,131
TTC21B,1117,992,829,1183,1042,192
NMI,353,518,319,358,156,213
TNFAIP6,132,1515,9,10,63,66
ACVR1C,16,39,10,10,4,12
BAZ2B,1200,1386,797,746,2166,745
SLC36A1,411,545,569,831,450,74
LPGAT1,2319,2256,2897,2759,1331,513
BATF3,114,91,98,134,9,1
G0S2,424,381,1506,1690,244,79
KCNJ2,21,159,311,267,874,218
RAP2C,1336,1781,2725,3500,711,315
EXOSC9,775,741,527,609,293,124
PLA2G12A,1005,747,531,708,762,188
B9D2,31,35,56,53,33,9
COQ8B,160,190,91,111,259,68
PFKFB2,302,82,254,302,257,26
C4BPA,3,2,0,0,0,0
C4BPB,19,21,18,27,26,10
RAB38,46,48,70,72,17,4
GPR83,18,16,24,9,20,6
AGO2,4252,3777,2903,3725,1718,1080
MXD4,720,567,1504,1229,2305,690
CKS2,1988,1322,814,648,168,149
DAW1,612,267,146,137,35,83
ACSL3,2568,3266,3294,3219,4602,1072
CHPF,1699,1348,433,904,1583,551
DNPEP,1221,1473,922,1031,437,245
INHA,2,1,2,0,3,5
MOGAT1,0,0,1,0,0,0
OBSL1,779,827,629,723,472,175
FAM124B,1,0,0,1,2,0
SLC12A4,1262,946,1532,1615,1197,474
ENKD1,161,190,232,251,121,71
MC3R,0,0,0,0,0,0
GCNT7,0,0,0,0,0,0
CTCFL,7,4,3,3,6,1
FAM210B,388,270,1065,1082,1113,268
PI3,152,124,0,1,50,50
FAM209A,5,2,3,5,3,0
SNX21,376,449,267,318,484,179
SLPI,149,100,1,2,37,53
WFDC3,0,4,5,5,3,2
TTPAL,1864,1423,986,1246,806,221
PREX1,291,283,476,391,1220,828
KCNS1,3,0,234,228,2,4
SLC12A5,5,1,0,16,1,5
ARHGAP40,3,4,10,9,0,0
SDC4,6156,8275,2710,2703,1772,690
NCOA3,1766,2135,2892,2648,4043,1672
PIGT,941,746,719,843,1047,426
SEMG2,0,0,0,0,0,0
MATN4,1,0,2,5,0,0
NCOA5,550,576,553,608,270,98
VAPB,1610,1622,2131,1844,1272,587
PARD6B,96,132,101,99,251,76
ATP5F1E,2573,2451,2584,2899,2166,641
CHD6,2187,1362,1270,928,2037,863
PLCG1,2680,2091,1178,1618,861,388
TOX2,822,373,242,234,27,20
SRSF6,4194,3310,3403,3343,2871,696
GDAP1L1,2,8,2,2,0,0
GTSF1L,0,0,1,1,0,0
ARFGEF2,3456,3368,2904,3286,2326,778
ZNFX1,2047,2016,3946,4695,2574,1881
ZNF831,0,0,0,0,0,0
EDN3,0,0,0,0,1,0
CSE1L,6153,5085,3227,3554,1065,778
PEDS1-UBE2V1,201,75,171,120,109,90
RAB22A,2815,2657,1891,2363,1907,515
PTGIS,38,32,42,31,33,54
STAU1,2768,2236,1916,2189,1735,688
CDH26,1,20,14,23,16,4
SNAI1,71,33,2,8,12,10
MOCS3,403,319,316,367,256,90
STX16,2376,1244,1279,977,1475,629
PMEPA1,6086,3158,7205,6499,131,49
RNF114,1329,1450,831,1226,1078,638
ANKRD60,0,1,0,0,0,1
DDX27,1246,1301,1105,1204,445,178
RBPJL,0,0,0,0,0,0
SEMG1,0,0,0,0,0,0
C20orf85,0,0,0,0,0,0
BCAS4,559,534,478,767,206,90
KCNK15,0,0,19,38,62,0
TP53TG5,0,0,0,0,5,0
PCK1,0,5,2,2,1,0
ZBP1,1,2,1,0,1,0
NEURL2,59,49,52,74,30,4
MAGEA10,24,18,5,11,8,11
MTRR,625,683,550,643,555,155
FASTKD3,267,197,187,198,197,47
PEPD,787,479,421,508,419,107
CHST8,0,0,7,4,0,0
IQSEC2,382,303,160,184,282,101
VAMP7,1094,1063,2353,2260,1005,366
IL9R,3,1,0,1,8,0
XG,75,45,0,0,1,0
STAMBP,977,764,642,622,548,280
NAGK,499,703,1303,1253,500,342
MCEE,74,114,67,57,236,87
PAIP2B,31,30,50,37,15,14
SNRNP27,625,616,192,412,320,170
MPHOSPH10,807,559,317,304,450,154
IL17C,0,0,1,0,0,0
NDUFB4P12,0,0,0,0,0,0
ATP8A1,117,161,5,6,15,54
USP22,8641,7262,7184,7521,5852,1513
POF1B,9,3,0,0,5,4
